Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Beaupré,Denis Blanchette,Marie-Claude Bouffard,Michelle Fontaine,Pascal-Pierre Paillé,Pierre Paul-Hus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"Louis-Hébert/Louis-Hébert"," 206","Cap-Rouge",37,116,1,7,73,60,2,296,474
24037,"Louis-Hébert/Louis-Hébert"," 207","Cap-Rouge",48,112,1,4,61,62,4,292,461
24037,"Louis-Hébert/Louis-Hébert"," 400","Sainte-Foy",27,94,0,5,41,52,0,219,288
24037,"Louis-Hébert/Louis-Hébert"," 401","Sainte-Foy",18,65,0,2,39,56,1,181,248
24037,"Louis-Hébert/Louis-Hébert"," 402","Sainte-Foy",62,130,3,1,75,107,4,382,480
24037,"Louis-Hébert/Louis-Hébert"," 403","Sainte-Foy",37,57,0,0,38,41,0,173,216
24037,"Louis-Hébert/Louis-Hébert"," 404","Sillery",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 405","Sainte-Foy",40,47,1,3,28,41,1,161,200
24037,"Louis-Hébert/Louis-Hébert"," 500","Mobile poll/Bureau itinérant",45,25,2,3,25,41,2,143,240
24037,"Louis-Hébert/Louis-Hébert"," 501","Mobile poll/Bureau itinérant",23,17,4,4,11,15,1,75,274
24037,"Louis-Hébert/Louis-Hébert"," 502","Mobile poll/Bureau itinérant",53,25,3,2,19,34,2,138,289
24037,"Louis-Hébert/Louis-Hébert"," 503","Mobile poll/Bureau itinérant",51,55,1,4,30,42,5,188,287
24037,"Louis-Hébert/Louis-Hébert"," 504","Mobile poll/Bureau itinérant",81,55,2,5,23,58,2,226,325
24037,"Louis-Hébert/Louis-Hébert"," 600","Sainte-Foy",17,130,0,4,78,130,4,363,
24037,"Louis-Hébert/Louis-Hébert"," 601","Sainte-Foy",47,189,0,8,99,136,2,481,
24037,"Louis-Hébert/Louis-Hébert"," 602","Sainte-Foy",41,172,3,8,113,169,4,510,
24037,"Louis-Hébert/Louis-Hébert"," 603","Sainte-Foy",69,157,2,10,128,111,5,482,
24037,"Louis-Hébert/Louis-Hébert"," 604","Sainte-Foy",61,139,2,4,119,143,2,470,
24037,"Louis-Hébert/Louis-Hébert"," 605","Sainte-Foy",93,178,1,12,232,108,2,626,
24037,"Louis-Hébert/Louis-Hébert"," 606","Sainte-Foy",86,137,0,4,142,110,4,483,
24037,"Louis-Hébert/Louis-Hébert"," 607","Sillery",91,141,4,9,190,95,2,532,
24037,"Louis-Hébert/Louis-Hébert"," 608","Sillery",131,164,3,4,208,146,5,661,
24037,"Louis-Hébert/Louis-Hébert"," 609","Sillery",110,134,1,7,153,106,4,515,
24037,"Louis-Hébert/Louis-Hébert"," 610","Sainte-Foy",55,121,0,7,111,77,0,371,
24037,"Louis-Hébert/Louis-Hébert"," 611","Sainte-Foy",67,106,1,5,78,62,2,321,
24037,"Louis-Hébert/Louis-Hébert"," 612","Sainte-Foy",130,140,0,5,151,88,2,516,
24037,"Louis-Hébert/Louis-Hébert"," 613","Sainte-Foy",68,108,2,5,96,74,2,355,
24037,"Louis-Hébert/Louis-Hébert"," 614","Sainte-Foy",37,103,0,2,68,74,1,285,
24037,"Louis-Hébert/Louis-Hébert"," 615","Sainte-Foy",87,130,1,6,174,119,2,519,
24037,"Louis-Hébert/Louis-Hébert"," 616","Sainte-Foy",63,143,0,9,122,105,4,446,
24037,"Louis-Hébert/Louis-Hébert"," 617","Sainte-Foy",128,177,0,4,196,155,5,665,
24037,"Louis-Hébert/Louis-Hébert"," 618","Sainte-Foy",60,137,2,2,131,99,1,432,
24037,"Louis-Hébert/Louis-Hébert"," 619","Sainte-Foy",174,255,1,5,184,222,6,847,
24037,"Louis-Hébert/Louis-Hébert"," 620","Sainte-Foy",89,175,1,5,132,133,8,543,
24037,"Louis-Hébert/Louis-Hébert"," 621","Cap-Rouge",55,136,0,5,115,153,3,467,
24037,"Louis-Hébert/Louis-Hébert"," 622","Cap-Rouge",69,208,0,5,194,102,6,584,
