Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melanie Deveau,Alishia Fox,Lisa Lumley,Brian Masse,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Windsor West/Windsor-Ouest"," 98","Windsor",22,5,87,113,1,0,228,381
35102,"Windsor West/Windsor-Ouest"," 99","Windsor",14,6,65,77,0,1,163,282
35102,"Windsor West/Windsor-Ouest"," 100","Windsor",36,7,78,92,1,0,214,366
35102,"Windsor West/Windsor-Ouest"," 101","Windsor",20,8,57,103,1,1,190,318
35102,"Windsor West/Windsor-Ouest"," 102","Windsor",16,3,63,99,0,1,182,391
35102,"Windsor West/Windsor-Ouest"," 103","Windsor",15,4,43,127,0,0,189,404
35102,"Windsor West/Windsor-Ouest"," 104","Windsor",2,5,56,120,0,1,184,382
35102,"Windsor West/Windsor-Ouest"," 105","Windsor",14,2,40,119,2,0,177,362
35102,"Windsor West/Windsor-Ouest"," 106","Windsor",20,7,67,127,2,0,223,414
35102,"Windsor West/Windsor-Ouest"," 107","Windsor",16,4,51,128,0,0,199,444
35102,"Windsor West/Windsor-Ouest"," 108","Windsor",14,3,46,138,3,1,205,509
35102,"Windsor West/Windsor-Ouest"," 109","Windsor",21,11,61,124,3,0,220,508
35102,"Windsor West/Windsor-Ouest"," 110","Windsor",12,6,49,120,0,0,187,446
35102,"Windsor West/Windsor-Ouest"," 111","Windsor",Void/Supprimé,,,,,,,
35102,"Windsor West/Windsor-Ouest"," 112","Windsor",6,7,33,79,0,1,126,319
35102,"Windsor West/Windsor-Ouest"," 113","Windsor",9,4,56,107,0,0,176,401
35102,"Windsor West/Windsor-Ouest"," 114","Windsor",40,4,70,90,1,4,209,492
35102,"Windsor West/Windsor-Ouest"," 115","Windsor",10,2,21,67,1,2,103,295
35102,"Windsor West/Windsor-Ouest"," 116","Windsor",15,2,34,91,0,5,147,347
35102,"Windsor West/Windsor-Ouest"," 117","Windsor",10,4,42,80,0,1,137,301
35102,"Windsor West/Windsor-Ouest"," 118","Windsor",18,3,53,176,3,3,256,522
35102,"Windsor West/Windsor-Ouest"," 119","Windsor",27,2,48,96,1,2,176,296
35102,"Windsor West/Windsor-Ouest"," 120","Windsor",5,3,38,71,2,0,119,308
35102,"Windsor West/Windsor-Ouest"," 121","Windsor",11,5,27,78,1,0,122,352
35102,"Windsor West/Windsor-Ouest"," 122","Windsor",6,1,40,75,0,1,123,223
35102,"Windsor West/Windsor-Ouest"," 123","Windsor",23,2,44,62,0,2,133,218
35102,"Windsor West/Windsor-Ouest"," 124","Windsor",18,1,74,148,1,0,242,592
35102,"Windsor West/Windsor-Ouest"," 125","Windsor",15,9,58,94,0,0,176,355
35102,"Windsor West/Windsor-Ouest"," 126","Windsor",16,9,50,161,0,1,237,551
35102,"Windsor West/Windsor-Ouest"," 127","Windsor",20,7,84,173,0,3,287,610
35102,"Windsor West/Windsor-Ouest"," 128","Windsor",11,5,59,128,0,0,203,458
35102,"Windsor West/Windsor-Ouest"," 129","Windsor",5,4,42,91,0,0,142,336
35102,"Windsor West/Windsor-Ouest"," 130","Windsor",10,3,26,50,0,2,91,261
35102,"Windsor West/Windsor-Ouest"," 131","Windsor",11,1,41,48,0,0,101,232
35102,"Windsor West/Windsor-Ouest"," 132","Windsor",7,4,62,95,0,1,169,402
35102,"Windsor West/Windsor-Ouest"," 133","Windsor",11,7,45,120,1,0,184,611
35102,"Windsor West/Windsor-Ouest"," 133-1","Windsor",25,9,71,97,0,1,203,544
35102,"Windsor West/Windsor-Ouest"," 134","Windsor",10,1,50,89,1,1,152,422
35102,"Windsor West/Windsor-Ouest"," 135","Windsor",14,5,43,108,1,1,172,396
35102,"Windsor West/Windsor-Ouest"," 135-1","Windsor",17,2,46,103,0,2,170,461
35102,"Windsor West/Windsor-Ouest"," 136","Windsor",16,3,52,115,0,1,187,529
35102,"Windsor West/Windsor-Ouest"," 137","Windsor",32,2,97,110,1,1,243,568
35102,"Windsor West/Windsor-Ouest"," 138","Windsor",40,1,150,55,0,2,248,491
35102,"Windsor West/Windsor-Ouest"," 139","Windsor",24,6,56,115,2,2,205,573
35102,"Windsor West/Windsor-Ouest"," 140","Windsor",42,5,87,139,0,0,273,580
35102,"Windsor West/Windsor-Ouest"," 141","Windsor",40,0,58,103,0,2,203,364
35102,"Windsor West/Windsor-Ouest"," 142","Windsor",12,2,30,96,0,2,142,387
35102,"Windsor West/Windsor-Ouest"," 143","Windsor",8,0,6,63,0,0,77,273
35102,"Windsor West/Windsor-Ouest"," 143-1","Windsor",30,3,27,130,2,1,193,488
35102,"Windsor West/Windsor-Ouest"," 144","Windsor",24,6,74,140,0,0,244,625
35102,"Windsor West/Windsor-Ouest"," 145","Windsor",Void/Supprimé,,,,,,,
35102,"Windsor West/Windsor-Ouest"," 146","Windsor",26,8,51,87,0,0,172,290
35102,"Windsor West/Windsor-Ouest"," 147","Windsor",33,3,60,170,1,2,269,597
35102,"Windsor West/Windsor-Ouest"," 148","Windsor",33,3,60,170,1,0,267,622
35102,"Windsor West/Windsor-Ouest"," 149A","Windsor",11,2,41,89,1,0,144,460
35102,"Windsor West/Windsor-Ouest"," 149B","Windsor",13,3,27,65,0,1,109,249
35102,"Windsor West/Windsor-Ouest"," 149-1","Windsor",Merged with No. 149B/Fusionné avec le nº 149B,,,,,,,42
35102,"Windsor West/Windsor-Ouest"," 150","Windsor",9,4,47,102,0,0,162,549
35102,"Windsor West/Windsor-Ouest"," 151","Windsor",10,12,74,95,1,5,197,438
35102,"Windsor West/Windsor-Ouest"," 152","Windsor",27,5,83,97,0,2,214,462
35102,"Windsor West/Windsor-Ouest"," 153","Windsor",16,7,40,97,0,0,160,339
35102,"Windsor West/Windsor-Ouest"," 154","Windsor",Void/Supprimé,,,,,,,
35102,"Windsor West/Windsor-Ouest"," 155","Windsor",28,7,89,97,0,1,222,512
35102,"Windsor West/Windsor-Ouest"," 156","Windsor",19,5,79,58,0,1,162,309
35102,"Windsor West/Windsor-Ouest"," 157","Windsor",27,1,67,72,1,1,169,340
35102,"Windsor West/Windsor-Ouest"," 158","Windsor",21,2,61,63,0,0,147,279
35102,"Windsor West/Windsor-Ouest"," 159","Windsor",22,5,67,100,0,0,194,392
35102,"Windsor West/Windsor-Ouest"," 160","Windsor",35,7,103,112,3,0,260,503
35102,"Windsor West/Windsor-Ouest"," 161","Windsor",32,3,49,67,0,2,153,300
35102,"Windsor West/Windsor-Ouest"," 162","Windsor",19,7,42,45,0,2,115,211
35102,"Windsor West/Windsor-Ouest"," 163","Windsor",24,3,77,113,0,0,217,413
35102,"Windsor West/Windsor-Ouest"," 164","Windsor",23,9,148,142,1,1,324,615
35102,"Windsor West/Windsor-Ouest"," 165","Windsor",25,3,66,108,0,2,204,458
35102,"Windsor West/Windsor-Ouest"," 166","Windsor",12,4,57,79,0,0,152,252
35102,"Windsor West/Windsor-Ouest"," 167","Windsor",23,5,62,94,0,0,184,317
35102,"Windsor West/Windsor-Ouest"," 168","Windsor",19,3,61,37,0,1,121,242
35102,"Windsor West/Windsor-Ouest"," 169","Windsor",23,4,60,95,0,0,182,378
35102,"Windsor West/Windsor-Ouest"," 170","Windsor",12,5,47,42,2,1,109,245
35102,"Windsor West/Windsor-Ouest"," 171","Windsor",9,4,70,74,0,0,157,357
35102,"Windsor West/Windsor-Ouest"," 172","Windsor",28,2,86,105,0,2,223,413
35102,"Windsor West/Windsor-Ouest"," 173","Windsor",20,4,104,91,0,0,219,460
35102,"Windsor West/Windsor-Ouest"," 174","Windsor",4,1,24,33,0,0,62,234
35102,"Windsor West/Windsor-Ouest"," 175","Windsor",23,7,71,72,0,0,173,336
35102,"Windsor West/Windsor-Ouest"," 176","Windsor",20,5,94,80,0,0,199,429
35102,"Windsor West/Windsor-Ouest"," 177","Windsor",17,5,54,55,0,0,131,288
35102,"Windsor West/Windsor-Ouest"," 178","Windsor",20,6,104,92,0,2,224,386
35102,"Windsor West/Windsor-Ouest"," 179","Windsor",32,1,81,81,0,1,196,432
35102,"Windsor West/Windsor-Ouest"," 180","Windsor",16,6,90,103,0,0,215,415
35102,"Windsor West/Windsor-Ouest"," 181","Windsor",22,5,54,66,0,1,148,334
35102,"Windsor West/Windsor-Ouest"," 182","Windsor",19,8,88,91,1,0,207,438
35102,"Windsor West/Windsor-Ouest"," 183","Windsor",12,15,82,102,1,0,212,385
35102,"Windsor West/Windsor-Ouest"," 184","Windsor",20,11,71,121,1,1,225,414
