Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matt Daudlin,Ron Franko,Robert Hodgson,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 36","Leamington",42,36,6,107,5,196,368
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 37","Leamington",52,43,3,81,0,179,434
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 37-1","Leamington",20,24,1,66,0,111,342
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 38","Leamington",17,26,2,60,0,105,342
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 39","Leamington",27,55,7,112,0,201,506
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 40","Leamington",31,27,3,110,1,172,379
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 41","Leamington",24,39,2,108,0,173,358
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 42","Leamington",24,37,6,64,0,131,273
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 43","Leamington",29,35,6,129,0,199,312
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 44","Leamington",30,35,8,77,2,152,324
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 45","Leamington",27,32,13,136,1,209,387
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 46","Leamington",13,30,8,119,0,170,359
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 47","Leamington",24,32,5,129,0,190,415
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 48","Tilbury",36,33,7,61,0,137,262
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 49","Tilbury",15,38,4,48,0,105,268
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 50","Tilbury",18,31,0,38,0,87,226
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 51","Tilbury",17,68,7,56,3,151,350
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 52","Tilbury",23,60,7,43,0,133,309
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 53","Tilbury",21,52,4,76,1,154,364
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 54","Tilbury",Void/Supprimé,,,,,,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 55","Tilbury",17,76,1,73,1,168,327
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 56","Tilbury",15,60,2,72,3,152,345
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 57","Tilbury",55,63,8,113,1,240,454
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 58","Tilbury",32,52,9,97,0,190,352
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 59","Tilbury",22,39,3,70,0,134,284
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 60","Tilbury",23,25,4,91,0,143,293
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 61","Merlin",18,51,4,55,1,129,236
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 62","Tilbury",10,48,5,125,0,188,378
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 63","Tilbury",Void/Supprimé,,,,,,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 64","Merlin",19,44,4,86,1,154,289
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 65","Wheatley",31,57,10,93,0,191,385
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 66","Wheatley",23,64,9,149,1,246,567
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 67","Wheatley",20,30,4,136,3,193,433
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 68","Wheatley",10,26,9,86,1,132,303
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 69","Wheatley",19,52,9,87,0,167,438
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 70","Wheatley",17,35,4,61,0,117,298
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 70-1","Romney",10,28,8,77,0,123,283
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 71","Chatham",43,53,11,129,0,236,452
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 72","Chatham",47,29,7,78,0,161,269
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 73","Chatham",31,43,1,81,1,157,281
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 73-1","Chatham",34,31,1,124,0,190,285
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 74","Merlin",30,59,5,92,1,187,360
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 75","North Buxton",34,46,5,101,1,187,272
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 76","Charing Cross",23,59,10,163,3,258,423
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 77","Merlin",22,68,14,124,1,229,432
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 78","Merlin",24,68,6,122,3,223,393
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 79","Cedar Springs",36,57,5,129,0,227,365
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 80","Chatham",37,30,3,113,0,183,296
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 80-1","Chatham",87,44,9,114,2,256,431
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 81","Chatham",25,42,2,78,0,147,235
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 82","Chatham",65,53,5,126,1,250,390
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 83","Chatham",38,48,4,72,0,162,258
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 84","Chatham",60,74,10,119,2,265,424
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 85","Chatham",35,45,2,127,0,209,333
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 86","Chatham",22,31,3,74,0,130,233
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 87","Chatham",25,47,2,93,1,168,381
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 88","Chatham",34,48,8,122,0,212,345
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 89","Chatham",66,52,3,125,0,246,411
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 90","Chatham",51,60,9,142,2,264,444
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 91","Chatham",60,84,7,121,0,272,490
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 92","Chatham",30,52,6,112,2,202,335
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 93","Chatham",29,74,5,71,0,179,385
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 94","Chatham",6,42,5,48,0,101,240
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 95","Chatham",20,19,4,106,1,150,241
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 95-1","Chatham",24,56,4,81,0,165,305
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 96","Chatham",23,49,6,87,1,166,363
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 97","Chatham",43,55,2,116,0,216,435
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 98","Chatham",8,42,3,53,1,107,306
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 99","Chatham",36,81,7,163,0,287,500
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 100","Chatham",12,71,4,82,0,169,329
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 100-1","Chatham",16,47,5,99,0,167,281
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 101","Chatham",32,56,5,101,1,195,324
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 102","Chatham",27,72,4,86,1,190,323
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 103","Chatham",11,58,6,86,0,161,312
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 104","Chatham",47,38,5,86,0,176,349
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 105","Chatham",39,60,4,105,0,208,404
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 106","Chatham",22,65,7,65,1,160,357
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 107","Chatham",12,63,3,61,1,140,314
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 108","Chatham",31,50,7,121,2,211,349
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 109","Chatham",30,48,2,82,0,162,300
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 110","Chatham",37,67,3,91,1,199,314
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 111","Chatham",22,78,4,79,2,185,375
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 112","Chatham",52,84,8,113,1,258,432
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 113","Chatham",38,58,11,126,2,235,428
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 114","Chatham",35,105,5,98,1,244,387
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 115","Chatham",17,50,5,70,0,142,258
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 116","Chatham",19,46,5,73,2,145,195
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 117","Chatham",22,80,5,106,1,214,347
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 118","Chatham",10,50,6,43,0,109,313
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 119","Chatham",19,71,6,68,0,164,347
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 120","Chatham",28,38,5,67,0,138,272
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 121","Chatham",20,39,8,58,0,125,267
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 122","Chatham",29,55,8,80,0,172,360
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 123","Chatham",27,44,6,75,1,153,316
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 124","Chatham",15,61,8,76,1,161,359
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 125","Chatham",33,70,4,77,1,185,325
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 126","Chatham",19,64,6,67,0,156,292
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 127","Chatham",20,40,3,65,0,128,329
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 128","Chatham",43,53,10,49,0,155,313
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 129","Chatham",12,35,2,37,1,87,229
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 130","Chatham",19,54,2,94,0,169,328
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 131","Chatham",25,45,1,60,0,131,323
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 132","Chatham",57,43,8,99,0,207,322
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 133","Chatham",70,51,7,106,0,234,394
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 134","Chatham",24,44,2,86,1,157,324
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 135","Chatham",19,54,12,52,0,137,335
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 136","Chatham",37,48,3,68,1,157,280
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 137","Chatham",18,69,3,46,0,136,272
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 138","Chatham",10,43,4,32,1,90,217
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 139","Chatham",12,85,3,39,3,142,335
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 140","Chatham",12,43,5,50,1,111,297
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 141","Chatham",40,67,3,92,0,202,454
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 142","Chatham",Void/Supprimé,,,,,,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 143","Chatham",15,39,8,27,1,90,319
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 144","Chatham",7,44,7,44,0,102,295
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 145","Chatham",15,58,4,56,1,134,356
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 146","Chatham",7,32,3,47,0,89,206
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 147","Chatham",29,68,11,106,0,214,424
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 148","Chatham",26,82,3,142,0,253,460
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 149","Chatham",26,17,1,80,0,124,245
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 150","Chatham",36,65,10,121,1,233,402
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 151","Chatham",16,45,11,49,0,121,286
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 152","Chatham",39,54,7,106,0,206,340
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 153","Chatham",11,81,3,55,0,150,385
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 154","Chatham",13,38,3,52,1,107,273
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 155","Chatham",45,32,5,116,2,200,345
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 156","Chatham",15,69,6,104,1,195,403
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 157","Chatham",23,66,4,63,1,157,301
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 158","Chatham",46,31,3,167,1,248,367
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 159","Chatham",42,43,10,102,0,197,345
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 160","Chatham",16,85,5,137,3,246,489
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 161","Chatham",21,65,6,79,2,173,409
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 162","Chatham",22,57,7,115,0,201,351
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 163","Chatham",30,55,11,105,1,202,333
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 164","Chatham",30,77,6,143,1,257,394
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 165","Chatham",30,58,1,77,0,166,297
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 166","Chatham",30,53,9,128,2,222,355
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 167","Chatham",7,47,3,58,0,115,330
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 168","Chatham",47,52,5,172,0,276,418
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 169","Chatham",18,67,8,134,1,228,428
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 170","Chatham",32,47,13,166,1,259,423
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 171","Chatham",40,23,8,69,0,140,227
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 172","Chatham",38,46,5,142,1,232,364
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 173","Charing Cross",16,37,9,90,0,152,252
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 174","Blenheim",33,28,11,107,0,179,342
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 175","Cedar Springs",35,51,4,97,1,188,350
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 176","Blenheim",24,68,6,116,1,215,451
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 177","Blenheim",9,59,10,75,0,153,335
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 178","Blenheim",22,79,8,94,2,205,416
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 179","Blenheim",22,66,8,94,1,191,341
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 180","Blenheim",16,46,2,58,0,122,271
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 181","Blenheim",22,77,7,100,2,208,418
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 182","Blenheim",21,52,5,76,0,154,283
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 183","Blenheim",17,32,2,100,0,151,302
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 184","Blenheim",31,72,9,171,0,283,496
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 185","Blenheim",15,37,9,116,2,179,316
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 186","Blenheim",25,75,11,147,0,258,506
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 187","Blenheim",28,46,6,94,0,174,322
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 188","Cedar Springs",37,95,10,159,0,301,506
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 189","Cedar Springs",Void/Supprimé,,,,,,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 190","Erieau",25,49,16,136,1,227,323
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 191","Morpeth",37,44,10,161,0,252,400
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 192","Kent Bridge",29,52,7,84,0,172,334
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 193","Kent Bridge",30,46,7,79,0,162,334
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 194","Ridgetown",18,36,7,81,3,145,282
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 195","Ridgetown",26,66,5,85,0,182,352
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 196","Ridgetown",18,67,5,79,0,169,348
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 197","Ridgetown",12,53,5,76,1,147,283
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 198","Ridgetown",21,45,3,99,1,169,367
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 199","Ridgetown",25,62,5,83,0,175,413
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 200","Ridgetown",19,47,4,66,1,137,314
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 201","Ridgetown",28,44,11,82,0,165,296
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 202","Morpeth",25,43,9,133,3,213,358
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 203","Morpeth",15,48,2,49,0,114,273
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 204","Moraviantown",15,55,2,10,0,82,173
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 205","Highgate",31,42,10,92,1,176,300
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 206","Highgate",22,54,13,82,2,173,318
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 207","Highgate",28,36,9,62,1,136,237
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 208","Highgate",32,38,10,109,0,189,307
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 400","Leamington",15,8,2,16,4,45,211
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 401","Chatham",18,17,2,70,3,110,177
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 402","Chatham",11,8,1,18,0,38,147
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 403","Chatham",17,18,7,49,5,96,315
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 500","Mobile poll/Bureau itinérant",19,6,5,54,1,85,161
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 501","Mobile poll/Bureau itinérant",25,12,2,48,1,88,153
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 502","Mobile poll/Bureau itinérant",6,15,2,14,2,39,149
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 503","Mobile poll/Bureau itinérant",28,9,4,18,6,65,109
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 504","Mobile poll/Bureau itinérant",14,9,1,43,1,68,155
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 505","Mobile poll/Bureau itinérant",20,3,1,67,3,94,136
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 506","Mobile poll/Bureau itinérant",25,18,1,65,1,110,221
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 600","Leamington",68,51,21,235,1,376,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 601","Leamington",86,85,13,249,4,437,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 602","Leamington",93,79,17,285,3,477,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 603","Wheatley",43,43,10,176,1,273,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 604","Tilbury",84,114,13,187,3,401,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 605","Raleigh",74,43,13,227,0,357,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 606","Chatham",98,64,16,217,3,398,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 607","Chatham",100,102,7,292,1,502,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 608","Chatham",67,108,12,212,0,399,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 609","Chatham",81,109,11,191,0,392,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 610","Chatham",79,86,12,354,2,533,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 611","Blenheim",138,139,19,452,4,752,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 612","Ridgetown",112,159,19,385,1,676,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex",,Group 1/Groupe 1,24,12,5,74,3,118,205
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex",,Group 2/Groupe 2,85,85,25,250,4,449,
