Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Geddes,Mark Ireland,Kevin Kim,Stewart McGillivray,James Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 12","Port Moody",3,66,11,17,101,1,199,360
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 13","Port Moody",1,71,22,22,120,1,237,455
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 14","Port Moody",2,39,9,17,122,0,189,340
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 15","Port Moody",0,44,10,13,120,0,187,346
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16A","Port Moody",0,43,11,13,93,0,160,300
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16B","Port Moody",4,29,4,23,79,0,139,295
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16-1","Port Moody",5,83,16,34,157,0,295,576
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16-2","Port Moody",1,38,5,25,139,0,208,445
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 17","Port Moody",1,27,7,15,133,2,185,360
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 17-1","Port Moody",2,63,14,29,156,0,264,581
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 18","Port Moody",2,70,10,32,162,3,279,504
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 19","Port Moody",2,66,13,25,210,0,316,578
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 20","Port Moody",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 21","Port Moody",2,54,12,14,173,0,255,429
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 22","Port Moody",2,93,21,28,125,1,270,489
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 23","Port Moody",3,112,10,17,72,1,215,400
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 24","Port Moody",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 25A","Port Moody",3,83,9,31,136,2,264,580
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 25B","Port Moody",1,31,4,17,86,0,139,310
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 25-1","Port Moody",0,34,9,21,66,1,131,348
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 26","Port Moody",0,61,16,16,71,0,164,317
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 27","Port Moody",1,90,18,19,73,0,201,392
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 28","Coquitlam",5,71,10,29,113,1,229,470
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 29","Coquitlam",2,109,11,22,161,1,306,552
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 30","Coquitlam",0,64,12,11,85,1,173,340
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 31","Coquitlam",2,52,5,23,126,0,208,458
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 32","Coquitlam",0,54,4,12,127,5,202,329
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 33","Coquitlam",4,95,12,15,98,1,225,389
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 34A","Coquitlam",2,70,8,16,102,1,199,489
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 34B","Coquitlam",1,48,6,9,50,0,114,274
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 34-1","Coquitlam",2,45,5,16,50,1,119,444
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 35","Coquitlam",1,36,7,8,35,0,87,235
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 36","Coquitlam",2,65,8,11,63,1,150,331
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 37","Coquitlam",2,90,12,23,124,2,253,486
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 38","Coquitlam",0,71,8,15,56,0,150,412
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 39","Coquitlam",1,45,7,13,124,0,190,375
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 40","Coquitlam",0,65,7,14,169,0,255,494
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 41","Coquitlam",1,58,5,20,71,0,155,364
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 42","Coquitlam",4,101,15,30,119,2,271,496
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 43","Coquitlam",3,95,17,22,133,1,271,520
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 44","Coquitlam",1,61,15,20,89,1,187,400
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 45","Coquitlam",3,69,10,17,105,0,204,328
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46","Coquitlam",1,52,9,13,84,1,160,531
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46-1A","Coquitlam",5,84,4,27,131,2,253,644
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46-1B","Coquitlam",1,48,5,15,80,2,151,407
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46-2","Coquitlam",2,42,3,12,59,1,119,421
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 47","Coquitlam",4,84,9,28,89,0,214,538
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 48","Coquitlam",4,68,12,12,120,1,217,534
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 49","Coquitlam",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 50","Coquitlam",0,54,6,16,81,1,158,376
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 51A","Coquitlam",8,68,6,25,107,2,216,619
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 51B","Coquitlam",1,47,4,10,55,1,118,330
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 52","Coquitlam",5,75,11,24,98,4,217,490
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 53","Coquitlam",1,44,8,11,55,0,119,320
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 54","Coquitlam",1,43,1,20,80,1,146,340
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 55","Coquitlam",6,89,20,15,148,0,278,561
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 56","Coquitlam",0,47,10,10,74,1,142,272
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 57","Coquitlam",2,77,15,25,159,1,279,512
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 58","Coquitlam",3,81,9,24,167,1,285,534
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 59A","Coquitlam",1,52,4,14,75,0,146,292
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 59B","Coquitlam",2,39,5,11,69,1,127,299
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 60","Coquitlam",2,73,13,33,146,0,267,542
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 61","Coquitlam",3,56,13,17,158,0,247,580
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 62","Coquitlam",1,53,7,10,102,0,173,377
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 63","Coquitlam",1,88,10,18,147,0,264,454
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 64","Coquitlam",2,45,18,27,129,0,221,429
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 65","Coquitlam",3,70,6,18,155,1,253,520
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 66","Coquitlam",2,62,18,25,185,1,293,526
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 67","Coquitlam",1,47,7,27,161,2,245,445
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 68A","Coquitlam",2,27,4,22,123,0,178,401
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 68B","Coquitlam",1,15,3,9,69,1,98,217
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 68-1","Coquitlam",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 69","Coquitlam",32,35,4,29,121,0,221,451
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 69-1","Coquitlam",3,25,12,17,107,0,164,341
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 70","Coquitlam",4,32,2,24,118,2,182,527
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 70-1A","Coquitlam",2,32,3,12,110,0,159,406
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 70-1B","Coquitlam",0,18,0,4,69,0,91,202
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 71","Coquitlam",2,66,4,26,151,2,251,527
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 72A","Coquitlam",1,43,10,13,83,0,150,394
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 72B","Coquitlam",1,29,3,12,49,0,94,222
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 73","Coquitlam",0,27,8,22,146,5,208,468
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 74","Coquitlam",0,14,5,16,77,1,113,279
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 75","Coquitlam",3,31,8,29,94,0,165,493
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 76","Coquitlam",3,73,10,34,165,0,285,587
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 76-1","Coquitlam",1,25,5,15,101,0,147,317
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 77","Coquitlam",3,23,4,9,82,1,122,336
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 77-1","Coquitlam",1,27,1,14,82,0,125,317
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 78","Coquitlam",3,55,8,21,141,3,231,544
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 79","Coquitlam",3,51,8,27,113,2,204,551
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 80","Coquitlam",2,72,10,24,131,0,239,539
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 81A","Coquitlam",5,23,3,28,64,0,123,301
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 81B","Coquitlam",1,19,2,13,59,0,94,297
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 82","Coquitlam",2,37,2,15,103,1,160,456
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 83","Coquitlam",1,34,6,25,159,2,227,509
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 84","Coquitlam",0,37,2,15,84,0,138,329
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 84-1","Coquitlam",1,43,11,12,91,0,158,339
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 85","Coquitlam",2,68,6,17,137,2,232,547
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 86","Coquitlam",0,67,7,9,79,0,162,305
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 87","Coquitlam",0,66,14,22,90,2,194,381
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 88","Coquitlam",1,81,8,13,100,0,203,408
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 89","Coquitlam",0,78,6,17,154,1,256,463
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 90A","Coquitlam",1,73,20,28,205,1,328,599
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 90B","Coquitlam",3,39,6,15,123,1,187,377
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 91A","Coquitlam",0,33,7,8,81,0,129,283
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 91B","Coquitlam",1,45,6,12,111,1,176,330
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 92","Coquitlam",0,41,11,10,120,0,182,356
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 93","Port Coquitlam",0,85,15,21,151,0,272,504
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 94","Port Coquitlam",0,100,11,14,122,2,249,457
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 95","Port Coquitlam",1,93,15,18,102,1,230,437
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 96","Port Coquitlam",0,57,7,11,146,0,221,434
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 97","Port Coquitlam",1,84,15,10,129,0,239,436
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 98","Port Coquitlam",2,94,13,5,132,0,246,421
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 99","Port Coquitlam",3,76,13,16,160,1,269,477
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 100","Port Coquitlam",3,71,3,15,147,0,239,449
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 101","Port Coquitlam",1,72,5,14,94,1,187,429
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 102","Port Coquitlam",0,88,10,5,79,0,182,419
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 103","Port Coquitlam",0,98,18,26,143,0,285,477
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 104","Port Coquitlam",2,60,13,14,171,0,260,439
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 105","Port Coquitlam",2,82,13,10,117,0,224,400
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 106","Port Coquitlam",1,88,15,9,129,5,247,478
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 107","Port Coquitlam",4,90,6,19,106,1,226,488
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 108","Port Coquitlam",1,90,5,21,131,1,249,437
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 109","Port Coquitlam",3,92,3,13,107,1,219,465
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 110","Port Coquitlam",0,100,15,12,109,0,236,504
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 111","Port Coquitlam",3,110,6,13,146,1,279,547
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 112","Port Coquitlam",2,118,16,11,145,2,294,522
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 113","Port Coquitlam",2,100,24,15,92,0,233,468
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 114","Port Coquitlam",0,65,5,7,80,0,157,393
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 115","Port Coquitlam",1,73,7,7,89,1,178,391
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 116","Port Coquitlam",1,99,10,24,123,0,257,518
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 117","Port Coquitlam",1,54,14,7,65,0,141,341
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 118","Port Coquitlam",0,57,4,10,73,1,145,384
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 119","Port Coquitlam",0,96,10,11,99,2,218,488
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 120","Port Coquitlam",1,105,24,8,96,0,234,488
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 121A","Port Coquitlam",1,59,10,6,57,0,133,364
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 121B","Port Coquitlam",0,29,6,3,48,1,87,225
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 122","Port Coquitlam",1,69,8,15,88,1,182,429
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 123","Port Coquitlam",3,118,17,15,149,1,303,575
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 124","Port Coquitlam",3,101,11,11,108,0,234,442
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 125","Port Coquitlam",2,63,5,19,137,4,230,567
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 126","Port Coquitlam",0,79,5,9,78,0,171,324
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 127","Port Coquitlam",4,86,11,11,100,0,212,460
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 128","Port Coquitlam",0,75,13,21,88,2,199,484
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 129","Port Coquitlam",0,84,17,16,132,2,251,471
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 130","Port Coquitlam",1,81,17,13,188,1,301,487
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 131","Port Coquitlam",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 132","Port Coquitlam",2,16,3,10,73,0,104,210
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 132-1","Port Coquitlam",2,54,10,17,118,1,202,392
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 133","Port Coquitlam",2,62,4,10,98,0,176,344
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 133-1","Port Coquitlam",1,83,7,10,123,0,224,424
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 134A","Port Coquitlam",2,56,5,17,153,1,234,464
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 134B","Port Coquitlam",0,37,5,14,112,0,168,318
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 135","Port Coquitlam",3,93,6,21,152,1,276,516
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 136","Port Coquitlam",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 137","Port Coquitlam",0,69,1,28,88,1,187,442
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 137-1","Port Coquitlam",5,60,7,23,143,1,239,508
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 138","Port Coquitlam",3,87,6,17,127,3,243,514
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 139","Port Coquitlam",3,51,9,9,82,0,154,303
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 140","Port Coquitlam",1,93,12,14,143,0,263,396
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 141","Port Coquitlam",2,89,20,14,150,0,275,496
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 142","Port Coquitlam",2,63,10,15,145,0,235,370
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 143","Port Coquitlam",1,93,10,12,104,1,221,440
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 144","Port Coquitlam",2,70,1,13,72,0,158,376
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 145A","Port Coquitlam",0,75,12,13,90,0,190,367
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 145B","Port Coquitlam",2,19,0,3,28,1,53,57
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 146","Port Coquitlam",5,97,13,18,101,0,234,550
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 147A","Port Coquitlam",1,77,6,13,66,0,163,389
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 147B","Port Coquitlam",0,33,8,5,53,0,99,240
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 148","Port Coquitlam",2,54,5,15,69,0,145,348
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 149","Port Coquitlam",1,78,15,12,111,3,220,522
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 150","Port Coquitlam",2,99,10,20,100,1,232,566
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 151","Port Coquitlam",2,62,7,17,102,0,190,453
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 152","Port Coquitlam",1,79,11,17,101,0,209,456
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 153","Port Coquitlam",3,61,12,15,75,0,166,378
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 154","Port Coquitlam",0,55,2,13,60,0,130,276
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 155","Port Coquitlam",2,61,7,9,63,2,144,285
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 156","Coquitlam 2",1,28,7,20,66,3,125,256
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 157","Port Coquitlam",3,102,12,26,140,0,283,578
