Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johany Beaudoin-Bussières,Jean-Guy Dagenais,Marie-Claude Morin,Ève-Mary Thaï Thi Lac,Denis Vallée,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 14","Saint-Nazaire-d'Acton",10,27,115,56,17,4,229,361
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 15","Saint-Nazaire-d'Acton",4,28,94,32,5,2,165,296
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 16","Saint-Théodore-d'Acton",3,32,108,36,11,6,196,317
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 17","Saint-Théodore-d'Acton",4,21,79,35,9,2,150,285
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 18A","Saint-Théodore-d'Acton",1,21,88,55,9,4,178,279
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 18B","Saint-Théodore-d'Acton",5,33,88,32,7,4,169,273
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 19","Saint-André-d'Acton",2,33,105,43,10,0,193,370
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 19-1","Saint-André-d'Acton",2,10,60,32,5,2,111,222
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 20A","Acton Vale",4,23,94,50,2,2,175,305
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 20B","Acton Vale",3,21,84,43,5,1,157,292
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 21","Acton Vale",7,40,103,52,6,4,212,347
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 22","Acton Vale",1,32,102,64,5,4,208,383
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 22-1","Acton Vale",4,27,72,31,7,1,142,232
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 23","Acton Vale",6,47,122,44,8,1,228,427
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 24","Acton Vale",4,31,89,36,7,0,167,402
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 25","Acton Vale",3,28,107,43,12,4,197,442
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 26A","Acton Vale",1,14,90,33,6,3,147,296
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 26B","Acton Vale",2,20,75,23,5,3,128,248
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 27","Acton Vale",3,25,120,54,2,3,207,457
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 28","Saint-André-d'Acton",7,40,154,60,4,4,269,488
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 29","Sainte-Christine",4,17,102,51,9,3,186,290
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 30","Sainte-Christine",5,28,96,45,10,3,187,292
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 31","Saint-Liboire",1,25,80,43,2,2,153,286
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 31-1","Saint-Liboire",1,22,131,51,8,1,214,318
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 32","Saint-Liboire",7,45,156,74,14,4,300,491
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 33","Saint-Liboire",2,30,130,54,11,5,232,336
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 33-1","Saint-Liboire",4,25,85,32,8,1,155,226
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 34","Saint-Liboire",3,40,156,49,10,2,260,463
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 35","Upton",2,31,75,26,10,2,146,257
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 36","Upton",3,11,33,27,3,0,77,257
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 36-1","Upton",1,40,134,39,9,5,228,419
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 37","Upton",5,38,85,29,9,8,174,313
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 38","Upton",10,16,131,69,4,6,236,435
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 39","Saint-André-d'Acton",6,27,136,63,10,2,244,428
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 40","Saint-André-d'Acton",0,29,118,60,7,3,217,449
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 41","Saint-Simon",1,22,99,32,9,2,165,257
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 42","Saint-Simon",1,25,105,32,8,5,176,288
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 43","Saint-Simon",4,42,152,76,12,6,292,443
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 44","Sainte-Rosalie",3,25,117,60,7,2,214,350
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 44-1","Sainte-Rosalie",4,46,132,58,12,7,259,450
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 45A","Sainte-Rosalie",5,17,80,49,4,0,155,283
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 45B","Sainte-Rosalie",7,11,92,31,8,3,152,267
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 45-1","Sainte-Rosalie",4,11,97,44,6,3,165,265
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 46","Sainte-Rosalie",2,29,106,41,9,5,192,349
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 47","Sainte-Rosalie",1,51,116,48,8,3,227,375
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 48","Sainte-Rosalie",1,45,141,58,7,6,258,424
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 49","Sainte-Rosalie",4,19,199,83,19,8,332,515
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 50A","Sainte-Rosalie",7,28,98,33,10,5,181,284
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 50B","Sainte-Rosalie",1,22,95,39,5,5,167,261
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 51","Sainte-Rosalie",6,30,153,56,5,6,256,493
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 52","Sainte-Rosalie",5,32,135,49,5,2,228,349
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 53A","Saint-Hyacinthe",2,27,132,49,9,7,226,328
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 53B","Saint-Hyacinthe",2,40,111,56,10,5,224,301
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 54","Saint-Hyacinthe",6,53,157,60,17,2,295,483
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 55","Saint-Hyacinthe",6,24,66,43,10,1,150,298
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 56","Saint-Hyacinthe",6,35,105,57,4,5,212,378
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 57","Saint-Hyacinthe",7,39,88,44,7,5,190,341
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 58","Saint-Hyacinthe",5,25,121,54,4,4,213,361
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 59","Saint-Hyacinthe",4,28,106,40,5,2,185,362
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 60","Saint-Hyacinthe",7,18,123,55,6,3,212,374
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 61A","Saint-Hyacinthe",2,7,86,39,4,5,143,283
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 61B","Saint-Hyacinthe",4,9,84,51,5,3,156,274
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 61-1","Saint-Hyacinthe",2,21,146,68,11,6,254,453
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 62","Saint-Hyacinthe",5,15,79,49,5,4,157,318
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 62-1","Saint-Hyacinthe",5,31,156,50,6,2,250,386
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 63","Saint-Hyacinthe",5,28,103,59,9,4,208,414
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 64","Saint-Hyacinthe",0,38,120,52,13,7,230,354
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 65","Saint-Hyacinthe",5,40,110,46,7,2,210,357
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 66","Saint-Hyacinthe",6,29,115,62,11,4,227,376
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 67","Saint-Hyacinthe",4,31,150,83,8,7,283,394
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 68","Saint-Hyacinthe",2,38,88,32,23,2,185,337
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 69","Saint-Hyacinthe",1,32,107,38,12,3,193,287
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 70","Saint-Hyacinthe",4,33,106,52,10,5,210,343
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 71","Saint-Hyacinthe",2,39,130,57,22,4,254,393
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 72A","Saint-Hyacinthe",2,25,126,46,5,5,209,289
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 72B","Saint-Hyacinthe",1,25,103,40,12,3,184,270
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 73","Saint-Hyacinthe",2,34,198,101,12,2,349,485
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 74","Saint-Hyacinthe",1,40,210,68,21,4,344,478
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 75","Saint-Hyacinthe",4,26,109,84,17,6,246,370
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 76","Saint-Hyacinthe",5,57,145,35,8,2,252,378
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 77","Saint-Hyacinthe",6,19,118,55,10,2,210,341
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 78A","Saint-Hyacinthe",2,29,91,39,8,2,171,274
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 78B","Saint-Hyacinthe",6,32,92,34,8,1,173,268
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 79","Saint-Hyacinthe",6,41,179,69,18,4,317,487
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 79-1","Saint-Hyacinthe",2,33,106,29,7,2,179,329
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 80","Saint-Hyacinthe",6,72,135,68,26,2,309,477
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 81","Saint-Hyacinthe",1,41,84,32,20,3,181,428
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 82","Saint-Hyacinthe",1,28,89,49,9,2,178,368
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 83","Saint-Hyacinthe",7,28,123,43,15,2,218,415
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 84","Saint-Hyacinthe",2,32,112,80,6,6,238,485
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 85","Saint-Hyacinthe",4,11,65,31,1,6,118,317
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 86","Saint-Hyacinthe",2,8,52,33,3,3,101,279
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 87","Saint-Hyacinthe",3,12,73,41,2,5,136,385
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 88","Saint-Hyacinthe",6,16,67,41,7,4,141,337
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 89","Saint-Hyacinthe",2,7,48,30,5,5,97,278
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 90","Saint-Hyacinthe",3,32,103,64,6,8,216,477
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 91","Saint-Hyacinthe",4,16,50,41,5,3,119,339
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 92","Saint-Hyacinthe",Void/Supprimé,,,,,,,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 93","Saint-Hyacinthe",5,16,67,39,6,7,140,328
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 94","Saint-Hyacinthe",0,37,71,39,14,4,165,354
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 95","Saint-Hyacinthe",3,38,103,52,3,2,201,446
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 95-1A","Saint-Hyacinthe",2,71,68,34,33,2,210,278
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 95-1B","Saint-Hyacinthe",5,53,45,30,31,3,167,218
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 96","Saint-Hyacinthe",2,22,92,48,11,5,180,381
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 97","Saint-Hyacinthe",2,31,86,53,17,2,191,331
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 98","Saint-Hyacinthe",3,25,81,46,10,1,166,334
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 99","Saint-Hyacinthe",4,26,93,48,15,4,190,315
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 100","Saint-Hyacinthe",4,36,104,46,7,7,204,444
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 101","Saint-Hyacinthe",6,35,112,47,9,6,215,420
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 102","Saint-Hyacinthe",6,28,106,52,15,4,211,351
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 103","Saint-Hyacinthe",7,18,90,46,3,1,165,330
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 104","Saint-Hyacinthe",4,27,98,53,12,4,198,369
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 105","Saint-Hyacinthe",5,23,114,59,6,6,213,404
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 106","Saint-Hyacinthe",3,36,105,56,5,6,211,343
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 107","Saint-Hyacinthe",2,41,123,46,5,5,222,324
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 108","Saint-Hyacinthe",3,24,101,58,6,4,196,347
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 109A","Saint-Hyacinthe",2,23,70,33,8,4,140,278
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 109B","Saint-Hyacinthe",0,17,80,21,15,3,136,254
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 110","Saint-Hyacinthe",10,47,93,30,15,2,197,370
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 111","Saint-Hyacinthe",3,48,145,62,22,5,285,459
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 112","Saint-Hyacinthe",9,17,79,50,3,4,162,357
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 113","Saint-Hyacinthe",4,22,93,46,8,0,173,354
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 114","Saint-Hyacinthe",1,46,53,3,33,2,138,192
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 115","Saint-Hyacinthe",8,28,108,52,14,2,212,415
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 116","Saint-Hyacinthe",4,49,108,71,17,7,256,469
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 117","Saint-Hyacinthe",3,10,75,42,11,1,142,275
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 118","Saint-Hyacinthe",3,22,69,46,10,3,153,270
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 119","Saint-Hyacinthe",1,22,67,33,13,1,137,261
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 120","Saint-Hyacinthe",4,21,58,26,15,2,126,253
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 121A","Saint-Hyacinthe",4,32,88,32,7,1,164,267
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 121B","Saint-Hyacinthe",1,25,82,44,14,3,169,263
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 122","Saint-Hyacinthe",3,24,82,40,14,2,165,282
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 123","Saint-Hyacinthe",4,43,120,55,20,3,245,414
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 124","Saint-Hyacinthe",4,24,178,80,6,6,298,506
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 125","Saint-Hyacinthe",2,34,111,54,10,0,211,354
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 126","Saint-Hyacinthe",5,36,143,45,14,4,247,376
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 127","Saint-Hyacinthe",8,37,195,78,25,4,347,521
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 128","Saint-Hyacinthe",3,38,94,46,8,0,189,305
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 129","Saint-Hyacinthe",5,27,88,50,6,0,176,297
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 129-1","Saint-Hyacinthe",4,22,137,71,17,8,259,448
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 130A","Saint-Hyacinthe",3,30,96,59,9,3,200,309
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 130B","Saint-Hyacinthe",2,23,81,35,7,3,151,229
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 131","Saint-Hyacinthe",3,41,142,63,11,6,266,403
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 132","La Présentation",6,24,103,40,4,1,178,290
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 132-1","La Présentation",2,24,107,41,19,0,193,289
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 133","La Présentation",2,49,89,40,11,3,194,295
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 133-1","La Présentation",6,33,117,61,14,1,232,335
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 134","La Présentation",4,36,78,46,5,0,169,256
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 134-1","La Présentation",4,22,119,35,11,2,193,331
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 135","Saint-Thomas-d'Aquin",5,33,135,48,12,4,237,397
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 136","Saint-Hyacinthe-le-Confesseur",3,51,77,33,2,0,166,298
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 137","Saint-Hyacinthe-le-Confesseur",8,19,81,25,7,6,146,262
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 138A","Saint-Thomas-d'Aquin",3,38,112,23,8,2,186,297
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 138B","Saint-Thomas-d'Aquin",1,18,80,29,5,1,134,216
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 139","Saint-Thomas-d'Aquin",4,43,152,50,11,8,268,388
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 140A","Saint-Thomas-d'Aquin",5,28,99,44,10,3,189,285
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 140B","Saint-Thomas-d'Aquin",4,29,94,38,9,2,176,267
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 141","Saint-Thomas-d'Aquin",0,23,81,27,4,1,136,253
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 142","Saint-Hyacinthe",2,45,156,67,12,1,283,461
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 143","Saint-Hyacinthe",5,40,171,50,13,0,279,502
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 144","Sainte-Madeleine",5,22,145,48,9,5,234,383
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 144-1","Sainte-Madeleine",4,12,130,71,8,4,229,405
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 145","Sainte-Madeleine",8,27,124,44,18,5,226,408
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 146","Sainte-Madeleine",5,12,116,46,11,0,190,314
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 146-1","Sainte-Madeleine",4,26,96,40,5,2,173,291
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 147","Sainte-Marie-Madeleine",12,28,110,54,14,5,223,422
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 148","Sainte-Marie-Madeleine",6,19,131,42,10,2,210,414
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 148-1","Sainte-Marie-Madeleine",3,12,97,38,6,4,160,276
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 149","Sainte-Marie-Madeleine",4,28,120,41,10,3,206,355
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 150A","Sainte-Marie-Madeleine",2,28,112,31,8,2,183,335
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 150B","Sainte-Marie-Madeleine",5,32,109,46,7,4,203,315
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 151","Saint-Damase",3,48,150,51,10,2,264,425
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 152","Saint-Damase",2,33,105,31,9,3,183,287
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 153","Saint-Damase",1,33,120,58,12,7,231,340
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 154","Saint-Damase",7,33,176,80,11,3,310,466
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 155","Saint-Damase",5,30,148,62,17,8,270,427
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 156","Saint-Dominique",4,39,119,40,10,2,214,368
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 157","Saint-Dominique",2,22,116,44,14,6,204,355
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 158","Saint-Dominique",4,27,114,45,13,9,212,368
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 158-1","Saint-Dominique",6,19,143,66,7,8,249,388
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 159","Saint-Dominique",2,45,96,55,8,5,211,330
