Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allan Arthur,Gerald Borrowman,Bob Deptuck,Ed Komarnicki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 82","Weyburn",57,4,2,187,0,250,407
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 83","Weyburn",52,9,7,168,0,236,413
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 84","Khedive",19,5,8,116,0,148,239
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 85","Pangman",62,9,12,117,0,200,276
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 86","Ogema",18,12,4,98,0,132,196
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 87","Ogema",41,1,3,104,0,149,235
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 88","Kayville",27,3,3,53,0,86,138
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 89","Viceroy",22,1,3,87,1,114,228
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 90","Coronach",56,12,6,127,1,202,295
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 91","Coronach",64,13,6,139,1,223,400
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 92","Big Beaver",8,2,3,67,0,80,134
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 93","Bengough",7,2,4,93,0,106,180
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 94","Bengough",25,13,1,111,0,150,276
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 95","Ceylon",23,1,3,141,1,169,261
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 96","Minton",15,8,4,105,0,132,208
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 97","Lake Alma",21,2,5,138,0,166,204
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 98","Radville",12,4,3,115,0,134,202
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 99","Radville",48,16,7,206,2,279,485
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 100","Radville",14,1,0,56,0,71,104
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 101","Goodwater",16,1,1,130,1,149,226
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 102","Oungre",15,2,4,154,0,175,225
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 103","Torquay",24,5,2,166,0,197,304
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 104","Macoun",19,8,4,134,1,166,243
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 105","Halbrite",26,2,1,132,2,163,265
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 106","Midale",44,5,6,209,0,264,467
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 107","Benson",14,2,11,125,0,152,273
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 108","Hitchcock",24,4,4,162,0,194,361
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 109","Shand",44,7,1,212,1,265,405
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 110","Estevan",38,18,4,186,0,246,452
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 111","Estevan",28,14,3,170,0,215,399
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 112","Estevan",45,2,4,176,3,230,412
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 113","Estevan",37,7,4,98,0,146,312
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 114","Estevan",36,8,3,135,0,182,349
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 115","Estevan",36,8,2,119,0,165,300
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 116","Estevan",32,1,5,91,0,129,282
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 117","Estevan",34,1,8,128,0,171,383
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 118","Estevan",19,7,5,104,1,136,302
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 119","Estevan",34,7,3,170,0,214,370
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 120","Estevan",52,12,1,238,0,303,526
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 121","Estevan",24,1,6,132,0,163,306
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 122","Estevan",53,4,5,130,0,192,369
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 123","Estevan",27,2,1,64,0,94,288
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 124","Estevan",44,11,10,118,1,184,389
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 125","Estevan",49,6,5,151,0,211,403
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 126","Estevan",54,15,9,108,0,186,393
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 127","Estevan",23,12,2,97,0,134,272
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 128","Estevan",28,8,3,77,0,116,312
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 129","Estevan",35,12,10,136,1,194,402
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 130","Estevan",21,2,3,105,0,131,244
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 131","Bienfait",59,8,9,217,0,293,578
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 132","Bienfait",15,5,1,81,0,102,206
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 133","Lampman",10,7,2,150,0,169,246
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 134","Browning",6,1,2,71,0,80,104
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 135","Lampman",24,10,7,215,0,256,437
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 136","Alameda",40,7,14,181,1,243,376
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 137","Frobisher",29,9,7,103,0,148,226
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 138","North Portal",21,6,3,82,0,112,159
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 139","Glen Ewen",26,7,7,149,1,190,339
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 140","Oxbow",34,4,10,165,0,213,430
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 141","Oxbow",23,3,3,113,0,142,276
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 142","Oxbow",12,2,4,77,0,95,163
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 143","Alida",21,4,12,156,1,194,325
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 144","Carnduff",11,2,1,82,0,96,163
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 145","Carnduff",30,6,5,83,1,125,257
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 146","Carnduff",45,7,5,240,0,297,546
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 147","Carievale",16,0,6,145,0,167,292
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 148","Storthoaks",11,3,3,91,0,108,175
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 149","Gainsborough",26,2,9,157,0,194,299
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 500","Mobile poll/Bureau itinérant",12,10,1,28,0,51,98
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 501","Mobile poll/Bureau itinérant",5,2,0,11,1,19,59
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 502","Mobile poll/Bureau itinérant",13,7,0,12,0,32,49
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 503","Mobile poll/Bureau itinérant",30,9,4,29,3,75,104
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 504","Mobile poll/Bureau itinérant",4,9,2,20,1,36,72
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 505","Mobile poll/Bureau itinérant",22,24,2,65,0,113,173
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 506","Mobile poll/Bureau itinérant",15,11,5,33,0,64,89
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 507","Mobile poll/Bureau itinérant",10,9,0,31,3,53,91
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 508","Mobile poll/Bureau itinérant",38,9,5,75,3,130,186
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 600","Grenfell",23,14,3,87,0,127,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 601","Whitewood",16,13,0,87,0,116,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 602","Moosomin",37,14,6,149,1,207,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 603","Bengough",8,6,1,61,0,76,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 604","Coronach",22,3,1,29,0,55,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 605","Milestone",10,4,1,40,0,55,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 606","Radville",19,2,2,76,0,99,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 607","Weyburn",101,37,16,303,2,459,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 608","Weyburn",26,5,3,76,0,110,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 609","Estevan",46,14,6,261,0,327,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 610","Estevan",16,2,2,51,0,71,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 611","Lampman",10,5,4,67,0,86,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 612","Oxbow",13,4,2,85,0,104,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 613","Carnduff",13,5,5,55,0,78,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 614","Redvers",4,2,1,47,0,54,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 615","Wawota",15,6,5,49,0,75,
47012,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 1/Groupe 1,10,13,7,27,1,58,96
47012,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 2/Groupe 2,74,43,17,294,5,433,
