Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cowling,Irma N DeVries,Bob McTavish,Ellen Papenburg,Gary Schellenberger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Perth--Wellington/Perth--Wellington"," 18","North Perth",10,10,16,32,129,0,197,312
35070,"Perth--Wellington/Perth--Wellington"," 19","North Perth",1,0,4,15,87,0,107,210
35070,"Perth--Wellington/Perth--Wellington"," 20","Mount Forest",11,2,41,45,129,1,229,426
35070,"Perth--Wellington/Perth--Wellington"," 21","Mount Forest",11,5,34,46,144,1,241,426
35070,"Perth--Wellington/Perth--Wellington"," 21-1","Mount Forest",1,2,3,14,33,0,53,150
35070,"Perth--Wellington/Perth--Wellington"," 22","Mount Forest",8,2,35,31,111,0,187,378
35070,"Perth--Wellington/Perth--Wellington"," 22-1","Mount Forest",6,3,15,30,43,0,97,218
35070,"Perth--Wellington/Perth--Wellington"," 23","Mount Forest",6,5,14,33,108,1,167,405
35070,"Perth--Wellington/Perth--Wellington"," 24","Mount Forest",3,2,8,21,65,0,99,236
35070,"Perth--Wellington/Perth--Wellington"," 24-1","Mount Forest",4,0,10,13,38,1,66,149
35070,"Perth--Wellington/Perth--Wellington"," 25","Mount Forest",11,2,33,40,135,0,221,425
35070,"Perth--Wellington/Perth--Wellington"," 26","Mount Forest",7,2,42,72,140,4,267,519
35070,"Perth--Wellington/Perth--Wellington"," 27","Mount Forest",12,1,38,41,128,0,220,387
35070,"Perth--Wellington/Perth--Wellington"," 28","Wellington North",8,1,11,30,74,3,127,283
35070,"Perth--Wellington/Perth--Wellington"," 29","Wellington North",3,4,8,24,73,1,113,261
35070,"Perth--Wellington/Perth--Wellington"," 30","Wellington North",10,1,22,36,105,0,174,316
35070,"Perth--Wellington/Perth--Wellington"," 31","Wellington North",11,8,10,28,85,1,143,236
35070,"Perth--Wellington/Perth--Wellington"," 32","Wellington North",16,8,19,54,192,0,289,519
35070,"Perth--Wellington/Perth--Wellington"," 33","West Garafraxa",Void/Supprimé,,,,,,,
35070,"Perth--Wellington/Perth--Wellington"," 34","Arthur",16,2,8,58,137,0,221,376
35070,"Perth--Wellington/Perth--Wellington"," 34-1","Wellington North",4,9,22,35,113,3,186,332
35070,"Perth--Wellington/Perth--Wellington"," 35","Arthur",6,0,23,44,125,1,199,368
35070,"Perth--Wellington/Perth--Wellington"," 36","Arthur",16,6,13,70,172,0,277,520
35070,"Perth--Wellington/Perth--Wellington"," 37","Arthur",13,5,34,68,162,1,283,407
35070,"Perth--Wellington/Perth--Wellington"," 38","Wellington North",10,6,14,39,149,0,218,387
35070,"Perth--Wellington/Perth--Wellington"," 39","Wellington North",4,1,12,48,95,0,160,296
35070,"Perth--Wellington/Perth--Wellington"," 40","Mapleton",2,1,16,22,90,0,131,243
35070,"Perth--Wellington/Perth--Wellington"," 41","Mapleton",10,7,20,21,104,0,162,290
35070,"Perth--Wellington/Perth--Wellington"," 42","Mapleton",15,1,15,51,155,0,237,346
35070,"Perth--Wellington/Perth--Wellington"," 43","Alma",4,2,17,30,145,2,200,321
35070,"Perth--Wellington/Perth--Wellington"," 43-1","Mapleton",9,3,9,31,76,0,128,188
35070,"Perth--Wellington/Perth--Wellington"," 44","Peel",Void/Supprimé,,,,,,,
35070,"Perth--Wellington/Perth--Wellington"," 45","Mapleton",5,6,18,20,134,0,183,399
35070,"Perth--Wellington/Perth--Wellington"," 46","Drayton",12,10,24,37,180,1,264,424
35070,"Perth--Wellington/Perth--Wellington"," 46-1","Mapleton",8,3,18,19,122,2,172,297
35070,"Perth--Wellington/Perth--Wellington"," 47","Drayton",12,8,22,27,161,0,230,460
35070,"Perth--Wellington/Perth--Wellington"," 48","Mapleton",11,11,35,44,127,0,228,424
35070,"Perth--Wellington/Perth--Wellington"," 49","Mapleton",2,1,9,13,47,1,73,191
35070,"Perth--Wellington/Perth--Wellington"," 49-1","Mapleton",5,10,35,42,143,1,236,436
35070,"Perth--Wellington/Perth--Wellington"," 50","Mapleton",5,10,30,34,129,1,209,345
35070,"Perth--Wellington/Perth--Wellington"," 51","Mapleton",3,1,9,8,48,0,69,241
35070,"Perth--Wellington/Perth--Wellington"," 52","Mapleton",7,0,8,16,34,0,65,223
35070,"Perth--Wellington/Perth--Wellington"," 53","Mapleton",0,1,8,8,29,1,47,300
35070,"Perth--Wellington/Perth--Wellington"," 54","Mapleton",10,3,16,21,113,0,163,367
35070,"Perth--Wellington/Perth--Wellington"," 55","North Perth",8,7,31,85,149,1,281,583
35070,"Perth--Wellington/Perth--Wellington"," 56","North Perth",6,2,17,36,134,1,196,374
35070,"Perth--Wellington/Perth--Wellington"," 57","North Perth",5,2,15,24,78,0,124,313
35070,"Perth--Wellington/Perth--Wellington"," 58","North Perth",6,4,22,42,163,1,238,404
35070,"Perth--Wellington/Perth--Wellington"," 59","North Perth",11,2,27,38,181,1,260,439
35070,"Perth--Wellington/Perth--Wellington"," 60","North Perth",4,4,23,42,166,1,240,475
35070,"Perth--Wellington/Perth--Wellington"," 61","North Perth",10,1,31,56,117,1,216,399
35070,"Perth--Wellington/Perth--Wellington"," 62","North Perth",12,6,24,45,129,0,216,461
35070,"Perth--Wellington/Perth--Wellington"," 63","North Perth",2,3,23,23,120,0,171,311
35070,"Perth--Wellington/Perth--Wellington"," 63-1","North Perth",6,1,26,28,142,0,203,383
35070,"Perth--Wellington/Perth--Wellington"," 64","North Perth",8,6,40,53,197,0,304,563
35070,"Perth--Wellington/Perth--Wellington"," 64-1","North Perth",5,2,12,23,62,1,105,229
35070,"Perth--Wellington/Perth--Wellington"," 65","North Perth",8,5,30,22,140,2,207,471
35070,"Perth--Wellington/Perth--Wellington"," 66","North Perth",1,1,9,23,121,1,156,278
35070,"Perth--Wellington/Perth--Wellington"," 67","North Perth",11,1,16,17,104,1,150,214
35070,"Perth--Wellington/Perth--Wellington"," 68","North Perth",7,1,14,48,172,1,243,399
35070,"Perth--Wellington/Perth--Wellington"," 69","North Perth",4,1,12,29,112,0,158,227
35070,"Perth--Wellington/Perth--Wellington"," 70","North Perth",5,8,30,23,147,1,214,348
35070,"Perth--Wellington/Perth--Wellington"," 71","Perth East",4,1,12,4,53,0,74,151
35070,"Perth--Wellington/Perth--Wellington"," 72","Milverton",13,5,23,30,111,4,186,358
35070,"Perth--Wellington/Perth--Wellington"," 73","Milverton",10,5,51,44,226,0,336,515
35070,"Perth--Wellington/Perth--Wellington"," 74","Milverton",11,7,31,25,136,1,211,360
35070,"Perth--Wellington/Perth--Wellington"," 75","Perth East",6,6,21,17,63,0,113,276
35070,"Perth--Wellington/Perth--Wellington"," 76","Perth East",1,1,6,3,11,0,22,210
35070,"Perth--Wellington/Perth--Wellington"," 77","Millbank",9,2,22,22,90,1,146,409
35070,"Perth--Wellington/Perth--Wellington"," 78","Perth East",5,2,15,22,64,0,108,296
35070,"Perth--Wellington/Perth--Wellington"," 79","Perth East",7,6,32,16,65,1,127,391
35070,"Perth--Wellington/Perth--Wellington"," 80","North Perth",4,1,10,26,84,0,125,226
35070,"Perth--Wellington/Perth--Wellington"," 81","North Perth",5,0,9,29,87,1,131,255
35070,"Perth--Wellington/Perth--Wellington"," 82","West Perth",5,8,10,31,88,0,142,230
35070,"Perth--Wellington/Perth--Wellington"," 83","West Perth",7,7,22,22,93,0,151,214
35070,"Perth--Wellington/Perth--Wellington"," 84","West Perth",4,2,33,26,109,1,175,296
35070,"Perth--Wellington/Perth--Wellington"," 85","West Perth",4,9,31,19,121,1,185,319
35070,"Perth--Wellington/Perth--Wellington"," 86","West Perth",5,7,21,18,54,0,105,214
35070,"Perth--Wellington/Perth--Wellington"," 87","Mitchell",4,4,27,47,130,0,212,375
35070,"Perth--Wellington/Perth--Wellington"," 88","Mitchell",6,2,21,43,121,0,193,337
35070,"Perth--Wellington/Perth--Wellington"," 89","Mitchell",7,5,30,29,125,1,197,360
35070,"Perth--Wellington/Perth--Wellington"," 90","Mitchell",6,2,26,41,92,0,167,300
35070,"Perth--Wellington/Perth--Wellington"," 91","Mitchell",7,8,54,68,164,1,302,523
35070,"Perth--Wellington/Perth--Wellington"," 92","Mitchell",6,7,18,27,109,0,167,324
35070,"Perth--Wellington/Perth--Wellington"," 93","Mitchell",10,5,33,32,123,0,203,390
35070,"Perth--Wellington/Perth--Wellington"," 94","Mitchell",7,3,20,43,91,1,165,318
35070,"Perth--Wellington/Perth--Wellington"," 95","Mitchell",4,3,20,35,71,3,136,282
35070,"Perth--Wellington/Perth--Wellington"," 96","West Perth",6,7,23,36,103,1,176,300
35070,"Perth--Wellington/Perth--Wellington"," 97","Dublin",10,6,37,47,104,1,205,335
35070,"Perth--Wellington/Perth--Wellington"," 98","West Perth",3,4,33,32,102,2,176,288
35070,"Perth--Wellington/Perth--Wellington"," 99","West Perth",3,5,17,24,84,0,133,218
35070,"Perth--Wellington/Perth--Wellington"," 100","West Perth",7,4,36,41,149,0,237,372
35070,"Perth--Wellington/Perth--Wellington"," 101","West Perth",4,16,14,33,77,0,144,243
35070,"Perth--Wellington/Perth--Wellington"," 102","Perth East",7,9,48,26,71,0,161,227
35070,"Perth--Wellington/Perth--Wellington"," 103","Perth East",10,1,21,54,108,0,194,304
35070,"Perth--Wellington/Perth--Wellington"," 104","Perth East",11,14,38,29,74,0,166,249
35070,"Perth--Wellington/Perth--Wellington"," 105","Perth East",8,5,10,36,112,1,172,267
35070,"Perth--Wellington/Perth--Wellington"," 106","Sebringville",4,0,12,33,84,1,134,245
35070,"Perth--Wellington/Perth--Wellington"," 107","Perth East",5,3,19,35,80,0,142,279
35070,"Perth--Wellington/Perth--Wellington"," 108","Perth East",6,2,8,24,111,0,151,312
35070,"Perth--Wellington/Perth--Wellington"," 109","Perth East",8,3,33,19,60,3,126,247
35070,"Perth--Wellington/Perth--Wellington"," 110","Perth East",12,4,40,36,105,0,197,337
35070,"Perth--Wellington/Perth--Wellington"," 111","Perth East",8,5,31,21,92,1,158,253
35070,"Perth--Wellington/Perth--Wellington"," 112","Perth East",9,3,47,36,120,0,215,353
35070,"Perth--Wellington/Perth--Wellington"," 113","Perth East",6,2,53,38,137,1,237,374
35070,"Perth--Wellington/Perth--Wellington"," 114","Perth East",5,1,25,11,66,0,108,198
35070,"Perth--Wellington/Perth--Wellington"," 114-1","Stratford",10,1,46,31,42,1,131,247
35070,"Perth--Wellington/Perth--Wellington"," 115","Perth East",7,1,32,45,136,0,221,390
35070,"Perth--Wellington/Perth--Wellington"," 116","Perth East",9,2,32,16,101,0,160,232
35070,"Perth--Wellington/Perth--Wellington"," 117","Perth East",3,3,48,17,73,0,144,205
35070,"Perth--Wellington/Perth--Wellington"," 118","Stratford",10,0,18,47,53,1,129,373
35070,"Perth--Wellington/Perth--Wellington"," 119","Stratford",9,1,31,40,66,3,150,360
35070,"Perth--Wellington/Perth--Wellington"," 120","Stratford",4,2,41,48,95,0,190,408
35070,"Perth--Wellington/Perth--Wellington"," 121","Stratford",8,1,42,26,60,0,137,236
35070,"Perth--Wellington/Perth--Wellington"," 121-1","Stratford",3,1,54,36,109,4,207,333
35070,"Perth--Wellington/Perth--Wellington"," 122","Stratford",5,2,56,66,111,1,241,463
35070,"Perth--Wellington/Perth--Wellington"," 123","Stratford",6,0,50,51,102,0,209,452
35070,"Perth--Wellington/Perth--Wellington"," 123-1","Stratford",9,0,45,60,78,0,192,499
35070,"Perth--Wellington/Perth--Wellington"," 124","Stratford",21,1,50,37,102,0,211,420
35070,"Perth--Wellington/Perth--Wellington"," 125","Stratford",8,1,60,39,85,0,193,369
35070,"Perth--Wellington/Perth--Wellington"," 126","Stratford",20,1,69,45,85,0,220,381
35070,"Perth--Wellington/Perth--Wellington"," 127","Stratford",3,0,50,46,54,0,153,305
35070,"Perth--Wellington/Perth--Wellington"," 128","Stratford",18,0,65,59,53,0,195,384
35070,"Perth--Wellington/Perth--Wellington"," 129","Stratford",25,1,42,53,54,1,176,337
35070,"Perth--Wellington/Perth--Wellington"," 130","Stratford",11,3,70,38,47,0,169,326
35070,"Perth--Wellington/Perth--Wellington"," 131","Stratford",16,0,80,22,86,0,204,342
35070,"Perth--Wellington/Perth--Wellington"," 132","Stratford",17,3,43,53,105,0,221,403
35070,"Perth--Wellington/Perth--Wellington"," 133","Stratford",4,4,38,40,71,0,157,358
35070,"Perth--Wellington/Perth--Wellington"," 134","Stratford",6,0,38,47,77,0,168,367
35070,"Perth--Wellington/Perth--Wellington"," 135","Stratford",9,2,26,40,87,0,164,375
35070,"Perth--Wellington/Perth--Wellington"," 136","Stratford",9,2,59,58,57,0,185,361
35070,"Perth--Wellington/Perth--Wellington"," 137","Stratford",20,1,34,52,41,0,148,302
35070,"Perth--Wellington/Perth--Wellington"," 138","Stratford",12,2,21,61,58,1,155,396
35070,"Perth--Wellington/Perth--Wellington"," 139","Stratford",6,4,15,48,52,1,126,339
35070,"Perth--Wellington/Perth--Wellington"," 140","Stratford",8,0,13,92,56,1,170,410
35070,"Perth--Wellington/Perth--Wellington"," 141","Stratford",15,0,25,65,66,1,172,374
35070,"Perth--Wellington/Perth--Wellington"," 142","Stratford",27,5,64,60,58,2,216,428
35070,"Perth--Wellington/Perth--Wellington"," 143","Stratford",9,2,26,71,60,4,172,335
35070,"Perth--Wellington/Perth--Wellington"," 144","Stratford",23,4,44,50,46,1,168,369
35070,"Perth--Wellington/Perth--Wellington"," 145","Stratford",12,1,24,60,73,0,170,357
35070,"Perth--Wellington/Perth--Wellington"," 146","Stratford",19,0,20,76,72,1,188,331
35070,"Perth--Wellington/Perth--Wellington"," 147","Stratford",8,2,39,68,76,0,193,440
35070,"Perth--Wellington/Perth--Wellington"," 148","Stratford",1,0,17,50,53,0,121,267
35070,"Perth--Wellington/Perth--Wellington"," 149","Stratford",20,2,37,58,96,4,217,382
35070,"Perth--Wellington/Perth--Wellington"," 150","Stratford",21,0,36,67,53,2,179,354
35070,"Perth--Wellington/Perth--Wellington"," 151","Stratford",10,1,21,67,61,1,161,338
35070,"Perth--Wellington/Perth--Wellington"," 152","Stratford",2,1,30,56,71,0,160,309
35070,"Perth--Wellington/Perth--Wellington"," 153","Stratford",4,5,27,72,73,2,183,347
35070,"Perth--Wellington/Perth--Wellington"," 154","Stratford",8,2,22,58,75,2,167,311
35070,"Perth--Wellington/Perth--Wellington"," 155","Stratford",13,0,26,66,75,0,180,364
35070,"Perth--Wellington/Perth--Wellington"," 156","Stratford",7,3,25,43,66,1,145,320
35070,"Perth--Wellington/Perth--Wellington"," 156-1","Stratford",6,1,27,42,60,2,138,265
35070,"Perth--Wellington/Perth--Wellington"," 157","Stratford",18,2,30,87,99,0,236,511
35070,"Perth--Wellington/Perth--Wellington"," 158","Stratford",8,0,49,47,78,2,184,372
35070,"Perth--Wellington/Perth--Wellington"," 159","Stratford",15,0,64,54,90,0,223,437
35070,"Perth--Wellington/Perth--Wellington"," 160","Stratford",8,1,99,47,134,0,289,514
35070,"Perth--Wellington/Perth--Wellington"," 161","Stratford",17,4,43,45,58,0,167,383
35070,"Perth--Wellington/Perth--Wellington"," 162","Stratford",7,4,43,50,87,1,192,476
35070,"Perth--Wellington/Perth--Wellington"," 162-1","Stratford",6,4,41,30,78,1,160,347
35070,"Perth--Wellington/Perth--Wellington"," 163","Stratford",13,1,28,56,75,2,175,390
35070,"Perth--Wellington/Perth--Wellington"," 164","Stratford",23,1,63,42,66,0,195,357
35070,"Perth--Wellington/Perth--Wellington"," 165","Stratford",16,1,69,57,34,1,178,281
35070,"Perth--Wellington/Perth--Wellington"," 166","Stratford",19,7,81,77,56,2,242,355
35070,"Perth--Wellington/Perth--Wellington"," 167","Stratford",14,1,49,45,48,0,157,265
35070,"Perth--Wellington/Perth--Wellington"," 168","Stratford",16,5,50,50,86,2,209,342
35070,"Perth--Wellington/Perth--Wellington"," 169A","Stratford",9,1,43,37,69,2,161,273
35070,"Perth--Wellington/Perth--Wellington"," 169B","Stratford",7,2,42,21,77,5,154,264
35070,"Perth--Wellington/Perth--Wellington"," 170","Stratford",11,0,42,60,100,1,214,411
35070,"Perth--Wellington/Perth--Wellington"," 171","Stratford",4,3,41,38,96,1,183,337
35070,"Perth--Wellington/Perth--Wellington"," 172","Stratford",14,4,56,59,79,0,212,377
35070,"Perth--Wellington/Perth--Wellington"," 173","Stratford",1,6,28,66,82,1,184,374
35070,"Perth--Wellington/Perth--Wellington"," 174","Stratford",10,1,46,50,109,0,216,382
35070,"Perth--Wellington/Perth--Wellington"," 175","Sebringville",2,2,8,10,47,1,70,133
35070,"Perth--Wellington/Perth--Wellington"," 175-1","Sebringville",7,3,39,42,118,1,210,327
35070,"Perth--Wellington/Perth--Wellington"," 176","Perth South",6,1,35,20,119,0,181,248
35070,"Perth--Wellington/Perth--Wellington"," 177","Perth South",5,4,20,31,69,0,129,198
35070,"Perth--Wellington/Perth--Wellington"," 178","Perth South",4,0,18,21,67,0,110,178
35070,"Perth--Wellington/Perth--Wellington"," 179","Perth South",6,5,24,37,71,0,143,228
35070,"Perth--Wellington/Perth--Wellington"," 180","Perth South",10,1,22,18,110,0,161,233
35070,"Perth--Wellington/Perth--Wellington"," 181","Perth South",4,2,36,34,107,0,183,272
35070,"Perth--Wellington/Perth--Wellington"," 182","Perth South",17,3,23,42,79,0,164,251
35070,"Perth--Wellington/Perth--Wellington"," 183","Perth South",15,4,30,51,120,0,220,336
35070,"Perth--Wellington/Perth--Wellington"," 184","Perth South",12,6,35,53,135,1,242,391
35070,"Perth--Wellington/Perth--Wellington"," 185","St. Marys",3,1,32,37,140,0,213,370
35070,"Perth--Wellington/Perth--Wellington"," 185-1","St. Marys",6,0,21,29,85,0,141,230
35070,"Perth--Wellington/Perth--Wellington"," 186","St. Marys",14,4,50,70,156,0,294,443
35070,"Perth--Wellington/Perth--Wellington"," 187","St. Marys",15,1,56,90,120,0,282,480
35070,"Perth--Wellington/Perth--Wellington"," 187-1","St. Marys",2,2,25,30,85,3,147,271
35070,"Perth--Wellington/Perth--Wellington"," 188","St. Marys",8,0,22,51,86,1,168,302
35070,"Perth--Wellington/Perth--Wellington"," 189","St. Marys",5,4,17,33,116,0,175,316
35070,"Perth--Wellington/Perth--Wellington"," 190","St. Marys",15,2,37,36,81,1,172,294
35070,"Perth--Wellington/Perth--Wellington"," 191","St. Marys",16,1,41,75,180,0,313,516
35070,"Perth--Wellington/Perth--Wellington"," 192","St. Marys",16,0,26,53,85,0,180,318
35070,"Perth--Wellington/Perth--Wellington"," 193","St. Marys",12,5,21,49,135,0,222,353
35070,"Perth--Wellington/Perth--Wellington"," 194","St. Marys",4,0,15,26,73,0,118,202
35070,"Perth--Wellington/Perth--Wellington"," 195","St. Marys",8,1,14,47,85,0,155,319
35070,"Perth--Wellington/Perth--Wellington"," 196","St. Marys",6,0,40,56,148,0,250,469
35070,"Perth--Wellington/Perth--Wellington"," 196-1","St. Marys",6,0,14,40,98,0,158,311
35070,"Perth--Wellington/Perth--Wellington"," 500","Mobile poll/Bureau itinérant",2,1,10,4,34,2,53,148
35070,"Perth--Wellington/Perth--Wellington"," 501","Mobile poll/Bureau itinérant",1,2,16,6,26,0,51,107
35070,"Perth--Wellington/Perth--Wellington"," 502","Mobile poll/Bureau itinérant",2,1,19,4,31,0,57,133
35070,"Perth--Wellington/Perth--Wellington"," 503","Mobile poll/Bureau itinérant",4,1,24,5,34,6,74,150
35070,"Perth--Wellington/Perth--Wellington"," 600","Minto",9,8,35,33,189,2,276,
35070,"Perth--Wellington/Perth--Wellington"," 601","Minto",2,12,30,24,59,0,127,
35070,"Perth--Wellington/Perth--Wellington"," 602","Wellington North",25,11,85,103,359,3,586,
35070,"Perth--Wellington/Perth--Wellington"," 603","Wellington North",7,0,22,21,92,0,142,
35070,"Perth--Wellington/Perth--Wellington"," 604","Mapleton",11,8,72,46,239,1,377,
35070,"Perth--Wellington/Perth--Wellington"," 605","North Perth",13,4,117,78,360,1,573,
35070,"Perth--Wellington/Perth--Wellington"," 606","North Perth",3,1,14,11,68,0,97,
35070,"Perth--Wellington/Perth--Wellington"," 607","West Perth",25,11,120,74,332,1,563,
35070,"Perth--Wellington/Perth--Wellington"," 608","Perth East",7,6,72,38,177,1,301,
35070,"Perth--Wellington/Perth--Wellington"," 609","Stratford",29,5,400,175,488,0,1097,
35070,"Perth--Wellington/Perth--Wellington"," 610","Stratford",18,7,168,98,197,2,490,
35070,"Perth--Wellington/Perth--Wellington"," 611","Stratford",17,1,109,105,161,0,393,
35070,"Perth--Wellington/Perth--Wellington"," 612","Perth South",8,1,63,42,153,1,268,
35070,"Perth--Wellington/Perth--Wellington"," 613","St. Marys",15,4,104,76,287,1,487,
35070,"Perth--Wellington/Perth--Wellington"," 614","Stratford",21,7,289,148,348,2,815,
35070,"Perth--Wellington/Perth--Wellington",,Group 1/Groupe 1,5,1,37,3,45,5,96,168
35070,"Perth--Wellington/Perth--Wellington",,Group 2/Groupe 2,27,3,216,70,392,11,719,
