Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Maureen Harquail,John Kittredge,Jim McGarva,William Molls,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"St. Paul's/St. Paul's"," 145","Toronto",72,65,1,13,59,0,210,436
35077,"St. Paul's/St. Paul's"," 146","Toronto",109,74,1,6,32,3,225,329
35077,"St. Paul's/St. Paul's"," 146-1","Toronto",80,52,1,9,30,0,172,290
35077,"St. Paul's/St. Paul's"," 146-2","Toronto",114,68,0,12,48,0,242,448
35077,"St. Paul's/St. Paul's"," 146-3","Toronto",51,77,3,8,44,1,184,298
35077,"St. Paul's/St. Paul's"," 147","Toronto",58,46,0,5,51,3,163,367
35077,"St. Paul's/St. Paul's"," 147-1","Toronto",71,56,0,11,50,2,190,341
35077,"St. Paul's/St. Paul's"," 148","Toronto",69,58,2,16,38,0,183,270
35077,"St. Paul's/St. Paul's"," 148-1","Toronto",95,94,0,11,68,0,268,493
35077,"St. Paul's/St. Paul's"," 149","Toronto",86,75,2,6,15,1,185,268
35077,"St. Paul's/St. Paul's"," 150","Toronto",50,66,0,1,15,0,132,220
35077,"St. Paul's/St. Paul's"," 151","Toronto",95,65,0,7,35,0,202,323
35077,"St. Paul's/St. Paul's"," 152","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 153","Toronto",123,65,1,13,109,1,312,417
35077,"St. Paul's/St. Paul's"," 154","York",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 155","Toronto",71,73,2,3,41,1,191,352
35077,"St. Paul's/St. Paul's"," 156","Toronto",82,59,3,10,56,0,210,400
35077,"St. Paul's/St. Paul's"," 157","Toronto",62,66,1,8,27,0,164,361
35077,"St. Paul's/St. Paul's"," 158","Toronto",44,106,1,6,14,1,172,363
35077,"St. Paul's/St. Paul's"," 159","Toronto",85,97,0,6,31,2,221,435
35077,"St. Paul's/St. Paul's"," 160","Toronto",135,90,0,12,43,2,282,579
35077,"St. Paul's/St. Paul's"," 161","Toronto",107,134,0,6,22,1,270,362
35077,"St. Paul's/St. Paul's"," 162","Toronto",74,91,1,11,25,0,202,390
35077,"St. Paul's/St. Paul's"," 163","Toronto",101,103,1,14,33,2,254,497
35077,"St. Paul's/St. Paul's"," 164","Toronto",47,54,0,5,16,1,123,269
35077,"St. Paul's/St. Paul's"," 165","Toronto",67,65,1,3,22,1,159,284
35077,"St. Paul's/St. Paul's"," 166","Toronto",68,54,0,12,55,0,189,377
35077,"St. Paul's/St. Paul's"," 167","Toronto",43,35,1,1,19,0,99,201
35077,"St. Paul's/St. Paul's"," 168","Toronto",71,68,1,3,13,0,156,333
35077,"St. Paul's/St. Paul's"," 169","Toronto",80,72,0,5,15,0,172,316
35077,"St. Paul's/St. Paul's"," 170","Toronto",87,83,2,5,19,1,197,325
35077,"St. Paul's/St. Paul's"," 171","Toronto",111,64,1,10,31,2,219,359
35077,"St. Paul's/St. Paul's"," 172","Toronto",91,75,2,13,46,2,229,365
35077,"St. Paul's/St. Paul's"," 173","Toronto",84,33,0,11,23,0,151,245
35077,"St. Paul's/St. Paul's"," 174","Toronto",92,61,1,13,29,0,196,330
35077,"St. Paul's/St. Paul's"," 175","Toronto",135,111,0,13,75,0,334,520
35077,"St. Paul's/St. Paul's"," 176","Toronto",134,60,0,12,77,0,283,455
35077,"St. Paul's/St. Paul's"," 177","Toronto",131,80,0,9,35,2,257,413
35077,"St. Paul's/St. Paul's"," 178","Toronto",62,76,0,4,8,0,150,237
35077,"St. Paul's/St. Paul's"," 179","Toronto",59,64,0,9,37,0,169,309
35077,"St. Paul's/St. Paul's"," 180","Toronto",73,68,1,13,40,0,195,340
35077,"St. Paul's/St. Paul's"," 181","Toronto",97,44,1,5,39,0,186,275
