Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvan Dutil,Christiane Gagnon,Stefan Jetchick,Pierre Morasse,Annick Papillon,François Payeur,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Québec/Québec"," 126","Québec",4,55,5,85,86,47,3,285,444
24052,"Québec/Québec"," 127","Québec",4,41,1,22,63,22,4,157,273
24052,"Québec/Québec"," 128","Québec",Void/Supprimé,,,,,,,,
24052,"Québec/Québec"," 129A","Québec",3,46,0,12,64,20,1,146,263
24052,"Québec/Québec"," 129B","Mobile poll/Bureau itinérant",Merged with No. 77B/Fusionné avec le nº 77B,,,,,,,,35
24052,"Québec/Québec"," 130","Québec",7,63,1,27,96,24,0,218,433
24052,"Québec/Québec"," 131","Québec",4,50,0,36,63,33,3,189,388
24052,"Québec/Québec"," 132","Québec",9,78,0,32,103,17,1,240,424
24052,"Québec/Québec"," 133","Québec",3,28,0,12,46,7,0,96,175
24052,"Québec/Québec"," 134","Québec",5,72,0,20,111,28,4,240,362
24052,"Québec/Québec"," 135","Québec",6,89,0,16,98,21,2,232,356
24052,"Québec/Québec"," 136","Québec",3,81,0,16,115,14,2,231,386
24052,"Québec/Québec"," 137","Québec",3,99,0,53,131,54,0,340,494
24052,"Québec/Québec"," 138","Québec",3,32,7,65,85,52,2,246,314
24052,"Québec/Québec"," 139","Québec",7,69,0,48,104,36,7,271,434
24052,"Québec/Québec"," 140","Québec",8,98,1,9,105,8,4,233,450
24052,"Québec/Québec"," 141","Québec",5,45,0,19,69,17,0,155,348
24052,"Québec/Québec"," 142","Québec",2,26,0,25,67,20,1,141,346
24052,"Québec/Québec"," 143","Québec",8,90,0,28,123,28,5,282,441
24052,"Québec/Québec"," 144","Québec",4,90,0,17,95,12,1,219,364
24052,"Québec/Québec"," 145A","Québec",7,74,1,29,99,35,3,248,359
24052,"Québec/Québec"," 145B","Mobile poll/Bureau itinérant",Merged with No. 77B/Fusionné avec le nº 77B,,,,,,,,80
24052,"Québec/Québec"," 146","Québec",7,96,0,12,126,22,3,266,389
24052,"Québec/Québec"," 147","Québec",7,75,0,18,91,16,2,209,345
24052,"Québec/Québec"," 148","Québec",3,77,0,18,78,24,1,201,372
24052,"Québec/Québec"," 149","Québec",6,66,0,11,89,24,1,197,377
24052,"Québec/Québec"," 150","Québec",3,64,1,18,80,13,4,183,320
24052,"Québec/Québec"," 151","Québec",6,85,0,19,98,21,2,231,387
24052,"Québec/Québec"," 152","Québec",1,68,1,37,65,61,4,237,389
24052,"Québec/Québec"," 153","Québec",2,50,0,15,77,24,1,169,317
24052,"Québec/Québec"," 154","Québec",6,76,0,16,90,21,1,210,350
24052,"Québec/Québec"," 155","Québec",7,48,0,20,82,18,1,176,293
24052,"Québec/Québec"," 156","Québec",4,75,0,24,83,21,0,207,375
24052,"Québec/Québec"," 157","Québec",4,61,0,34,81,24,3,207,350
24052,"Québec/Québec"," 158","Québec",Void/Supprimé,,,,,,,,
24052,"Québec/Québec"," 159","Québec",4,86,0,63,137,53,1,344,561
24052,"Québec/Québec"," 159-1","Québec",3,85,1,79,123,80,4,375,557
24052,"Québec/Québec"," 159-2","Québec",2,49,0,40,75,33,2,201,351
24052,"Québec/Québec"," 160","Québec",Void/Supprimé,,,,,,,,
24052,"Québec/Québec"," 161","Québec",3,101,0,7,126,12,3,252,411
24052,"Québec/Québec"," 162","Québec",13,96,0,20,95,7,2,233,378
24052,"Québec/Québec"," 163","Québec",9,52,1,15,76,6,1,160,363
24052,"Québec/Québec"," 164","Québec",4,65,2,13,72,12,2,170,346
24052,"Québec/Québec"," 165","Québec",5,80,0,23,95,20,0,223,395
24052,"Québec/Québec"," 166","Québec",7,48,0,35,96,39,2,227,394
24052,"Québec/Québec"," 167","Québec",3,30,0,21,46,26,1,127,270
24052,"Québec/Québec"," 168","Québec",5,94,0,17,127,22,0,265,492
24052,"Québec/Québec"," 169","Québec",7,61,0,8,79,14,5,174,308
24052,"Québec/Québec"," 170","Québec",7,93,1,14,106,5,1,227,381
24052,"Québec/Québec"," 171","Québec",10,97,0,20,133,15,4,279,506
24052,"Québec/Québec"," 172","Québec",3,55,1,31,100,15,3,208,371
24052,"Québec/Québec"," 173","Québec",3,67,1,22,96,12,3,204,437
24052,"Québec/Québec"," 174","Québec",9,63,1,23,86,15,4,201,371
24052,"Québec/Québec"," 175","Québec",1,41,0,12,40,38,2,134,446
24052,"Québec/Québec"," 176","Québec",1,47,0,10,55,13,1,127,234
24052,"Québec/Québec"," 177","Québec",5,41,0,28,72,30,4,180,362
24052,"Québec/Québec"," 178","Québec",2,54,0,34,55,50,0,195,399
24052,"Québec/Québec"," 179","Québec",Void/Supprimé,,,,,,,,
24052,"Québec/Québec"," 180","Québec",3,87,1,18,81,14,1,205,341
24052,"Québec/Québec"," 181","Québec",6,62,0,13,120,14,4,219,392
24052,"Québec/Québec"," 182","Québec",6,87,0,12,94,30,1,230,396
24052,"Québec/Québec"," 183","Québec",4,60,1,28,94,27,1,215,348
24052,"Québec/Québec"," 184","Québec",2,53,0,34,83,32,3,207,364
24052,"Québec/Québec"," 185","Québec",2,85,0,11,107,23,1,229,336
24052,"Québec/Québec"," 186","Québec",8,87,0,31,124,21,4,275,472
24052,"Québec/Québec"," 187","Québec",6,90,1,18,128,11,7,261,502
24052,"Québec/Québec"," 188","Québec",4,47,0,13,71,11,3,149,370
24052,"Québec/Québec"," 189","Québec",6,71,0,13,86,12,0,188,319
24052,"Québec/Québec"," 190","Québec",1,83,2,41,98,41,1,267,408
24052,"Québec/Québec"," 191","Québec",3,45,0,24,69,18,1,160,330
24052,"Québec/Québec"," 192","Québec",5,55,2,17,65,10,2,156,305
24052,"Québec/Québec"," 193","Québec",3,29,0,14,49,11,0,106,236
24052,"Québec/Québec"," 194","Québec",7,73,1,9,89,11,1,191,374
24052,"Québec/Québec"," 195","Québec",5,65,1,12,96,12,2,193,388
24052,"Québec/Québec"," 196","Québec",7,74,0,7,117,8,4,217,378
24052,"Québec/Québec"," 197","Québec",3,97,0,10,98,3,2,213,347
24052,"Québec/Québec"," 198","Québec",11,79,1,17,107,10,5,230,463
24052,"Québec/Québec"," 199","Québec",10,76,0,6,99,9,5,205,423
24052,"Québec/Québec"," 200","Québec",11,90,1,7,144,4,5,262,468
24052,"Québec/Québec"," 201","Québec",6,62,0,25,81,20,4,198,392
24052,"Québec/Québec"," 202","Québec",3,67,1,36,77,26,2,212,374
24052,"Québec/Québec"," 203","Québec",5,48,2,21,84,11,1,172,299
24052,"Québec/Québec"," 204","Québec",5,70,1,54,85,17,5,237,367
24052,"Québec/Québec"," 400","Québec",1,13,2,29,17,28,4,94,287
24052,"Québec/Québec"," 500","Mobile poll/Bureau itinérant",2,16,5,42,20,31,5,121,197
24052,"Québec/Québec"," 501A","Mobile poll/Bureau itinérant",1,6,0,8,9,3,0,27,152
24052,"Québec/Québec"," 501B","Mobile poll/Bureau itinérant",2,19,2,9,19,13,4,68,146
24052,"Québec/Québec"," 502","Mobile poll/Bureau itinérant",0,12,0,14,8,16,2,52,95
24052,"Québec/Québec"," 503A","Mobile poll/Bureau itinérant",1,15,1,23,24,17,1,82,146
24052,"Québec/Québec"," 503B","Mobile poll/Bureau itinérant",0,5,1,5,3,22,2,38,99
24052,"Québec/Québec"," 504","Mobile poll/Bureau itinérant",2,19,4,38,27,55,3,148,192
24052,"Québec/Québec"," 505","Mobile poll/Bureau itinérant",0,18,5,54,38,49,2,166,264
24052,"Québec/Québec"," 506","Mobile poll/Bureau itinérant",7,37,3,17,31,34,3,132,203
24052,"Québec/Québec"," 600","Québec",6,94,0,108,158,26,15,407,
24052,"Québec/Québec"," 601","Québec",4,96,2,105,158,26,4,395,
24052,"Québec/Québec"," 602","Québec",7,128,3,138,172,41,8,497,
24052,"Québec/Québec"," 603","Québec",7,76,3,128,167,31,6,418,
24052,"Québec/Québec"," 604","Québec",3,56,2,85,125,27,4,302,
24052,"Québec/Québec"," 605","Québec",5,120,1,131,175,35,4,471,
24052,"Québec/Québec"," 606","Québec",3,60,2,97,114,27,4,307,
24052,"Québec/Québec"," 607","Québec",9,56,1,120,152,36,11,385,
24052,"Québec/Québec"," 608","Québec",9,134,4,67,133,23,3,373,
24052,"Québec/Québec"," 609","Québec",8,98,0,23,78,14,2,223,
24052,"Québec/Québec"," 610","Québec",5,104,1,42,116,13,3,284,
24052,"Québec/Québec"," 611","Québec",6,84,0,29,57,17,1,194,
24052,"Québec/Québec"," 612","Québec",5,82,1,64,112,19,11,294,
24052,"Québec/Québec"," 613","Québec",2,90,4,45,89,25,3,258,
24052,"Québec/Québec"," 614","Québec",7,184,3,67,146,91,5,503,
24052,"Québec/Québec"," 615","Québec",12,226,1,97,196,56,4,592,
24052,"Québec/Québec"," 616","Québec",8,225,0,66,185,55,3,542,
24052,"Québec/Québec"," 617","Québec",7,196,1,64,142,69,1,480,
24052,"Québec/Québec"," 618","Québec",8,142,1,83,108,82,0,424,
24052,"Québec/Québec"," 619","Québec",5,165,0,56,138,52,6,422,
24052,"Québec/Québec"," 620","Québec",6,207,0,49,162,38,4,466,
24052,"Québec/Québec"," 621","Québec",2,282,3,147,200,177,15,826,
24052,"Québec/Québec"," 622","Québec",9,151,0,47,130,72,6,415,
24052,"Québec/Québec"," 623","Québec",6,136,0,23,111,24,0,300,
24052,"Québec/Québec",,Group 1/Groupe 1,6,66,2,131,46,35,21,307,505
24052,"Québec/Québec",,Group 2/Groupe 2,16,303,4,98,101,89,14,625,
