Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Natalie Arsenault,Evelyne Chapman,Dominic LeBlanc,Susan Levi-Peters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 32","Bouctouche",3,49,61,7,7,127,257
13002,"Beauséjour/Beauséjour"," 33","Bouctouche",2,42,53,13,7,117,290
13002,"Beauséjour/Beauséjour"," 34","Bouctouche",6,76,50,33,0,165,304
13002,"Beauséjour/Beauséjour"," 34-1","Bouctouche",0,3,12,19,0,34,52
13002,"Beauséjour/Beauséjour"," 35","Bouctouche",2,65,109,44,5,225,388
13002,"Beauséjour/Beauséjour"," 36A","Saint-Thomas",3,51,36,34,2,126,264
13002,"Beauséjour/Beauséjour"," 36B","Saint-Thomas",2,64,23,19,2,110,211
13002,"Beauséjour/Beauséjour"," 37","Cormierville",10,49,67,28,1,155,251
13002,"Beauséjour/Beauséjour"," 37-1","Cormierville",5,43,55,36,3,142,217
13002,"Beauséjour/Beauséjour"," 38","Saint-Joseph-de-Kent",6,93,38,28,4,169,258
13002,"Beauséjour/Beauséjour"," 39","McKees Mills",10,78,64,32,1,185,283
13002,"Beauséjour/Beauséjour"," 40","Sainte-Marie",6,73,77,58,2,216,363
13002,"Beauséjour/Beauséjour"," 41","Sainte-Marie",4,47,57,28,6,142,255
13002,"Beauséjour/Beauséjour"," 41-1","Sainte-Marie",3,66,70,52,1,192,314
13002,"Beauséjour/Beauséjour"," 42","Sainte-Marie",12,78,89,62,4,245,399
13002,"Beauséjour/Beauséjour"," 43A","Saint-Antoine",5,58,35,30,1,129,242
13002,"Beauséjour/Beauséjour"," 43B","Saint-Antoine",10,64,38,46,3,161,257
13002,"Beauséjour/Beauséjour"," 44","Saint-Antoine",8,103,78,45,5,239,397
13002,"Beauséjour/Beauséjour"," 45","Saint-Paul",9,63,58,40,4,174,284
13002,"Beauséjour/Beauséjour"," 45-1","Saint-Paul",2,24,39,25,2,92,133
13002,"Beauséjour/Beauséjour"," 46","Saint-Paul",13,60,61,41,0,175,282
13002,"Beauséjour/Beauséjour"," 47","Breau-Village--Côte d'Or",2,44,78,32,3,159,305
13002,"Beauséjour/Beauséjour"," 48","Breau-Village",12,76,114,64,1,267,425
13002,"Beauséjour/Beauséjour"," 49","Cocagne-Nord",5,36,79,40,2,162,305
13002,"Beauséjour/Beauséjour"," 49-1","Cocagne-Nord",6,37,48,19,1,111,226
13002,"Beauséjour/Beauséjour"," 50","Saint-Antoine",5,83,47,35,3,173,293
13002,"Beauséjour/Beauséjour"," 50-1","Saint-Antoine",12,90,44,40,3,189,349
13002,"Beauséjour/Beauséjour"," 51","Notre-Dame",6,107,73,42,3,231,376
13002,"Beauséjour/Beauséjour"," 52A","Saint-Antoine",12,99,66,36,1,214,317
13002,"Beauséjour/Beauséjour"," 52B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,48
13002,"Beauséjour/Beauséjour"," 53","Notre-Dame",11,98,61,62,4,236,426
13002,"Beauséjour/Beauséjour"," 54","Cap-de-Cocagne",6,32,57,47,1,143,263
13002,"Beauséjour/Beauséjour"," 54-1","Cap-de-Cocagne",4,12,72,31,0,119,228
13002,"Beauséjour/Beauséjour"," 55","Cap-des-Caissie",8,55,118,45,2,228,398
13002,"Beauséjour/Beauséjour"," 55-1","Grande-Digue",5,24,86,34,2,151,292
13002,"Beauséjour/Beauséjour"," 56","Grande-Digue",7,50,79,32,1,169,359
13002,"Beauséjour/Beauséjour"," 56-1","Grande-Digue",6,25,77,26,5,139,312
13002,"Beauséjour/Beauséjour"," 57","Cocagne-Sud",7,68,86,63,3,227,389
13002,"Beauséjour/Beauséjour"," 58","Notre-Dame",4,46,43,54,0,147,257
13002,"Beauséjour/Beauséjour"," 58-1","Notre-Dame",5,61,39,36,0,141,217
13002,"Beauséjour/Beauséjour"," 59","LeBlancville",18,88,45,77,2,230,403
13002,"Beauséjour/Beauséjour"," 60","LeBlancville",8,77,37,67,4,193,379
13002,"Beauséjour/Beauséjour"," 61","Shaw Brook",8,128,39,45,0,220,378
13002,"Beauséjour/Beauséjour"," 62","Gallagher Ridge",8,78,20,57,3,166,335
13002,"Beauséjour/Beauséjour"," 63","Lakeville",9,57,21,30,5,122,229
13002,"Beauséjour/Beauséjour"," 63-1","Lakeville",7,45,30,35,0,117,226
13002,"Beauséjour/Beauséjour"," 64","Lakeville",4,42,32,66,0,144,312
13002,"Beauséjour/Beauséjour"," 64-1","Lakeville",9,47,25,33,0,114,265
13002,"Beauséjour/Beauséjour"," 65A","Lakeville",10,48,21,34,1,114,240
13002,"Beauséjour/Beauséjour"," 65B","Lakeville",8,43,28,36,1,116,260
13002,"Beauséjour/Beauséjour"," 66","Cap Breton & Scotch Settlement",11,91,40,80,2,224,421
13002,"Beauséjour/Beauséjour"," 67","Irishtown",9,78,39,81,0,207,412
13002,"Beauséjour/Beauséjour"," 67-1","Irishtown",4,56,24,31,0,115,224
13002,"Beauséjour/Beauséjour"," 68","Ammon",2,82,25,52,1,162,330
13002,"Beauséjour/Beauséjour"," 69","Stonehurst",8,130,19,42,0,199,318
13002,"Beauséjour/Beauséjour"," 69-1","Briggs Cross Road",7,72,9,53,1,142,243
13002,"Beauséjour/Beauséjour"," 69-2","Indian Mountain",6,72,18,26,1,123,230
13002,"Beauséjour/Beauséjour"," 70","Pacific Junction",3,82,23,40,3,151,280
13002,"Beauséjour/Beauséjour"," 71A","Lutes Mountain South",3,71,16,35,2,127,265
13002,"Beauséjour/Beauséjour"," 71B","Lutes Mountain South",9,79,15,45,1,149,262
13002,"Beauséjour/Beauséjour"," 72","Berry Mills",9,124,35,34,1,203,349
13002,"Beauséjour/Beauséjour"," 73","Steeves Mountain East",10,144,33,59,1,247,418
13002,"Beauséjour/Beauséjour"," 74","Steeves Mountain West",12,152,14,33,1,212,405
13002,"Beauséjour/Beauséjour"," 75","Salisbury",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 76","Grand-Barachois",10,58,96,57,1,222,395
13002,"Beauséjour/Beauséjour"," 77","Grand-Barachois",8,53,108,53,1,223,373
13002,"Beauséjour/Beauséjour"," 78","Grand-Barachois",4,26,74,42,2,148,304
13002,"Beauséjour/Beauséjour"," 79","Grand-Barachois",16,66,103,53,3,241,456
13002,"Beauséjour/Beauséjour"," 80","Boudreau-Ouest",14,62,76,48,1,201,326
13002,"Beauséjour/Beauséjour"," 80-1","Boudreau-Ouest",8,50,80,34,2,174,290
13002,"Beauséjour/Beauséjour"," 81","Haute-Aboujagane",17,53,136,56,2,264,400
13002,"Beauséjour/Beauséjour"," 82","Pointe-du-Chêne",10,64,126,62,2,264,395
13002,"Beauséjour/Beauséjour"," 83","Shediac",12,47,93,48,4,204,390
13002,"Beauséjour/Beauséjour"," 84","Shediac",14,41,106,43,2,206,415
13002,"Beauséjour/Beauséjour"," 85A","Shediac",4,38,68,22,2,134,274
13002,"Beauséjour/Beauséjour"," 85B","Shediac",2,32,88,31,1,154,293
13002,"Beauséjour/Beauséjour"," 86A","Shediac",2,27,57,29,1,116,224
13002,"Beauséjour/Beauséjour"," 86B","Shediac",5,26,46,29,3,109,226
13002,"Beauséjour/Beauséjour"," 87","Shediac",6,30,82,47,2,167,431
13002,"Beauséjour/Beauséjour"," 88A","Shediac",2,33,75,33,1,144,263
13002,"Beauséjour/Beauséjour"," 88B","Shediac",4,32,73,18,1,128,263
13002,"Beauséjour/Beauséjour"," 89","Shediac",8,45,99,23,3,178,408
13002,"Beauséjour/Beauséjour"," 90","Shediac",2,29,95,44,1,171,343
13002,"Beauséjour/Beauséjour"," 91","Shediac",6,53,92,65,1,217,386
13002,"Beauséjour/Beauséjour"," 91-1","Shediac",4,31,109,49,1,194,373
13002,"Beauséjour/Beauséjour"," 92","Shediac",4,27,54,30,0,115,241
13002,"Beauséjour/Beauséjour"," 92-1","Shediac",5,55,70,23,0,153,278
13002,"Beauséjour/Beauséjour"," 93A","Shediac Bridge",3,24,61,19,0,107,249
13002,"Beauséjour/Beauséjour"," 93B","Shediac Bridge",5,28,60,20,1,114,256
13002,"Beauséjour/Beauséjour"," 94","Shediac River",5,61,67,35,2,170,318
13002,"Beauséjour/Beauséjour"," 94-1","Shediac River",8,52,54,47,1,162,283
13002,"Beauséjour/Beauséjour"," 95","Saint-Philippe",21,72,47,91,0,231,393
13002,"Beauséjour/Beauséjour"," 96","Shediac Cape",3,87,44,36,1,171,308
13002,"Beauséjour/Beauséjour"," 96-1","Shediac Cape",7,80,60,48,1,196,296
13002,"Beauséjour/Beauséjour"," 97","Scoudouc",8,59,68,51,0,186,293
13002,"Beauséjour/Beauséjour"," 98","Scoudouc",8,38,109,87,3,245,385
13002,"Beauséjour/Beauséjour"," 99","Barachois",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 100","Malakoff",4,20,49,32,1,106,179
13002,"Beauséjour/Beauséjour"," 101","Meadow Brook",10,62,76,67,0,215,369
13002,"Beauséjour/Beauséjour"," 102","Memramcook Est",7,54,51,35,1,148,272
13002,"Beauséjour/Beauséjour"," 103","Memramcook",4,39,51,46,0,140,251
13002,"Beauséjour/Beauséjour"," 103-1","Memramcook",3,47,44,15,1,110,237
13002,"Beauséjour/Beauséjour"," 104","Memramcook",2,42,42,20,0,106,220
13002,"Beauséjour/Beauséjour"," 105","College Bridge",5,46,72,36,0,159,321
13002,"Beauséjour/Beauséjour"," 105-1","College Bridge",5,33,47,14,2,101,169
13002,"Beauséjour/Beauséjour"," 106","Memramcook-Ouest",8,48,82,26,1,165,346
13002,"Beauséjour/Beauséjour"," 107A","Dieppe",2,15,41,37,3,98,218
13002,"Beauséjour/Beauséjour"," 107B","Dieppe",3,41,35,30,1,110,229
13002,"Beauséjour/Beauséjour"," 107-1A","Dieppe",7,31,46,52,0,136,236
13002,"Beauséjour/Beauséjour"," 107-1B","Dieppe",8,25,59,45,2,139,237
13002,"Beauséjour/Beauséjour"," 108","Dieppe",5,28,90,58,0,181,368
13002,"Beauséjour/Beauséjour"," 109","Dieppe",16,74,109,96,3,298,472
13002,"Beauséjour/Beauséjour"," 109-1","Dieppe",13,62,82,70,1,228,397
13002,"Beauséjour/Beauséjour"," 110","Dieppe",7,46,56,44,4,157,296
13002,"Beauséjour/Beauséjour"," 111","Dieppe",9,45,62,55,5,176,383
13002,"Beauséjour/Beauséjour"," 111-1","Dieppe",9,34,51,59,2,155,277
13002,"Beauséjour/Beauséjour"," 112","Pré-d'en-Haut",8,60,142,32,2,244,369
13002,"Beauséjour/Beauséjour"," 112-1","Pré-d'en-Haut",9,38,94,58,0,199,329
13002,"Beauséjour/Beauséjour"," 113","McGinleys Corner",9,69,112,53,1,244,405
13002,"Beauséjour/Beauséjour"," 113-1","McGinleys Corner",8,51,70,60,1,190,382
13002,"Beauséjour/Beauséjour"," 114","Memramcook",3,34,71,25,0,133,263
13002,"Beauséjour/Beauséjour"," 115","Cormier Cove",13,68,105,39,2,227,394
13002,"Beauséjour/Beauséjour"," 116","Upper Dorchester",15,94,37,44,0,190,367
13002,"Beauséjour/Beauséjour"," 117","Dorchester",6,122,40,58,0,226,365
13002,"Beauséjour/Beauséjour"," 118","Grand-Barachois",11,62,108,57,1,239,422
13002,"Beauséjour/Beauséjour"," 119A","Cap-Pele",4,57,75,46,0,182,293
13002,"Beauséjour/Beauséjour"," 119B","Cap-Pele",5,22,75,25,2,129,236
13002,"Beauséjour/Beauséjour"," 119-1","Cap-Pele",2,35,34,23,3,97,185
13002,"Beauséjour/Beauséjour"," 120","Cap-Pele",2,33,40,16,3,94,159
13002,"Beauséjour/Beauséjour"," 120-1","Cap-Pele",5,32,54,24,0,115,215
13002,"Beauséjour/Beauséjour"," 121","Cap-Pele",3,36,56,30,0,125,270
13002,"Beauséjour/Beauséjour"," 122","Cap-Pele",7,54,100,45,1,207,333
13002,"Beauséjour/Beauséjour"," 123","Cap-Pele",3,20,59,22,0,104,182
13002,"Beauséjour/Beauséjour"," 124A","Trois-Ruisseaux",7,31,55,28,1,122,235
13002,"Beauséjour/Beauséjour"," 124B","Trois-Ruisseaux",3,23,46,19,0,91,218
13002,"Beauséjour/Beauséjour"," 125","Petit-Cap",11,63,97,54,2,227,365
13002,"Beauséjour/Beauséjour"," 126","Haute-Aboujagane",9,63,149,55,2,278,428
13002,"Beauséjour/Beauséjour"," 127A","Cormier-Village",7,31,76,47,1,162,233
13002,"Beauséjour/Beauséjour"," 127B","Cormier-Village",5,38,93,30,0,166,244
13002,"Beauséjour/Beauséjour"," 128","Saint-André--LeBlanc",21,68,132,69,0,290,430
13002,"Beauséjour/Beauséjour"," 129","Shemogue",11,63,72,69,0,215,328
13002,"Beauséjour/Beauséjour"," 130","Murray Corner",2,27,19,11,0,59,110
13002,"Beauséjour/Beauséjour"," 131","Cape Tormentine",3,95,43,32,0,173,304
13002,"Beauséjour/Beauséjour"," 132","Bayside",12,97,36,40,0,185,360
13002,"Beauséjour/Beauséjour"," 133","Cape Tormentine",3,73,14,20,1,111,231
13002,"Beauséjour/Beauséjour"," 134","Port Elgin",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 135","Port Elgin",3,48,14,23,2,90,213
13002,"Beauséjour/Beauséjour"," 136","Midgic",9,117,43,43,2,214,402
13002,"Beauséjour/Beauséjour"," 137","Sackville",9,49,39,41,1,139,275
13002,"Beauséjour/Beauséjour"," 137-1","Sackville",2,57,52,30,2,143,264
13002,"Beauséjour/Beauséjour"," 138","Sackville",6,47,32,33,2,120,258
13002,"Beauséjour/Beauséjour"," 139A","Sackville",12,51,30,32,2,127,254
13002,"Beauséjour/Beauséjour"," 139B","Sackville",3,39,17,24,0,83,205
13002,"Beauséjour/Beauséjour"," 140","Sackville",15,47,53,70,1,186,380
13002,"Beauséjour/Beauséjour"," 141","Sackville",18,44,66,56,1,185,421
13002,"Beauséjour/Beauséjour"," 142","Sackville",11,62,32,48,1,154,340
13002,"Beauséjour/Beauséjour"," 143","Sackville",5,50,41,36,0,132,285
13002,"Beauséjour/Beauséjour"," 144","Sackville",3,0,6,10,0,19,76
13002,"Beauséjour/Beauséjour"," 145A","Sackville",5,20,40,37,0,102,239
13002,"Beauséjour/Beauséjour"," 145B","Sackville",6,13,34,40,2,95,213
13002,"Beauséjour/Beauséjour"," 146","Sackville",6,36,47,60,0,149,331
13002,"Beauséjour/Beauséjour"," 147","Sackville",6,82,47,65,0,200,403
13002,"Beauséjour/Beauséjour"," 148","Sackville",17,32,38,46,1,134,293
13002,"Beauséjour/Beauséjour"," 149","Sackville",7,92,21,47,4,171,381
13002,"Beauséjour/Beauséjour"," 150","British Settlement",7,93,38,37,3,178,289
13002,"Beauséjour/Beauséjour"," 150-1","British Settlement",4,82,8,20,1,115,209
13002,"Beauséjour/Beauséjour"," 151","Baie-Verte",4,73,44,35,1,157,242
13002,"Beauséjour/Beauséjour"," 152","Pointe-de-Bute",5,60,30,31,0,126,212
13002,"Beauséjour/Beauséjour"," 152-1","Pointe-de-Bute",9,67,39,38,2,155,268
13002,"Beauséjour/Beauséjour"," 500","Mobile poll/Bureau itinérant",6,33,73,7,4,123,179
13002,"Beauséjour/Beauséjour"," 501","Mobile poll/Bureau itinérant",4,19,59,12,0,94,120
13002,"Beauséjour/Beauséjour"," 502","Mobile poll/Bureau itinérant",5,22,90,21,3,141,113
13002,"Beauséjour/Beauséjour"," 503","Mobile poll/Bureau itinérant",9,18,55,14,6,102,247
13002,"Beauséjour/Beauséjour"," 504","Mobile poll/Bureau itinérant",8,37,60,11,0,116,214
13002,"Beauséjour/Beauséjour"," 505","Mobile poll/Bureau itinérant",4,15,74,10,3,106,152
13002,"Beauséjour/Beauséjour"," 506","Mobile poll/Bureau itinérant",6,16,37,8,0,67,92
13002,"Beauséjour/Beauséjour"," 600","Saint-Louis",17,178,216,90,10,511,
13002,"Beauséjour/Beauséjour"," 601","Richibucto",11,71,144,33,7,266,
13002,"Beauséjour/Beauséjour"," 602","Rexton",19,187,183,66,5,460,
13002,"Beauséjour/Beauséjour"," 603","Bouctouche",20,309,364,121,1,815,
13002,"Beauséjour/Beauséjour"," 604","Sainte-Marie",7,75,111,36,2,231,
13002,"Beauséjour/Beauséjour"," 605","Saint-Antoine",29,215,205,64,8,521,
13002,"Beauséjour/Beauséjour"," 606","Cocagne",10,95,206,44,5,360,
13002,"Beauséjour/Beauséjour"," 607","Grande-Digue",18,152,307,79,1,557,
13002,"Beauséjour/Beauséjour"," 608","Magnetic Hill",12,216,45,38,1,312,
13002,"Beauséjour/Beauséjour"," 609","Irishtown",16,161,98,62,1,338,
13002,"Beauséjour/Beauséjour"," 610","Lakeville",8,95,60,50,3,216,
13002,"Beauséjour/Beauséjour"," 611","Shediac-Ouest",18,105,296,82,4,505,
13002,"Beauséjour/Beauséjour"," 612","Shediac-Est",21,137,447,98,7,710,
13002,"Beauséjour/Beauséjour"," 613","Dieppe",18,114,249,97,6,484,
13002,"Beauséjour/Beauséjour"," 614","Memramcook",12,109,315,56,9,501,
13002,"Beauséjour/Beauséjour"," 615","Sackville",24,209,239,92,2,566,
13002,"Beauséjour/Beauséjour"," 616","Sackville",18,129,133,68,4,352,
13002,"Beauséjour/Beauséjour"," 617","Port Elgin",9,73,50,25,4,161,
13002,"Beauséjour/Beauséjour"," 618","Cap-Pele",19,139,293,97,11,559,
13002,"Beauséjour/Beauséjour"," 619","Grand-Barachois",31,92,258,74,4,459,
13002,"Beauséjour/Beauséjour"," 620","Memramcook",15,107,177,60,3,362,
13002,"Beauséjour/Beauséjour",,Group 1/Groupe 1,3,56,38,13,19,129,268
13002,"Beauséjour/Beauséjour",,Group 2/Groupe 2,22,189,392,77,16,696,
