Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gérard Asselin,Gordon Ferguson,André Forbes,Jacques Gélineau,Jonathan Genest-Jourdain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Manicouagan/Manicouagan"," 23","Baie-Comeau",34,7,5,2,105,5,158,301
24039,"Manicouagan/Manicouagan"," 24","Baie-Comeau",44,17,5,4,88,4,162,299
24039,"Manicouagan/Manicouagan"," 25","Baie-Comeau",34,24,7,7,96,2,170,359
24039,"Manicouagan/Manicouagan"," 26","Baie-Comeau",26,6,3,5,80,1,121,243
24039,"Manicouagan/Manicouagan"," 27","Baie-Comeau",72,36,5,2,182,10,307,548
24039,"Manicouagan/Manicouagan"," 28","Baie-Comeau",44,8,1,2,85,2,142,274
24039,"Manicouagan/Manicouagan"," 29","Baie-Comeau",32,11,0,0,82,1,126,298
24039,"Manicouagan/Manicouagan"," 30","Baie-Comeau",30,8,2,1,80,1,122,249
24039,"Manicouagan/Manicouagan"," 31","Baie-Comeau",42,12,3,5,93,4,159,305
24039,"Manicouagan/Manicouagan"," 32","Baie-Comeau",47,22,7,3,117,3,199,360
24039,"Manicouagan/Manicouagan"," 33","Baie-Comeau",34,12,4,4,128,0,182,357
24039,"Manicouagan/Manicouagan"," 34","Baie-Comeau",43,15,3,3,107,0,171,301
24039,"Manicouagan/Manicouagan"," 35","Baie-Comeau",25,17,8,2,108,0,160,284
24039,"Manicouagan/Manicouagan"," 36","Baie-Comeau",48,17,3,4,152,1,225,356
24039,"Manicouagan/Manicouagan"," 37","Baie-Comeau",50,18,2,1,104,5,180,310
24039,"Manicouagan/Manicouagan"," 38","Baie-Comeau",63,20,4,8,147,3,245,383
24039,"Manicouagan/Manicouagan"," 39","Baie-Comeau",63,15,0,2,93,2,175,404
24039,"Manicouagan/Manicouagan"," 40","Baie-Comeau",45,9,1,2,75,0,132,360
24039,"Manicouagan/Manicouagan"," 41","Baie-Comeau",77,16,7,6,117,5,228,470
24039,"Manicouagan/Manicouagan"," 42","Baie-Comeau",60,18,5,4,101,2,190,334
24039,"Manicouagan/Manicouagan"," 43","Baie-Comeau",59,16,8,2,134,1,220,424
24039,"Manicouagan/Manicouagan"," 44","Baie-Comeau",64,17,5,2,148,4,240,453
24039,"Manicouagan/Manicouagan"," 45","Baie-Comeau",57,22,5,3,91,1,179,445
24039,"Manicouagan/Manicouagan"," 46","Baie-Comeau",47,27,6,3,84,0,167,385
24039,"Manicouagan/Manicouagan"," 47","Baie-Comeau",32,20,4,2,70,4,132,281
24039,"Manicouagan/Manicouagan"," 48","Baie-Comeau",54,16,2,2,82,1,157,317
24039,"Manicouagan/Manicouagan"," 49","Baie-Comeau",48,11,2,1,59,1,122,350
24039,"Manicouagan/Manicouagan"," 50","Baie-Comeau",42,8,3,6,47,1,107,253
24039,"Manicouagan/Manicouagan"," 51","Baie-Comeau",50,23,3,0,71,2,149,342
24039,"Manicouagan/Manicouagan"," 52","Baie-Comeau",45,24,6,3,83,2,163,334
24039,"Manicouagan/Manicouagan"," 53","Baie-Comeau",57,10,3,4,78,3,155,331
24039,"Manicouagan/Manicouagan"," 54","Baie-Comeau",43,17,4,2,80,2,148,345
24039,"Manicouagan/Manicouagan"," 55","Baie-Comeau",40,9,4,4,92,1,150,298
24039,"Manicouagan/Manicouagan"," 56","Baie-Comeau",43,6,1,0,51,0,101,294
24039,"Manicouagan/Manicouagan"," 57","Baie-Comeau",38,5,7,3,76,1,130,311
24039,"Manicouagan/Manicouagan"," 58","Baie-Comeau",44,7,3,1,60,3,118,268
24039,"Manicouagan/Manicouagan"," 59","Baie-Comeau",75,15,2,2,119,3,216,410
24039,"Manicouagan/Manicouagan"," 60","Baie-Comeau",57,7,0,4,79,4,151,305
24039,"Manicouagan/Manicouagan"," 61","Baie-Comeau",62,19,0,11,121,1,214,379
24039,"Manicouagan/Manicouagan"," 62A","Baie-Comeau",33,11,6,4,79,0,133,270
24039,"Manicouagan/Manicouagan"," 62B","Baie-Comeau",49,26,23,0,55,3,156,198
24039,"Manicouagan/Manicouagan"," 63","Baie-Comeau",57,10,0,0,73,5,145,405
24039,"Manicouagan/Manicouagan"," 64","Baie-Comeau",56,12,8,3,90,4,173,334
24039,"Manicouagan/Manicouagan"," 65","Baie-Comeau",48,12,4,4,90,1,159,293
24039,"Manicouagan/Manicouagan"," 66","Pointe-Lebel",139,29,4,4,190,3,369,599
24039,"Manicouagan/Manicouagan"," 67","Pointe-Lebel",57,19,4,5,96,3,184,354
24039,"Manicouagan/Manicouagan"," 68","Pointe-Lebel",42,14,0,4,70,0,130,224
24039,"Manicouagan/Manicouagan"," 69","Pointe-Lebel",64,20,5,1,83,2,175,370
24039,"Manicouagan/Manicouagan"," 70","Pointe-aux-Outardes",85,17,4,7,102,3,218,379
24039,"Manicouagan/Manicouagan"," 71","Ragueneau",80,12,2,1,63,2,160,389
24039,"Manicouagan/Manicouagan"," 72","Chute-aux-Outardes",74,13,3,1,53,1,145,311
24039,"Manicouagan/Manicouagan"," 73","Chute-aux-Outardes",64,16,4,0,73,4,161,367
24039,"Manicouagan/Manicouagan"," 74","Chute-aux-Outardes",59,3,1,2,57,5,127,401
24039,"Manicouagan/Manicouagan"," 75","Chute-aux-Outardes",73,4,2,1,54,0,134,330
24039,"Manicouagan/Manicouagan"," 76","Ragueneau",105,15,4,4,102,2,232,445
24039,"Manicouagan/Manicouagan"," 77","Pointe-aux-Outardes",87,13,6,5,91,0,202,373
24039,"Manicouagan/Manicouagan"," 78","Pointe-aux-Outardes",60,18,1,3,123,2,207,375
24039,"Manicouagan/Manicouagan"," 79","Ragueneau",63,8,0,4,103,0,178,372
24039,"Manicouagan/Manicouagan"," 80","Betsiamites",1,1,2,0,124,0,128,536
24039,"Manicouagan/Manicouagan"," 81","Betsiamites",3,0,3,0,83,0,89,399
24039,"Manicouagan/Manicouagan"," 81-1","Betsiamites",1,1,1,0,80,0,83,369
24039,"Manicouagan/Manicouagan"," 82","Betsiamites",1,1,1,0,85,0,88,369
24039,"Manicouagan/Manicouagan"," 83","Port-Cartier",70,18,15,5,96,2,206,546
24039,"Manicouagan/Manicouagan"," 84","Port-Cartier",91,18,11,6,106,3,235,448
24039,"Manicouagan/Manicouagan"," 85","Port-Cartier",65,11,5,8,96,6,191,398
24039,"Manicouagan/Manicouagan"," 86","Port-Cartier",31,8,8,3,31,0,81,247
24039,"Manicouagan/Manicouagan"," 87","Port-Cartier",55,16,11,5,93,1,181,483
24039,"Manicouagan/Manicouagan"," 88","Port-Cartier",70,20,14,8,71,2,185,378
24039,"Manicouagan/Manicouagan"," 89","Port-Cartier",60,13,6,6,72,0,157,348
24039,"Manicouagan/Manicouagan"," 90","Port-Cartier",26,15,9,5,25,1,81,311
24039,"Manicouagan/Manicouagan"," 91","Port-Cartier",57,17,1,4,49,7,135,318
24039,"Manicouagan/Manicouagan"," 92","Port-Cartier",58,22,4,10,108,5,207,360
24039,"Manicouagan/Manicouagan"," 93A","Port-Cartier",55,26,11,10,108,2,212,342
24039,"Manicouagan/Manicouagan"," 93B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,10
24039,"Manicouagan/Manicouagan"," 94","Port-Cartier",49,15,3,3,83,5,158,315
24039,"Manicouagan/Manicouagan"," 95","Port-Cartier",47,15,6,6,60,4,138,370
24039,"Manicouagan/Manicouagan"," 96","Gallix",51,18,6,7,73,4,159,277
24039,"Manicouagan/Manicouagan"," 96-1","Gallix",56,17,16,5,79,1,174,296
24039,"Manicouagan/Manicouagan"," 97","Sept-Îles",78,21,4,14,85,2,204,393
24039,"Manicouagan/Manicouagan"," 98","Uashat",2,3,0,0,75,0,80,394
24039,"Manicouagan/Manicouagan"," 98-1","Uashat",7,1,2,0,119,0,129,510
24039,"Manicouagan/Manicouagan"," 99","Sept-Îles",52,19,8,7,70,6,162,316
24039,"Manicouagan/Manicouagan"," 100","Sept-Îles",45,13,7,4,65,5,139,261
24039,"Manicouagan/Manicouagan"," 101","Sept-Îles",60,19,3,2,69,2,155,303
24039,"Manicouagan/Manicouagan"," 102","Sept-Îles",72,21,8,10,71,10,192,336
24039,"Manicouagan/Manicouagan"," 103","Sept-Îles",52,19,9,5,72,4,161,326
24039,"Manicouagan/Manicouagan"," 104","Sept-Îles",50,37,14,5,93,5,204,378
24039,"Manicouagan/Manicouagan"," 105","Sept-Îles",59,11,10,6,69,2,157,313
24039,"Manicouagan/Manicouagan"," 106","Sept-Îles",54,36,13,8,73,1,185,330
24039,"Manicouagan/Manicouagan"," 107","Sept-Îles",61,9,6,6,43,0,125,302
24039,"Manicouagan/Manicouagan"," 108","Sept-Îles",53,19,13,6,32,1,124,259
24039,"Manicouagan/Manicouagan"," 109","Sept-Îles",82,46,11,14,134,6,293,541
24039,"Manicouagan/Manicouagan"," 110","Sept-Îles",48,18,11,1,60,2,140,300
24039,"Manicouagan/Manicouagan"," 111","Sept-Îles",30,8,11,8,58,3,118,342
24039,"Manicouagan/Manicouagan"," 112","Sept-Îles",55,22,5,0,52,3,137,321
24039,"Manicouagan/Manicouagan"," 113","Sept-Îles",46,21,6,8,64,7,152,410
24039,"Manicouagan/Manicouagan"," 114","Sept-Îles",37,11,7,7,43,2,107,319
24039,"Manicouagan/Manicouagan"," 115","Sept-Îles",30,11,5,6,53,3,108,218
24039,"Manicouagan/Manicouagan"," 116","Sept-Îles",70,66,28,5,68,3,240,471
24039,"Manicouagan/Manicouagan"," 117A","Sept-Îles",22,11,5,3,31,1,73,203
24039,"Manicouagan/Manicouagan"," 117B","Sept-Îles",12,20,10,0,22,1,65,108
24039,"Manicouagan/Manicouagan"," 118","Sept-Îles",51,24,4,5,74,6,164,400
24039,"Manicouagan/Manicouagan"," 119","Sept-Îles",57,26,3,8,79,6,179,432
24039,"Manicouagan/Manicouagan"," 120","Sept-Îles",33,20,10,10,56,4,133,284
24039,"Manicouagan/Manicouagan"," 121","Sept-Îles",84,28,9,7,70,1,199,375
24039,"Manicouagan/Manicouagan"," 122","Sept-Îles",68,14,3,3,64,4,156,323
24039,"Manicouagan/Manicouagan"," 123","Sept-Îles",59,17,5,3,81,7,172,329
24039,"Manicouagan/Manicouagan"," 124","Sept-Îles",82,22,4,10,83,5,206,429
24039,"Manicouagan/Manicouagan"," 125","Sept-Îles",106,33,10,12,75,6,242,538
24039,"Manicouagan/Manicouagan"," 126","Sept-Îles",70,22,10,9,85,4,200,441
24039,"Manicouagan/Manicouagan"," 127","Sept-Îles",69,21,7,11,84,5,197,419
24039,"Manicouagan/Manicouagan"," 128","Sept-Îles",80,19,15,8,84,4,210,444
24039,"Manicouagan/Manicouagan"," 129","Sept-Îles",56,19,8,1,46,2,132,397
24039,"Manicouagan/Manicouagan"," 130","Sept-Îles",71,14,10,7,66,4,172,437
24039,"Manicouagan/Manicouagan"," 131","Sept-Îles",75,39,22,12,138,13,299,572
24039,"Manicouagan/Manicouagan"," 132","Sept-Îles",77,38,8,4,104,3,234,470
24039,"Manicouagan/Manicouagan"," 133","Sept-Îles",63,31,9,5,87,3,198,350
24039,"Manicouagan/Manicouagan"," 134","Sept-Îles",49,22,12,4,64,2,153,401
24039,"Manicouagan/Manicouagan"," 135","Sept-Îles",37,14,5,0,39,2,97,363
24039,"Manicouagan/Manicouagan"," 136","Sept-Îles",68,18,12,11,101,2,212,405
24039,"Manicouagan/Manicouagan"," 137","Sept-Îles",51,12,4,5,42,4,118,354
24039,"Manicouagan/Manicouagan"," 138","Sept-Îles",61,29,6,7,87,6,196,576
24039,"Manicouagan/Manicouagan"," 139","Sept-Îles",30,12,5,1,34,0,82,241
24039,"Manicouagan/Manicouagan"," 140","Sept-Îles",80,35,14,6,122,3,260,486
24039,"Manicouagan/Manicouagan"," 141","Sept-Îles",57,15,6,7,80,1,166,276
24039,"Manicouagan/Manicouagan"," 142","Sept-Îles",58,31,5,14,91,4,203,374
24039,"Manicouagan/Manicouagan"," 143","Sept-Îles",73,24,5,4,70,4,180,294
24039,"Manicouagan/Manicouagan"," 144","Sept-Îles",39,23,7,6,75,4,154,258
24039,"Manicouagan/Manicouagan"," 145","Sept-Îles",95,27,16,16,107,7,268,539
24039,"Manicouagan/Manicouagan"," 146","Sept-Îles",71,16,6,13,112,5,223,402
24039,"Manicouagan/Manicouagan"," 147","Sept-Îles",74,31,11,19,140,7,282,466
24039,"Manicouagan/Manicouagan"," 148","Moisie",63,27,7,12,85,3,197,415
24039,"Manicouagan/Manicouagan"," 149","Moisie",90,21,8,2,114,4,239,523
24039,"Manicouagan/Manicouagan"," 150","Maliotenam 27A",1,3,1,1,156,0,162,462
24039,"Manicouagan/Manicouagan"," 151","Maliotenam 27A",1,0,3,0,121,1,126,451
24039,"Manicouagan/Manicouagan"," 152","Baie-Johan-Beetz",19,9,7,0,22,0,57,80
24039,"Manicouagan/Manicouagan"," 153","Rivière-au-Tonnerre",46,15,11,4,45,0,121,301
24039,"Manicouagan/Manicouagan"," 154","Rivière-Saint-Jean",38,1,18,4,35,1,97,225
24039,"Manicouagan/Manicouagan"," 155A","Longue-Pointe",49,23,15,14,74,6,181,391
24039,"Manicouagan/Manicouagan"," 155B","Longue-Pointe",3,2,2,0,51,0,58,178
24039,"Manicouagan/Manicouagan"," 156","Havre-Saint-Pierre",100,20,6,4,90,5,225,508
24039,"Manicouagan/Manicouagan"," 157","Havre-Saint-Pierre",133,10,6,7,133,4,293,613
24039,"Manicouagan/Manicouagan"," 158","Havre-Saint-Pierre",92,25,2,6,92,4,221,440
24039,"Manicouagan/Manicouagan"," 159","Havre-Saint-Pierre",65,7,9,6,57,0,144,381
24039,"Manicouagan/Manicouagan"," 160","Havre-Saint-Pierre",63,4,3,3,53,2,128,247
24039,"Manicouagan/Manicouagan"," 161","Havre-Saint-Pierre",60,12,6,2,51,0,131,235
24039,"Manicouagan/Manicouagan"," 162","Havre-Saint-Pierre",48,10,4,2,63,1,128,271
24039,"Manicouagan/Manicouagan"," 163","Aguanish",54,9,29,4,33,1,130,251
24039,"Manicouagan/Manicouagan"," 164","Natashquan",45,14,16,2,54,2,133,247
24039,"Manicouagan/Manicouagan"," 165","Natashquan 1",2,2,17,0,143,0,164,542
24039,"Manicouagan/Manicouagan"," 166","Port-Menier",29,10,3,3,45,6,96,202
24039,"Manicouagan/Manicouagan"," 167","La Tabatière",2,38,43,1,51,0,135,287
24039,"Manicouagan/Manicouagan"," 168","Pakuashipi",0,1,3,0,108,1,113,151
24039,"Manicouagan/Manicouagan"," 169","Saint-Augustin",2,17,15,2,17,0,53,136
24039,"Manicouagan/Manicouagan"," 170","Saint-Augustin",1,17,28,1,34,0,81,298
24039,"Manicouagan/Manicouagan"," 171","Baie-des-Moutons",1,6,23,1,7,0,38,84
24039,"Manicouagan/Manicouagan"," 172","Tête-à-la-Baleine",24,7,9,1,21,3,65,146
24039,"Manicouagan/Manicouagan"," 173","Harrington Harbour",1,33,57,3,24,1,119,193
24039,"Manicouagan/Manicouagan"," 174","Chevery",5,39,23,0,31,1,99,198
24039,"Manicouagan/Manicouagan"," 175A","La Romaine",9,4,13,1,49,1,77,310
24039,"Manicouagan/Manicouagan"," 175B","La Romaine",6,8,19,3,53,0,89,286
24039,"Manicouagan/Manicouagan"," 176","La Romaine",Merged with No. 175B/Fusionné avec le nº 175B,,,,,,,56
24039,"Manicouagan/Manicouagan"," 177","Kegaska",2,24,11,0,31,0,68,96
24039,"Manicouagan/Manicouagan"," 178","Middle Bay",Merged with No. 181/Fusionné avec le nº 181,,,,,,,39
24039,"Manicouagan/Manicouagan"," 179","Blanc-Sablon",2,14,44,4,32,1,97,233
24039,"Manicouagan/Manicouagan"," 180A","Lourdes-de-Blanc-Sablon",9,31,28,2,43,1,114,357
24039,"Manicouagan/Manicouagan"," 180B","Lourdes-de-Blanc-Sablon",13,32,27,0,52,1,125,358
24039,"Manicouagan/Manicouagan"," 181","Rivière-Saint-Paul",0,36,44,1,58,0,139,337
24039,"Manicouagan/Manicouagan"," 182","Vieux-Fort",3,24,31,2,42,2,104,264
24039,"Manicouagan/Manicouagan"," 500","Mobile poll/Bureau itinérant",31,23,17,5,32,5,113,242
24039,"Manicouagan/Manicouagan"," 501","Mobile poll/Bureau itinérant",8,2,6,1,8,2,27,30
24039,"Manicouagan/Manicouagan"," 502","Mobile poll/Bureau itinérant",34,19,12,1,11,4,81,142
24039,"Manicouagan/Manicouagan"," 503","Mobile poll/Bureau itinérant",16,9,7,2,5,1,40,89
24039,"Manicouagan/Manicouagan"," 600","Schefferville--Matimekosh",1,3,5,1,24,0,34,
24039,"Manicouagan/Manicouagan"," 601","Fermont",40,15,5,0,39,1,100,
24039,"Manicouagan/Manicouagan"," 602","Baie-Trinité",13,9,4,0,26,1,53,
24039,"Manicouagan/Manicouagan"," 603","Baie-Comeau",79,63,16,5,183,5,351,
24039,"Manicouagan/Manicouagan"," 604","Baie-Comeau",132,41,14,6,195,9,397,
24039,"Manicouagan/Manicouagan"," 605","Chutes-aux-Outardes--Betsiamites 3",114,21,3,4,88,0,230,
24039,"Manicouagan/Manicouagan"," 606","Gallix--Port-Cartier",129,55,32,17,114,3,350,
24039,"Manicouagan/Manicouagan"," 607","Sept-Îles",109,57,31,10,98,2,307,
24039,"Manicouagan/Manicouagan"," 608","Sept-Îles",151,61,26,13,125,6,382,
24039,"Manicouagan/Manicouagan"," 609","Moisie--Maliotenam",125,71,20,6,171,3,396,
24039,"Manicouagan/Manicouagan"," 610","Havre-Saint-Pierre",39,20,10,3,44,0,116,
24039,"Manicouagan/Manicouagan"," 611","Lourdes-de-Blanc-Sablon",5,4,9,0,15,0,33,
24039,"Manicouagan/Manicouagan"," 612","Port-Menier",6,1,3,0,10,0,20,
24039,"Manicouagan/Manicouagan"," 613","Baie-Comeau--Mingan",158,48,7,9,154,4,380,
24039,"Manicouagan/Manicouagan"," 614","Baie-Comeau",86,43,12,6,151,6,304,
24039,"Manicouagan/Manicouagan"," 615","Sept-Îles",105,51,29,9,122,3,319,
24039,"Manicouagan/Manicouagan",,Group 1/Groupe 1,26,32,6,4,27,5,100,227
24039,"Manicouagan/Manicouagan",,Group 2/Groupe 2,150,77,35,11,134,13,420,
