Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,German Gutierrez,Mary Ann Hodge,Glen Pearson,Susan Truppe,AnnaMaria Valastro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"London North Centre/London-Centre-Nord"," 16","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 17","London",36,15,134,107,0,1,293,427
35043,"London North Centre/London-Centre-Nord"," 18","London",36,12,143,92,0,2,285,418
35043,"London North Centre/London-Centre-Nord"," 19","London",41,11,113,64,1,3,233,342
35043,"London North Centre/London-Centre-Nord"," 20","London",26,11,165,71,2,2,277,394
35043,"London North Centre/London-Centre-Nord"," 21","London",68,10,131,103,0,3,315,426
35043,"London North Centre/London-Centre-Nord"," 22","London",Merged with No. 21/Fusionné avec le nº 21,,,,,,,69
35043,"London North Centre/London-Centre-Nord"," 23","London",46,7,125,129,0,2,309,487
35043,"London North Centre/London-Centre-Nord"," 24","London",24,4,124,74,1,1,228,376
35043,"London North Centre/London-Centre-Nord"," 25","London",48,9,107,118,0,2,284,469
35043,"London North Centre/London-Centre-Nord"," 26","London",36,8,135,119,0,1,299,438
35043,"London North Centre/London-Centre-Nord"," 27","London",73,10,65,94,0,2,244,470
35043,"London North Centre/London-Centre-Nord"," 28","London",40,9,98,119,0,1,267,450
35043,"London North Centre/London-Centre-Nord"," 29","London",49,10,125,141,0,0,325,481
35043,"London North Centre/London-Centre-Nord"," 30","London",34,9,89,124,1,2,259,393
35043,"London North Centre/London-Centre-Nord"," 31","London",16,6,74,83,0,0,179,262
35043,"London North Centre/London-Centre-Nord"," 32","London",34,8,78,87,1,1,209,330
35043,"London North Centre/London-Centre-Nord"," 33","London",34,5,118,117,0,1,275,454
35043,"London North Centre/London-Centre-Nord"," 34","London",36,2,86,29,0,0,153,324
35043,"London North Centre/London-Centre-Nord"," 35","London",41,4,117,107,0,1,270,438
35043,"London North Centre/London-Centre-Nord"," 36","London",48,6,120,119,1,0,294,441
35043,"London North Centre/London-Centre-Nord"," 37","London",20,6,77,84,1,0,188,315
35043,"London North Centre/London-Centre-Nord"," 38","London",13,6,104,93,1,0,217,322
35043,"London North Centre/London-Centre-Nord"," 39","London",30,16,75,109,1,0,231,399
35043,"London North Centre/London-Centre-Nord"," 40","London",65,4,73,125,0,2,269,453
35043,"London North Centre/London-Centre-Nord"," 40-1","London",61,9,86,125,2,2,285,561
35043,"London North Centre/London-Centre-Nord"," 41","London",74,9,83,130,2,2,300,559
35043,"London North Centre/London-Centre-Nord"," 41-1","London",63,7,81,111,1,2,265,524
35043,"London North Centre/London-Centre-Nord"," 41-2","London",77,6,88,89,1,2,263,473
35043,"London North Centre/London-Centre-Nord"," 41-3","London",78,15,88,97,0,3,281,566
35043,"London North Centre/London-Centre-Nord"," 42","London",53,7,95,120,0,0,275,511
35043,"London North Centre/London-Centre-Nord"," 43","London",45,8,97,109,1,1,261,386
35043,"London North Centre/London-Centre-Nord"," 44","London",61,12,60,126,0,0,259,563
35043,"London North Centre/London-Centre-Nord"," 45","London",56,7,51,66,0,0,180,426
35043,"London North Centre/London-Centre-Nord"," 46","London",60,3,45,64,1,1,174,351
35043,"London North Centre/London-Centre-Nord"," 47","London",67,7,90,107,1,0,272,461
35043,"London North Centre/London-Centre-Nord"," 48","London",79,7,70,88,0,2,246,527
35043,"London North Centre/London-Centre-Nord"," 49","London",55,4,77,100,0,0,236,379
35043,"London North Centre/London-Centre-Nord"," 50","London",44,8,98,89,0,0,239,390
35043,"London North Centre/London-Centre-Nord"," 51","London",50,10,111,100,1,1,273,388
35043,"London North Centre/London-Centre-Nord"," 52","London",47,5,92,101,3,0,248,394
35043,"London North Centre/London-Centre-Nord"," 53","London",30,9,93,85,1,2,220,377
35043,"London North Centre/London-Centre-Nord"," 54","London",47,11,90,91,0,1,240,417
35043,"London North Centre/London-Centre-Nord"," 55","London",79,17,46,41,0,2,185,475
35043,"London North Centre/London-Centre-Nord"," 56","London",115,15,53,75,3,2,263,541
35043,"London North Centre/London-Centre-Nord"," 57","London",80,11,21,23,0,0,135,347
35043,"London North Centre/London-Centre-Nord"," 58","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 59A","London",61,4,33,24,0,2,124,323
35043,"London North Centre/London-Centre-Nord"," 59B","London",50,9,25,33,2,2,121,335
35043,"London North Centre/London-Centre-Nord"," 60","London",29,8,98,84,1,0,220,352
35043,"London North Centre/London-Centre-Nord"," 61","London",36,7,81,91,0,0,215,365
35043,"London North Centre/London-Centre-Nord"," 62","London",34,3,76,141,1,1,256,479
35043,"London North Centre/London-Centre-Nord"," 63A","London",34,1,38,78,0,1,152,295
35043,"London North Centre/London-Centre-Nord"," 63B","London",31,8,44,62,0,0,145,297
35043,"London North Centre/London-Centre-Nord"," 64","London",89,12,73,57,1,2,234,462
35043,"London North Centre/London-Centre-Nord"," 65","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 66","London",35,10,110,86,0,0,241,395
35043,"London North Centre/London-Centre-Nord"," 67","London",28,7,103,65,2,0,205,310
35043,"London North Centre/London-Centre-Nord"," 68","London",32,7,56,73,1,0,169,310
35043,"London North Centre/London-Centre-Nord"," 69","London",22,6,91,52,1,0,172,377
35043,"London North Centre/London-Centre-Nord"," 70","London",36,4,60,25,0,0,125,323
35043,"London North Centre/London-Centre-Nord"," 71","London",45,6,53,80,0,0,184,353
35043,"London North Centre/London-Centre-Nord"," 72","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 73","London",68,10,73,120,0,0,271,359
35043,"London North Centre/London-Centre-Nord"," 74","London",61,6,88,120,1,3,279,416
35043,"London North Centre/London-Centre-Nord"," 75","London",57,3,74,148,1,1,284,378
35043,"London North Centre/London-Centre-Nord"," 76","London",70,3,90,93,0,0,256,418
35043,"London North Centre/London-Centre-Nord"," 77A","London",47,5,54,88,0,3,197,301
35043,"London North Centre/London-Centre-Nord"," 77B","London",47,7,81,76,0,1,212,330
35043,"London North Centre/London-Centre-Nord"," 78","London",40,8,29,58,0,1,136,223
35043,"London North Centre/London-Centre-Nord"," 79","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 80","London",37,5,33,19,0,0,94,289
35043,"London North Centre/London-Centre-Nord"," 81","London",55,27,61,45,1,0,189,309
35043,"London North Centre/London-Centre-Nord"," 82","London",61,19,49,65,0,2,196,323
35043,"London North Centre/London-Centre-Nord"," 83","London",35,9,32,31,6,0,113,249
35043,"London North Centre/London-Centre-Nord"," 84","London",45,7,47,37,0,2,138,278
35043,"London North Centre/London-Centre-Nord"," 84-1","London",56,5,33,20,2,0,116,252
35043,"London North Centre/London-Centre-Nord"," 85","London",29,2,29,20,0,0,80,256
35043,"London North Centre/London-Centre-Nord"," 86","London",30,3,61,48,1,0,143,299
35043,"London North Centre/London-Centre-Nord"," 87","London",15,8,91,72,0,0,186,320
35043,"London North Centre/London-Centre-Nord"," 88","London",41,10,85,97,0,2,235,374
35043,"London North Centre/London-Centre-Nord"," 89","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 90","London",45,7,110,134,0,0,296,532
35043,"London North Centre/London-Centre-Nord"," 91","London",32,6,72,53,0,0,163,265
35043,"London North Centre/London-Centre-Nord"," 92","London",31,8,53,35,2,1,130,283
35043,"London North Centre/London-Centre-Nord"," 93","London",30,9,53,44,1,1,138,298
35043,"London North Centre/London-Centre-Nord"," 94","London",18,2,64,16,0,0,100,304
35043,"London North Centre/London-Centre-Nord"," 95","London",Merged with No. 407/Fusionné avec le nº 407,,,,,,,214
35043,"London North Centre/London-Centre-Nord"," 96","London",23,6,99,51,1,1,181,278
35043,"London North Centre/London-Centre-Nord"," 97","London",27,5,61,30,0,2,125,222
35043,"London North Centre/London-Centre-Nord"," 98","London",28,9,134,95,1,0,267,431
35043,"London North Centre/London-Centre-Nord"," 99","London",30,14,153,110,2,4,313,480
35043,"London North Centre/London-Centre-Nord"," 100","London",63,5,81,96,2,1,248,508
35043,"London North Centre/London-Centre-Nord"," 101A","London",41,3,33,67,2,0,146,308
35043,"London North Centre/London-Centre-Nord"," 101B","London",33,5,51,66,0,0,155,321
35043,"London North Centre/London-Centre-Nord"," 102","London",66,13,112,163,0,2,356,524
35043,"London North Centre/London-Centre-Nord"," 103","London",64,9,57,102,2,0,234,414
35043,"London North Centre/London-Centre-Nord"," 104","London",77,7,43,72,2,2,203,397
35043,"London North Centre/London-Centre-Nord"," 105","London",63,8,44,103,2,0,220,380
35043,"London North Centre/London-Centre-Nord"," 106A","London",55,2,16,57,0,1,131,290
35043,"London North Centre/London-Centre-Nord"," 106B","London",61,8,24,39,0,1,133,304
35043,"London North Centre/London-Centre-Nord"," 107","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 108","London",81,14,71,98,3,3,270,480
35043,"London North Centre/London-Centre-Nord"," 109","London",52,11,64,73,0,2,202,451
35043,"London North Centre/London-Centre-Nord"," 110","London",56,6,25,67,2,1,157,321
35043,"London North Centre/London-Centre-Nord"," 111A","London",33,2,31,38,1,2,107,299
35043,"London North Centre/London-Centre-Nord"," 111B","London",42,7,24,36,1,0,110,302
35043,"London North Centre/London-Centre-Nord"," 112A","London",42,5,28,37,1,0,113,275
35043,"London North Centre/London-Centre-Nord"," 112B","London",52,0,22,29,1,1,105,292
35043,"London North Centre/London-Centre-Nord"," 113","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 114","London",51,2,33,32,0,0,118,320
35043,"London North Centre/London-Centre-Nord"," 115","London",96,17,66,86,1,0,266,512
35043,"London North Centre/London-Centre-Nord"," 116","London",48,7,34,48,1,1,139,395
35043,"London North Centre/London-Centre-Nord"," 117","London",80,8,39,45,2,0,174,452
35043,"London North Centre/London-Centre-Nord"," 118","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 119","London",59,7,44,62,0,0,172,389
35043,"London North Centre/London-Centre-Nord"," 120A","London",59,10,22,28,1,0,120,379
35043,"London North Centre/London-Centre-Nord"," 120B","London",60,8,30,43,0,1,142,356
35043,"London North Centre/London-Centre-Nord"," 121","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 122","London",72,10,50,114,0,2,248,510
35043,"London North Centre/London-Centre-Nord"," 123","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 124","London",112,12,51,100,4,0,279,519
35043,"London North Centre/London-Centre-Nord"," 125","London",50,6,49,62,1,0,168,310
35043,"London North Centre/London-Centre-Nord"," 126","London",57,13,51,84,1,1,207,378
35043,"London North Centre/London-Centre-Nord"," 127","London",86,7,62,93,2,0,250,364
35043,"London North Centre/London-Centre-Nord"," 128","London",52,7,49,55,2,0,165,341
35043,"London North Centre/London-Centre-Nord"," 129","London",34,6,68,54,0,0,162,305
35043,"London North Centre/London-Centre-Nord"," 130","London",33,19,125,67,2,1,247,380
35043,"London North Centre/London-Centre-Nord"," 131","London",51,18,110,49,0,0,228,343
35043,"London North Centre/London-Centre-Nord"," 132","London",22,5,91,67,1,1,187,290
35043,"London North Centre/London-Centre-Nord"," 133","London",19,3,81,50,0,0,153,295
35043,"London North Centre/London-Centre-Nord"," 134A","London",42,10,78,45,0,0,175,319
35043,"London North Centre/London-Centre-Nord"," 134B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,216
35043,"London North Centre/London-Centre-Nord"," 134-1","London",57,9,111,77,0,2,256,330
35043,"London North Centre/London-Centre-Nord"," 135","London",25,12,104,70,0,0,211,309
35043,"London North Centre/London-Centre-Nord"," 136","London",51,17,123,47,0,0,238,360
35043,"London North Centre/London-Centre-Nord"," 137","London",26,10,84,49,2,0,171,304
35043,"London North Centre/London-Centre-Nord"," 138","London",60,10,92,60,0,0,222,424
35043,"London North Centre/London-Centre-Nord"," 139","London",76,17,89,77,1,0,260,439
35043,"London North Centre/London-Centre-Nord"," 140","London",70,8,54,52,0,0,184,311
35043,"London North Centre/London-Centre-Nord"," 141","London",79,7,29,51,0,1,167,369
35043,"London North Centre/London-Centre-Nord"," 142","London",78,11,44,73,0,1,207,377
35043,"London North Centre/London-Centre-Nord"," 143","London",47,14,22,59,0,1,143,313
35043,"London North Centre/London-Centre-Nord"," 144","London",75,5,30,70,1,1,182,331
35043,"London North Centre/London-Centre-Nord"," 145","London",55,5,62,48,1,0,171,374
35043,"London North Centre/London-Centre-Nord"," 146","London",38,5,47,39,2,0,131,283
35043,"London North Centre/London-Centre-Nord"," 147","London",44,9,49,42,1,0,145,336
35043,"London North Centre/London-Centre-Nord"," 148","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 149","London",51,13,63,49,1,0,177,339
35043,"London North Centre/London-Centre-Nord"," 150","London",54,2,77,44,0,3,180,304
35043,"London North Centre/London-Centre-Nord"," 151","London",74,11,77,55,5,1,223,368
35043,"London North Centre/London-Centre-Nord"," 152","London",56,11,44,33,1,0,145,263
35043,"London North Centre/London-Centre-Nord"," 153","London",53,14,71,33,0,2,173,334
35043,"London North Centre/London-Centre-Nord"," 154","London",42,11,61,36,0,1,151,311
35043,"London North Centre/London-Centre-Nord"," 155","London",40,14,68,31,1,0,154,284
35043,"London North Centre/London-Centre-Nord"," 156","London",72,6,58,32,0,1,169,305
35043,"London North Centre/London-Centre-Nord"," 157","London",57,18,77,47,5,0,204,415
35043,"London North Centre/London-Centre-Nord"," 158","London",38,5,39,36,1,0,119,221
35043,"London North Centre/London-Centre-Nord"," 159","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 160","London",48,6,50,21,1,2,128,311
35043,"London North Centre/London-Centre-Nord"," 161","London",21,5,72,47,0,0,145,272
35043,"London North Centre/London-Centre-Nord"," 162","London",71,8,74,62,0,1,216,431
35043,"London North Centre/London-Centre-Nord"," 163","London",51,2,32,32,1,2,120,340
35043,"London North Centre/London-Centre-Nord"," 164","London",33,9,64,21,0,0,127,398
35043,"London North Centre/London-Centre-Nord"," 165","London",38,5,63,51,0,0,157,380
35043,"London North Centre/London-Centre-Nord"," 166","London",70,7,104,53,0,0,234,532
35043,"London North Centre/London-Centre-Nord"," 166-1","London",34,7,39,50,0,0,130,321
35043,"London North Centre/London-Centre-Nord"," 167","London",65,6,53,36,0,4,164,343
35043,"London North Centre/London-Centre-Nord"," 168","London",83,9,36,42,0,1,171,407
35043,"London North Centre/London-Centre-Nord"," 169","London",80,10,41,32,2,2,167,401
35043,"London North Centre/London-Centre-Nord"," 170","London",99,15,92,82,0,2,290,560
35043,"London North Centre/London-Centre-Nord"," 171","London",96,16,41,89,2,0,244,501
35043,"London North Centre/London-Centre-Nord"," 172","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 173","London",80,13,43,64,1,0,201,500
35043,"London North Centre/London-Centre-Nord"," 174","London",96,8,38,69,1,2,214,390
35043,"London North Centre/London-Centre-Nord"," 175","London",51,6,19,43,0,0,119,354
35043,"London North Centre/London-Centre-Nord"," 176","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 177","London",50,3,20,38,2,0,113,366
35043,"London North Centre/London-Centre-Nord"," 178","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 179","London",116,18,45,75,1,2,257,481
35043,"London North Centre/London-Centre-Nord"," 180","London",70,9,32,65,2,0,178,298
35043,"London North Centre/London-Centre-Nord"," 181","London",96,23,67,66,1,0,253,486
35043,"London North Centre/London-Centre-Nord"," 182","London",77,24,55,47,0,0,203,386
35043,"London North Centre/London-Centre-Nord"," 183","London",72,19,43,35,1,0,170,337
35043,"London North Centre/London-Centre-Nord"," 184","London",71,10,35,45,1,1,163,329
35043,"London North Centre/London-Centre-Nord"," 185","London",52,18,39,20,1,1,131,289
35043,"London North Centre/London-Centre-Nord"," 186","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 187","London",86,9,41,48,0,0,184,517
35043,"London North Centre/London-Centre-Nord"," 188","London",71,6,27,64,2,0,170,422
35043,"London North Centre/London-Centre-Nord"," 189","London",101,14,44,62,1,2,224,443
35043,"London North Centre/London-Centre-Nord"," 190","London",68,8,26,55,1,0,158,383
35043,"London North Centre/London-Centre-Nord"," 191","London",77,5,14,72,0,0,168,366
35043,"London North Centre/London-Centre-Nord"," 192","London",75,6,26,57,0,0,164,326
35043,"London North Centre/London-Centre-Nord"," 193","London",71,9,24,47,3,1,155,327
35043,"London North Centre/London-Centre-Nord"," 194","London",73,9,19,58,2,1,162,350
35043,"London North Centre/London-Centre-Nord"," 195","London",89,9,43,67,0,0,208,391
35043,"London North Centre/London-Centre-Nord"," 196","London",90,13,18,58,3,1,183,442
35043,"London North Centre/London-Centre-Nord"," 197","London",84,7,31,51,0,1,174,413
35043,"London North Centre/London-Centre-Nord"," 198","London",105,17,44,79,2,5,252,574
35043,"London North Centre/London-Centre-Nord"," 199","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 200","London",59,8,34,50,1,0,152,406
35043,"London North Centre/London-Centre-Nord"," 201","London",88,9,43,45,1,1,187,545
35043,"London North Centre/London-Centre-Nord"," 202","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 203","London",50,12,33,33,1,2,131,298
35043,"London North Centre/London-Centre-Nord"," 204","London",50,7,39,55,1,0,152,345
35043,"London North Centre/London-Centre-Nord"," 205","London",69,11,39,35,0,0,154,421
35043,"London North Centre/London-Centre-Nord"," 206A","London",36,10,45,41,1,0,133,392
35043,"London North Centre/London-Centre-Nord"," 206B","London",48,8,47,34,1,0,138,384
35043,"London North Centre/London-Centre-Nord"," 207","London",42,12,25,25,1,1,106,326
35043,"London North Centre/London-Centre-Nord"," 208","London",75,13,36,41,1,3,169,393
35043,"London North Centre/London-Centre-Nord"," 209","London",42,11,41,34,7,1,136,330
35043,"London North Centre/London-Centre-Nord"," 210","London",85,7,43,46,5,0,186,426
35043,"London North Centre/London-Centre-Nord"," 211","London",54,7,28,61,0,0,150,339
35043,"London North Centre/London-Centre-Nord"," 212","London",63,5,18,50,0,1,137,319
35043,"London North Centre/London-Centre-Nord"," 213","London",73,2,36,57,3,1,172,354
35043,"London North Centre/London-Centre-Nord"," 214","London",64,8,22,37,1,0,132,345
35043,"London North Centre/London-Centre-Nord"," 215","London",63,8,24,63,1,0,159,349
35043,"London North Centre/London-Centre-Nord"," 216A","London",69,6,26,47,0,0,148,315
35043,"London North Centre/London-Centre-Nord"," 216B","London",49,11,18,56,1,0,135,310
35043,"London North Centre/London-Centre-Nord"," 217","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 218","London",69,14,28,63,0,0,174,355
35043,"London North Centre/London-Centre-Nord"," 400","London",66,2,46,71,2,1,188,254
35043,"London North Centre/London-Centre-Nord"," 401","London",51,3,48,82,0,0,184,234
35043,"London North Centre/London-Centre-Nord"," 402","London",59,7,43,69,0,2,180,233
35043,"London North Centre/London-Centre-Nord"," 403","London",Merged with No. 21/Fusionné avec le nº 21,,,,,,,151
35043,"London North Centre/London-Centre-Nord"," 404","London",Merged with No. 21/Fusionné avec le nº 21,,,,,,,2
35043,"London North Centre/London-Centre-Nord"," 405","London",Merged with No. 92/Fusionné avec le nº 92,,,,,,,35
35043,"London North Centre/London-Centre-Nord"," 406","London",Merged with No. 21/Fusionné avec le nº 21,,,,,,,2
35043,"London North Centre/London-Centre-Nord"," 407","London",19,10,48,24,2,1,104,209
35043,"London North Centre/London-Centre-Nord"," 408","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 409","London",Merged with No. 21/Fusionné avec le nº 21,,,,,,,221
35043,"London North Centre/London-Centre-Nord"," 410","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 411","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 412","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 413","London",Void/Supprimé,,,,,,,
35043,"London North Centre/London-Centre-Nord"," 414","London",28,4,17,11,1,0,61,240
35043,"London North Centre/London-Centre-Nord"," 415","London",Merged with No. 70/Fusionné avec le nº 70,,,,,,,38
35043,"London North Centre/London-Centre-Nord"," 416","London",Merged with No. 70/Fusionné avec le nº 70,,,,,,,20
35043,"London North Centre/London-Centre-Nord"," 500","Mobile poll/Bureau itinérant",12,0,20,18,1,1,52,93
35043,"London North Centre/London-Centre-Nord"," 501","Mobile poll/Bureau itinérant",16,7,37,69,0,0,129,199
35043,"London North Centre/London-Centre-Nord"," 502","Mobile poll/Bureau itinérant",25,9,22,34,1,1,92,194
35043,"London North Centre/London-Centre-Nord"," 503A","Mobile poll/Bureau itinérant",15,6,79,39,0,3,142,173
35043,"London North Centre/London-Centre-Nord"," 503B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,95
35043,"London North Centre/London-Centre-Nord"," 504","Mobile poll/Bureau itinérant",20,6,70,93,3,0,192,281
35043,"London North Centre/London-Centre-Nord"," 505","Mobile poll/Bureau itinérant",28,10,61,60,2,4,165,175
35043,"London North Centre/London-Centre-Nord"," 600","London",40,14,304,312,1,1,672,
35043,"London North Centre/London-Centre-Nord"," 601","London",58,24,278,283,0,0,643,
35043,"London North Centre/London-Centre-Nord"," 602","London",49,11,223,316,3,1,603,
35043,"London North Centre/London-Centre-Nord"," 603","London",48,12,172,135,0,2,369,
35043,"London North Centre/London-Centre-Nord"," 604","London",37,29,205,160,0,2,433,
35043,"London North Centre/London-Centre-Nord"," 605","London",123,11,117,196,2,0,449,
35043,"London North Centre/London-Centre-Nord"," 606","London",84,18,201,133,2,4,442,
35043,"London North Centre/London-Centre-Nord"," 607","London",158,35,313,266,8,2,782,
35043,"London North Centre/London-Centre-Nord"," 608","London",114,19,131,123,1,0,388,
35043,"London North Centre/London-Centre-Nord"," 609","London",64,11,54,81,3,1,214,
35043,"London North Centre/London-Centre-Nord"," 610","London",76,12,297,410,2,0,797,
35043,"London North Centre/London-Centre-Nord"," 611","London",93,18,183,287,0,0,581,
35043,"London North Centre/London-Centre-Nord",,Group 1/Groupe 1,23,17,85,94,1,14,234,423
35043,"London North Centre/London-Centre-Nord",,Group 2/Groupe 2,144,34,369,325,4,18,894,
