Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Albert Ashley,Lorne Bruce,Bob Rosehart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 83","Kitchener",120,13,86,57,2,278,618
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84","Kitchener",110,7,66,43,0,226,537
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84-1","Kitchener",92,3,54,34,3,186,466
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84-2A","Kitchener",69,5,57,42,1,174,416
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84-2B","Kitchener",67,3,46,41,0,157,433
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84-3","Kitchener",87,8,58,42,0,195,464
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85","Kitchener",131,12,61,43,1,248,498
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85-1A","Kitchener",91,7,44,25,1,168,396
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85-1B","Kitchener",82,9,44,20,2,157,367
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85-2","Kitchener",129,18,68,35,1,251,602
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85-3","Kitchener",118,9,63,41,0,231,532
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 86","Kitchener",102,11,73,59,0,245,498
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 87","Kitchener",93,8,65,63,0,229,450
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 88","Kitchener",110,16,75,45,0,246,454
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 89","Kitchener",81,6,56,46,1,190,401
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 90","Kitchener",93,5,47,20,0,165,327
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 90-1","Kitchener",39,0,13,28,2,82,341
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 91","Kitchener",77,7,60,35,1,180,368
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 92","Kitchener",88,11,79,41,0,219,463
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 92-1","Kitchener",105,7,42,34,0,188,414
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 93","Kitchener",89,4,41,30,1,165,418
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 94","Kitchener",83,16,62,37,0,198,560
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 95","Kitchener",Void/Supprimé,,,,,,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 96","Kitchener",80,8,79,18,0,185,436
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 97","Kitchener",109,8,45,53,0,215,435
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 98","Kitchener",111,15,56,38,0,220,403
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 99","Kitchener",112,8,69,32,1,222,447
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 100","Kitchener",127,14,38,32,0,211,450
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 101","Kitchener",81,5,45,26,0,157,275
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 102","Kitchener",50,7,25,18,2,102,258
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 103","Kitchener",85,7,56,55,1,204,394
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 104","Kitchener",124,15,98,62,0,299,585
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 105","Kitchener",89,12,64,17,1,183,395
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 106","Kitchener",162,9,92,56,0,319,551
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 107","Kitchener",118,9,61,30,2,220,407
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 108","Kitchener",114,13,59,35,1,222,379
