Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand W. Bernier,François Choquette,Pierre Côté,Robin Fortin,Roger Pomerleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Drummond/Drummond"," 27","Saint-Guillaume",25,77,9,1,46,4,162,275
24018,"Drummond/Drummond"," 28","Saint-Guillaume",32,107,11,4,38,3,195,334
24018,"Drummond/Drummond"," 29","Saint-Guillaume",20,80,11,3,32,0,146,222
24018,"Drummond/Drummond"," 30","Saint-Guillaume",46,109,21,11,39,1,227,332
24018,"Drummond/Drummond"," 31","Saint-Eugène",39,155,12,8,67,7,288,431
24018,"Drummond/Drummond"," 32","Saint-Eugène",31,173,7,10,60,3,284,450
24018,"Drummond/Drummond"," 33","Saint-Germain-de-Grantham",22,117,8,6,56,9,218,434
24018,"Drummond/Drummond"," 34","Saint-Germain-de-Grantham",34,164,20,7,73,4,302,470
24018,"Drummond/Drummond"," 35","Saint-Germain-de-Grantham",54,225,25,11,63,10,388,599
24018,"Drummond/Drummond"," 36","Saint-Germain-de-Grantham",29,105,13,2,31,5,185,345
24018,"Drummond/Drummond"," 36-1","Saint-Germain-de-Grantham",39,163,27,12,74,5,320,486
24018,"Drummond/Drummond"," 37","Saint-Germain-de-Grantham",58,164,17,5,62,12,318,577
24018,"Drummond/Drummond"," 38","Saint-Germain-de-Grantham",27,111,24,5,48,5,220,417
24018,"Drummond/Drummond"," 39","Drummondville",37,138,22,6,50,2,255,450
24018,"Drummond/Drummond"," 40","Drummondville",28,191,19,9,69,8,324,486
24018,"Drummond/Drummond"," 41","Drummondville",30,158,11,13,51,7,270,644
24018,"Drummond/Drummond"," 42","Drummondville",34,131,15,3,41,4,228,430
24018,"Drummond/Drummond"," 43","Drummondville",33,114,18,1,43,3,212,333
24018,"Drummond/Drummond"," 43-1","Drummondville",25,123,14,1,22,5,190,315
24018,"Drummond/Drummond"," 44","Drummondville",19,77,9,2,28,3,138,267
24018,"Drummond/Drummond"," 45","Drummondville",30,113,8,5,64,1,221,509
24018,"Drummond/Drummond"," 46","Drummondville",46,155,13,4,43,2,263,601
24018,"Drummond/Drummond"," 47","Drummondville",39,106,14,4,45,4,212,408
24018,"Drummond/Drummond"," 48","Drummondville",Merged with No. 48-1/Fusionné avec le nº 48-1,,,,,,,203
24018,"Drummond/Drummond"," 48-1","Drummondville",49,118,21,4,49,1,242,208
24018,"Drummond/Drummond"," 49","Drummondville",56,161,16,3,44,1,281,459
24018,"Drummond/Drummond"," 49-1","Drummondville",48,155,23,2,42,4,274,456
24018,"Drummond/Drummond"," 50","Drummondville",10,51,5,4,36,3,109,325
24018,"Drummond/Drummond"," 50-1","Drummondville",37,154,14,5,50,7,267,587
24018,"Drummond/Drummond"," 51","Drummondville",47,138,33,3,41,2,264,577
24018,"Drummond/Drummond"," 51-1","Drummondville",51,112,33,6,57,4,263,581
24018,"Drummond/Drummond"," 52","Drummondville",80,167,40,5,71,7,370,567
24018,"Drummond/Drummond"," 53","Drummondville",34,117,36,3,44,2,236,363
24018,"Drummond/Drummond"," 54A","Drummondville",20,77,23,4,30,3,157,279
24018,"Drummond/Drummond"," 54B","Drummondville",13,19,15,2,13,1,63,353
24018,"Drummond/Drummond"," 55","Drummondville",35,100,23,1,36,2,197,303
24018,"Drummond/Drummond"," 56","Drummondville",20,99,11,8,34,1,173,318
24018,"Drummond/Drummond"," 57","Drummondville",51,80,42,4,26,1,204,353
24018,"Drummond/Drummond"," 58","Drummondville",40,102,21,2,43,2,210,460
24018,"Drummond/Drummond"," 59","Drummondville",31,96,20,1,42,5,195,414
24018,"Drummond/Drummond"," 60","Drummondville",17,73,8,2,26,5,131,336
24018,"Drummond/Drummond"," 61","Drummondville",32,99,16,0,39,5,191,328
24018,"Drummond/Drummond"," 62","Drummondville",15,98,12,2,36,2,165,274
24018,"Drummond/Drummond"," 63","Drummondville",16,81,11,5,28,0,141,295
24018,"Drummond/Drummond"," 64","Drummondville",43,108,17,3,41,3,215,389
24018,"Drummond/Drummond"," 65","Saint-Charles-de-Drummond",43,138,31,7,42,4,265,414
24018,"Drummond/Drummond"," 66","Saint-Charles-de-Drummond",46,151,31,1,44,1,274,418
24018,"Drummond/Drummond"," 66-1","Saint-Charles-de-Drummond",43,159,25,8,51,6,292,502
24018,"Drummond/Drummond"," 66-2","Saint-Charles-de-Drummond",29,102,12,3,52,1,199,328
24018,"Drummond/Drummond"," 67","Saint-Charles-de-Drummond",17,138,8,4,43,4,214,427
24018,"Drummond/Drummond"," 68","Saint-Charles-de-Drummond",21,103,8,1,31,5,169,305
24018,"Drummond/Drummond"," 68-1","Saint-Charles-de-Drummond",30,132,11,6,31,6,216,335
24018,"Drummond/Drummond"," 69","Saint-Charles-de-Drummond",22,99,5,4,30,3,163,280
24018,"Drummond/Drummond"," 70","Saint-Charles-de-Drummond",22,87,6,1,46,2,164,330
24018,"Drummond/Drummond"," 71","Saint-Charles-de-Drummond",47,136,13,9,52,0,257,460
24018,"Drummond/Drummond"," 72A","Drummondville",33,107,14,8,36,3,201,418
24018,"Drummond/Drummond"," 72B","Drummondville",48,120,10,0,33,2,213,437
24018,"Drummond/Drummond"," 73","Saint-Charles-de-Drummond",30,108,17,3,36,5,199,333
24018,"Drummond/Drummond"," 74","Saint-Charles-de-Drummond",22,55,9,4,30,2,122,238
24018,"Drummond/Drummond"," 74-1","Saint-Charles-de-Drummond",50,151,18,5,43,3,270,470
24018,"Drummond/Drummond"," 75","Saint-Charles-de-Drummond",35,169,15,11,54,3,287,447
24018,"Drummond/Drummond"," 76","Drummondville",17,65,6,2,28,3,121,237
24018,"Drummond/Drummond"," 77","Drummondville",20,44,7,2,31,3,107,339
24018,"Drummond/Drummond"," 78","Drummondville",25,103,20,8,46,2,204,483
24018,"Drummond/Drummond"," 79","Drummondville",23,90,11,5,37,2,168,419
24018,"Drummond/Drummond"," 80","Drummondville",14,58,12,0,25,2,111,317
24018,"Drummond/Drummond"," 81","Drummondville",20,27,7,2,14,2,72,243
24018,"Drummond/Drummond"," 82","Drummondville",27,35,4,1,22,3,92,261
24018,"Drummond/Drummond"," 83","Drummondville",11,50,9,0,24,3,97,317
24018,"Drummond/Drummond"," 84","Drummondville",10,62,2,4,44,2,124,322
24018,"Drummond/Drummond"," 85","Drummondville",12,52,7,0,31,3,105,418
24018,"Drummond/Drummond"," 86","Drummondville",25,55,15,5,45,3,148,331
24018,"Drummond/Drummond"," 87","Drummondville",28,68,14,4,30,5,149,384
24018,"Drummond/Drummond"," 88","Drummondville",10,55,9,2,21,1,98,273
24018,"Drummond/Drummond"," 89","Drummondville",13,67,7,1,29,7,124,328
24018,"Drummond/Drummond"," 90","Drummondville",65,77,68,5,46,5,266,342
24018,"Drummond/Drummond"," 91","Drummondville",20,80,8,3,34,4,149,348
24018,"Drummond/Drummond"," 92","Drummondville",20,101,24,1,45,3,194,393
24018,"Drummond/Drummond"," 93","Drummondville",32,129,10,5,40,5,221,468
24018,"Drummond/Drummond"," 94","Drummondville",12,61,5,0,21,2,101,287
24018,"Drummond/Drummond"," 95","Drummondville",22,103,16,3,50,3,197,366
24018,"Drummond/Drummond"," 96","Drummondville",25,91,27,3,27,3,176,323
24018,"Drummond/Drummond"," 97","Drummondville",46,77,25,7,56,5,216,368
24018,"Drummond/Drummond"," 98","Drummondville",32,88,22,5,37,4,188,393
24018,"Drummond/Drummond"," 99","Drummondville",46,129,16,8,44,4,247,460
24018,"Drummond/Drummond"," 100","Drummondville",33,101,13,1,26,2,176,349
24018,"Drummond/Drummond"," 101","Drummondville",22,107,19,6,35,3,192,488
24018,"Drummond/Drummond"," 102","Drummondville",31,60,17,6,28,2,144,302
24018,"Drummond/Drummond"," 103","Drummondville",30,103,5,7,26,6,177,375
24018,"Drummond/Drummond"," 104","Drummondville",52,194,21,4,63,4,338,600
24018,"Drummond/Drummond"," 105","Drummondville",42,143,24,2,46,7,264,401
24018,"Drummond/Drummond"," 106","Drummondville",49,157,16,7,64,5,298,627
24018,"Drummond/Drummond"," 107","Drummondville",43,153,11,5,56,3,271,492
24018,"Drummond/Drummond"," 107-1","Drummondville",34,127,8,3,36,2,210,379
24018,"Drummond/Drummond"," 108","Drummondville",35,197,24,6,63,5,330,600
24018,"Drummond/Drummond"," 108-1","Drummondville",41,159,11,7,72,5,295,563
24018,"Drummond/Drummond"," 109A","Drummondville",28,121,10,8,42,0,209,369
24018,"Drummond/Drummond"," 109B","Drummondville",31,154,11,3,48,2,249,474
24018,"Drummond/Drummond"," 109C","Drummondville",28,121,9,2,39,4,203,375
24018,"Drummond/Drummond"," 110","Drummondville",41,100,12,0,43,3,199,409
24018,"Drummond/Drummond"," 111","Drummondville",50,179,20,3,75,6,333,642
24018,"Drummond/Drummond"," 112","Drummondville",18,58,9,4,36,1,126,327
24018,"Drummond/Drummond"," 113","Drummondville",23,81,11,5,44,4,168,376
24018,"Drummond/Drummond"," 114","Drummondville",24,54,6,2,29,5,120,362
24018,"Drummond/Drummond"," 115","Drummondville",19,90,10,1,34,3,157,393
24018,"Drummond/Drummond"," 116","Drummondville",18,75,11,1,32,3,140,390
24018,"Drummond/Drummond"," 117","Drummondville",17,91,9,2,34,5,158,371
24018,"Drummond/Drummond"," 118","Drummondville",22,85,11,1,40,4,163,334
24018,"Drummond/Drummond"," 119","Drummondville",28,82,18,6,42,3,179,312
24018,"Drummond/Drummond"," 120","Drummondville",29,78,17,4,37,4,169,316
24018,"Drummond/Drummond"," 121","Drummondville",25,93,11,10,45,5,189,350
24018,"Drummond/Drummond"," 122","Drummondville",15,90,12,2,43,3,165,307
24018,"Drummond/Drummond"," 123","Drummondville",22,86,6,3,40,3,160,349
24018,"Drummond/Drummond"," 124","Drummondville",16,46,9,5,30,0,106,318
24018,"Drummond/Drummond"," 125","Drummondville",7,28,0,2,21,2,60,238
24018,"Drummond/Drummond"," 126","Drummondville",27,96,14,4,47,4,192,324
24018,"Drummond/Drummond"," 127","Drummondville",30,103,21,1,36,5,196,378
24018,"Drummond/Drummond"," 128","Drummondville",17,108,6,4,34,5,174,327
24018,"Drummond/Drummond"," 129","Drummondville",33,100,12,2,42,2,191,355
24018,"Drummond/Drummond"," 130A","Drummondville",24,123,13,5,40,5,210,419
24018,"Drummond/Drummond"," 130B","Drummondville",31,106,15,3,46,5,206,401
24018,"Drummond/Drummond"," 131","Drummondville",31,81,10,4,55,7,188,396
24018,"Drummond/Drummond"," 132","Drummondville",28,114,29,5,55,3,234,362
24018,"Drummond/Drummond"," 133","Drummondville",25,99,9,6,46,4,189,365
24018,"Drummond/Drummond"," 134","Drummondville",17,70,13,1,35,0,136,234
24018,"Drummond/Drummond"," 135","Drummondville",35,153,14,6,46,3,257,462
24018,"Drummond/Drummond"," 136","Drummondville",50,109,28,6,36,3,232,373
24018,"Drummond/Drummond"," 137","Drummondville",43,132,6,8,41,5,235,426
24018,"Drummond/Drummond"," 138","Drummondville",24,119,7,1,48,3,202,462
24018,"Drummond/Drummond"," 139","Drummondville",20,57,10,3,36,3,129,233
24018,"Drummond/Drummond"," 140","Drummondville",38,195,23,8,74,5,343,612
24018,"Drummond/Drummond"," 141","Saint-Nicéphore",16,86,10,1,26,0,139,276
24018,"Drummond/Drummond"," 142","Saint-Nicéphore",25,96,8,6,44,3,182,333
24018,"Drummond/Drummond"," 143","Saint-Nicéphore",47,181,12,8,64,5,317,544
24018,"Drummond/Drummond"," 144","Saint-Nicéphore",27,127,9,4,45,5,217,421
24018,"Drummond/Drummond"," 144-1","Saint-Nicéphore",20,147,19,1,55,6,248,491
24018,"Drummond/Drummond"," 145","Saint-Nicéphore",28,137,12,5,49,4,235,542
24018,"Drummond/Drummond"," 146","Drummondville",33,137,10,9,64,5,258,500
24018,"Drummond/Drummond"," 147","Saint-Nicéphore",25,144,8,4,65,10,256,495
24018,"Drummond/Drummond"," 148","Saint-Nicéphore",30,95,15,3,60,4,207,395
24018,"Drummond/Drummond"," 149","Saint-Nicéphore",25,109,10,6,41,7,198,413
24018,"Drummond/Drummond"," 150","Saint-Nicéphore",26,142,5,7,38,4,222,434
24018,"Drummond/Drummond"," 151","Saint-Nicéphore",23,123,11,6,55,5,223,408
24018,"Drummond/Drummond"," 151-1","Saint-Nicéphore",26,124,11,8,33,5,207,413
24018,"Drummond/Drummond"," 152","Saint-Nicéphore",20,105,10,8,40,2,185,371
24018,"Drummond/Drummond"," 153","Saint-Nicéphore",34,190,5,6,55,7,297,598
24018,"Drummond/Drummond"," 154","Saint-Nicéphore",28,134,15,5,41,5,228,466
24018,"Drummond/Drummond"," 155","Saint-Nicéphore",32,81,4,7,32,0,156,309
24018,"Drummond/Drummond"," 156","Saint-Nicéphore",34,135,5,8,41,11,234,473
24018,"Drummond/Drummond"," 157","Saint-Nicéphore",25,103,14,5,56,6,209,445
24018,"Drummond/Drummond"," 158","Saint-Nicéphore",16,114,12,2,24,3,171,327
24018,"Drummond/Drummond"," 159","Wickham",43,151,18,13,48,2,275,509
24018,"Drummond/Drummond"," 160","Wickham",39,148,21,13,44,3,268,506
24018,"Drummond/Drummond"," 161","Wickham",43,140,14,13,42,3,255,435
24018,"Drummond/Drummond"," 162","Wickham",23,141,12,18,43,7,244,460
24018,"Drummond/Drummond"," 163","Lefebvre",20,125,41,8,37,4,235,375
24018,"Drummond/Drummond"," 164","Lefebvre",21,91,21,7,32,1,173,269
24018,"Drummond/Drummond"," 165","Durham-Sud",26,105,39,7,39,1,217,362
24018,"Drummond/Drummond"," 166","Durham-Sud",43,162,42,11,44,3,305,447
24018,"Drummond/Drummond"," 167","L'Avenir",45,169,39,12,77,1,343,528
24018,"Drummond/Drummond"," 168","L'Avenir",41,172,19,3,52,6,293,511
24018,"Drummond/Drummond"," 400","Drummondville",119,85,65,3,58,11,341,437
24018,"Drummond/Drummond"," 500","Mobile poll/Bureau itinérant",25,19,13,0,11,2,70,145
24018,"Drummond/Drummond"," 501","Mobile poll/Bureau itinérant",28,18,45,0,20,7,118,202
24018,"Drummond/Drummond"," 502","Mobile poll/Bureau itinérant",34,39,51,2,31,1,158,249
24018,"Drummond/Drummond"," 503","Mobile poll/Bureau itinérant",26,17,25,3,8,5,84,165
24018,"Drummond/Drummond"," 504","Mobile poll/Bureau itinérant",52,63,31,3,41,4,194,306
24018,"Drummond/Drummond"," 600","Saint-Cyrille-de-Wendover",52,93,23,9,68,5,250,
24018,"Drummond/Drummond"," 601","Saint-Majorique",41,109,25,6,69,4,254,
24018,"Drummond/Drummond"," 602","Drummondville",116,239,55,10,130,7,557,
24018,"Drummond/Drummond"," 603","Drummondville",66,112,53,3,72,7,313,
24018,"Drummond/Drummond"," 604","Saint-Charles-de-Drummond",105,258,53,4,126,6,552,
24018,"Drummond/Drummond"," 605","Drummondville",80,240,31,6,119,7,483,
24018,"Drummond/Drummond"," 606","Drummondville",71,148,48,5,100,8,380,
24018,"Drummond/Drummond"," 607","Drummondville",109,269,48,7,170,13,616,
24018,"Drummond/Drummond"," 608","Saint-Nicéphore",64,261,34,6,160,7,532,
24018,"Drummond/Drummond"," 609","Wickham",27,101,19,1,62,3,213,
24018,"Drummond/Drummond"," 610","Drummondville",124,221,110,7,148,1,611,
24018,"Drummond/Drummond"," 611","Drummondville",68,175,40,5,100,2,390,
24018,"Drummond/Drummond"," 612","Notre-Dame-du-Bon-Conseil",34,53,36,2,51,2,178,
24018,"Drummond/Drummond"," 613","Drummondville",41,139,40,8,90,8,326,
24018,"Drummond/Drummond",,Group 1/Groupe 1,41,36,21,2,30,7,137,220
24018,"Drummond/Drummond",,Group 2/Groupe 2,262,326,187,19,462,21,1277,
