Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Allen,Chuck Chiasson,Pierre Cyr,Rish McGlynn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 137-1","Douglas",92,31,27,5,1,156,235
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 138","McLeod Hill",81,30,56,5,1,173,293
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 139","Howland Ridge--Central Hainesville",92,14,19,2,2,129,260
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 140","Springfield",113,5,41,6,0,165,257
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 141","Bear Island",98,22,21,5,0,146,220
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 142","Scotch Settlement",133,11,39,8,1,192,312
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 143","Bear Island",142,27,33,11,0,213,319
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 144","Brewers Mills",125,9,31,1,0,166,378
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 145","Upper Keswick",106,8,27,3,3,147,364
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 146","Keswick Ridge",100,28,36,9,1,174,291
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 147","Tripp Settlement",102,6,34,8,0,150,231
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 147-1","Bright",103,12,29,3,1,148,353
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 148","McKeens Corner",135,36,54,11,0,236,364
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 149","Upper Stoneridge",98,15,16,1,2,132,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 150","Burtts Corner",91,13,32,2,0,138,339
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 151","Birdton",81,16,47,4,1,149,312
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 152","MacLean Settlement",92,22,34,1,1,150,269
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 153","Keswick",138,38,60,9,0,245,447
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 154","Douglas",152,41,78,10,1,282,427
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 155","Douglas",123,27,58,8,0,216,336
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 155-1","Douglas",60,24,45,7,1,137,233
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 500","Mobile poll/Bureau itinérant",31,13,4,1,2,51,31
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 501","Mobile poll/Bureau itinérant",45,16,2,0,1,64,127
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 502","Mobile poll/Bureau itinérant",36,25,15,1,3,80,59
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 503","Mobile poll/Bureau itinérant",20,2,8,1,0,31,51
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 600","Drummond",288,157,100,12,7,564,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 601","Grand Falls--Grand-Sault",439,351,156,12,8,966,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 602","Plaster Rock",367,82,40,7,3,499,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 603","Perth-Andover",291,95,34,4,3,427,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 604","Bath",303,79,37,12,2,433,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 605","Florenceville",195,24,38,12,0,269,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 606","Jacksonville",204,29,21,7,1,262,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 607","Hartland",163,35,32,8,0,238,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 608","Woodstock",283,93,53,8,2,439,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 609","Lower Woodstock",308,62,41,10,1,422,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 610","Nackawic",200,56,28,6,1,291,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 611","Stanley",237,76,62,18,1,394,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 612","Springfield",383,85,70,17,0,555,
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,Group 1/Groupe 1,76,24,16,6,8,130,268
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,Group 2/Groupe 2,734,269,101,12,7,1123,
