Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Wally Daudrich,Sydney Garrioch,Alberteen Spence,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill/Churchill"," 52A","Oxford House",Merged with No. 53A/Fusionné avec le nº 53A,,,,,,168
46003,"Churchill/Churchill"," 52B","Oxford House",Merged with No. 53C/Fusionné avec le nº 53C,,,,,,196
46003,"Churchill/Churchill"," 53A","Oxford House",23,6,37,0,0,66,251
46003,"Churchill/Churchill"," 53B","Oxford House",17,0,5,0,0,22,28
46003,"Churchill/Churchill"," 53C","Oxford House",36,8,50,0,1,95,315
46003,"Churchill/Churchill"," 54A","Cross Lake",Merged with No. 55A/Fusionné avec le nº 55A,,,,,,135
46003,"Churchill/Churchill"," 54B","Cross Lake",Merged with No. 55B/Fusionné avec le nº 55B,,,,,,126
46003,"Churchill/Churchill"," 54C","Cross Lake",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,177
46003,"Churchill/Churchill"," 54D","Cross Lake",Merged with No. 55D/Fusionné avec le nº 55D,,,,,,113
46003,"Churchill/Churchill"," 55A","Cross Lake",110,5,100,4,0,219,338
46003,"Churchill/Churchill"," 55B","Cross Lake",94,3,75,1,1,174,389
46003,"Churchill/Churchill"," 55C","Cross Lake",162,3,139,2,0,306,387
46003,"Churchill/Churchill"," 55D","Cross Lake",106,4,95,2,0,207,269
46003,"Churchill/Churchill"," 55E","Cross Lake",2,0,6,0,0,8,23
46003,"Churchill/Churchill"," 56A","Cross Lake",Merged with No. 55A/Fusionné avec le nº 55A,,,,,,99
46003,"Churchill/Churchill"," 56B","Cross Lake",Merged with No. 55B/Fusionné avec le nº 55B,,,,,,80
46003,"Churchill/Churchill"," 56C","Cross Lake",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,152
46003,"Churchill/Churchill"," 56D","Cross Lake",Merged with No. 55D/Fusionné avec le nº 55D,,,,,,67
46003,"Churchill/Churchill"," 57A","Cross Lake",Merged with No. 55A/Fusionné avec le nº 55A,,,,,,3
46003,"Churchill/Churchill"," 57B","Cross Lake",Merged with No. 55B/Fusionné avec le nº 55B,,,,,,4
46003,"Churchill/Churchill"," 57C","Cross Lake",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,3
46003,"Churchill/Churchill"," 58","Sherridon",15,7,1,0,0,23,60
46003,"Churchill/Churchill"," 59A","Cranberry Portage",37,27,4,3,0,71,160
46003,"Churchill/Churchill"," 59B","Cranberry Portage",105,64,13,9,5,196,156
46003,"Churchill/Churchill"," 60A","Cranberry Portage",Merged with No. 59A/Fusionné avec le nº 59A,,,,,,81
46003,"Churchill/Churchill"," 60B","Cranberry Portage",Merged with No. 59B/Fusionné avec le nº 59B,,,,,,87
46003,"Churchill/Churchill"," 61","Snow Lake",79,94,7,5,1,186,414
46003,"Churchill/Churchill"," 62","Snow Lake",60,79,4,3,0,146,258
46003,"Churchill/Churchill"," 63","Snow Lake",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 64","Flin Flon",78,104,13,12,0,207,382
46003,"Churchill/Churchill"," 65A","Flin Flon",62,85,16,7,0,170,336
46003,"Churchill/Churchill"," 65B","Flin Flon",71,72,11,8,2,164,294
46003,"Churchill/Churchill"," 66","Flin Flon",87,46,13,1,0,147,398
46003,"Churchill/Churchill"," 67","Flin Flon",82,99,16,11,0,208,389
46003,"Churchill/Churchill"," 68","Flin Flon",59,94,17,10,1,181,368
46003,"Churchill/Churchill"," 69","Flin Flon",90,84,1,9,1,185,343
46003,"Churchill/Churchill"," 70","Flin Flon",69,79,8,8,0,164,335
46003,"Churchill/Churchill"," 71","Flin Flon",78,87,9,5,3,182,372
46003,"Churchill/Churchill"," 72","Flin Flon",69,34,8,2,1,114,280
46003,"Churchill/Churchill"," 73","Flin Flon",42,37,3,5,1,88,242
46003,"Churchill/Churchill"," 74","Flin Flon",70,60,7,4,0,141,338
46003,"Churchill/Churchill"," 75","Flin Flon",65,64,8,4,0,141,341
46003,"Churchill/Churchill"," 76","Wanless",45,47,5,2,1,100,186
46003,"Churchill/Churchill"," 77","Cormorant",84,12,3,2,0,101,219
46003,"Churchill/Churchill"," 78","Clearwater Lake",64,80,13,7,0,164,283
46003,"Churchill/Churchill"," 79","Umpherville",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 80","Pasquia Settlement",34,80,3,3,0,120,213
46003,"Churchill/Churchill"," 81A","Opaskwayak",60,3,37,2,0,102,306
46003,"Churchill/Churchill"," 81B","Opaskwayak",67,5,35,1,0,108,327
46003,"Churchill/Churchill"," 82A","Opaskwayak",126,6,54,3,2,191,421
46003,"Churchill/Churchill"," 82B","Opaskwayak",134,4,51,1,0,190,419
46003,"Churchill/Churchill"," 82-1","Opaskwayak",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 82-2A","Opaskwayak",Merged with No. 82A/Fusionné avec le nº 82A,,,,,,30
46003,"Churchill/Churchill"," 82-2B","Opaskwayak",Merged with No. 82B/Fusionné avec le nº 82B,,,,,,9
46003,"Churchill/Churchill"," 83","The Pas",34,45,10,3,0,92,262
46003,"Churchill/Churchill"," 84","The Pas",79,27,12,3,0,121,257
46003,"Churchill/Churchill"," 85","The Pas",111,73,10,10,0,204,449
46003,"Churchill/Churchill"," 86","The Pas",90,70,8,5,0,173,364
46003,"Churchill/Churchill"," 87","The Pas",84,73,14,0,2,173,417
46003,"Churchill/Churchill"," 88","The Pas",65,47,3,9,3,127,264
46003,"Churchill/Churchill"," 89","The Pas",63,44,16,5,1,129,347
46003,"Churchill/Churchill"," 90","Opaskwayak",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 91","The Pas",86,56,12,2,1,157,392
46003,"Churchill/Churchill"," 92","The Pas",167,82,19,7,2,277,651
46003,"Churchill/Churchill"," 93","The Pas",69,37,12,2,2,122,311
46003,"Churchill/Churchill"," 94","The Pas",86,80,16,4,0,186,468
46003,"Churchill/Churchill"," 95","Ralls Island",62,69,6,2,1,140,278
46003,"Churchill/Churchill"," 96","Youngs Point",63,74,5,2,0,144,398
46003,"Churchill/Churchill"," 97","Moose Lake",134,19,58,3,1,215,563
46003,"Churchill/Churchill"," 98","Easterville",127,8,39,3,2,179,532
46003,"Churchill/Churchill"," 99","Grand Rapids",122,20,32,2,0,176,468
46003,"Churchill/Churchill"," 100","Grand Rapids",66,4,15,3,0,88,193
46003,"Churchill/Churchill"," 101A","Norway House",Merged with No. 103A/Fusionné avec le nº 103A,,,,,,183
46003,"Churchill/Churchill"," 101B","Norway House",Merged with No. 103B/Fusionné avec le nº 103B,,,,,,168
46003,"Churchill/Churchill"," 101C","Norway House",Merged with No. 103C/Fusionné avec le nº 103C,,,,,,163
46003,"Churchill/Churchill"," 101D","Norway House",Merged with No. 103D/Fusionné avec le nº 103D,,,,,,229
46003,"Churchill/Churchill"," 102A","Norway House",Merged with No. 103A/Fusionné avec le nº 103A,,,,,,16
46003,"Churchill/Churchill"," 102B","Norway House",Merged with No. 103B/Fusionné avec le nº 103B,,,,,,38
46003,"Churchill/Churchill"," 102C","Norway House",Merged with No. 103C/Fusionné avec le nº 103C,,,,,,25
46003,"Churchill/Churchill"," 102D","Norway House",Merged with No. 103D/Fusionné avec le nº 103D,,,,,,41
46003,"Churchill/Churchill"," 103A","Norway House",64,7,56,3,0,130,338
46003,"Churchill/Churchill"," 103B","Norway House",65,11,46,1,0,123,362
46003,"Churchill/Churchill"," 103C","Norway House",44,14,63,3,0,124,365
46003,"Churchill/Churchill"," 103D","Norway House",109,10,71,4,1,195,368
46003,"Churchill/Churchill"," 104A","Norway House",Merged with No. 103A/Fusionné avec le nº 103A,,,,,,99
46003,"Churchill/Churchill"," 104B","Norway House",Merged with No. 103B/Fusionné avec le nº 103B,,,,,,54
46003,"Churchill/Churchill"," 104C","Norway House",Merged with No. 103C/Fusionné avec le nº 103C,,,,,,64
46003,"Churchill/Churchill"," 104D","Norway House",Merged with No. 103D/Fusionné avec le nº 103D,,,,,,76
46003,"Churchill/Churchill"," 105A","Norway House",Merged with No. 106A/Fusionné avec le nº 106A,,,,,,49
46003,"Churchill/Churchill"," 105B","Norway House",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,38
46003,"Churchill/Churchill"," 106A","Norway House",34,5,8,0,0,47,46
46003,"Churchill/Churchill"," 106B","Norway House",4,3,4,0,0,11,36
46003,"Churchill/Churchill"," 106C","Norway House",27,7,6,2,0,42,84
46003,"Churchill/Churchill"," 107","Waasagomach",28,5,112,1,0,146,598
46003,"Churchill/Churchill"," 108","Garden Hill",42,6,71,1,4,124,413
46003,"Churchill/Churchill"," 109","Red Sucker Lake",32,16,96,1,0,145,395
46003,"Churchill/Churchill"," 110","Garden Hill",68,10,97,0,0,175,719
46003,"Churchill/Churchill"," 111","Island Lake",5,13,1,1,1,21,52
46003,"Churchill/Churchill"," 111-1","Island Lake",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 112A","St. Theresa Point",35,0,87,0,0,122,509
46003,"Churchill/Churchill"," 112B","St. Theresa Point",40,3,106,1,0,150,814
46003,"Churchill/Churchill"," 113","Poplar River",90,2,13,0,1,106,409
46003,"Churchill/Churchill"," 114","Poplar River",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 115","Berens River",146,16,19,1,1,183,593
46003,"Churchill/Churchill"," 116","Pauingassi First Nation",150,2,4,1,0,157,246
46003,"Churchill/Churchill"," 117","Bloodvein",43,1,6,1,0,51,311
46003,"Churchill/Churchill"," 118","Little Grand Rapids",249,19,6,3,2,279,440
46003,"Churchill/Churchill"," 119","Hollow Water",107,13,12,0,0,132,334
46003,"Churchill/Churchill"," 120","Manigotagan",53,29,2,0,0,84,165
46003,"Churchill/Churchill"," 121","Bissett",16,44,1,2,1,64,98
46003,"Churchill/Churchill"," 122","Little Black River",73,2,13,2,0,90,241
46003,"Churchill/Churchill"," 123","Fort Alexander",65,12,15,2,4,98,245
46003,"Churchill/Churchill"," 124","Fort Alexander",119,8,58,5,0,190,701
46003,"Churchill/Churchill"," 500","Mobile poll/Bureau itinérant",20,5,8,6,0,39,66
46003,"Churchill/Churchill"," 501","Mobile poll/Bureau itinérant",11,10,1,3,1,26,45
46003,"Churchill/Churchill"," 502","Mobile poll/Bureau itinérant",33,16,8,0,0,57,83
46003,"Churchill/Churchill"," 600","Churchill",22,9,3,1,0,35,
46003,"Churchill/Churchill"," 602","Lynn Lake--Leaf Rapids",23,27,14,5,0,69,
46003,"Churchill/Churchill"," 603","Nelson House",13,2,21,0,1,37,
46003,"Churchill/Churchill"," 604","Flin Flon",112,90,20,7,0,229,
46003,"Churchill/Churchill"," 605","Snow Lake",26,29,2,3,0,60,
46003,"Churchill/Churchill"," 606","Thompson",7,17,3,1,0,28,
46003,"Churchill/Churchill"," 607","Thompson",144,152,64,4,2,366,
46003,"Churchill/Churchill"," 608","Gillam",21,15,1,1,0,38,
46003,"Churchill/Churchill"," 609","Cross Lake",50,8,188,0,0,246,
46003,"Churchill/Churchill"," 610","The Pas",53,59,10,0,0,122,
46003,"Churchill/Churchill"," 611","The Pas",107,97,27,10,0,241,
46003,"Churchill/Churchill"," 612","Grand Rapids",32,5,8,1,0,46,
46003,"Churchill/Churchill"," 613","Norway House",7,0,16,1,0,24,
46003,"Churchill/Churchill"," 614","Norway House",30,1,43,0,0,74,
46003,"Churchill/Churchill"," 615A","Garden Hill",9,3,11,0,0,23,
46003,"Churchill/Churchill"," 615B","Garden Hill",10,1,45,0,0,56,
46003,"Churchill/Churchill"," 616","Bloodvein",41,3,1,0,1,46,
46003,"Churchill/Churchill"," 617","Fort Alexander",23,4,31,0,0,58,
46003,"Churchill/Churchill"," 618","Norway House",11,0,9,0,0,20,
46003,"Churchill/Churchill"," 619A","Gods Lake Narrows",11,0,5,0,1,17,
46003,"Churchill/Churchill"," 619B","Gods Lake Narrows",Combined with No. 619A/Jumelé avec le nº 619A,,,,,,
46003,"Churchill/Churchill",,Group 1/Groupe 1,88,24,97,12,10,231,280
46003,"Churchill/Churchill",,Group 2/Groupe 2,122,92,40,4,3,261,
