Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Boshcoff,Moe Comuzzi-Stehmann,John Rafferty,Ed Shields,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 31","Fort Frances",25,55,105,3,0,188,444
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 32","Fort Frances",33,53,106,5,0,197,372
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 33","Fort Frances",18,65,106,2,1,192,356
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 34","Fort Frances",23,57,98,1,0,179,358
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 35","Fort Frances",36,98,106,2,0,242,464
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 36","Fort Frances",23,40,114,7,0,184,388
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 37","Fort Frances",25,44,86,5,0,160,396
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 38","Fort Frances",21,49,95,2,1,168,420
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 39","Fort Frances",19,24,65,6,0,114,249
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 40","Fort Frances",24,26,63,1,1,115,257
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 41","Fort Frances",50,94,109,2,2,257,447
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 42","Fort Frances",22,41,111,7,0,181,370
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 43","Fort Frances",15,34,94,4,0,147,302
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 44","Fort Frances",14,37,69,0,0,120,310
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 45","Atikokan",20,39,96,3,1,159,330
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 46","Atikokan",23,32,75,5,1,136,271
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 47","Atikokan",16,25,90,5,0,136,312
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 48","Atikokan",15,30,65,2,0,112,275
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 49","Atikokan",27,33,53,2,0,115,263
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 50","Atikokan",15,48,79,2,0,144,283
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 51","Atikokan",33,50,93,8,0,184,342
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 52","Atikokan",12,29,76,5,3,125,283
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 53","Sapawe",16,46,55,1,1,119,186
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 54","Upsala",7,47,34,2,0,90,186
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 55","Shebandowan",16,45,32,4,0,97,143
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56","Raith",15,34,57,2,0,108,289
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56-1","Thunder Bay, Unorganized",8,3,4,0,0,15,24
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57","Mokomon",15,51,84,2,0,152,282
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57-1","Thunder Bay, Unorganized",14,44,62,3,0,123,230
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 58","Millar",40,109,141,14,0,304,549
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59","Oliver",45,57,126,5,1,234,418
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59-1","Oliver Paipoonge",37,70,79,2,3,191,387
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 60","O'Connor",16,59,128,7,1,211,386
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 61","O'Connor",28,39,74,4,4,149,276
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 62","Paipoonge",42,69,105,9,0,225,405
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 63","Kakabeka Falls",18,26,62,2,0,108,250
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 64","Murillo",19,56,68,3,0,146,302
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 65","Murillo",Void/Supprimé,,,,,,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 66","Paipoonge",39,115,110,10,0,274,464
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 67","Paipoonge",58,114,91,6,0,269,448
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 68","Paipoonge",31,109,98,8,3,249,353
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 69","Paipoonge",31,89,69,6,2,197,298
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 70","Paipoonge",34,88,85,11,0,218,347
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71","Nolalu",19,53,129,11,0,212,412
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 72","Hymers",12,41,66,16,0,135,194
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 73","South Gillies",11,39,87,3,2,142,227
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 74","Scoble",39,87,128,9,1,264,493
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 75","Pardee",6,38,45,7,0,96,175
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 76","Crooks",13,20,43,6,0,82,175
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77","Moose Hill",21,74,61,4,1,161,274
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77-1","Moose Hill",38,66,85,2,0,191,297
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 78","Thunder Bay",57,83,89,3,1,233,396
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79","Thunder Bay",52,51,52,3,0,158,301
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79-1","Thunder Bay",52,62,92,4,0,210,412
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 80","Thunder Bay",55,71,97,6,1,230,432
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81","Thunder Bay",37,28,66,4,0,135,300
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 82","Thunder Bay",73,60,57,2,0,192,324
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 83","Thunder Bay",22,18,73,1,0,114,335
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 84","Thunder Bay",51,28,71,3,0,153,280
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 85","Thunder Bay",45,35,139,5,1,225,380
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 86","Thunder Bay",41,28,117,3,1,190,414
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 87","Thunder Bay",20,40,77,3,1,141,279
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 88","Thunder Bay",29,29,102,5,1,166,374
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 89","Thunder Bay",71,102,129,7,1,310,562
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 90","Thunder Bay",86,77,109,3,1,276,463
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 91","Thunder Bay",47,57,114,0,0,218,387
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 92","Thunder Bay",52,83,119,12,1,267,444
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 93","Thunder Bay",42,53,94,4,1,194,353
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 94","Thunder Bay",46,56,116,7,0,225,413
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 95","Thunder Bay",28,16,77,3,2,126,250
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 96","Thunder Bay",68,75,140,3,2,288,492
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97A","Thunder Bay",29,39,67,3,0,138,277
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97B","Thunder Bay",53,39,73,3,0,168,322
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 98","Thunder Bay",98,111,81,11,0,301,514
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 99","Thunder Bay",71,50,69,4,1,195,334
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 100","Thunder Bay",78,81,115,3,0,277,431
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 101","Thunder Bay",53,51,85,2,0,191,379
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102","Thunder Bay",8,10,34,3,0,55,291
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 103","Thunder Bay",22,36,95,1,2,156,326
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 104","Thunder Bay",29,23,79,1,0,132,262
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 105","Thunder Bay",66,53,85,6,3,213,375
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 106","Thunder Bay",41,33,116,2,0,192,356
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 107","Thunder Bay",55,31,105,6,0,197,397
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 108","Thunder Bay",65,47,89,7,1,209,345
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 109","Thunder Bay",47,31,90,3,0,171,319
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 110","Thunder Bay",55,54,55,6,1,171,296
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 111","Thunder Bay",54,61,72,3,1,191,326
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 112","Thunder Bay",45,25,58,5,0,133,267
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 113","Thunder Bay",72,50,76,3,0,201,373
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 114","Thunder Bay",33,34,79,1,0,147,294
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 115","Thunder Bay",65,42,87,4,0,198,373
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 116","Thunder Bay",39,36,79,0,1,155,323
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 117","Thunder Bay",82,52,105,5,1,245,389
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 118","Thunder Bay",102,61,117,2,2,284,529
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 119","Thunder Bay",74,42,100,5,2,223,465
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 120","Thunder Bay",93,48,107,4,0,252,477
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 121","Thunder Bay",31,28,64,3,0,126,281
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 122","Thunder Bay",52,64,86,2,0,204,377
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 123","Thunder Bay",38,31,66,1,0,136,294
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124","Thunder Bay",35,37,83,1,0,156,284
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 125","Thunder Bay",60,50,91,6,0,207,363
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 126","Thunder Bay",83,42,69,5,3,202,349
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 127","Thunder Bay",61,30,56,1,1,149,288
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128","Thunder Bay",57,50,114,3,0,224,542
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 129","Thunder Bay",36,30,78,2,1,147,290
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 130","Thunder Bay",53,24,72,3,0,152,276
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 131","Thunder Bay",26,43,78,5,1,153,358
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 132","Thunder Bay",22,17,84,5,0,128,269
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 133","Thunder Bay",26,21,64,1,1,113,274
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 134","Thunder Bay",30,24,109,2,0,165,371
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 135","Thunder Bay",26,25,77,5,2,135,319
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 136","Thunder Bay",21,15,79,2,0,117,329
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 137","Thunder Bay",23,16,68,6,0,113,263
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 138","Thunder Bay",31,25,82,9,0,147,340
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 139","Thunder Bay",17,21,91,3,0,132,301
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 140","Thunder Bay",18,5,44,0,1,68,233
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 141","Thunder Bay",35,20,91,1,1,148,340
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 142","Thunder Bay",26,27,77,5,1,136,315
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 143","Thunder Bay",22,16,102,3,0,143,348
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 144","Thunder Bay",34,23,73,3,1,134,349
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 145","Thunder Bay",27,38,103,9,1,178,398
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 146","Thunder Bay",49,28,84,5,0,166,350
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 147","Thunder Bay",26,12,56,3,1,98,324
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 148","Thunder Bay",14,17,52,4,0,87,336
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 149","Thunder Bay",14,15,56,3,0,88,222
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 150","Thunder Bay",46,26,92,8,0,172,375
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 151","Thunder Bay",30,24,96,6,0,156,336
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 152","Thunder Bay",20,21,107,4,0,152,339
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 153","Thunder Bay",25,37,69,7,0,138,326
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 154","Thunder Bay",37,22,107,7,0,173,386
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 155","Thunder Bay",28,26,59,7,2,122,340
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 156","Thunder Bay",32,66,93,8,1,200,427
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 157","Thunder Bay",63,39,97,3,2,204,356
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 158","Thunder Bay",84,59,93,11,0,247,430
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 159","Thunder Bay",71,42,110,6,0,229,399
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 160","Thunder Bay",24,25,60,5,0,114,247
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 161","Thunder Bay",47,32,84,3,2,168,352
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 162","Thunder Bay",46,43,105,2,1,197,414
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 163","Thunder Bay",25,28,82,5,1,141,286
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 164","Thunder Bay",28,34,103,2,0,167,376
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 165","Thunder Bay",35,21,69,1,1,127,276
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 166","Thunder Bay",21,34,95,3,0,153,299
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 167","Thunder Bay",30,32,114,11,0,187,411
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 168","Thunder Bay",20,41,83,3,0,147,366
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169","Thunder Bay",52,47,101,7,1,208,468
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 170","Thunder Bay",52,51,68,2,1,174,351
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 171","Thunder Bay",45,33,53,1,1,133,359
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 172","Thunder Bay",39,19,83,4,0,145,294
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 173","Thunder Bay",48,35,84,3,1,171,311
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 174","Thunder Bay",42,19,84,6,0,151,341
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 175","Thunder Bay",47,28,79,3,0,157,339
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 176","Thunder Bay",61,42,95,3,0,201,457
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 177","Thunder Bay",39,30,108,3,0,180,376
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 178","Thunder Bay",40,40,85,2,0,167,430
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 179","Thunder Bay",24,29,86,3,0,142,346
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 180","Thunder Bay",50,37,91,5,2,185,390
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 181","Thunder Bay",33,26,73,4,0,136,294
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 182","Thunder Bay",32,14,86,6,1,139,285
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 183A","Thunder Bay",13,16,114,7,0,150,373
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 183B","Thunder Bay",19,18,87,5,2,131,373
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 184","Thunder Bay",Void/Supprimé,,,,,,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 185","Fort William 52",39,9,97,6,0,151,616
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 500","Mobile poll/Bureau itinérant",26,13,20,1,2,62,227
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 600","Rainy River",22,73,35,1,0,131,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 601","Fort Frances",22,66,73,4,0,165,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 602","Fort Frances",71,169,159,4,2,405,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 603","Atikokan",84,128,150,9,1,372,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 604","Kakabeka Falls",62,167,167,13,2,411,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 605","Thunder Bay",111,109,223,8,0,451,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 606","Thunder Bay",164,101,173,8,1,447,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 607","Thunder Bay",177,158,219,15,1,570,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 608","Thunder Bay",80,61,167,11,0,319,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 609","Thunder Bay",122,78,147,10,1,358,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 610","Thunder Bay",136,111,223,3,0,473,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 611","Thunder Bay",136,110,105,2,1,354,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 612","Thunder Bay",50,68,61,7,1,187,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 613","Thunder Bay",67,62,76,4,0,209,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 1/Groupe 1,51,46,27,10,5,139,217
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 2/Groupe 2,307,284,355,35,13,994,
