Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Chisholm,John R. Hamilton,Peter G. MacKay,David K. Parker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 73","New Glasgow",4,21,105,46,0,176,375
12002,"Central Nova/Nova-Centre"," 74","New Glasgow",10,15,122,54,0,201,410
12002,"Central Nova/Nova-Centre"," 75","New Glasgow",7,13,137,40,1,198,401
12002,"Central Nova/Nova-Centre"," 76","New Glasgow",3,12,115,43,1,174,336
12002,"Central Nova/Nova-Centre"," 77","New Glasgow",7,12,121,38,3,181,324
12002,"Central Nova/Nova-Centre"," 78","New Glasgow",3,19,128,42,1,193,311
12002,"Central Nova/Nova-Centre"," 79","New Glasgow",13,31,185,65,1,295,467
12002,"Central Nova/Nova-Centre"," 80","New Glasgow",9,16,109,57,2,193,391
12002,"Central Nova/Nova-Centre"," 81","New Glasgow",9,34,173,56,2,274,493
12002,"Central Nova/Nova-Centre"," 82","New Glasgow",4,12,67,32,1,116,313
12002,"Central Nova/Nova-Centre"," 83","New Glasgow",10,12,73,41,1,137,310
12002,"Central Nova/Nova-Centre"," 84","New Glasgow",5,16,110,59,2,192,426
12002,"Central Nova/Nova-Centre"," 85","New Glasgow",1,12,98,40,0,151,320
12002,"Central Nova/Nova-Centre"," 86","New Glasgow",4,16,58,29,0,107,215
12002,"Central Nova/Nova-Centre"," 86-1","New Glasgow",Void/Supprimé,,,,,,
12002,"Central Nova/Nova-Centre"," 87","New Glasgow",8,19,91,31,1,150,307
12002,"Central Nova/Nova-Centre"," 88A","Little Harbour",6,11,129,34,0,180,318
12002,"Central Nova/Nova-Centre"," 88B","Little Harbour",5,13,109,34,1,162,255
12002,"Central Nova/Nova-Centre"," 89","Hillside",2,9,119,37,2,169,327
12002,"Central Nova/Nova-Centre"," 90","Little Harbour",6,35,124,38,1,204,321
12002,"Central Nova/Nova-Centre"," 91","Linacy",11,14,139,29,0,193,341
12002,"Central Nova/Nova-Centre"," 92","Linacy",5,23,125,46,0,199,308
12002,"Central Nova/Nova-Centre"," 93","Walkerville",4,5,56,37,0,102,167
12002,"Central Nova/Nova-Centre"," 94","Plymouth",10,20,120,58,2,210,367
12002,"Central Nova/Nova-Centre"," 95","Mountville",6,16,142,50,0,214,408
12002,"Central Nova/Nova-Centre"," 96","Churchville",5,15,111,29,1,161,249
12002,"Central Nova/Nova-Centre"," 97","Bridgeville",6,12,95,59,5,177,276
12002,"Central Nova/Nova-Centre"," 98","Sunnybrae",1,9,45,20,0,75,158
12002,"Central Nova/Nova-Centre"," 99","Lismore",5,49,146,49,0,249,368
12002,"Central Nova/Nova-Centre"," 100","Merigomish",8,29,154,46,0,237,430
12002,"Central Nova/Nova-Centre"," 101","Kenzieville",2,22,86,37,0,147,255
12002,"Central Nova/Nova-Centre"," 102","Pine Tree",4,13,92,22,0,131,212
12002,"Central Nova/Nova-Centre"," 103","Thorburn",7,30,107,38,1,183,289
12002,"Central Nova/Nova-Centre"," 104","French River",4,6,71,26,1,108,204
12002,"Central Nova/Nova-Centre"," 105","Thorburn",6,24,151,37,0,218,413
12002,"Central Nova/Nova-Centre"," 106","McLellans Brook",11,37,154,45,1,248,358
12002,"Central Nova/Nova-Centre"," 107","McLellan Mountain",6,21,150,56,0,233,374
12002,"Central Nova/Nova-Centre"," 108","Blue Mountain",1,17,48,22,1,89,143
12002,"Central Nova/Nova-Centre"," 109","Garden of Eden",0,8,34,16,0,58,86
12002,"Central Nova/Nova-Centre"," 109-1","East River St. Mary's",3,3,43,12,0,61,69
12002,"Central Nova/Nova-Centre"," 110","Cape George",4,58,113,51,0,226,253
12002,"Central Nova/Nova-Centre"," 111","Morristown",4,65,128,67,2,266,428
12002,"Central Nova/Nova-Centre"," 112","Arisaig",4,43,67,24,1,139,188
12002,"Central Nova/Nova-Centre"," 113","Maryvale",11,39,85,67,2,204,325
12002,"Central Nova/Nova-Centre"," 114","North Grant",9,64,128,49,2,252,449
12002,"Central Nova/Nova-Centre"," 115","Cloverville",10,66,138,96,0,310,506
12002,"Central Nova/Nova-Centre"," 116","James River",12,40,78,56,1,187,349
12002,"Central Nova/Nova-Centre"," 116-1","James River",3,22,69,20,0,114,207
12002,"Central Nova/Nova-Centre"," 117","Clydesdale",9,80,142,73,2,306,514
12002,"Central Nova/Nova-Centre"," 118","Lower West River",8,39,68,55,0,170,306
12002,"Central Nova/Nova-Centre"," 119A","West River",9,46,76,48,0,179,326
12002,"Central Nova/Nova-Centre"," 119B","West River",6,55,108,41,0,210,397
12002,"Central Nova/Nova-Centre"," 120","Antigonish",5,36,51,29,0,121,169
12002,"Central Nova/Nova-Centre"," 121","Williams Point",9,43,121,63,0,236,441
12002,"Central Nova/Nova-Centre"," 121-1","Antigonish, Subd. A",6,39,58,44,0,147,245
12002,"Central Nova/Nova-Centre"," 122","Pitchers Farm",10,44,115,65,1,235,436
12002,"Central Nova/Nova-Centre"," 123","St. Andrews",10,67,178,86,1,342,538
12002,"Central Nova/Nova-Centre"," 124","St. Joseph",4,20,77,43,0,144,229
12002,"Central Nova/Nova-Centre"," 125","Lochaber",7,36,110,52,0,205,312
12002,"Central Nova/Nova-Centre"," 126","Pomquet",5,37,101,56,0,199,388
12002,"Central Nova/Nova-Centre"," 126-1","Antigonish, Subd. B",7,30,61,47,0,145,410
12002,"Central Nova/Nova-Centre"," 127","Pomquet",5,35,72,41,2,155,256
12002,"Central Nova/Nova-Centre"," 128","Pomquet",10,47,123,49,2,231,381
12002,"Central Nova/Nova-Centre"," 129","Bayfield",2,25,119,32,1,179,283
12002,"Central Nova/Nova-Centre"," 130","St. Andrews",11,56,164,75,1,307,426
12002,"Central Nova/Nova-Centre"," 131","St. Andrews",6,15,38,20,1,80,112
12002,"Central Nova/Nova-Centre"," 132","Antigonish",8,41,45,36,1,131,210
12002,"Central Nova/Nova-Centre"," 133","Antigonish",7,45,110,53,1,216,406
12002,"Central Nova/Nova-Centre"," 134","Antigonish",8,30,73,32,0,143,292
12002,"Central Nova/Nova-Centre"," 135","Antigonish",9,48,50,67,2,176,356
12002,"Central Nova/Nova-Centre"," 136","Antigonish",6,31,35,28,1,101,237
12002,"Central Nova/Nova-Centre"," 137","Antigonish",10,71,73,52,0,206,390
12002,"Central Nova/Nova-Centre"," 138","Antigonish",4,36,60,62,0,162,282
12002,"Central Nova/Nova-Centre"," 139","Antigonish",10,36,85,38,1,170,315
12002,"Central Nova/Nova-Centre"," 140","Antigonish",4,41,31,30,1,107,155
12002,"Central Nova/Nova-Centre"," 140-1","Antigonish",5,61,67,55,0,188,333
12002,"Central Nova/Nova-Centre"," 141A","Antigonish",4,21,46,29,0,100,260
12002,"Central Nova/Nova-Centre"," 141B","Antigonish",3,13,43,38,0,97,255
12002,"Central Nova/Nova-Centre"," 142","Antigonish",2,3,2,5,0,12,12
12002,"Central Nova/Nova-Centre"," 143","Antigonish",7,44,55,38,1,145,294
12002,"Central Nova/Nova-Centre"," 144","East Havre Boucher",5,18,62,30,1,116,219
12002,"Central Nova/Nova-Centre"," 145","Havre Boucher",8,49,93,55,3,208,342
12002,"Central Nova/Nova-Centre"," 146","Cape Jack",5,37,69,48,1,160,263
12002,"Central Nova/Nova-Centre"," 147","Havre Boucher",5,36,91,49,1,182,315
12002,"Central Nova/Nova-Centre"," 148","Tracadie",4,17,55,24,0,100,201
12002,"Central Nova/Nova-Centre"," 149","Monastery",9,34,145,35,0,223,462
12002,"Central Nova/Nova-Centre"," 150","Tracadie",4,49,97,29,1,180,350
12002,"Central Nova/Nova-Centre"," 151","Paq'tnkek Reserve",2,4,11,72,0,89,159
12002,"Central Nova/Nova-Centre"," 152","Heatherton",5,60,137,48,2,252,406
12002,"Central Nova/Nova-Centre"," 153","Caledonia",1,2,20,6,0,29,41
12002,"Central Nova/Nova-Centre"," 154","Aspen",5,43,95,28,1,172,298
12002,"Central Nova/Nova-Centre"," 155","Goshen",10,47,130,35,2,224,293
12002,"Central Nova/Nova-Centre"," 156","Ecum Secum",3,20,62,36,1,122,263
12002,"Central Nova/Nova-Centre"," 157","Liscomb",6,36,73,29,2,146,202
12002,"Central Nova/Nova-Centre"," 158","Sherbrooke",12,36,91,43,1,183,281
12002,"Central Nova/Nova-Centre"," 159","Sonora",5,25,145,36,2,213,311
12002,"Central Nova/Nova-Centre"," 160","Port Bickerton",7,15,100,30,2,154,241
12002,"Central Nova/Nova-Centre"," 161","Necum Teuch",0,11,49,35,0,95,188
12002,"Central Nova/Nova-Centre"," 162","Moser River",5,11,70,39,3,128,241
12002,"Central Nova/Nova-Centre"," 163","Port Dufferin--Beaver Harbour--West Quoddy",4,16,88,31,0,139,228
12002,"Central Nova/Nova-Centre"," 164","Sheet Harbour",6,23,117,66,1,213,437
12002,"Central Nova/Nova-Centre"," 165","Sheet Harbour",6,16,109,52,3,186,380
12002,"Central Nova/Nova-Centre"," 166","Sheet Harbour",7,11,68,34,1,121,244
12002,"Central Nova/Nova-Centre"," 167","Spry Bay",1,12,21,13,0,47,87
12002,"Central Nova/Nova-Centre"," 167-1","Mushaboom",5,8,38,19,2,72,136
12002,"Central Nova/Nova-Centre"," 168","Mooseland",2,1,14,15,0,32,52
12002,"Central Nova/Nova-Centre"," 169","Tangier--Spry Harbour",4,10,77,46,0,137,279
12002,"Central Nova/Nova-Centre"," 170","East Ship Harbour",8,20,58,44,0,130,238
12002,"Central Nova/Nova-Centre"," 171","Lake Charlotte",6,12,85,76,0,179,323
12002,"Central Nova/Nova-Centre"," 172","Ship Harbour",11,13,85,59,2,170,242
12002,"Central Nova/Nova-Centre"," 173","Clam Harbour",5,10,84,45,1,145,263
12002,"Central Nova/Nova-Centre"," 174","East Jeddore",4,16,110,63,0,193,337
12002,"Central Nova/Nova-Centre"," 400","New Glasgow",1,7,63,20,2,93,129
12002,"Central Nova/Nova-Centre"," 500","Mobile poll/Bureau itinérant",2,20,54,14,4,94,148
12002,"Central Nova/Nova-Centre"," 501","Mobile poll/Bureau itinérant",3,12,24,8,1,48,59
12002,"Central Nova/Nova-Centre"," 502","Mobile poll/Bureau itinérant",2,9,38,7,1,57,133
12002,"Central Nova/Nova-Centre"," 503","Mobile poll/Bureau itinérant",2,41,39,8,1,91,148
12002,"Central Nova/Nova-Centre"," 504","Mobile poll/Bureau itinérant",1,13,18,2,0,34,70
12002,"Central Nova/Nova-Centre"," 505","Mobile poll/Bureau itinérant",1,55,10,6,2,74,114
12002,"Central Nova/Nova-Centre"," 600","River John",7,30,89,24,0,150,
12002,"Central Nova/Nova-Centre"," 601","Pictou",11,57,175,84,1,328,
12002,"Central Nova/Nova-Centre"," 602","Trenton",4,30,129,40,2,205,
12002,"Central Nova/Nova-Centre"," 603","Westville",5,35,162,66,2,270,
12002,"Central Nova/Nova-Centre"," 604","Riverton",3,14,67,11,1,96,
12002,"Central Nova/Nova-Centre"," 605","New Glasgow",8,58,239,60,1,366,
12002,"Central Nova/Nova-Centre"," 606","Stellarton",13,38,220,45,0,316,
12002,"Central Nova/Nova-Centre"," 607","Thorburn",6,19,96,13,0,134,
12002,"Central Nova/Nova-Centre"," 608","Beech Hill",23,196,291,85,3,598,
12002,"Central Nova/Nova-Centre"," 609","Antigonish",26,164,177,73,3,443,
12002,"Central Nova/Nova-Centre"," 610","Tracadie",8,48,125,21,0,202,
12002,"Central Nova/Nova-Centre"," 611","Sherbrooke",7,27,53,13,0,100,
12002,"Central Nova/Nova-Centre"," 612","Sheet Harbour",10,19,108,45,1,183,
12002,"Central Nova/Nova-Centre"," 613","East Ship Harbour",7,14,44,21,1,87,
12002,"Central Nova/Nova-Centre"," 614","Little Harbour",6,20,92,20,0,138,
12002,"Central Nova/Nova-Centre"," 615","New Glasgow",16,41,156,49,1,263,
12002,"Central Nova/Nova-Centre"," 616","Durham",9,36,131,68,1,245,
12002,"Central Nova/Nova-Centre"," 617","Union Centre",7,14,50,30,1,102,
12002,"Central Nova/Nova-Centre"," 618","Plymouth",6,16,94,25,0,141,
12002,"Central Nova/Nova-Centre"," 619","Merigomish",2,18,60,26,2,108,
12002,"Central Nova/Nova-Centre"," 620","Antigonish",5,46,15,7,0,73,
12002,"Central Nova/Nova-Centre"," 621","Pomquet",8,24,61,21,0,114,
12002,"Central Nova/Nova-Centre"," 622","North Grant",4,49,71,13,1,138,
12002,"Central Nova/Nova-Centre",,Group 1/Groupe 1,6,27,109,13,8,163,325
12002,"Central Nova/Nova-Centre",,Group 2/Groupe 2,32,148,401,104,11,696,
