Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bergeron,Christian Paradis,René Roy,Wyatt Tessari,Pierre Turcotte,Cheryl Voisine,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 32","Plessisville",0,86,7,2,30,64,8,197,350
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 33","Plessisville",0,66,11,1,26,57,4,165,278
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 34","Plessisville",2,55,15,4,36,59,4,175,334
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 35","Plessisville",0,88,14,1,38,80,5,226,427
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 36","Plessisville",4,92,22,4,52,80,7,261,431
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 37","Plessisville",1,71,9,0,16,35,1,133,216
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 38","Lyster",3,102,9,5,32,82,3,236,412
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 39","Lyster",3,110,11,5,33,50,3,215,326
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 40","Lyster",1,161,25,5,44,97,5,338,525
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 41","Inverness",4,125,8,3,37,63,6,246,357
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 42","Inverness",0,88,24,4,37,52,7,212,309
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 43","Saint-Pierre-Baptiste",0,103,4,7,41,81,3,239,388
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 44","Saint-Ferdinand",0,142,11,9,32,85,8,287,516
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 45","Saint-Ferdinand",0,53,2,4,15,46,4,124,226
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 46","Saint-Ferdinand",3,99,6,3,26,23,0,160,289
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 47","Saint-Ferdinand",0,68,5,3,15,50,0,141,239
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 48","Saint-Ferdinand",4,127,6,1,30,60,5,233,437
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 49A","Saint-Jacques-de-Leeds",2,124,9,3,17,49,6,210,313
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 49B","Saint-Jacques-de-Leeds",0,102,6,4,19,38,1,170,255
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 50","Saint-Jacques-de-Leeds",Void/Supprimé,,,,,,,,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 51","Saint-Pierre-de-Broughton",0,91,10,4,12,44,3,164,248
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 52","Saint-Pierre-de-Broughton",2,125,21,2,39,74,6,269,440
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 53","Sacré-Coeur-de-Jésus",1,115,8,4,34,53,5,220,403
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 54","East Broughton",1,85,4,7,30,47,11,185,405
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 55","East Broughton",0,139,3,2,19,35,2,200,382
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 56","East Broughton",2,102,10,6,33,42,5,200,337
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 57","East Broughton",4,116,11,4,23,45,3,206,398
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 58","East Broughton",0,94,13,6,22,39,7,181,325
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 59","Kinnear's Mills",0,90,9,2,29,37,3,170,288
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 60","Pontbriand",0,123,17,2,36,45,2,225,358
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 61","Pontbriand",1,132,10,2,41,30,6,222,347
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 62","Robertsonville",2,113,8,0,24,53,2,202,368
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 63","Robertsonville",1,109,10,1,20,32,3,176,353
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 64","Robertsonville",1,81,7,2,27,21,5,144,305
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 65","Robertsonville",0,103,7,0,10,27,1,148,303
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 66A","Adstock",1,129,13,1,28,50,2,224,414
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 66B","Adstock",0,109,6,1,24,29,2,171,353
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 67","Adstock",0,156,5,7,21,37,3,229,309
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 68","Adstock",3,113,10,0,18,30,2,176,244
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 69","Adstock",0,149,20,1,14,50,10,244,322
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 70","Adstock",2,139,14,3,40,46,1,245,388
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 71","Thetford-Partie-Sud",1,158,9,5,26,57,4,260,473
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 72","Thetford-Partie-Sud",2,172,19,3,50,47,4,297,539
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 72-1","Thetford-Partie-Sud",2,64,7,3,14,25,2,117,203
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 73","Thetford-Partie-Sud",2,94,16,3,38,51,7,211,394
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 74","Thetford Mines",0,103,9,2,54,33,0,201,343
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 75","Thetford Mines",0,150,9,0,31,41,1,232,405
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 76","Thetford Mines",1,83,11,2,33,43,0,173,344
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 77","Thetford Mines",1,80,5,3,28,35,2,154,330
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 78","Thetford Mines",0,125,21,1,39,38,1,225,405
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 79","Thetford Mines",0,82,15,0,31,41,3,172,308
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 80","Thetford Mines",1,121,9,2,40,33,4,210,418
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 81","Thetford Mines",1,64,5,4,20,44,4,142,324
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 82","Thetford Mines",1,57,10,3,30,19,3,123,332
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 83","Thetford Mines",0,87,9,3,37,41,6,183,396
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 84","Thetford Mines",0,103,12,4,27,41,12,199,440
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 85","Thetford Mines",0,82,8,4,21,34,0,149,318
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 86","Thetford-Partie-Sud",0,142,11,1,49,46,4,253,450
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 87","Thetford-Partie-Sud",0,87,8,3,15,26,3,142,268
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 88","Thetford Mines",0,169,16,3,49,52,0,289,504
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 89","Thetford Mines",0,142,5,1,35,28,1,212,331
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 90","Thetford Mines",3,86,3,5,28,41,6,172,320
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 91","Thetford Mines",2,92,5,4,28,34,2,167,323
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 92","Thetford Mines",0,63,9,2,33,32,0,139,329
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 93","Thetford Mines",0,77,6,5,13,28,4,133,298
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 94","Thetford Mines",2,98,16,5,21,33,4,179,378
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 95","Thetford Mines",1,45,5,2,21,29,0,103,196
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 96","Thetford Mines",0,83,5,1,31,36,5,161,357
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 97","Thetford Mines",0,85,3,1,26,35,2,152,329
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 98","Thetford Mines",2,75,9,0,19,28,3,136,350
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 99","Thetford Mines",2,84,7,1,26,32,3,155,266
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 100","Thetford Mines",1,102,11,2,21,36,2,175,322
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 101","Thetford Mines",0,61,4,1,32,29,1,128,323
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 102","Thetford Mines",1,116,10,2,26,31,2,188,345
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 103","Thetford Mines",0,101,11,2,41,33,0,188,349
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 104","Thetford Mines",1,106,7,2,55,61,2,234,362
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 105","Thetford Mines",0,98,1,4,26,30,0,159,317
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 106","Thetford Mines",1,79,5,4,26,37,4,156,331
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 107","Thetford Mines",2,92,6,4,35,41,3,183,360
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 108","Thetford Mines",1,79,9,3,26,35,2,155,348
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 109","Thetford Mines",2,73,1,3,39,28,5,151,293
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 110","Thetford-Partie-Sud",1,137,5,1,49,39,3,235,451
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 111","Thetford Mines",1,81,4,0,27,32,2,147,305
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 112","Thetford Mines",3,59,7,2,23,42,1,137,347
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 113","Thetford Mines",1,63,11,4,37,41,0,157,356
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 114","Saint-Jean-de-Brébeuf",1,110,16,1,15,49,1,193,279
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 115","Saint-Adrien-d'Irlande",0,105,2,2,26,36,1,172,306
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 116","Irlande",0,92,10,4,40,63,1,210,368
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 117","Irlande",1,91,5,2,17,59,6,181,370
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 118","Black Lake",1,85,10,1,20,30,4,151,299
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 119","Black Lake",0,108,6,1,24,35,2,176,344
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 120","Black Lake",2,154,12,4,49,37,3,261,420
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 121","Black Lake",0,103,6,1,25,32,3,170,297
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 122","Black Lake",0,92,3,3,24,31,1,154,346
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 123","Black Lake",1,95,6,2,38,35,3,180,371
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 124","Black Lake",1,75,5,1,29,33,2,146,340
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 125","Black Lake",0,98,2,3,35,29,1,168,375
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 126","Black Lake",0,67,4,5,33,39,1,149,373
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 127","Thetford-Partie-Sud",0,97,5,1,30,44,2,179,336
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 128","Saint-Julien",2,82,15,1,47,66,1,214,314
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 129","Saint-Joseph-de-Coleraine",0,84,3,6,26,40,5,164,343
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 130","Saint-Joseph-de-Coleraine",0,83,3,0,34,26,8,154,301
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 131","Saint-Joseph-de-Coleraine",2,88,4,2,26,29,0,151,369
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 132","Saint-Joseph-de-Coleraine",0,113,7,2,46,47,2,217,439
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 133","Sainte-Praxède",2,76,5,2,35,42,0,162,302
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 134","Stratford",1,69,14,2,35,60,2,183,325
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 135A","Stratford",2,101,16,5,66,119,2,311,523
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 135B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,12
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 136","Garthby",1,57,6,3,45,95,5,212,380
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 137","Beaulac",5,86,19,3,42,76,4,235,437
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 138","Disraëli",2,89,8,2,34,58,4,197,446
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 139","Disraëli",0,76,3,1,39,37,3,159,376
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 140","Disraëli",1,109,6,1,32,50,1,200,428
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 141","Disraëli",3,78,6,6,34,36,5,168,395
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 142","Disraëli",3,60,14,4,34,41,0,156,388
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 143","Disraëli",3,78,8,2,43,46,2,182,451
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 144","Disraëli",1,108,8,0,41,71,3,232,467
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 145","Saint-Jacques-le-Majeur-de-Wolfestown",1,29,5,1,33,40,2,111,152
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 146","Saint-Fortunat",0,44,9,1,37,69,1,161,219
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 147","Lambton",0,85,5,0,25,48,3,166,315
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 148","Courcelles",1,86,10,3,22,37,0,159,265
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 149","Courcelles",5,159,15,4,24,99,2,308,470
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 150","Saint-Sébastien",2,79,9,4,20,68,4,186,292
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 151","Lac-Drolet",0,98,30,7,53,84,1,273,452
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 152","Lac-Drolet",1,107,15,0,36,98,6,263,387
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 153","Audet",2,55,3,3,25,61,4,153,254
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 154","Sainte-Clotilde-de-Beauce",0,177,15,7,20,77,4,300,454
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 155","Audet",2,87,5,2,23,50,3,172,279
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 156","Frontenac",1,123,10,3,40,84,3,264,452
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 157A","Sainte-Cécile-de-Whitton",1,59,15,4,24,79,7,189,319
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 157B","Sainte-Cécile-de-Whitton",0,64,6,2,30,55,1,158,278
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 158","Saint-Sébastien",0,76,22,3,21,48,3,173,249
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 159","Lambton",0,74,22,2,29,67,7,201,437
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 160","Lambton",1,105,15,1,26,58,4,210,429
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 161","Saint-Romain",0,91,9,4,39,60,2,205,344
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 162","Saint-Romain",2,50,7,3,29,39,2,132,227
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 163","Stornoway",1,111,24,3,61,82,2,284,450
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 164","Nantes",2,73,9,4,33,69,3,193,339
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 165","Nantes",0,32,9,1,24,70,1,137,343
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 166","Nantes",0,60,13,5,35,54,3,170,361
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 167","Lac-Mégantic",1,102,27,10,64,76,4,284,493
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 168","Lac-Mégantic",2,117,16,7,50,94,1,287,602
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 169","Lac-Mégantic",1,95,21,6,33,58,2,216,360
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 170","Lac-Mégantic",0,64,9,1,25,52,5,156,377
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 171","Lac-Mégantic",1,58,8,2,37,62,1,169,386
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 172","Lac-Mégantic",0,78,13,3,33,43,5,175,361
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 173","Lac-Mégantic",0,37,11,0,17,35,2,102,329
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 174","Lac-Mégantic",0,76,12,1,31,35,1,156,335
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 175","Lac-Mégantic",0,40,14,4,32,39,1,130,335
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 176","Lac-Mégantic",0,60,11,7,30,37,3,148,320
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 177","Lac-Mégantic",1,72,8,1,31,54,4,171,375
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 178","Lac-Mégantic",0,84,17,7,25,80,0,213,391
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 179","Milan",1,49,8,2,29,39,1,129,205
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 180","Marsboro",3,128,14,10,37,93,6,291,531
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 181","Frontenac",1,96,17,2,40,79,6,241,406
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 182","Frontenac",0,102,10,9,26,93,4,244,430
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 183","Saint-Augustin-de-Woburn",0,63,3,2,21,59,2,150,238
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 184","Piopolis",0,61,11,5,62,73,2,214,324
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 185","Val-Racine",0,34,2,1,12,28,2,79,127
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 186A","Notre-Dame-des-Bois",0,89,7,5,37,74,5,217,347
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 186B","Notre-Dame-des-Bois",1,61,4,3,44,66,1,180,312
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 187","Saint-Augustin-de-Woburn",0,57,14,6,28,54,3,162,307
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 500","Mobile poll/Bureau itinérant",4,76,27,2,15,17,2,143,199
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 501","Mobile poll/Bureau itinérant",2,42,9,1,9,5,1,69,86
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 502","Mobile poll/Bureau itinérant",1,62,14,1,16,8,0,102,202
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 503","Mobile poll/Bureau itinérant",1,119,12,2,22,17,4,177,245
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 504","Mobile poll/Bureau itinérant",4,32,16,12,1,8,3,76,109
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 505","Mobile poll/Bureau itinérant",1,32,12,0,9,8,5,67,92
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 506","Mobile poll/Bureau itinérant",0,36,13,1,4,2,3,59,84
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 507","Mobile poll/Bureau itinérant",3,44,23,2,13,5,0,90,124
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 508","Mobile poll/Bureau itinérant",2,68,25,1,12,17,5,130,181
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 600","Princeville",5,148,26,4,41,102,6,332,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 601","Plessisville",3,175,39,3,75,122,6,423,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 602","Plessisville",5,260,39,5,98,136,4,547,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 603","Saint-Ferdinand",1,130,15,3,50,64,3,266,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 604","East Broughton",1,191,23,4,58,73,9,359,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 605","Thetford Mines",1,172,15,6,54,65,2,315,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 606","Thetford Mines",3,328,51,4,108,85,4,583,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 607","Thetford Mines",1,93,10,0,41,26,3,174,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 608","Thetford Mines",1,273,35,4,86,81,1,481,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 609","Thetford Mines",1,281,34,2,123,91,7,539,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 610","Thetford Mines--Saint-Joseph-de-Coleraine",4,229,18,0,66,64,5,386,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 611","Thetford Mines--Saint-Joseph-de-Coleraine",1,153,19,2,46,52,2,275,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 612","Disraëli",1,120,32,4,71,85,2,315,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 613","Disraëli",4,146,18,2,72,75,2,319,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 614","Lambton",1,104,35,4,65,82,4,295,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 615","Lac-Mégantic",2,184,59,9,108,151,3,516,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 616","Lac-Mégantic",3,187,45,6,117,116,3,477,
24042,"Mégantic--L'Érable/Mégantic--L'Érable",,Group 1/Groupe 1,0,61,11,4,14,11,2,103,224
24042,"Mégantic--L'Érable/Mégantic--L'Érable",,Group 2/Groupe 2,3,476,66,3,201,103,6,858,
