Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josée Beaudin,Carmen Budilean,Sadia Groguhé,Qais Hamidi,Roxane Stanners,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Saint-Lambert/Saint-Lambert"," 98","Longueuil",66,5,89,10,18,1,189,326
24065,"Saint-Lambert/Saint-Lambert"," 99","Longueuil",49,4,93,23,30,1,200,362
24065,"Saint-Lambert/Saint-Lambert"," 100","Longueuil",67,4,97,8,12,3,191,322
24065,"Saint-Lambert/Saint-Lambert"," 101","Longueuil",59,4,85,15,18,0,181,332
24065,"Saint-Lambert/Saint-Lambert"," 102","Longueuil",45,2,50,6,12,3,118,205
24065,"Saint-Lambert/Saint-Lambert"," 102-1","Longueuil",34,0,83,12,6,1,136,208
24065,"Saint-Lambert/Saint-Lambert"," 103","Saint-Lambert",38,6,61,25,87,0,217,353
24065,"Saint-Lambert/Saint-Lambert"," 104A","Saint-Lambert",51,1,109,16,40,2,219,392
24065,"Saint-Lambert/Saint-Lambert"," 104B","Saint-Lambert",10,0,8,5,23,1,47,72
24065,"Saint-Lambert/Saint-Lambert"," 105","LeMoyne",37,5,57,14,5,1,119,280
24065,"Saint-Lambert/Saint-Lambert"," 106","LeMoyne",70,0,78,12,12,2,174,420
24065,"Saint-Lambert/Saint-Lambert"," 107","Saint-Lambert",62,5,71,17,43,0,198,530
24065,"Saint-Lambert/Saint-Lambert"," 108","LeMoyne",32,7,55,8,14,0,116,371
24065,"Saint-Lambert/Saint-Lambert"," 109","LeMoyne",54,6,82,1,13,2,158,328
24065,"Saint-Lambert/Saint-Lambert"," 110","Saint-Lambert",60,4,84,8,71,1,228,376
24065,"Saint-Lambert/Saint-Lambert"," 111","Saint-Lambert",56,5,96,17,69,4,247,415
24065,"Saint-Lambert/Saint-Lambert"," 112","Saint-Lambert",59,6,98,19,94,2,278,391
24065,"Saint-Lambert/Saint-Lambert"," 113","Saint-Lambert",43,6,91,4,22,1,167,326
24065,"Saint-Lambert/Saint-Lambert"," 114","Saint-Lambert",60,5,103,19,89,3,279,428
24065,"Saint-Lambert/Saint-Lambert"," 115","Saint-Lambert",68,7,139,9,69,1,293,433
24065,"Saint-Lambert/Saint-Lambert"," 116","Saint-Lambert",59,8,122,13,72,2,276,411
24065,"Saint-Lambert/Saint-Lambert"," 117","Saint-Lambert",56,4,89,11,33,1,194,341
24065,"Saint-Lambert/Saint-Lambert"," 118","Saint-Lambert",66,8,117,10,31,1,233,397
24065,"Saint-Lambert/Saint-Lambert"," 119","Saint-Lambert",31,3,45,11,56,4,150,312
24065,"Saint-Lambert/Saint-Lambert"," 120","Saint-Lambert",53,9,76,22,42,1,203,406
24065,"Saint-Lambert/Saint-Lambert"," 121","Saint-Lambert",33,1,58,11,45,4,152,302
24065,"Saint-Lambert/Saint-Lambert"," 122","Saint-Lambert",41,1,43,19,61,2,167,376
24065,"Saint-Lambert/Saint-Lambert"," 123","Saint-Lambert",29,4,63,16,40,2,154,368
24065,"Saint-Lambert/Saint-Lambert"," 124","Saint-Lambert",32,7,64,15,30,0,148,282
24065,"Saint-Lambert/Saint-Lambert"," 125","Saint-Lambert",67,5,137,32,91,2,334,550
24065,"Saint-Lambert/Saint-Lambert"," 125-1","Saint-Lambert",27,3,42,11,51,0,134,216
24065,"Saint-Lambert/Saint-Lambert"," 126","Saint-Lambert",88,6,138,21,67,1,321,536
24065,"Saint-Lambert/Saint-Lambert"," 126-1","Saint-Lambert",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 127","Saint-Lambert",55,7,89,13,86,0,250,439
24065,"Saint-Lambert/Saint-Lambert"," 128","Saint-Lambert",51,4,84,17,75,3,234,421
24065,"Saint-Lambert/Saint-Lambert"," 129","Saint-Lambert",57,5,91,13,70,1,237,384
24065,"Saint-Lambert/Saint-Lambert"," 130","Saint-Lambert",33,4,78,21,58,2,196,365
24065,"Saint-Lambert/Saint-Lambert"," 131","Saint-Lambert",28,3,83,23,61,2,200,361
24065,"Saint-Lambert/Saint-Lambert"," 132","Saint-Lambert",25,8,52,33,106,1,225,340
24065,"Saint-Lambert/Saint-Lambert"," 133","Saint-Lambert",30,1,60,17,70,1,179,356
24065,"Saint-Lambert/Saint-Lambert"," 134","Saint-Lambert",19,2,37,15,20,2,95,279
24065,"Saint-Lambert/Saint-Lambert"," 135","Saint-Lambert",17,2,78,22,71,4,194,346
24065,"Saint-Lambert/Saint-Lambert"," 135-1","Saint-Lambert",16,1,22,25,56,2,122,277
24065,"Saint-Lambert/Saint-Lambert"," 136","Saint-Lambert",21,2,50,10,37,0,120,278
24065,"Saint-Lambert/Saint-Lambert"," 137","Saint-Lambert",25,2,46,18,69,0,160,267
24065,"Saint-Lambert/Saint-Lambert"," 138","Saint-Lambert",33,1,64,26,76,3,203,448
24065,"Saint-Lambert/Saint-Lambert"," 139","Saint-Lambert",43,5,67,25,74,1,215,339
24065,"Saint-Lambert/Saint-Lambert"," 140","Saint-Lambert",27,1,62,11,80,0,181,321
24065,"Saint-Lambert/Saint-Lambert"," 141","Saint-Lambert",28,2,57,14,69,0,170,303
24065,"Saint-Lambert/Saint-Lambert"," 142","Saint-Lambert",25,6,68,20,106,1,226,371
24065,"Saint-Lambert/Saint-Lambert"," 143","Saint-Lambert",68,2,81,45,134,5,335,554
24065,"Saint-Lambert/Saint-Lambert"," 144","Saint-Lambert",38,4,84,24,73,1,224,515
24065,"Saint-Lambert/Saint-Lambert"," 145","Saint-Lambert",33,3,66,23,77,2,204,393
24065,"Saint-Lambert/Saint-Lambert"," 146","Saint-Lambert",23,3,67,15,24,4,136,349
24065,"Saint-Lambert/Saint-Lambert"," 147","Saint-Lambert",23,2,54,10,36,2,127,326
24065,"Saint-Lambert/Saint-Lambert"," 148","Saint-Lambert",53,5,92,9,46,3,208,412
24065,"Saint-Lambert/Saint-Lambert"," 149","Saint-Lambert",59,2,83,27,74,3,248,455
24065,"Saint-Lambert/Saint-Lambert"," 150","LeMoyne",50,3,63,13,12,0,141,321
24065,"Saint-Lambert/Saint-Lambert"," 151","LeMoyne",43,3,45,11,19,3,124,288
24065,"Saint-Lambert/Saint-Lambert"," 151-1","LeMoyne",27,2,47,6,12,3,97,228
24065,"Saint-Lambert/Saint-Lambert"," 152","LeMoyne",75,7,87,22,19,5,215,485
24065,"Saint-Lambert/Saint-Lambert"," 153","LeMoyne",52,3,65,9,20,0,149,392
24065,"Saint-Lambert/Saint-Lambert"," 154","LeMoyne",41,2,52,6,16,4,121,225
24065,"Saint-Lambert/Saint-Lambert"," 155","LeMoyne",56,4,72,18,14,1,165,369
24065,"Saint-Lambert/Saint-Lambert"," 156","LeMoyne",51,5,72,10,20,0,158,347
24065,"Saint-Lambert/Saint-Lambert"," 157","Greenfield Park",36,11,141,24,30,1,243,429
24065,"Saint-Lambert/Saint-Lambert"," 158","Greenfield Park",12,7,65,27,21,1,133,282
24065,"Saint-Lambert/Saint-Lambert"," 159","Greenfield Park",43,4,89,27,31,4,198,423
24065,"Saint-Lambert/Saint-Lambert"," 160","Greenfield Park",45,6,135,44,50,1,281,495
24065,"Saint-Lambert/Saint-Lambert"," 161","Greenfield Park",29,6,61,23,30,4,153,363
24065,"Saint-Lambert/Saint-Lambert"," 162","Greenfield Park",56,14,120,22,47,1,260,497
24065,"Saint-Lambert/Saint-Lambert"," 163","Greenfield Park",48,9,118,29,40,2,246,451
24065,"Saint-Lambert/Saint-Lambert"," 164","Greenfield Park",40,4,101,12,50,2,209,373
24065,"Saint-Lambert/Saint-Lambert"," 165","Greenfield Park",37,6,94,21,28,4,190,333
24065,"Saint-Lambert/Saint-Lambert"," 166","Greenfield Park",24,1,86,21,24,2,158,502
24065,"Saint-Lambert/Saint-Lambert"," 167","Greenfield Park",56,10,125,28,57,1,277,489
24065,"Saint-Lambert/Saint-Lambert"," 168","Greenfield Park",28,7,95,26,32,2,190,361
24065,"Saint-Lambert/Saint-Lambert"," 169","Greenfield Park",31,7,106,34,38,2,218,461
24065,"Saint-Lambert/Saint-Lambert"," 170","Greenfield Park",12,4,82,24,55,1,178,308
24065,"Saint-Lambert/Saint-Lambert"," 171","Greenfield Park",37,5,117,39,53,2,253,396
24065,"Saint-Lambert/Saint-Lambert"," 172","Greenfield Park",37,4,90,30,37,4,202,388
24065,"Saint-Lambert/Saint-Lambert"," 173","Greenfield Park",14,5,67,20,40,1,147,246
24065,"Saint-Lambert/Saint-Lambert"," 174","Greenfield Park",13,3,71,23,47,4,161,366
24065,"Saint-Lambert/Saint-Lambert"," 175","Greenfield Park",22,6,78,40,52,3,201,344
24065,"Saint-Lambert/Saint-Lambert"," 176","Greenfield Park",18,2,75,20,45,1,161,300
24065,"Saint-Lambert/Saint-Lambert"," 177","Greenfield Park",25,7,90,16,22,4,164,347
24065,"Saint-Lambert/Saint-Lambert"," 178","Greenfield Park",41,4,98,34,59,4,240,480
24065,"Saint-Lambert/Saint-Lambert"," 179","Greenfield Park",25,5,108,29,48,1,216,411
24065,"Saint-Lambert/Saint-Lambert"," 180","Greenfield Park",43,5,150,36,34,2,270,490
24065,"Saint-Lambert/Saint-Lambert"," 181","Greenfield Park",36,9,79,31,27,1,183,406
24065,"Saint-Lambert/Saint-Lambert"," 182","Greenfield Park",14,1,100,15,28,2,160,300
24065,"Saint-Lambert/Saint-Lambert"," 183","Greenfield Park",22,5,92,22,40,2,183,325
24065,"Saint-Lambert/Saint-Lambert"," 183-1","Greenfield Park",24,5,56,27,39,2,153,289
24065,"Saint-Lambert/Saint-Lambert"," 184","Greenfield Park",22,9,80,34,44,6,195,392
24065,"Saint-Lambert/Saint-Lambert"," 185","Greenfield Park",33,6,93,20,12,2,166,377
24065,"Saint-Lambert/Saint-Lambert"," 186","Greenfield Park",28,3,87,30,37,1,186,338
24065,"Saint-Lambert/Saint-Lambert"," 187","Greenfield Park",47,7,162,49,53,3,321,558
24065,"Saint-Lambert/Saint-Lambert"," 188","Greenfield Park",41,5,114,37,48,7,252,431
24065,"Saint-Lambert/Saint-Lambert"," 189","Greenfield Park",41,3,97,27,31,2,201,364
24065,"Saint-Lambert/Saint-Lambert"," 400","Longueuil",32,4,60,25,31,3,155,362
24065,"Saint-Lambert/Saint-Lambert"," 401","Longueuil",17,5,65,10,14,1,112,297
24065,"Saint-Lambert/Saint-Lambert"," 402","Longueuil",5,2,17,15,13,0,52,145
24065,"Saint-Lambert/Saint-Lambert"," 500","Mobile poll/Bureau itinérant",8,0,18,18,25,0,69,96
24065,"Saint-Lambert/Saint-Lambert"," 501","Mobile poll/Bureau itinérant",19,2,13,13,23,1,71,147
24065,"Saint-Lambert/Saint-Lambert"," 600","Longueuil",198,12,208,54,107,3,582,
24065,"Saint-Lambert/Saint-Lambert"," 601","Longueuil",200,7,242,54,101,11,615,
24065,"Saint-Lambert/Saint-Lambert"," 602","Longueuil",191,11,178,48,81,8,517,
24065,"Saint-Lambert/Saint-Lambert"," 603","Longueuil",132,6,166,47,50,5,406,
24065,"Saint-Lambert/Saint-Lambert"," 604","Longueuil",127,5,129,35,42,4,342,
24065,"Saint-Lambert/Saint-Lambert"," 605","Longueuil",175,9,219,61,70,12,546,
24065,"Saint-Lambert/Saint-Lambert"," 606","Longueuil",266,5,263,60,84,9,687,
24065,"Saint-Lambert/Saint-Lambert"," 607","Saint-Lambert",206,11,159,66,192,6,640,
24065,"Saint-Lambert/Saint-Lambert"," 608","Saint-Lambert",183,11,191,78,222,6,691,
24065,"Saint-Lambert/Saint-Lambert"," 609","Saint-Lambert",104,6,169,63,256,3,601,
24065,"Saint-Lambert/Saint-Lambert"," 610","Saint-Lambert",100,5,182,92,286,2,667,
24065,"Saint-Lambert/Saint-Lambert"," 611","Saint-Lambert",105,5,128,56,183,4,481,
24065,"Saint-Lambert/Saint-Lambert"," 612","Greenfield Park",157,16,196,65,126,8,568,
24065,"Saint-Lambert/Saint-Lambert"," 613","Greenfield Park",91,11,195,90,176,3,566,
24065,"Saint-Lambert/Saint-Lambert"," 614","Greenfield Park",105,11,217,133,175,6,647,
24065,"Saint-Lambert/Saint-Lambert",,Group 1/Groupe 1,27,2,18,29,38,8,122,224
24065,"Saint-Lambert/Saint-Lambert",,Group 2/Groupe 2,221,5,128,63,147,12,576,
