Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Borkowski,Lorne Gershuny,Gerard Kennedy,Peggy Nash,Sarah Newton,Terry Parker,Taylor Train,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Parkdale--High Park/Parkdale--High Park"," 51","Toronto",0,1,89,90,4,1,32,0,217,359
35068,"Parkdale--High Park/Parkdale--High Park"," 52","Toronto",0,2,106,95,6,1,47,1,258,426
35068,"Parkdale--High Park/Parkdale--High Park"," 53","Toronto",0,0,110,63,11,0,33,0,217,371
35068,"Parkdale--High Park/Parkdale--High Park"," 54","Toronto",0,0,110,147,9,2,42,1,311,444
35068,"Parkdale--High Park/Parkdale--High Park"," 55","Toronto",0,0,128,99,5,0,48,0,280,402
35068,"Parkdale--High Park/Parkdale--High Park"," 56","Toronto",0,1,87,59,4,1,41,1,194,319
35068,"Parkdale--High Park/Parkdale--High Park"," 57","Toronto",0,0,94,123,10,1,39,2,269,421
35068,"Parkdale--High Park/Parkdale--High Park"," 58","Toronto",0,0,73,69,3,1,30,0,176,270
35068,"Parkdale--High Park/Parkdale--High Park"," 59","Toronto",0,0,86,92,1,1,42,0,222,372
35068,"Parkdale--High Park/Parkdale--High Park"," 60","Toronto",0,0,138,89,12,0,66,6,311,472
35068,"Parkdale--High Park/Parkdale--High Park"," 61","Toronto",0,1,82,101,9,0,47,0,240,461
35068,"Parkdale--High Park/Parkdale--High Park"," 62","Toronto",1,0,89,105,8,0,40,1,244,431
35068,"Parkdale--High Park/Parkdale--High Park"," 63","Toronto",1,0,82,103,11,2,39,1,239,346
35068,"Parkdale--High Park/Parkdale--High Park"," 64","Toronto",1,0,83,112,10,3,23,1,233,371
35068,"Parkdale--High Park/Parkdale--High Park"," 65","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 66","Toronto",0,0,90,126,12,0,41,1,270,476
35068,"Parkdale--High Park/Parkdale--High Park"," 67","Toronto",0,0,64,91,9,0,25,0,189,325
35068,"Parkdale--High Park/Parkdale--High Park"," 68","Toronto",2,2,89,134,6,0,33,0,266,452
35068,"Parkdale--High Park/Parkdale--High Park"," 69","Toronto",0,0,103,124,7,1,27,0,262,410
35068,"Parkdale--High Park/Parkdale--High Park"," 70","Toronto",0,0,103,120,13,1,33,1,271,401
35068,"Parkdale--High Park/Parkdale--High Park"," 71","Toronto",1,1,61,96,7,0,20,0,186,319
35068,"Parkdale--High Park/Parkdale--High Park"," 72","Toronto",1,0,171,178,12,0,80,0,442,681
35068,"Parkdale--High Park/Parkdale--High Park"," 73","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 74","Toronto",0,0,62,89,6,2,34,0,193,296
35068,"Parkdale--High Park/Parkdale--High Park"," 75","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 76","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 77","Toronto",1,0,75,79,6,0,28,0,189,331
35068,"Parkdale--High Park/Parkdale--High Park"," 78","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 79","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 80","Toronto",0,2,62,169,6,0,35,1,275,550
35068,"Parkdale--High Park/Parkdale--High Park"," 81","Toronto",0,0,32,102,5,0,23,0,162,314
35068,"Parkdale--High Park/Parkdale--High Park"," 82","Toronto",2,1,70,160,12,0,52,1,298,526
35068,"Parkdale--High Park/Parkdale--High Park"," 83","Toronto",1,1,55,211,11,1,30,1,311,578
35068,"Parkdale--High Park/Parkdale--High Park"," 84","Toronto",1,2,86,181,17,1,28,3,319,533
35068,"Parkdale--High Park/Parkdale--High Park"," 85","Toronto",1,1,70,175,12,4,25,1,289,541
35068,"Parkdale--High Park/Parkdale--High Park"," 86A","Toronto",0,0,33,102,7,0,12,0,154,293
35068,"Parkdale--High Park/Parkdale--High Park"," 86B","Toronto",0,0,42,108,2,1,9,1,163,267
35068,"Parkdale--High Park/Parkdale--High Park"," 87","Toronto",0,1,90,134,11,2,20,0,258,419
35068,"Parkdale--High Park/Parkdale--High Park"," 88","Toronto",1,0,112,122,14,1,46,0,296,472
35068,"Parkdale--High Park/Parkdale--High Park"," 89","Toronto",0,0,81,135,10,2,38,0,266,459
35068,"Parkdale--High Park/Parkdale--High Park"," 90","Toronto",0,0,53,101,14,0,35,0,203,309
35068,"Parkdale--High Park/Parkdale--High Park"," 91","Toronto",2,1,82,122,12,0,41,0,260,436
35068,"Parkdale--High Park/Parkdale--High Park"," 92","Toronto",1,0,102,119,13,1,48,0,284,440
35068,"Parkdale--High Park/Parkdale--High Park"," 93","Toronto",0,0,62,88,10,1,17,1,179,302
35068,"Parkdale--High Park/Parkdale--High Park"," 94","Toronto",2,1,63,109,9,2,34,0,220,397
35068,"Parkdale--High Park/Parkdale--High Park"," 95","Toronto",0,0,69,125,5,2,31,0,232,423
35068,"Parkdale--High Park/Parkdale--High Park"," 96","Toronto",1,0,70,113,14,1,34,0,233,410
35068,"Parkdale--High Park/Parkdale--High Park"," 97","Toronto",3,1,96,72,10,0,60,1,243,365
35068,"Parkdale--High Park/Parkdale--High Park"," 98","Toronto",0,1,85,117,7,2,30,0,242,415
35068,"Parkdale--High Park/Parkdale--High Park"," 99","Toronto",0,0,48,88,8,5,19,0,168,309
35068,"Parkdale--High Park/Parkdale--High Park"," 100","Toronto",1,2,50,182,14,2,31,1,283,522
35068,"Parkdale--High Park/Parkdale--High Park"," 101","Toronto",1,0,65,155,11,1,28,2,263,492
35068,"Parkdale--High Park/Parkdale--High Park"," 102","Toronto",3,0,93,185,14,3,39,2,339,574
35068,"Parkdale--High Park/Parkdale--High Park"," 103","Toronto",0,1,36,117,7,1,28,0,190,342
35068,"Parkdale--High Park/Parkdale--High Park"," 104","Toronto",1,0,65,108,12,3,42,2,233,385
35068,"Parkdale--High Park/Parkdale--High Park"," 105","Toronto",1,0,49,99,6,1,16,1,173,301
35068,"Parkdale--High Park/Parkdale--High Park"," 106","Toronto",3,0,54,103,11,2,24,0,197,343
35068,"Parkdale--High Park/Parkdale--High Park"," 107","Toronto",0,0,93,118,3,0,27,0,241,374
35068,"Parkdale--High Park/Parkdale--High Park"," 108","Toronto",0,0,40,83,3,0,16,0,142,239
35068,"Parkdale--High Park/Parkdale--High Park"," 109","Toronto",3,0,92,94,8,3,35,0,235,377
35068,"Parkdale--High Park/Parkdale--High Park"," 110","Toronto",0,1,88,126,7,2,30,1,255,409
35068,"Parkdale--High Park/Parkdale--High Park"," 111","Toronto",3,0,59,139,10,0,21,0,232,373
35068,"Parkdale--High Park/Parkdale--High Park"," 112","Toronto",3,3,102,170,14,0,23,1,316,484
35068,"Parkdale--High Park/Parkdale--High Park"," 113","Toronto",1,0,76,110,13,0,30,1,231,364
35068,"Parkdale--High Park/Parkdale--High Park"," 114","Toronto",0,1,53,91,10,1,19,0,175,279
35068,"Parkdale--High Park/Parkdale--High Park"," 115","Toronto",0,0,59,116,9,2,29,0,215,325
35068,"Parkdale--High Park/Parkdale--High Park"," 116","Toronto",0,0,68,134,10,0,22,0,234,365
35068,"Parkdale--High Park/Parkdale--High Park"," 117","Toronto",14,1,108,56,5,0,52,9,245,382
35068,"Parkdale--High Park/Parkdale--High Park"," 118","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 119","Toronto",3,0,87,154,9,2,20,0,275,424
35068,"Parkdale--High Park/Parkdale--High Park"," 119-1","Toronto",0,0,47,85,4,1,13,0,150,272
35068,"Parkdale--High Park/Parkdale--High Park"," 120","Toronto",0,0,124,166,12,0,31,1,334,497
35068,"Parkdale--High Park/Parkdale--High Park"," 121","Toronto",1,0,84,163,7,2,30,1,288,422
35068,"Parkdale--High Park/Parkdale--High Park"," 122","Toronto",4,2,61,129,6,1,30,0,233,359
35068,"Parkdale--High Park/Parkdale--High Park"," 123","Toronto",1,0,67,131,6,0,20,0,225,368
35068,"Parkdale--High Park/Parkdale--High Park"," 124","Toronto",1,0,73,139,5,1,28,3,250,416
35068,"Parkdale--High Park/Parkdale--High Park"," 125","Toronto",3,0,62,118,9,2,23,0,217,390
35068,"Parkdale--High Park/Parkdale--High Park"," 126","Toronto",3,0,43,165,8,4,21,0,244,416
35068,"Parkdale--High Park/Parkdale--High Park"," 127","Toronto",4,2,71,221,10,7,45,9,369,640
35068,"Parkdale--High Park/Parkdale--High Park"," 128","Toronto",0,1,31,150,11,1,11,0,205,442
35068,"Parkdale--High Park/Parkdale--High Park"," 129","Toronto",0,0,43,104,7,0,20,1,175,303
35068,"Parkdale--High Park/Parkdale--High Park"," 130","Toronto",0,0,28,128,5,4,16,0,181,408
35068,"Parkdale--High Park/Parkdale--High Park"," 131","Toronto",0,0,53,118,3,0,14,0,188,405
35068,"Parkdale--High Park/Parkdale--High Park"," 132","Toronto",0,1,47,156,10,0,24,0,238,434
35068,"Parkdale--High Park/Parkdale--High Park"," 133","Toronto",1,1,83,151,3,0,19,0,258,435
35068,"Parkdale--High Park/Parkdale--High Park"," 134","Toronto",1,1,58,165,6,0,16,1,248,420
35068,"Parkdale--High Park/Parkdale--High Park"," 135","Toronto",0,0,59,163,4,3,30,0,259,572
35068,"Parkdale--High Park/Parkdale--High Park"," 136","Toronto",1,1,52,182,5,2,26,0,269,477
35068,"Parkdale--High Park/Parkdale--High Park"," 137","Toronto",1,0,43,152,2,0,29,3,230,510
35068,"Parkdale--High Park/Parkdale--High Park"," 138","Toronto",4,0,32,108,1,0,26,1,172,388
35068,"Parkdale--High Park/Parkdale--High Park"," 139","Toronto",1,1,42,135,8,0,34,0,221,427
35068,"Parkdale--High Park/Parkdale--High Park"," 140","Toronto",3,0,53,166,14,1,32,1,270,502
35068,"Parkdale--High Park/Parkdale--High Park"," 141","Toronto",4,2,67,75,1,0,15,11,175,310
35068,"Parkdale--High Park/Parkdale--High Park"," 142","Toronto",1,0,58,176,7,0,16,0,258,499
35068,"Parkdale--High Park/Parkdale--High Park"," 143","Toronto",1,1,53,175,9,1,22,1,263,511
35068,"Parkdale--High Park/Parkdale--High Park"," 144","Toronto",1,0,52,101,2,0,20,3,179,374
35068,"Parkdale--High Park/Parkdale--High Park"," 145","Toronto",2,0,46,83,2,0,25,1,159,365
35068,"Parkdale--High Park/Parkdale--High Park"," 146","Toronto",0,1,53,176,6,1,22,3,262,539
35068,"Parkdale--High Park/Parkdale--High Park"," 147","Toronto",3,0,42,125,3,1,24,3,201,408
35068,"Parkdale--High Park/Parkdale--High Park"," 148","Toronto",2,0,62,169,3,3,47,0,286,567
35068,"Parkdale--High Park/Parkdale--High Park"," 149","Toronto",0,0,40,149,6,0,28,0,223,476
35068,"Parkdale--High Park/Parkdale--High Park"," 150","Toronto",1,0,45,119,6,0,33,3,207,428
35068,"Parkdale--High Park/Parkdale--High Park"," 151","Toronto",0,0,48,143,14,1,24,2,232,407
35068,"Parkdale--High Park/Parkdale--High Park"," 152","Toronto",0,0,68,201,11,1,31,0,312,539
35068,"Parkdale--High Park/Parkdale--High Park"," 153","Toronto",7,0,53,175,8,0,76,3,322,634
35068,"Parkdale--High Park/Parkdale--High Park"," 154","Toronto",0,1,45,147,8,0,17,0,218,496
35068,"Parkdale--High Park/Parkdale--High Park"," 155","Toronto",0,0,55,121,9,0,17,0,202,420
35068,"Parkdale--High Park/Parkdale--High Park"," 156","Toronto",0,0,23,48,0,0,9,1,81,257
35068,"Parkdale--High Park/Parkdale--High Park"," 157","Toronto",0,0,34,77,1,3,28,1,144,400
35068,"Parkdale--High Park/Parkdale--High Park"," 158","Toronto",4,0,51,170,9,3,25,8,270,667
35068,"Parkdale--High Park/Parkdale--High Park"," 159","Toronto",2,1,33,76,5,0,22,2,141,344
35068,"Parkdale--High Park/Parkdale--High Park"," 160","Toronto",0,0,29,71,1,1,11,0,113,324
35068,"Parkdale--High Park/Parkdale--High Park"," 161","Toronto",5,1,68,232,7,2,45,0,360,565
35068,"Parkdale--High Park/Parkdale--High Park"," 400","Toronto",2,0,57,99,4,1,43,1,207,299
35068,"Parkdale--High Park/Parkdale--High Park"," 401","Toronto",1,1,81,114,2,1,68,1,269,387
35068,"Parkdale--High Park/Parkdale--High Park"," 402","Toronto",1,3,46,49,11,1,33,2,146,230
35068,"Parkdale--High Park/Parkdale--High Park"," 403","Toronto",5,1,53,94,9,4,30,0,196,326
35068,"Parkdale--High Park/Parkdale--High Park"," 404","Toronto",2,2,86,139,5,2,29,1,266,451
35068,"Parkdale--High Park/Parkdale--High Park"," 405","Toronto",3,0,78,107,16,1,44,0,249,374
35068,"Parkdale--High Park/Parkdale--High Park"," 406","Toronto",3,0,86,44,3,0,43,0,179,262
35068,"Parkdale--High Park/Parkdale--High Park"," 407","Toronto",1,0,90,110,8,1,66,1,277,368
35068,"Parkdale--High Park/Parkdale--High Park"," 408","Toronto",9,1,80,117,4,1,46,0,258,425
35068,"Parkdale--High Park/Parkdale--High Park"," 409","Toronto",0,0,75,123,13,0,34,0,245,382
35068,"Parkdale--High Park/Parkdale--High Park"," 410","Toronto",1,2,43,82,6,0,32,1,167,301
35068,"Parkdale--High Park/Parkdale--High Park"," 411","Toronto",1,2,69,98,6,0,39,4,219,402
35068,"Parkdale--High Park/Parkdale--High Park"," 412","Toronto",3,0,86,116,11,0,39,0,255,449
35068,"Parkdale--High Park/Parkdale--High Park"," 413","Toronto",2,1,49,107,3,0,21,6,189,407
35068,"Parkdale--High Park/Parkdale--High Park"," 414","Toronto",3,1,40,85,2,0,15,1,147,321
35068,"Parkdale--High Park/Parkdale--High Park"," 415","Toronto",3,1,74,97,1,0,13,2,191,382
35068,"Parkdale--High Park/Parkdale--High Park"," 416","Toronto",0,0,14,3,0,0,8,0,25,63
35068,"Parkdale--High Park/Parkdale--High Park"," 417","Toronto",0,0,61,37,0,0,59,2,159,221
35068,"Parkdale--High Park/Parkdale--High Park"," 418","Toronto",1,0,36,64,3,0,24,0,128,204
35068,"Parkdale--High Park/Parkdale--High Park"," 419","Toronto",0,0,70,106,9,0,50,0,235,409
35068,"Parkdale--High Park/Parkdale--High Park"," 420","Toronto",1,1,55,55,12,0,34,1,159,247
35068,"Parkdale--High Park/Parkdale--High Park"," 421","Toronto",0,0,54,78,5,1,33,2,173,260
35068,"Parkdale--High Park/Parkdale--High Park"," 422","Toronto",0,0,61,73,8,1,37,0,180,279
35068,"Parkdale--High Park/Parkdale--High Park"," 423","Toronto",1,2,43,78,5,0,41,1,171,271
35068,"Parkdale--High Park/Parkdale--High Park"," 424","Toronto",0,1,40,80,4,3,23,3,154,282
35068,"Parkdale--High Park/Parkdale--High Park"," 425","Toronto",5,0,54,87,7,1,28,0,182,270
35068,"Parkdale--High Park/Parkdale--High Park"," 426","Toronto",0,0,50,68,1,0,34,0,153,238
35068,"Parkdale--High Park/Parkdale--High Park"," 427","Toronto",0,0,80,88,10,1,71,0,250,376
35068,"Parkdale--High Park/Parkdale--High Park"," 428","Toronto",0,1,45,41,5,1,50,1,144,193
35068,"Parkdale--High Park/Parkdale--High Park"," 429A","Toronto",0,0,27,91,7,1,10,0,136,159
35068,"Parkdale--High Park/Parkdale--High Park"," 429B","Toronto",1,0,34,66,6,0,13,0,120,150
35068,"Parkdale--High Park/Parkdale--High Park"," 500","Mobile poll/Bureau itinérant",3,1,26,22,3,2,22,2,81,151
35068,"Parkdale--High Park/Parkdale--High Park"," 501","Mobile poll/Bureau itinérant",2,2,17,15,2,0,8,0,46,145
35068,"Parkdale--High Park/Parkdale--High Park"," 600","Toronto",7,1,413,312,17,3,176,2,931,
35068,"Parkdale--High Park/Parkdale--High Park"," 601","Toronto",2,0,332,236,30,1,173,3,777,
35068,"Parkdale--High Park/Parkdale--High Park"," 602","Toronto",0,1,291,240,29,1,78,3,643,
35068,"Parkdale--High Park/Parkdale--High Park"," 603","Toronto",4,0,226,216,24,2,44,1,517,
35068,"Parkdale--High Park/Parkdale--High Park"," 604","Toronto",0,0,222,157,16,2,61,1,459,
35068,"Parkdale--High Park/Parkdale--High Park"," 605","Toronto",2,3,302,461,44,1,106,2,921,
35068,"Parkdale--High Park/Parkdale--High Park"," 606","Toronto",4,1,307,587,39,1,73,2,1014,
35068,"Parkdale--High Park/Parkdale--High Park"," 607","Toronto",1,0,129,361,15,5,61,2,574,
35068,"Parkdale--High Park/Parkdale--High Park"," 608","Toronto",1,1,328,351,27,6,96,1,811,
35068,"Parkdale--High Park/Parkdale--High Park"," 609","Toronto",1,2,150,309,18,3,58,2,543,
35068,"Parkdale--High Park/Parkdale--High Park"," 610","Toronto",0,0,117,76,4,1,57,2,257,
35068,"Parkdale--High Park/Parkdale--High Park",,Group 1/Groupe 1,1,0,56,24,7,1,19,6,114,196
35068,"Parkdale--High Park/Parkdale--High Park",,Group 2/Groupe 2,0,1,332,281,22,3,93,6,738,
