Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joyce Bateman,Lyndon B. Froese,Matt Henderson,Dennis Lewycky,Joshua McNeil,Anita Neville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 96","Winnipeg",66,1,0,64,8,72,0,211,373
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 97","Winnipeg",54,1,3,44,17,109,0,228,396
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 98","Winnipeg",47,1,1,71,10,65,2,197,338
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 99","Winnipeg",34,1,0,39,6,45,1,126,297
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 100","Winnipeg",91,0,1,48,16,89,0,245,363
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 101","Winnipeg",76,0,4,48,12,95,0,235,409
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 102","Winnipeg",62,0,2,65,6,90,1,226,379
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 103","Winnipeg",71,0,2,58,8,72,1,212,436
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 104","Winnipeg",54,2,0,24,6,42,1,129,311
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 105","Winnipeg",91,1,0,73,13,73,0,251,497
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 106","Winnipeg",101,1,0,53,3,82,0,240,408
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 107","Winnipeg",58,1,0,31,8,48,1,147,322
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 108","Winnipeg",73,0,1,37,1,46,0,158,299
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 109","Winnipeg",49,2,1,43,5,67,1,168,358
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 110","Winnipeg",66,0,0,62,2,38,0,168,354
