Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorraine Banville,Guillaume Berger-Richard,Carl Dubois,Hélène LeBlanc,Yves Le Seigle,Chang-Tao Jimmy Yu,Lise Zarac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"LaSalle--Émard/LaSalle--Émard"," 103B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,109
24029,"LaSalle--Émard/LaSalle--Émard"," 104","LaSalle",5,1,35,64,1,21,45,2,174,422
24029,"LaSalle--Émard/LaSalle--Émard"," 105","LaSalle",5,1,47,119,0,27,36,5,240,427
24029,"LaSalle--Émard/LaSalle--Émard"," 106","LaSalle",6,0,37,76,0,18,47,1,185,387
24029,"LaSalle--Émard/LaSalle--Émard"," 107","LaSalle",1,3,18,65,0,19,29,4,139,317
24029,"LaSalle--Émard/LaSalle--Émard"," 108","LaSalle",4,0,12,60,0,17,59,4,156,353
24029,"LaSalle--Émard/LaSalle--Émard"," 109","LaSalle",4,2,9,70,0,26,48,1,160,380
24029,"LaSalle--Émard/LaSalle--Émard"," 110","LaSalle",8,0,10,66,1,40,72,5,202,413
24029,"LaSalle--Émard/LaSalle--Émard"," 111","LaSalle",4,1,31,90,0,15,33,3,177,389
24029,"LaSalle--Émard/LaSalle--Émard"," 112","LaSalle",6,0,9,68,0,28,96,5,212,421
24029,"LaSalle--Émard/LaSalle--Émard"," 113","LaSalle",4,0,5,62,0,24,57,3,155,373
24029,"LaSalle--Émard/LaSalle--Émard"," 114","LaSalle",3,0,11,56,0,33,38,0,141,342
24029,"LaSalle--Émard/LaSalle--Émard"," 115","LaSalle",5,1,12,51,0,24,52,2,147,332
24029,"LaSalle--Émard/LaSalle--Émard"," 116","LaSalle",2,0,22,71,0,31,69,3,198,392
24029,"LaSalle--Émard/LaSalle--Émard"," 117","LaSalle",3,2,6,65,0,22,55,2,155,380
24029,"LaSalle--Émard/LaSalle--Émard"," 118","LaSalle",5,1,39,89,0,26,35,3,198,458
