Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judi Falardeau,Philip Fernandez,Catherine Holliday,Ellen Michelson,Kevin Moore,Bob Rae,Susan Wallace,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,Toronto Centre/Toronto-Centre,29,Toronto,1,0,0,22,45,97,72,2,1,240,376
35093,Toronto Centre/Toronto-Centre,30,Toronto,0,0,0,13,56,86,25,0,0,180,403
35093,Toronto Centre/Toronto-Centre,31,Toronto,0,0,0,5,182,132,18,0,1,338,596
35093,Toronto Centre/Toronto-Centre,32,Toronto,0,0,1,8,59,102,43,0,0,213,325
35093,Toronto Centre/Toronto-Centre,33,Toronto,1,0,0,10,57,71,16,0,0,155,276
35093,Toronto Centre/Toronto-Centre,34,Toronto,0,0,0,3,68,73,23,0,0,167,304
35093,Toronto Centre/Toronto-Centre,35,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre, 36A,Toronto,0,0,0,9,82,147,32,0,3,273,439
35093,Toronto Centre/Toronto-Centre, 36B,Toronto,1,0,0,9,70,109,32,1,3,225,382
35093,Toronto Centre/Toronto-Centre, 36-1,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,37,Toronto,2,0,2,8,41,67,30,0,2,152,256
35093,Toronto Centre/Toronto-Centre,38,Toronto,1,0,0,2,64,81,23,0,2,173,318
35093,Toronto Centre/Toronto-Centre, 38-1A,Toronto,0,0,0,10,61,60,23,0,0,154,452
35093,Toronto Centre/Toronto-Centre, 38-1B,Toronto,0,0,0,3,63,51,19,0,0,136,393
35093,Toronto Centre/Toronto-Centre,39,Toronto,0,0,0,7,141,76,22,1,3,250,658
35093,Toronto Centre/Toronto-Centre, 39-1,Toronto,1,1,2,6,80,45,21,0,0,156,341
35093,Toronto Centre/Toronto-Centre,40,Toronto,1,0,0,7,77,60,26,0,0,171,354
35093,Toronto Centre/Toronto-Centre,41,Toronto,0,0,0,3,26,71,35,1,1,137,330
35093,Toronto Centre/Toronto-Centre,42,Toronto,1,0,0,3,41,70,69,0,0,184,406
35093,Toronto Centre/Toronto-Centre,43,Toronto,1,0,1,11,30,62,66,0,0,171,275
35093,Toronto Centre/Toronto-Centre,44,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre, 45A,Toronto,1,0,0,6,43,82,87,0,1,220,430
35093,Toronto Centre/Toronto-Centre, 45B,Toronto,0,0,0,2,43,77,55,0,0,177,370
35093,Toronto Centre/Toronto-Centre,46,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,47,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,48,Toronto,6,1,1,18,104,163,106,1,1,401,657
35093,Toronto Centre/Toronto-Centre, 48-1,Toronto,2,0,0,13,60,97,62,1,2,237,593
35093,Toronto Centre/Toronto-Centre,49,Toronto,0,0,0,16,69,99,96,0,1,281,570
35093,Toronto Centre/Toronto-Centre,50,Toronto,3,0,1,17,37,83,122,0,0,263,517
