Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joanie Boulet,Nancy Charest,Allen Cormier,Louis Drainville,Jean-François Fortin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 12","Mont-Joli",36,18,12,2,67,0,135,273
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 13","Mont-Joli",24,22,7,3,59,3,118,294
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 14","Mont-Joli",35,14,16,3,77,2,147,282
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 15","Mont-Joli",46,16,19,2,78,2,163,316
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 16","Mont-Joli",20,13,8,2,37,2,82,290
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 17","Mont-Joli",31,15,19,3,77,0,145,404
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 18","Mont-Joli",22,8,11,2,38,0,81,227
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 19","Mont-Joli",36,28,20,6,80,0,170,363
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 20","Mont-Joli",38,19,11,2,64,4,138,345
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 21","Mont-Joli",40,32,15,7,94,0,188,386
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 22","Saint-Jean Baptiste",50,32,18,2,84,1,187,456
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 23","Sainte-Flavie",44,39,12,8,140,2,245,390
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 24","Sainte-Flavie",31,38,18,2,123,4,216,382
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 25","Grand-Métis",27,22,13,3,29,2,96,190
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 26","Price",45,34,27,2,91,2,201,369
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 27","Price",18,7,12,3,43,3,86,201
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 28","Price",37,14,22,1,69,1,144,284
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 29","Price",35,10,10,3,59,0,117,251
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 30","Price",18,15,14,2,52,2,103,258
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 31","Saint-Joseph-de-Lepage",74,30,33,27,90,3,257,417
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 32","Saint-Octave-de-Métis",64,29,21,4,114,2,234,395
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 33","Métis-sur-Mer",30,29,32,7,35,1,134,210
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 34","Métis-sur-Mer",40,37,24,7,66,1,175,295
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 35","Padoue",36,14,19,2,59,2,132,229
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 36","Baie-des-Sables",37,43,20,8,58,2,168,235
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 37","Baie-des-Sables",34,52,14,7,58,2,167,257
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 38","Saint-Ulric",38,87,30,6,91,1,253,479
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 39","Saint-Ulric",19,43,16,2,34,3,117,230
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 40","Saint-Ulric",30,34,17,3,50,1,135,282
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 41","Saint-Ulric",36,57,29,3,44,4,173,365
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 42","Saint-Léandre",51,52,16,8,62,2,191,325
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 43","Sainte-Paule",33,37,12,1,48,1,132,188
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 44A","Matane",32,52,23,2,53,1,163,291
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 44B","Matane",25,49,28,3,37,1,143,259
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 45","Matane",33,64,23,1,72,3,196,401
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 46","Matane",34,40,14,6,56,1,151,372
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 47","Matane",24,50,20,0,80,1,175,382
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 48","Matane",16,31,8,4,42,1,102,283
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 49","Matane",36,34,20,4,65,3,162,352
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 50","Matane",37,70,12,1,70,1,191,343
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 51","Matane",32,78,17,3,87,4,221,410
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 52","Matane",36,79,8,0,41,0,164,326
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 53","Matane",50,65,21,4,75,1,216,413
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 54","Matane",24,53,18,3,52,1,151,336
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 55","Matane",31,27,21,4,72,1,156,350
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 56","Matane",14,35,16,0,37,2,104,285
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 57","Matane",14,27,11,2,42,0,96,244
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 58","Matane",38,95,31,3,94,1,262,478
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 59","Matane",20,45,11,0,57,4,137,310
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 60","Matane",19,38,11,4,74,1,147,305
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 61","Matane",30,65,35,0,66,0,196,424
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 62","Matane",20,50,13,2,52,1,138,308
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 63","Matane",34,46,14,4,46,0,144,347
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 64","Matane",21,32,8,4,37,3,105,278
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 65","Matane",32,40,18,0,54,0,144,371
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 66","Matane",49,73,23,1,77,1,224,505
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 67","Matane",28,55,15,3,45,0,146,342
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 68","Matane",20,61,15,2,56,0,154,263
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 69","Matane",19,51,14,2,44,2,132,306
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 70A","Matane",0,7,3,3,0,0,13,22
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 70B","Matane",27,3,0,2,11,3,46,52
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 71","Matane",40,90,36,5,77,2,250,457
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 72","Petit-Matane",36,55,39,3,83,0,216,398
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 73","Petit-Matane",18,34,7,2,41,1,103,183
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 74","Matane",53,66,23,0,94,0,236,454
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 75","Saint-Luc-de-Matane",23,63,22,4,72,1,185,322
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 76","Saint-Luc-de-Matane",47,64,21,2,64,2,200,333
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 77A","Petit-Matane",31,46,19,0,49,2,147,299
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 77B","Petit-Matane",25,39,15,4,49,0,132,270
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 78","Sainte-Félicité",52,22,28,5,103,0,210,364
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 79","Sainte-Félicité",29,52,24,3,63,1,172,311
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 80","Sainte-Félicité",51,38,29,2,38,2,160,277
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 81","Saint-Jean-de-Cherbourg",20,14,4,1,37,0,76,160
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 82","Saint-Adelme",44,67,23,9,84,6,233,409
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 83","Saint-René-de-Matane",43,38,36,0,57,2,176,353
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 84","Saint-René-de-Matane",19,23,14,2,33,3,94,164
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 85","Saint-René-de-Matane",66,41,18,7,63,1,196,373
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 86","Grosses-Roches",51,39,27,5,81,3,206,372
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 87","Les Méchins",23,19,32,1,40,2,117,320
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 88","Les Méchins",20,34,25,2,43,2,126,307
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 89","Les Méchins",22,22,40,3,55,1,143,339
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 90","Cap-Chat",17,24,12,0,39,2,94,179
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 91","Cap-Chat",19,29,49,0,31,2,130,323
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 92","Cap-Chat",14,27,27,3,29,0,100,275
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 93","Cap-Chat",14,27,41,6,34,1,123,314
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 94","Cap-Chat",27,26,53,1,43,1,151,329
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 95","Cap-Chat",29,33,64,3,50,3,182,450
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 96","Cap-Chat",27,33,53,2,44,2,161,366
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 97","Sainte-Anne-des-Monts",21,32,47,2,32,1,135,405
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 98","Sainte-Anne-des-Monts",22,44,46,3,65,0,180,356
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 99","Sainte-Anne-des-Monts",12,26,35,3,39,2,117,393
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 100","Sainte-Anne-des-Monts",14,25,49,4,26,0,118,344
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 101","Sainte-Anne-des-Monts",30,31,53,5,46,2,167,432
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 102","Sainte-Anne-des-Monts",25,26,36,1,47,1,136,492
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 103A","Sainte-Anne-des-Monts",22,18,40,1,43,3,127,331
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 103B","Sainte-Anne-des-Monts",23,29,36,0,30,1,119,270
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 104","Sainte-Anne-des-Monts",32,27,38,2,32,1,132,343
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 105","Sainte-Anne-des-Monts",21,35,27,2,24,0,109,289
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 106","Sainte-Anne-des-Monts",35,35,62,0,54,1,187,445
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 107","Sainte-Anne-des-Monts",11,24,38,5,37,2,117,243
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 108","Cap-Seize",16,18,23,0,14,0,71,83
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 109","Sainte-Anne-des-Monts",35,18,49,0,53,0,155,420
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 110","Sainte-Anne-des-Monts",22,30,42,2,40,3,139,325
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 111A","Sainte-Anne-des-Monts",14,26,34,4,29,2,109,279
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 111B","Sainte-Anne-des-Monts",24,24,20,1,20,0,89,230
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 112","Cap-au-Renard",16,17,31,14,28,1,107,221
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 113","Marsoui",27,37,42,3,50,2,161,270
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 114","Rivière-à-Claude",14,29,17,1,18,1,80,120
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 115","Mont-Saint-Pierre",14,52,18,2,39,2,127,181
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 116","Saint-Maxime-du-Mont-Louis",19,63,24,3,56,2,167,371
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 117","Saint-Maxime-du-Mont-Louis",18,40,13,4,47,2,124,241
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 118","Sainte-Madeleine-de-la-Rivière-Madeleine",35,57,60,3,36,0,191,320
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 119","Saint-Maxime-du-Mont-Louis",18,64,16,2,62,1,163,373
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 120","Lac-au-Saumon",14,20,13,0,31,0,78,156
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 121","Lac-au-Saumon",40,22,23,10,55,1,151,321
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 122","Lac-au-Saumon",37,27,21,1,29,1,116,236
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 123","Lac-au-Saumon",65,46,27,3,54,2,197,329
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 124","Saint-Alexandre-des-Lacs",37,31,18,2,42,2,132,223
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 125","Causapscal",39,33,13,2,44,2,133,341
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 126","Sainte-Marguerite-Marie",27,13,9,0,43,0,92,165
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 127A","Causapscal",29,35,17,1,34,7,123,270
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 127B","Mobile poll/Bureau itinérant",Merged with No. 509/Fusionné avec le nº 509,,,,,,,35
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 128","Causapscal",21,16,25,1,36,1,100,266
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 129","Causapscal",19,18,16,3,43,8,107,273
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 130","Causapscal",43,23,14,2,48,1,131,295
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 131","Causapscal",29,19,16,2,49,4,119,271
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 132","Causapscal",12,14,12,2,18,1,59,142
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 133","Albertville",57,25,14,1,34,0,131,229
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 134","Sainte-Florence",17,18,8,2,25,2,72,158
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 135","Sainte-Florence",31,23,17,1,45,2,119,224
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 136","Saint-Moïse",17,24,21,2,61,5,130,219
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 137","Saint-Moïse",40,40,16,2,58,3,159,263
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 138","Saint-Noël",25,80,23,5,65,2,200,340
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 139","Saint-Damase",44,54,35,3,55,0,191,317
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 140","Sayabec",40,48,11,1,54,1,155,326
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 141","Sayabec",46,34,18,4,51,0,153,356
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 142","Sayabec",57,27,16,3,56,2,161,433
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 143","Sayabec",45,44,14,1,58,5,167,365
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 144","Saint-Cléophas",50,30,25,4,43,2,154,283
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 145","Sainte-Irène",38,34,14,2,58,0,146,274
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 146","Val-Brillant",60,53,23,9,51,5,201,380
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 147","Val-Brillant",41,25,17,6,25,1,115,204
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 148","Val-Brillant",33,22,11,3,41,2,112,208
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 149","Saint-Vianney",59,73,16,3,75,1,227,391
