Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Trevor Haché,Christian Legeais,Caroline Rioux,Rem Westland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Ottawa--Vanier/Ottawa--Vanier"," 428","Gloucester",22,11,2,3,25,1,64,222
35065,"Ottawa--Vanier/Ottawa--Vanier"," 429","Ottawa",82,50,0,22,64,1,219,281
35065,"Ottawa--Vanier/Ottawa--Vanier"," 430","Ottawa",33,23,0,4,35,0,95,124
35065,"Ottawa--Vanier/Ottawa--Vanier"," 431","Ottawa",35,23,0,5,48,2,113,171
35065,"Ottawa--Vanier/Ottawa--Vanier"," 500","Mobile poll/Bureau itinérant",62,24,0,1,18,3,108,215
35065,"Ottawa--Vanier/Ottawa--Vanier"," 501","Mobile poll/Bureau itinérant",90,13,0,0,17,2,122,162
35065,"Ottawa--Vanier/Ottawa--Vanier"," 502","Mobile poll/Bureau itinérant",67,21,0,2,49,1,140,209
35065,"Ottawa--Vanier/Ottawa--Vanier"," 503","Mobile poll/Bureau itinérant",90,18,0,5,43,4,160,158
35065,"Ottawa--Vanier/Ottawa--Vanier"," 504","Mobile poll/Bureau itinérant",36,13,0,5,34,3,91,130
35065,"Ottawa--Vanier/Ottawa--Vanier"," 505","Mobile poll/Bureau itinérant",58,16,1,0,33,0,108,137
35065,"Ottawa--Vanier/Ottawa--Vanier"," 506","Mobile poll/Bureau itinérant",71,10,0,3,6,0,90,236
35065,"Ottawa--Vanier/Ottawa--Vanier"," 507","Mobile poll/Bureau itinérant",79,31,2,3,60,5,180,208
35065,"Ottawa--Vanier/Ottawa--Vanier"," 508","Mobile poll/Bureau itinérant",57,18,1,2,27,2,107,154
35065,"Ottawa--Vanier/Ottawa--Vanier"," 509","Mobile poll/Bureau itinérant",38,37,1,6,40,0,122,96
35065,"Ottawa--Vanier/Ottawa--Vanier"," 600","Gloucester",289,118,1,27,296,2,733,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 601","Ottawa",265,131,0,34,182,7,619,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 602","Ottawa--Rockcliffe Park",246,42,0,50,153,1,492,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 603","Vanier",281,169,1,31,146,5,633,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 604","Vanier",206,121,1,26,128,3,485,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 605","Ottawa",209,112,1,28,142,3,495,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 606","Gloucester",251,112,1,20,214,1,599,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 607","Ottawa",145,127,1,35,157,2,467,
