Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Bigland-Pritchard,John Parry,Maurice Vellacott,Patricia Zipchen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 97","Saskatoon",5,75,128,15,0,223,403
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 98","Saskatoon",16,79,115,14,1,225,383
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 99","Saskatoon",9,100,148,22,0,279,440
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 100","Saskatoon",5,30,21,7,1,64,181
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 101","Saskatoon",10,62,43,8,0,123,314
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 102","Saskatoon",2,34,70,17,0,123,226
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 103","Saskatoon",6,81,102,39,0,228,397
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 104","Saskatoon",7,99,146,29,1,282,461
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 105","Saskatoon",6,52,69,14,0,141,313
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 106","Saskatoon",4,39,72,13,0,128,211
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 107","Saskatoon",4,42,114,16,0,176,342
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 107-1","Saskatoon",Void/Supprimé,,,,,,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 107-2","Saskatoon",Void/Supprimé,,,,,,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 108","Saskatoon",7,54,59,8,1,129,303
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 109","Saskatoon",12,63,108,20,0,203,398
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 110","Saskatoon",12,71,107,21,1,212,350
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 111","Saskatoon",15,85,90,29,0,219,421
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 112","Saskatoon",14,116,96,33,0,259,462
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 113","Saskatoon",3,46,67,14,2,132,268
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 114","Saskatoon",4,72,123,19,0,218,391
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 115","Saskatoon",14,55,80,15,0,164,298
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 116","Saskatoon",2,44,61,12,3,122,255
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 117","Saskatoon",5,90,92,18,1,206,351
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 118","Saskatoon",9,70,83,18,1,181,325
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 119","Saskatoon",11,95,84,17,0,207,369
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 120","Saskatoon",5,64,42,5,0,116,295
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 121","Saskatoon",7,96,73,14,0,190,374
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 122","Saskatoon",6,80,52,8,0,146,388
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 123","Saskatoon",8,69,28,15,0,120,256
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 124","Saskatoon",14,134,51,18,1,218,413
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 125","Saskatoon",16,100,55,16,0,187,359
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 126","Saskatoon",6,102,27,12,1,148,308
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 127","Saskatoon",9,104,53,15,1,182,334
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 128","Saskatoon",8,122,83,13,2,228,456
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 129","Saskatoon",Void/Supprimé,,,,,,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 130","Saskatoon",16,115,64,17,0,212,421
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 131","Saskatoon",9,93,46,13,0,161,288
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 132","Saskatoon",6,63,41,22,1,133,199
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 133","Saskatoon",2,102,69,16,0,189,358
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 134","Saskatoon",12,68,55,17,0,152,336
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 135","Saskatoon",10,113,74,20,3,220,439
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 136","Saskatoon",4,57,47,23,1,132,287
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 136-1","Saskatoon",3,51,62,18,2,136,255
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 137","Saskatoon",4,61,49,13,0,127,292
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 400","Saskatoon",3,38,47,4,3,95,121
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 401","Saskatoon",9,53,46,11,2,121,154
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 402","Saskatoon",0,46,79,8,1,134,147
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 500","Mobile poll/Bureau itinérant",1,3,13,5,2,24,33
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 501","Mobile poll/Bureau itinérant",4,13,62,9,5,93,137
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 502","Mobile poll/Bureau itinérant",1,1,41,3,0,46,63
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 503","Mobile poll/Bureau itinérant",2,79,97,17,1,196,249
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 504","Mobile poll/Bureau itinérant",3,67,66,11,3,150,196
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 505","Mobile poll/Bureau itinérant",3,56,62,5,1,127,223
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 506","Mobile poll/Bureau itinérant",3,23,174,24,1,225,253
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 507","Mobile poll/Bureau itinérant",1,13,59,12,2,87,105
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 600","Blaine Lake",3,41,145,8,0,197,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 601","Hafford",5,16,118,6,0,145,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 602","Warman",11,68,392,23,0,494,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 603","Rosthern",11,55,144,10,0,220,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 604","Saskatoon",15,116,292,33,1,457,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 605","Saskatoon",4,119,162,12,2,299,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 606","Saskatoon",24,233,176,49,0,482,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 607","Saskatoon",24,184,196,44,2,450,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 608","Saskatoon",5,89,215,51,0,360,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 609","Saskatoon",4,78,179,65,0,326,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 610","Martensville",14,72,353,39,2,480,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 611","Martensville",9,22,130,7,0,168,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 612","Saskatoon",18,116,321,54,0,509,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 613","Saskatoon",7,95,129,51,0,282,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 614","Saskatoon",9,62,133,10,0,214,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin",,Group 1/Groupe 1,3,26,30,38,10,107,147
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin",,Group 2/Groupe 2,15,118,189,53,8,383,
