Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Colero,Kevin Peter Donohoe,David Hawkins,Russ Hiebert,Susan Keeping,Aart Looye,Brian Marlatt,Mike Schouten,Hardy Staub,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20-1","Surrey",2,0,0,86,23,0,0,1,22,0,134,253
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20-2","Surrey",7,0,0,130,51,0,0,0,30,0,218,394
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21A","Surrey",2,0,0,84,53,2,1,1,17,0,160,252
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21B","Surrey",8,0,0,73,38,0,0,1,16,0,136,265
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21-1","Surrey",10,0,1,73,43,0,0,0,23,2,152,285
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 22A","Surrey",11,0,1,82,33,0,0,2,12,2,143,242
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 22B","Surrey",11,0,0,78,43,0,0,2,13,0,147,272
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 23","Surrey",12,0,0,112,48,0,1,0,21,0,194,326
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 23-1","Surrey",11,0,1,147,57,0,2,2,17,1,238,452
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 23-2","Surrey",8,0,0,88,48,1,2,5,22,0,174,387
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 24A","Surrey",4,1,2,91,35,0,0,6,15,0,154,271
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 24B","Surrey",4,0,0,87,40,2,0,4,9,0,146,253
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 25","Surrey",11,0,0,148,78,1,0,1,37,0,276,484
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 26","Surrey",7,1,1,94,42,0,3,0,15,1,164,329
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 27","Surrey",8,1,2,123,64,0,0,3,40,0,241,472
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 28","Surrey",7,0,1,171,50,2,1,0,13,0,245,455
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 29","Surrey",7,0,0,108,36,0,2,3,7,0,163,277
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 30","Surrey",7,0,1,130,43,1,1,1,19,0,203,367
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 31","Surrey",5,1,1,98,31,1,1,2,14,0,154,297
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 32","Surrey",19,0,1,111,60,0,1,1,11,1,205,415
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 33A","Surrey",11,1,1,77,32,0,0,0,18,1,141,260
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 33B","Surrey",5,1,2,57,33,1,2,1,16,0,118,254
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 33C","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,,,,,,10
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 33D","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,,,,,,15
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 34","Surrey",7,0,0,157,56,0,0,3,18,1,242,437
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 35A","Surrey",4,0,0,79,23,0,2,0,11,0,119,250
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 35B","Surrey",7,0,1,84,24,0,4,0,14,0,134,222
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 36","Surrey",10,0,0,116,37,0,2,5,23,2,195,436
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 37","Surrey",9,0,0,128,62,1,0,7,27,0,234,452
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 38","Surrey",14,1,0,110,43,0,2,4,36,1,211,393
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 39","Surrey",10,0,1,112,66,0,1,2,28,0,220,362
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 40A","Surrey",10,0,0,84,25,0,0,2,13,0,134,248
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 40B","Surrey",14,0,0,65,23,0,1,6,10,0,119,255
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 41","Surrey",8,0,0,123,69,1,1,4,8,0,214,387
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 42","Surrey",10,1,2,95,65,0,1,1,22,1,198,394
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 43A","Surrey",9,1,1,82,35,1,1,2,62,0,194,398
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 43B","Surrey",7,0,0,110,46,0,0,4,33,1,201,390
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 44","Surrey",10,0,0,93,35,0,1,9,26,1,175,382
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 45","Surrey",6,0,1,89,49,2,3,1,47,1,199,474
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 46","Surrey",13,0,0,163,19,2,0,2,28,2,229,410
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 47","Surrey",22,2,0,104,48,7,0,0,73,1,257,415
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 48","Surrey",28,1,1,100,63,2,0,0,47,2,244,394
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 49","Surrey",15,0,0,81,59,7,0,1,52,1,216,330
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 50","Surrey",27,0,0,134,38,6,2,1,61,0,269,463
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 51","Surrey",21,0,0,78,59,5,1,0,57,0,221,351
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 52","Surrey",18,0,1,84,23,3,1,2,46,0,178,283
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 53","Surrey",19,0,1,115,72,0,1,2,34,2,246,429
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 54","Surrey",16,0,1,121,40,9,0,0,36,0,223,392
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 55","Surrey",20,0,3,137,18,9,0,0,41,0,228,425
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 56","Surrey",16,0,0,100,20,4,0,0,40,1,181,307
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 57A","Surrey",6,0,1,117,9,2,0,1,35,0,171,322
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 57B","Surrey",8,0,0,111,32,11,0,0,17,0,179,294
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 58","Surrey",7,1,0,120,14,10,0,0,28,0,180,321
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 59","Surrey",3,0,0,96,19,1,0,0,26,0,145,250
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 60","Surrey",13,1,0,90,27,4,0,0,43,0,178,332
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 61A","Surrey",7,0,2,98,18,2,0,1,33,0,161,282
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 61B","Surrey",4,0,0,107,28,0,2,0,32,1,174,302
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62","Surrey",11,0,0,138,29,7,2,1,35,1,224,424
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62-1A","Surrey",4,0,0,96,23,0,0,3,18,0,144,250
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62-1B","Surrey",2,0,0,84,21,0,1,0,24,0,132,248
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62-2","Surrey",11,0,1,160,28,8,1,0,29,0,238,443
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63A","Surrey",10,0,0,80,34,3,0,0,22,2,151,325
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63B","Surrey",9,0,0,78,29,2,0,1,22,0,141,308
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63-1A","Surrey",10,0,0,89,15,10,1,0,28,0,153,280
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63-1B","Surrey",10,2,1,98,33,2,2,0,19,0,167,283
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 64A","Surrey",6,0,0,76,22,5,0,2,11,0,122,252
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 64B","Surrey",2,0,0,68,25,6,0,0,21,1,123,248
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 65","Surrey",9,0,0,173,43,8,0,1,47,0,281,436
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 66","Surrey",7,0,1,138,38,6,0,2,36,0,228,437
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 67","Surrey",8,0,0,96,38,2,0,1,26,1,172,311
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 68","Surrey",5,1,0,147,37,6,0,1,46,0,243,412
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 69A","Surrey",13,1,3,83,43,1,1,0,29,0,174,356
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 69B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,,43
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 69C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,,64
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 70A","Surrey",18,0,0,56,48,1,1,4,22,0,150,285
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 70B","Surrey",12,0,0,61,43,3,1,1,25,0,146,291
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 71A","Surrey",9,0,1,83,44,0,1,0,20,0,158,281
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 71B","Surrey",8,1,0,73,45,1,1,0,17,0,146,260
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72A","Surrey",12,0,0,199,39,0,1,1,38,1,291,457
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72B","Mobile poll/Bureau itinérant",Merged with No. 505B/Fusionné avec le nº 505B,,,,,,,,,,,73
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72-1","Surrey",7,1,1,108,41,1,0,0,31,0,190,352
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72-2","Surrey",13,0,0,103,16,3,0,1,22,0,158,301
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72-3","Surrey",2,1,0,103,28,1,0,3,23,1,162,293
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72-4","Surrey",17,0,0,138,38,0,1,0,20,1,215,421
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 73A","Surrey",9,0,0,137,25,3,1,0,19,0,194,379
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 73B","Surrey",10,0,0,129,32,1,0,0,34,0,206,379
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 73C","Surrey",6,0,0,95,30,4,0,0,27,0,162,379
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 73D","Surrey",5,0,0,120,20,1,3,0,33,0,182,376
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 73E","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,,,,,,26
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 74A","Surrey",8,0,0,88,35,1,0,3,30,1,166,349
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 74B","Surrey",10,1,2,99,43,2,1,1,21,0,180,357
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 74C","Surrey",7,0,1,102,51,2,0,0,25,0,188,370
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 75","Surrey",17,2,2,131,50,7,1,0,65,0,275,422
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 76","Surrey",29,0,0,135,43,5,1,0,83,1,297,417
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 77","Surrey",8,1,1,151,44,14,2,1,58,0,280,419
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 78","Surrey",20,3,2,124,40,3,3,0,63,1,259,377
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 79","Surrey",11,0,1,134,18,11,1,0,50,2,228,365
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 80","Surrey",12,0,0,110,50,6,0,1,59,0,238,344
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 81","Surrey",21,0,1,127,44,5,2,2,71,1,274,424
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 82","Surrey",11,0,2,70,43,3,0,2,21,1,153,266
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 83","Surrey",16,0,0,111,66,2,0,1,59,0,255,405
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 84","Surrey",12,1,0,114,44,6,7,0,50,0,234,394
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 85","Surrey",20,0,0,110,46,2,2,1,53,1,235,383
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 86","Surrey",6,0,1,134,38,2,0,1,61,0,243,373
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 87","Surrey",22,0,1,164,33,3,2,0,61,1,287,447
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 88","Surrey",9,0,0,160,20,7,1,0,43,0,240,479
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 89","Surrey",8,1,0,131,20,6,4,0,27,0,197,321
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 90","Surrey",17,2,1,155,29,2,0,2,50,0,258,399
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 91","Surrey",19,0,2,103,39,2,0,1,64,0,230,390
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 92","Surrey",20,2,0,150,28,7,0,1,44,0,252,460
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 93","Surrey",17,0,0,114,33,3,4,0,45,3,219,365
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 94","Surrey",15,0,0,127,33,0,0,2,54,1,232,373
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 95A","Surrey",8,1,0,116,16,3,1,0,31,0,176,267
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 95B","Surrey",5,1,0,109,12,3,0,0,17,1,148,259
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 96","Surrey",15,3,1,157,14,8,0,2,54,0,254,452
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 97","Surrey",15,4,1,126,24,2,1,1,36,4,214,333
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 98A","Surrey",7,0,0,72,16,1,0,2,12,0,110,145
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 98B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,,,,,62
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 99","Surrey",4,0,0,106,29,0,1,1,36,1,178,326
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 100","Surrey",8,2,1,165,36,1,1,0,37,1,252,448
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 101","Surrey",14,0,1,95,53,6,0,0,36,0,205,344
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 102","Surrey",20,1,1,97,59,9,1,1,45,0,234,344
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 103","Surrey",23,1,1,103,65,5,1,0,51,0,250,421
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 104","Surrey",21,1,1,106,60,7,1,2,46,3,248,417
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 105","Surrey",8,3,1,53,26,5,0,1,21,0,118,211
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 106","Surrey",9,0,0,50,37,4,0,0,20,0,120,246
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 107","Surrey",11,0,2,64,37,4,0,1,18,2,139,281
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 108","Surrey",4,1,0,88,24,0,1,0,20,1,139,226
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 109","Surrey",13,1,0,67,43,6,0,0,27,1,158,376
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 110","Surrey",6,0,0,73,35,0,1,0,16,0,131,309
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 111","Surrey",14,0,1,104,39,1,0,0,27,0,186,330
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 112","Surrey",8,0,1,72,26,5,0,1,31,0,144,247
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 113","Surrey",10,0,2,124,11,3,0,1,38,0,189,360
