Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Olivier Berthiaume,Noushig Eloyan,Constantin Kiryakidis,Ted Kouretas,Maria Mourani,Chantal Reeves,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Ahuntsic/Ahuntsic"," 36","Montréal",1,44,16,1,101,70,5,238,363
24002,"Ahuntsic/Ahuntsic"," 37","Montréal",2,42,8,4,53,58,1,168,300
24002,"Ahuntsic/Ahuntsic"," 38","Montréal",0,51,7,8,99,88,2,255,454
24002,"Ahuntsic/Ahuntsic"," 39","Montréal",Void/Supprimé,,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 40","Montréal",2,47,11,3,88,63,2,216,437
24002,"Ahuntsic/Ahuntsic"," 41","Montréal",2,52,4,7,85,81,2,233,350
24002,"Ahuntsic/Ahuntsic"," 42","Montréal",3,44,18,1,114,94,3,277,392
24002,"Ahuntsic/Ahuntsic"," 43","Montréal",2,53,11,2,80,78,3,229,338
24002,"Ahuntsic/Ahuntsic"," 44","Montréal",0,39,11,5,69,88,2,214,348
24002,"Ahuntsic/Ahuntsic"," 45","Montréal",2,53,24,5,103,78,4,269,429
24002,"Ahuntsic/Ahuntsic"," 46","Montréal",2,65,24,0,117,63,6,277,326
24002,"Ahuntsic/Ahuntsic"," 47","Montréal",0,27,15,0,24,29,3,98,237
24002,"Ahuntsic/Ahuntsic"," 48","Montréal",0,45,18,1,62,76,1,203,376
24002,"Ahuntsic/Ahuntsic"," 48-1","Montréal",1,47,6,2,36,53,1,146,260
24002,"Ahuntsic/Ahuntsic"," 49","Montréal",0,29,13,7,44,90,0,183,375
24002,"Ahuntsic/Ahuntsic"," 50","Montréal",1,39,20,1,57,71,3,192,373
24002,"Ahuntsic/Ahuntsic"," 51","Montréal",1,40,10,0,89,57,0,197,320
24002,"Ahuntsic/Ahuntsic"," 52","Montréal",1,51,7,2,96,85,1,243,397
24002,"Ahuntsic/Ahuntsic"," 53","Montréal",0,47,9,0,101,63,1,221,375
24002,"Ahuntsic/Ahuntsic"," 54","Montréal",0,51,13,1,61,73,0,199,348
24002,"Ahuntsic/Ahuntsic"," 55","Montréal",0,59,9,0,77,80,0,225,324
24002,"Ahuntsic/Ahuntsic"," 56","Montréal",0,59,10,6,114,90,5,284,433
24002,"Ahuntsic/Ahuntsic"," 57","Montréal",0,48,9,3,93,59,2,214,296
24002,"Ahuntsic/Ahuntsic"," 58","Montréal",2,78,11,2,106,102,5,306,446
24002,"Ahuntsic/Ahuntsic"," 59","Montréal",1,58,8,3,34,61,3,168,385
24002,"Ahuntsic/Ahuntsic"," 60","Montréal",0,37,5,0,87,76,5,210,349
24002,"Ahuntsic/Ahuntsic"," 61","Montréal",0,43,11,4,54,68,3,183,299
24002,"Ahuntsic/Ahuntsic"," 62","Montréal",0,64,14,1,45,77,1,202,364
24002,"Ahuntsic/Ahuntsic"," 63","Montréal",0,44,8,4,68,56,1,181,329
24002,"Ahuntsic/Ahuntsic"," 64A","Montréal",3,59,16,6,69,119,1,273,616
24002,"Ahuntsic/Ahuntsic"," 64B","Montréal",2,6,5,5,29,72,0,119,155
24002,"Ahuntsic/Ahuntsic"," 64-1","Montréal",2,11,6,1,109,85,2,216,313
24002,"Ahuntsic/Ahuntsic"," 65","Montréal",0,33,10,2,117,82,1,245,413
24002,"Ahuntsic/Ahuntsic"," 66","Montréal",0,37,12,1,85,70,2,207,325
24002,"Ahuntsic/Ahuntsic"," 67","Montréal",1,35,13,4,110,94,0,257,366
24002,"Ahuntsic/Ahuntsic"," 68","Montréal",1,40,6,2,120,70,1,240,351
24002,"Ahuntsic/Ahuntsic"," 69A","Montréal",3,32,15,2,108,64,4,228,324
24002,"Ahuntsic/Ahuntsic"," 69B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,56
24002,"Ahuntsic/Ahuntsic"," 70","Montréal",0,44,3,4,88,50,0,189,292
24002,"Ahuntsic/Ahuntsic"," 71","Montréal",0,36,3,3,105,82,3,232,354
24002,"Ahuntsic/Ahuntsic"," 72","Montréal",3,31,11,2,78,57,0,182,295
24002,"Ahuntsic/Ahuntsic"," 73","Montréal",0,62,9,5,80,83,2,241,396
24002,"Ahuntsic/Ahuntsic"," 74","Montréal",2,25,8,4,60,71,2,172,311
24002,"Ahuntsic/Ahuntsic"," 75","Montréal",0,33,16,6,100,58,4,217,332
24002,"Ahuntsic/Ahuntsic"," 76","Montréal",1,39,9,6,119,91,1,266,403
24002,"Ahuntsic/Ahuntsic"," 77","Montréal",2,24,4,3,102,84,1,220,350
24002,"Ahuntsic/Ahuntsic"," 78","Montréal",0,41,17,2,96,85,1,242,396
24002,"Ahuntsic/Ahuntsic"," 79","Montréal",1,36,11,3,56,65,1,173,349
24002,"Ahuntsic/Ahuntsic"," 80","Montréal",0,50,18,1,91,63,1,224,350
24002,"Ahuntsic/Ahuntsic"," 81","Montréal",2,41,6,5,79,78,2,213,355
24002,"Ahuntsic/Ahuntsic"," 82","Montréal",2,36,10,2,72,67,1,190,343
24002,"Ahuntsic/Ahuntsic"," 83","Montréal",1,19,7,3,50,35,4,119,213
24002,"Ahuntsic/Ahuntsic"," 84","Montréal",1,48,17,3,131,115,4,319,608
24002,"Ahuntsic/Ahuntsic"," 85","Montréal",1,44,22,3,116,106,0,292,442
24002,"Ahuntsic/Ahuntsic"," 86","Montréal",4,33,19,5,101,98,1,261,475
24002,"Ahuntsic/Ahuntsic"," 87","Montréal",2,40,6,2,102,69,0,221,354
24002,"Ahuntsic/Ahuntsic"," 88","Montréal",1,64,12,1,94,71,2,245,387
24002,"Ahuntsic/Ahuntsic"," 89","Montréal",1,73,9,4,103,74,1,265,382
24002,"Ahuntsic/Ahuntsic"," 90","Montréal",0,78,11,4,82,84,2,261,393
24002,"Ahuntsic/Ahuntsic"," 91","Montréal",3,63,11,2,118,80,1,278,379
24002,"Ahuntsic/Ahuntsic"," 92","Montréal",3,61,17,4,104,69,0,258,398
24002,"Ahuntsic/Ahuntsic"," 93","Montréal",0,63,11,2,89,89,3,257,459
24002,"Ahuntsic/Ahuntsic"," 94","Montréal",0,49,19,5,72,68,2,215,387
24002,"Ahuntsic/Ahuntsic"," 95","Montréal",0,48,17,6,62,83,4,220,423
24002,"Ahuntsic/Ahuntsic"," 96","Montréal",1,35,9,3,77,78,0,203,367
24002,"Ahuntsic/Ahuntsic"," 97","Montréal",1,38,6,5,96,64,2,212,360
24002,"Ahuntsic/Ahuntsic"," 98","Montréal",1,45,10,3,112,74,1,246,349
24002,"Ahuntsic/Ahuntsic"," 99","Montréal",0,46,12,3,109,82,2,254,342
24002,"Ahuntsic/Ahuntsic"," 100","Montréal",1,69,9,3,84,65,2,233,367
24002,"Ahuntsic/Ahuntsic"," 101","Montréal",2,43,12,0,69,70,1,197,325
24002,"Ahuntsic/Ahuntsic"," 102","Montréal",3,55,11,3,107,78,1,258,421
24002,"Ahuntsic/Ahuntsic"," 103","Montréal",4,51,7,0,85,76,0,223,390
24002,"Ahuntsic/Ahuntsic"," 104","Montréal",0,44,13,4,80,75,5,221,474
24002,"Ahuntsic/Ahuntsic"," 105","Montréal",3,28,15,3,61,74,0,184,362
24002,"Ahuntsic/Ahuntsic"," 106","Montréal",0,48,10,1,73,70,2,204,382
24002,"Ahuntsic/Ahuntsic"," 107","Montréal",3,29,6,2,65,55,0,160,312
24002,"Ahuntsic/Ahuntsic"," 108","Montréal",1,26,9,2,68,73,3,182,337
24002,"Ahuntsic/Ahuntsic"," 109","Montréal",0,27,11,2,70,56,3,169,336
24002,"Ahuntsic/Ahuntsic"," 110","Montréal",2,36,17,7,64,84,2,212,375
24002,"Ahuntsic/Ahuntsic"," 111","Montréal",1,26,10,3,53,93,2,188,357
24002,"Ahuntsic/Ahuntsic"," 112","Montréal",0,32,5,3,77,106,2,225,452
24002,"Ahuntsic/Ahuntsic"," 113","Montréal",0,33,9,2,55,49,3,151,315
24002,"Ahuntsic/Ahuntsic"," 114","Montréal",2,31,11,4,72,74,1,195,356
24002,"Ahuntsic/Ahuntsic"," 115","Montréal",3,25,13,1,68,45,3,158,287
24002,"Ahuntsic/Ahuntsic"," 116","Montréal",1,28,7,2,80,57,2,177,359
24002,"Ahuntsic/Ahuntsic"," 117","Montréal",0,29,8,1,49,60,3,150,272
24002,"Ahuntsic/Ahuntsic"," 118","Montréal",4,19,4,5,81,70,2,185,304
24002,"Ahuntsic/Ahuntsic"," 119","Montréal",2,33,7,1,72,87,1,203,403
24002,"Ahuntsic/Ahuntsic"," 120","Montréal",1,85,28,2,23,52,0,191,354
24002,"Ahuntsic/Ahuntsic"," 121","Montréal",5,67,10,6,20,51,3,162,321
24002,"Ahuntsic/Ahuntsic"," 122","Montréal",0,60,14,6,24,40,2,146,272
24002,"Ahuntsic/Ahuntsic"," 123","Montréal",0,78,39,7,38,78,0,240,434
24002,"Ahuntsic/Ahuntsic"," 124","Montréal",5,67,23,2,48,50,4,199,388
24002,"Ahuntsic/Ahuntsic"," 125","Montréal",4,61,13,1,34,46,8,167,300
24002,"Ahuntsic/Ahuntsic"," 126","Montréal",7,71,17,2,16,30,1,144,255
24002,"Ahuntsic/Ahuntsic"," 127","Montréal",6,75,19,1,17,59,4,181,312
24002,"Ahuntsic/Ahuntsic"," 128","Montréal",1,84,37,1,22,47,5,197,339
24002,"Ahuntsic/Ahuntsic"," 129","Montréal",3,92,30,8,19,65,1,218,389
24002,"Ahuntsic/Ahuntsic"," 130","Montréal",7,91,18,0,16,48,3,183,329
24002,"Ahuntsic/Ahuntsic"," 131","Montréal",3,99,27,2,29,70,2,232,446
24002,"Ahuntsic/Ahuntsic"," 132","Montréal",2,78,15,8,114,96,1,314,460
24002,"Ahuntsic/Ahuntsic"," 133","Montréal",0,63,15,4,108,79,3,272,387
24002,"Ahuntsic/Ahuntsic"," 134","Montréal",2,79,2,3,109,93,0,288,384
24002,"Ahuntsic/Ahuntsic"," 135","Montréal",0,66,11,3,113,94,2,289,443
24002,"Ahuntsic/Ahuntsic"," 136","Montréal",1,59,7,3,101,72,1,244,360
24002,"Ahuntsic/Ahuntsic"," 137","Montréal",0,53,19,3,96,88,0,259,405
24002,"Ahuntsic/Ahuntsic"," 138","Montréal",0,45,9,2,86,78,2,222,332
24002,"Ahuntsic/Ahuntsic"," 139","Montréal",0,34,17,2,43,46,0,142,335
24002,"Ahuntsic/Ahuntsic"," 140","Montréal",0,34,7,2,26,46,4,119,256
24002,"Ahuntsic/Ahuntsic"," 141","Montréal",2,73,12,4,78,68,3,240,382
24002,"Ahuntsic/Ahuntsic"," 142","Montréal",3,59,16,1,58,73,2,212,386
24002,"Ahuntsic/Ahuntsic"," 143","Montréal",2,62,12,5,35,61,2,179,383
24002,"Ahuntsic/Ahuntsic"," 144","Montréal",0,81,28,1,50,54,4,218,426
24002,"Ahuntsic/Ahuntsic"," 145","Montréal",Void/Supprimé,,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 146","Montréal",1,43,4,4,58,93,0,203,423
24002,"Ahuntsic/Ahuntsic"," 147","Montréal",3,77,15,7,81,70,1,254,467
24002,"Ahuntsic/Ahuntsic"," 148","Montréal",0,54,14,2,78,65,3,216,365
24002,"Ahuntsic/Ahuntsic"," 149","Montréal",1,59,31,4,51,64,3,213,411
24002,"Ahuntsic/Ahuntsic"," 149-1","Montréal",1,62,7,3,30,40,2,145,287
24002,"Ahuntsic/Ahuntsic"," 150","Montréal",1,91,30,3,29,46,1,201,457
24002,"Ahuntsic/Ahuntsic"," 151","Montréal",0,43,18,1,18,25,2,107,257
24002,"Ahuntsic/Ahuntsic"," 152","Montréal",0,82,37,1,27,53,3,203,397
24002,"Ahuntsic/Ahuntsic"," 153","Montréal",2,108,26,0,22,45,3,206,459
24002,"Ahuntsic/Ahuntsic"," 154","Montréal",Void/Supprimé,,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 155","Montréal",0,90,38,5,71,72,3,279,526
24002,"Ahuntsic/Ahuntsic"," 156","Montréal",0,104,17,3,32,44,3,203,365
24002,"Ahuntsic/Ahuntsic"," 157","Montréal",0,91,44,1,16,37,5,194,338
24002,"Ahuntsic/Ahuntsic"," 158","Montréal",3,83,34,1,11,33,2,167,354
24002,"Ahuntsic/Ahuntsic"," 159","Montréal",0,93,35,2,17,39,2,188,336
24002,"Ahuntsic/Ahuntsic"," 160","Montréal",2,105,41,3,27,47,2,227,470
24002,"Ahuntsic/Ahuntsic"," 161","Montréal",1,54,20,0,34,40,0,149,367
24002,"Ahuntsic/Ahuntsic"," 162","Montréal",0,94,16,0,37,55,3,205,442
24002,"Ahuntsic/Ahuntsic"," 163","Montréal",1,74,12,4,45,57,0,193,356
24002,"Ahuntsic/Ahuntsic"," 164","Montréal",1,71,16,2,39,40,6,175,374
24002,"Ahuntsic/Ahuntsic"," 165","Montréal",0,84,22,0,19,30,5,160,328
24002,"Ahuntsic/Ahuntsic"," 166","Montréal",0,69,29,2,27,46,2,175,375
24002,"Ahuntsic/Ahuntsic"," 167","Montréal",1,78,26,4,12,47,1,169,362
24002,"Ahuntsic/Ahuntsic"," 168","Montréal",1,91,41,4,19,51,1,208,416
24002,"Ahuntsic/Ahuntsic"," 169","Montréal",3,64,48,2,13,50,4,184,342
24002,"Ahuntsic/Ahuntsic"," 170","Montréal",0,91,36,1,14,46,3,191,435
24002,"Ahuntsic/Ahuntsic"," 171","Montréal",3,87,53,1,6,36,2,188,396
24002,"Ahuntsic/Ahuntsic"," 172","Montréal",1,95,46,4,2,36,5,189,416
24002,"Ahuntsic/Ahuntsic"," 173","Montréal",1,85,66,1,14,36,1,204,390
24002,"Ahuntsic/Ahuntsic"," 174","Montréal",1,92,44,1,15,32,4,189,347
24002,"Ahuntsic/Ahuntsic"," 175","Montréal",0,111,36,2,5,40,2,196,415
24002,"Ahuntsic/Ahuntsic"," 176","Montréal",0,108,33,2,33,50,2,228,576
24002,"Ahuntsic/Ahuntsic"," 177","Montréal",Void/Supprimé,,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 178","Montréal",1,33,11,2,14,48,1,110,270
24002,"Ahuntsic/Ahuntsic"," 179","Montréal",0,71,14,3,21,41,0,150,371
24002,"Ahuntsic/Ahuntsic"," 180","Montréal",0,43,0,13,18,48,0,122,290
24002,"Ahuntsic/Ahuntsic"," 181","Montréal",0,91,38,1,45,62,3,240,432
24002,"Ahuntsic/Ahuntsic"," 182","Montréal",Void/Supprimé,,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 183","Montréal",3,42,15,3,19,49,4,135,334
24002,"Ahuntsic/Ahuntsic"," 184","Montréal",1,80,33,4,42,62,4,226,399
24002,"Ahuntsic/Ahuntsic"," 185","Montréal",5,104,50,1,24,87,2,273,586
24002,"Ahuntsic/Ahuntsic"," 186","Montréal",3,57,18,2,19,28,7,134,463
24002,"Ahuntsic/Ahuntsic"," 187","Montréal",Void/Supprimé,,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 188","Montréal",0,76,19,2,14,40,2,153,390
24002,"Ahuntsic/Ahuntsic"," 189","Montréal",2,40,15,2,16,39,4,118,273
24002,"Ahuntsic/Ahuntsic"," 190","Montréal",0,72,32,1,26,47,1,179,368
24002,"Ahuntsic/Ahuntsic"," 191","Montréal",0,68,10,0,21,39,1,139,272
24002,"Ahuntsic/Ahuntsic"," 192","Montréal",0,46,27,0,5,24,0,102,250
24002,"Ahuntsic/Ahuntsic"," 193","Montréal",0,25,17,0,22,29,3,96,239
24002,"Ahuntsic/Ahuntsic"," 194","Montréal",0,85,22,3,57,73,1,241,507
24002,"Ahuntsic/Ahuntsic"," 195A","Montréal",0,3,0,1,2,23,1,30,35
24002,"Ahuntsic/Ahuntsic"," 195B","Montréal",2,43,15,2,27,32,1,122,349
24002,"Ahuntsic/Ahuntsic"," 400","Montréal",2,68,17,3,82,28,3,203,244
24002,"Ahuntsic/Ahuntsic"," 401","Montréal",2,26,15,0,18,26,1,88,209
24002,"Ahuntsic/Ahuntsic"," 402","Montréal",2,17,12,1,25,20,6,83,203
24002,"Ahuntsic/Ahuntsic"," 403","Montréal",2,14,15,2,27,14,2,76,162
24002,"Ahuntsic/Ahuntsic"," 404","Montréal",3,24,9,1,24,20,1,82,137
24002,"Ahuntsic/Ahuntsic"," 405","Montréal",1,18,6,1,14,9,4,53,145
24002,"Ahuntsic/Ahuntsic"," 500","Mobile poll/Bureau itinérant",9,35,13,2,17,24,1,101,161
24002,"Ahuntsic/Ahuntsic"," 501","Mobile poll/Bureau itinérant",4,35,11,3,33,23,1,110,128
24002,"Ahuntsic/Ahuntsic"," 502","Mobile poll/Bureau itinérant",0,35,9,2,11,9,2,68,138
24002,"Ahuntsic/Ahuntsic"," 503","Mobile poll/Bureau itinérant",6,41,14,3,31,19,6,120,99
24002,"Ahuntsic/Ahuntsic"," 600","Montréal",2,34,15,1,60,33,1,146,
24002,"Ahuntsic/Ahuntsic"," 601","Montréal",1,123,31,5,329,133,4,626,
24002,"Ahuntsic/Ahuntsic"," 602","Montréal",2,171,55,7,406,191,8,840,
24002,"Ahuntsic/Ahuntsic"," 603","Montréal",1,66,16,2,86,78,2,251,
24002,"Ahuntsic/Ahuntsic"," 604","Montréal",2,199,59,8,93,97,0,458,
24002,"Ahuntsic/Ahuntsic"," 605","Montréal",0,360,64,7,75,100,0,606,
24002,"Ahuntsic/Ahuntsic"," 606","Montréal",0,234,33,2,104,71,5,449,
24002,"Ahuntsic/Ahuntsic"," 607","Montréal",1,157,22,1,209,94,5,489,
24002,"Ahuntsic/Ahuntsic"," 608","Montréal",1,109,17,6,215,97,5,450,
24002,"Ahuntsic/Ahuntsic"," 609","Montréal",5,93,17,9,292,130,3,549,
24002,"Ahuntsic/Ahuntsic"," 610","Montréal",2,159,28,4,281,157,6,637,
24002,"Ahuntsic/Ahuntsic"," 611","Montréal",1,162,50,6,336,170,13,738,
24002,"Ahuntsic/Ahuntsic",,Group 1/Groupe 1,1,32,14,0,10,16,8,81,150
24002,"Ahuntsic/Ahuntsic",,Group 2/Groupe 2,2,197,36,8,509,126,12,890,
