Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon Earle,Gerald Keddy,Kris MacLellan,Derek Wells,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 76","Lunenburg",93,94,9,38,1,235,411
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 77","Lunenburg",119,122,10,54,1,306,445
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 78","Lunenburg",68,73,13,42,1,197,367
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 79","Lunenburg",92,52,2,23,2,171,302
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 80","Lunenburg",53,32,8,29,1,123,264
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 81","Masons Beach",60,73,7,26,0,166,328
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 82","Indian Path--Rosebay",47,69,5,26,2,149,254
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 83","Rhodes Corner",95,112,18,24,2,251,428
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 84","Dayspring",82,97,9,31,0,219,411
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 85","Upper LaHave--Crouses Settlement",65,73,6,14,1,159,287
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 86","Middle/East LaHave",89,57,4,11,0,161,263
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 87","Riverport",70,76,10,20,0,176,304
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 88","Upper Kingsburg",103,48,4,45,1,201,312
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 89","Bridgewater",47,56,6,33,1,143,306
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 90","Bridgewater",86,38,3,11,0,138,326
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 91","Bridgewater",123,93,18,29,0,263,475
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 92","Bridgewater",49,71,4,32,3,159,274
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 92-1","Bridgewater",81,98,10,37,3,229,420
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 93","Bridgewater",90,124,6,39,2,261,406
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 93-1A","Bridgewater",105,87,12,44,3,251,453
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 93-1B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,65
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 94A","Bridgewater",93,135,7,64,3,302,429
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 94B","Bridgewater",Merged with No. 93/Fusionné avec le nº 93,,,,,,51
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 95","Bridgewater",102,92,3,46,1,244,460
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 96","Bridgewater",Void/Supprimé,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 97","Bridgewater",88,69,9,19,0,185,382
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 98","Bridgewater",94,88,8,48,7,245,447
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 99","Bridgewater",93,66,5,32,1,197,396
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 100A","Bridgewater",72,78,3,14,0,167,303
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 100B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,25
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 100C","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,50
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 101","Bridgewater",98,55,6,35,1,195,351
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 102","Bridgewater",88,63,6,36,1,194,409
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 103","Bridgewater",74,62,4,38,1,179,335
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 104","Bridgewater",109,135,4,68,4,320,482
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 105","Auburndale--Upper Branch",107,123,11,38,1,280,519
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 106","Lower Branch",74,100,2,32,0,208,384
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 107","Wileville",49,65,5,26,3,148,318
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 108","Bakers Settlement",51,108,9,20,2,190,384
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 109","Newcombville",44,110,4,12,1,171,246
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 110","Wileville",61,83,6,42,1,193,426
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 111","Chelsea",71,151,6,8,1,237,397
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 112","Waterloo",28,63,6,9,4,110,192
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 113","Conquerall Bank",101,107,10,45,5,268,467
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 114","Pleasantville",65,76,12,24,3,180,306
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 115","Pleasantville--West LaHave",74,80,5,50,2,211,340
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 116","LaHave--Dublin Shore--Pentz",85,49,6,23,1,164,249
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 117","Hebbville",59,95,8,43,4,209,407
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 118","Fancy Lake",47,43,4,21,0,115,292
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 119","Conquerall Mills",93,124,12,55,1,285,470
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 120","Lake Centre--New Cumberland",38,52,4,15,1,110,242
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 121","West Dublin--LaHave Island",90,57,14,26,1,188,342
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 122","Hebbs Cross",64,89,8,27,1,189,332
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 123","Italy Cross",71,75,10,21,0,177,330
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 124","Petite Rivière--Crousetown",129,67,5,27,3,231,340
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 125","Camperdown",39,81,8,20,1,149,253
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 126","Middlewood",40,54,5,34,1,134,326
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 127","Voglers Cove--Broad Cove--Cherry Hill",87,91,10,28,0,216,332
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 128","North Brookfield",24,109,2,11,1,147,298
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 129","Kempt",42,52,3,27,1,125,228
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 130","Westfield--South Brookfield",52,80,7,16,0,155,320
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 131","Greenfield--Middlefield",109,134,7,72,1,323,513
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 132","Caledonia",60,93,13,33,2,201,396
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 133","Charleston",77,67,5,5,2,156,285
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 134","Mill Village--Danesville",74,84,6,21,0,185,322
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 135","Port Medway",51,52,6,9,0,118,199
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 136","West Berlin",55,43,5,8,0,111,183
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 137","Milton",69,60,5,15,1,150,322
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 138","Milton",76,109,5,9,0,199,379
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 139","Sandy Cove",86,94,8,13,1,202,373
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 140","Brooklyn",114,123,14,24,3,278,424
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 141","Beach Meadows",58,61,7,14,2,142,229
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 142","Milton",87,112,12,16,0,227,424
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 143","Liverpool Harbour",86,83,10,23,4,206,429
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 144","Liverpool",70,59,7,28,0,164,347
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 145","Mersey Point",75,86,12,31,0,204,341
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 146","Liverpool",71,121,8,13,1,214,408
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 147","Liverpool",103,82,4,24,1,214,378
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 148","Liverpool",89,63,8,17,2,179,415
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 149","Liverpool",81,83,9,19,1,193,425
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 150","Western Head",47,75,0,6,0,128,218
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 151","Hunts Point--Summerville Centre",68,106,10,30,2,216,426
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 152","Summerville Centre",Void/Supprimé,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 153","Port Joli--Port Mouton",72,112,5,30,0,219,403
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 154","South West Port Mouton",55,25,2,9,0,91,161
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 155","Port Joli",Void/Supprimé,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 156","Middle Ohio",59,101,5,52,3,220,396
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 157","Jordan Falls",85,111,11,49,1,257,488
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 158","Shelburne",80,84,8,60,3,235,412
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 159","Shelburne",63,71,6,38,0,178,419
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 160","Shelburne",Void/Supprimé,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 161","Shelburne",50,62,2,24,2,140,276
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 162","Shelburne",72,66,6,36,2,182,411
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 163","Birchtown--Gunning Cove",71,125,5,35,3,239,434
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 164","Sandy Point",84,102,6,49,1,242,474
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 165","Jordan Bay",32,44,3,16,2,97,160
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 166","Clyde River--Port Saxon",27,53,9,42,0,131,237
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 167","North West Harbour--Ingomar",47,56,8,14,2,127,252
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 168","Sable River",51,58,6,24,1,140,247
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 169","Little Harbour",43,27,2,10,2,84,163
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 170","West Green Harbour",32,51,12,13,0,108,228
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 171","East Green Harbour",61,41,5,16,2,125,252
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 172","Lockeport",55,72,3,24,0,154,315
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 173","Lockeport",62,59,5,26,4,156,334
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 174","Thomasville",49,66,5,18,0,138,289
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 175","Charlesville--Upper/Central Woods Harbour",51,131,6,26,3,217,436
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 176","Central Woods Harbour",43,113,6,17,3,182,406
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 177","Lower Woods Harbour",Void/Supprimé,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 178","Shag Harbour",24,50,2,27,1,104,192
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 179","Lower Shag Harbour",58,107,6,27,1,199,408
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 180","Barrington Passage",39,75,4,32,0,150,384
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 181","Crowell",52,92,4,32,0,180,362
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 182","Barrington West",39,61,7,18,1,126,299
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 183","Barrington",51,88,8,35,1,183,409
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 184","Port La Tour--Baccaro",48,85,8,31,0,172,443
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 185","Baccaro",Void/Supprimé,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 186","North East Point",48,72,4,41,0,165,336
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 186-1","Barrington",35,58,10,18,1,122,253
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 187","Stoney Island",49,108,5,18,2,182,403
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 188","Newellton",33,103,11,31,0,178,414
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 189","Lower Clarks Harbour",27,63,7,42,2,141,320
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 189-1","Barrington",16,54,1,23,2,96,236
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 190","West Head",29,75,3,33,1,141,310
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 191","Clark's Harbour",20,68,3,28,1,120,339
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 500A","Mobile poll/Bureau itinérant",14,52,2,23,0,91,145
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 500B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,25
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 501","Mobile poll/Bureau itinérant",14,31,3,13,1,62,130
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 502A","Mobile poll/Bureau itinérant",9,29,2,16,2,58,180
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 502B","Mobile poll/Bureau itinérant",7,37,1,16,1,62,64
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 503","Mobile poll/Bureau itinérant",8,30,1,21,1,61,128
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 600","Queensland",146,144,13,114,1,418,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 601","Tantallon--Bayside",101,86,10,79,1,277,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 602","Chester--Mill Road",25,155,1,17,1,199,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 603","Chester--Martins Point",149,208,21,198,1,577,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 604","Blandford",61,69,8,35,0,173,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 605","New Germany",65,131,4,59,1,260,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 606","Mahone Bay",95,120,11,80,0,306,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 607","Upper Kingsburg",148,121,18,87,1,375,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 608","Bridgewater",150,173,12,113,2,450,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 609","Auburndale--Waterloo",32,55,1,23,0,111,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 610","Hebbville--Cherry Hill",80,69,5,49,1,204,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 611","Pleasant River--Middlefield",38,51,5,20,0,114,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 612","Milton--Danesville",34,86,0,22,0,142,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 613","Liverpool--Port Jolie",87,144,9,53,1,294,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 614","Shelburne",56,116,9,72,1,254,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 615","Lockeport",25,62,5,14,2,108,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 616","Barrington",38,123,5,54,0,220,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's",,Group 1/Groupe 1,20,89,7,40,5,161,384
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's",,Group 2/Groupe 2,273,346,31,273,11,934,
