Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Jean-Paul Bédard,Gaëtan Bérard,Valery Chevrefils-Latulippe,Gérard Labelle,Martin Laroche,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Honoré-Mercier/Honoré-Mercier"," 46","Montréal",75,2,5,0,41,9,110,6,248,487
24022,"Honoré-Mercier/Honoré-Mercier"," 47","Montréal",69,1,1,1,52,8,99,3,234,475
24022,"Honoré-Mercier/Honoré-Mercier"," 48","Montréal",76,0,6,0,36,36,45,1,200,392
24022,"Honoré-Mercier/Honoré-Mercier"," 49","Montréal",61,1,1,0,35,10,74,5,187,418
24022,"Honoré-Mercier/Honoré-Mercier"," 50","Montréal",25,0,1,0,17,6,57,1,107,227
24022,"Honoré-Mercier/Honoré-Mercier"," 51","Montréal",33,2,3,0,26,6,58,1,129,277
24022,"Honoré-Mercier/Honoré-Mercier"," 52","Montréal",18,1,3,1,10,7,49,4,93,205
24022,"Honoré-Mercier/Honoré-Mercier"," 53","Montréal",43,1,1,0,22,25,45,0,137,294
24022,"Honoré-Mercier/Honoré-Mercier"," 54","Montréal",49,1,3,1,15,21,48,1,139,295
24022,"Honoré-Mercier/Honoré-Mercier"," 55","Montréal",63,3,3,0,19,25,89,6,208,484
24022,"Honoré-Mercier/Honoré-Mercier"," 56","Montréal",25,0,5,0,28,2,67,0,127,300
24022,"Honoré-Mercier/Honoré-Mercier"," 57","Montréal",62,3,4,0,28,7,94,1,199,417
24022,"Honoré-Mercier/Honoré-Mercier"," 58","Montréal",36,0,1,1,19,0,68,1,126,240
24022,"Honoré-Mercier/Honoré-Mercier"," 59","Montréal",68,0,3,0,22,4,78,2,177,371
24022,"Honoré-Mercier/Honoré-Mercier"," 60","Montréal",36,0,7,0,23,6,75,0,147,370
24022,"Honoré-Mercier/Honoré-Mercier"," 61","Montréal",85,1,4,0,43,2,109,3,247,498
24022,"Honoré-Mercier/Honoré-Mercier"," 62","Montréal",56,3,3,2,32,11,96,2,205,466
24022,"Honoré-Mercier/Honoré-Mercier"," 63","Montréal",54,0,2,0,44,9,89,8,206,413
24022,"Honoré-Mercier/Honoré-Mercier"," 64","Montréal",54,2,3,0,37,10,77,2,185,472
24022,"Honoré-Mercier/Honoré-Mercier"," 65","Montréal",83,1,6,2,32,25,100,3,252,506
24022,"Honoré-Mercier/Honoré-Mercier"," 66","Montréal",55,0,2,2,29,8,70,2,168,364
24022,"Honoré-Mercier/Honoré-Mercier"," 67","Montréal",58,1,4,2,27,8,81,5,186,389
24022,"Honoré-Mercier/Honoré-Mercier"," 68","Montréal",65,2,6,0,35,10,55,5,178,428
24022,"Honoré-Mercier/Honoré-Mercier"," 69","Montréal",32,0,3,0,6,21,38,4,104,268
24022,"Honoré-Mercier/Honoré-Mercier"," 70","Montréal",80,0,4,0,20,18,81,13,216,537
24022,"Honoré-Mercier/Honoré-Mercier"," 71","Montréal",44,0,0,0,35,11,59,3,152,417
24022,"Honoré-Mercier/Honoré-Mercier"," 72","Montréal",48,1,5,0,21,1,68,5,149,327
24022,"Honoré-Mercier/Honoré-Mercier"," 73","Montréal",63,0,2,0,29,10,35,7,146,409
24022,"Honoré-Mercier/Honoré-Mercier"," 74","Montréal",80,0,7,0,20,17,83,3,210,416
24022,"Honoré-Mercier/Honoré-Mercier"," 75","Montréal",85,1,2,2,32,17,96,3,238,459
24022,"Honoré-Mercier/Honoré-Mercier"," 76","Montréal",76,0,2,1,33,30,63,2,207,471
24022,"Honoré-Mercier/Honoré-Mercier"," 77","Montréal",47,0,6,0,25,6,110,9,203,438
24022,"Honoré-Mercier/Honoré-Mercier"," 78","Montréal",53,1,3,0,40,11,87,0,195,451
24022,"Honoré-Mercier/Honoré-Mercier"," 79","Montréal",51,0,2,0,49,6,106,2,216,447
24022,"Honoré-Mercier/Honoré-Mercier"," 80","Anjou",124,0,2,0,26,81,37,2,272,455
24022,"Honoré-Mercier/Honoré-Mercier"," 81","Anjou",74,0,5,1,13,49,46,2,190,369
24022,"Honoré-Mercier/Honoré-Mercier"," 82","Anjou",89,0,5,1,28,53,63,2,241,400
24022,"Honoré-Mercier/Honoré-Mercier"," 83","Anjou",67,0,7,0,20,32,73,3,202,392
24022,"Honoré-Mercier/Honoré-Mercier"," 84","Anjou",66,1,4,0,33,35,102,4,245,424
24022,"Honoré-Mercier/Honoré-Mercier"," 85","Anjou",90,0,1,1,24,42,76,4,238,429
24022,"Honoré-Mercier/Honoré-Mercier"," 86","Anjou",89,1,1,0,21,36,79,12,239,419
24022,"Honoré-Mercier/Honoré-Mercier"," 87","Anjou",79,0,1,2,26,23,55,9,195,336
24022,"Honoré-Mercier/Honoré-Mercier"," 88","Anjou",36,0,3,1,13,16,21,5,95,220
24022,"Honoré-Mercier/Honoré-Mercier"," 89","Anjou",53,0,2,0,2,30,9,3,99,238
24022,"Honoré-Mercier/Honoré-Mercier"," 90","Anjou",80,1,2,0,10,25,44,3,165,313
24022,"Honoré-Mercier/Honoré-Mercier"," 91","Anjou",21,0,1,0,11,10,54,2,99,212
24022,"Honoré-Mercier/Honoré-Mercier"," 92","Anjou",49,0,0,1,3,26,37,1,117,266
24022,"Honoré-Mercier/Honoré-Mercier"," 93","Anjou",71,1,0,0,19,25,51,0,167,287
24022,"Honoré-Mercier/Honoré-Mercier"," 94","Anjou",54,0,4,0,18,25,26,1,128,208
24022,"Honoré-Mercier/Honoré-Mercier"," 94-1","Anjou",119,0,2,0,47,41,96,3,308,485
24022,"Honoré-Mercier/Honoré-Mercier"," 95","Anjou",59,0,1,1,17,16,21,1,116,228
