Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Jordan LaPlante,Gerry Ritz,Glenn Tait,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 81","Lashburn",12,10,251,71,2,346,682
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 82","Paynton",15,4,105,50,0,174,438
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 83","Little Pine 116",0,7,8,182,1,198,325
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 84","Poundmaker 114",1,4,4,60,0,69,248
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 85","Cut Knife",0,0,76,15,0,91,122
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 86","Gallivan",0,3,73,15,0,91,178
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 87","Cut Knife",1,4,156,77,1,239,461
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 88","Sweetgrass",1,3,4,102,0,110,139
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 89","Delmas",4,3,104,20,0,131,260
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 90","Prongua",2,3,92,23,2,122,216
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 91","Porter",4,1,110,26,1,142,224
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 92","Battleford",1,2,107,53,1,164,370
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 93","Battleford",5,4,146,58,0,213,348
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 94","Battleford",10,10,242,170,0,432,965
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 95","Battleford",1,2,51,47,0,101,185
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 96","Battleford",6,10,89,48,0,153,252
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 97","Battleford",4,5,110,72,1,192,344
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 98","Battleford",3,7,128,64,1,203,333
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 99","Battleford",3,3,93,68,0,167,280
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 100","Marsden",3,10,163,31,0,207,313
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 101","Marsden",1,0,77,16,1,95,153
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 102","Neilburg",4,1,129,48,0,182,293
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 103","Freemont",6,2,163,25,1,197,416
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 104","Senlac",1,1,104,19,0,125,178
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 105","Unity",3,3,109,17,0,132,233
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 106","Unity",3,5,85,23,1,117,198
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 107","Unity",13,16,280,68,0,377,731
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 108","Unity",1,3,88,24,1,117,194
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 109","Unity",4,1,99,37,2,143,251
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 110","Unity",4,5,79,17,1,106,167
