RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
Laurent Nadeau,Retired/Retraité,Beauce,24005,Quebec/Québec,Saint-Georges
Claude Leduc,Financial Security Advisor/Conseiller en sécurité financière,Beauharnois--Salaberry,24006,Quebec/Québec,Valleyfield
François Savard,Retired/Retraité,Beauport--Limoilou,24007,Quebec/Québec,Québec
Jean Provencher,Engineer/Ingénieur,Berthier--Maskinongé,24008,Quebec/Québec,Saint-Boniface
Pauline Déry,Retired/Retraitée,Bourassa,24009,Quebec/Québec,Montréal
Diane Prévost,Communication Advisor/Conseillère en communications,Brome--Missisquoi,24010,Quebec/Québec,Sutton
Gilles Ferlatte,Consultant,Brossard--La Prairie,24011,Quebec/Québec,Brossard
Claude D. Fagnant,Administrator of Society/Administrateur de société,Chambly--Borduas,24012,Quebec/Québec,Mont-Saint-Hilaire
Roy Ouellet,Retired/Retraité,Charlesbourg--Haute-Saint-Charles,24013,Quebec/Québec,Québec
Lise Pettigrew,President/Présidente,Châteauguay--Saint-Constant,24015,Quebec/Québec,Châteauguay
Claude Gaudreault,Legal/Droit,Chicoutimi--Le Fjord,24016,Quebec/Québec,Chicoutimi
Debra Martin,Finance/Finances,Compton--Stanstead,24017,Quebec/Québec,Waterville
Andrée Desautels,Education/Éducation,Drummond,24018,Quebec/Québec,Drummondville
Roy Whittom,Retired/Retraité,Gaspésie--Îles-de-la-Madeleine,24019,Quebec/Québec,Hope
Josée Dubois,Fiscal Teacher/Enseignante fiscale,Gatineau,24020,Quebec/Québec,Gatineau
Bertrand Bernier,Self-employed/Travailleur autonome,Haute-Gaspésie--La Mitis--Matane--Matapédia,24041,Quebec/Québec,Matane
Suzanne Paquin,Retired Director/Directrice retraitée,Hochelaga,24021,Quebec/Québec,Montréal
Marguerite Sicari,Office Clerk/Commis de bureau,Honoré-Mercier,24022,Quebec/Québec,Montréal
Michelle Waters,Self-employed/Travailleuse autonome,Hull--Aylmer,24023,Quebec/Québec,Gatineau
Hubert Harel,Consultant,Jeanne-Le Ber,24024,Quebec/Québec,Montréal
Steven Lajeunesse,Retired/Retraité,Joliette,24025,Quebec/Québec,Crabtree
Micheline Bilodeau,Retired/Retraitée,Jonquière--Alma,24026,Quebec/Québec,Jonquière
William H. Craig,Private Consulting/Consultation privée,Lac-Saint-Louis,24027,Quebec/Québec,Beaconsfield
Bernard Lauzon,Retired/Retraité,La Pointe-de-l'Île,24028,Quebec/Québec,Montréal
Elena Amato,Credit Manager/Directrice de crédit,LaSalle--Émard,24029,Quebec/Québec,LaSalle
Louise Guertin,Consultant/Consultante,Laurentides--Labelle,24030,Quebec/Québec,Piedmont
Paul Haince,Business/Affaires,Laurier--Sainte-Marie,24031,Quebec/Québec,Montréal
Michel Regimbald,Retired/Retraité,Laval,24032,Quebec/Québec,Laval
Jocelyne Lavoie,Retired/Retraitée,Laval--Les Îles,24033,Quebec/Québec,Laval
Claire Demers,Retired/Retraitée,Lévis--Bellechasse,24034,Quebec/Québec,Lévis
Anne-Denise Thomas,Contractor/Contractuelle,Longueuil--Pierre-Boucher,24035,Quebec/Québec,Longueuil
Jean-Louis Leblond,Retired/Retraité,Lotbinière--Chutes-de-la-Chaudière,24036,Quebec/Québec,Saint-Nicolas
Geneviève Camiré,Geologist and Financial Analyst/Géologue et analyste financière,Louis-Hébert,24037,Quebec/Québec,Québec
Hélène Dion,Retired Nurse/Infirmière retraitée,Louis-Saint-Laurent,24038,Quebec/Québec,Québec
Nicole Blouin,Retired/Retraitée,Manicouagan,24039,Quebec/Québec,Sept-Îles
Claire Lessard,Database Entry Clerk/Commis à la saisie de données,Marc-Aurèle-Fortin,24040,Quebec/Québec,Sainte-Thérèse
Claude Nadeau,Retired/Retraité,Mégantic--L'Érable,24042,Quebec/Québec,Thetford Mines
Claude Martel,Science/Sciences,Montcalm,24043,Quebec/Québec,Lachenaie
Pierrette Couillard,Notary/Notaire,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24058,Quebec/Québec,Cacouna
Luc H. Ménard,Retired/Retraité,Montmorency--Charlevoix--Haute-Côte-Nord,24014,Quebec/Québec,Boucherville
Stephen Ornstein,Retired/Retraité,Mount Royal/Mont-Royal,24044,Quebec/Québec,Côte-Saint-Luc
Jean-Claude Ménard,Finance/Finances,Notre-Dame-de-Grâce--Lachine,24045,Quebec/Québec,Lachine
Jane Renaud,Consultant/Consultante,Outremont,24047,Quebec/Québec,Montréal
Normand Lake,Self-employed/Travailleur autonome,Papineau,24048,Quebec/Québec,Montréal
Marie Émond,Retired/Retraitée,Pierrefonds--Dollard,24049,Quebec/Québec,Pierrefonds
Marie Poirier,Treatment Coordinator/Coordonnatrice de traitement,Pontiac,24050,Quebec/Québec,Gatineau
Paulyne Rodrigue,School Director/Directrice d'école,Portneuf--Jacques-Cartier,24051,Quebec/Québec,Stoneham
André Crochetière,Manager/Gestionnaire,Québec,24052,Quebec/Québec,Québec
Yves Brisson,Retired/Retraité,Repentigny,24053,Quebec/Québec,Repentigny
Jacques Alie,Self-employed/Travailleur autonome,Richmond--Arthabaska,24055,Quebec/Québec,Asbestos
Jacques H. Roy,Retired/Retraité,Rimouski-Neigette--Témiscouata--Les Basques,24056,Quebec/Québec,Rimouski
Julie Beauregard,Consultant/Consultante,Rivière-des-Mille-Îles,24057,Quebec/Québec,Saint-Eustache
Jean J. DeGarie,Retired/Retraité,Rivière-du-Nord,24059,Quebec/Québec,Saint-Jérôme
Jean-Marc Gendron,Retired/Retraité,Roberval--Lac-Saint-Jean,24060,Quebec/Québec,Dolbeau-Mistassini
Manon Duguay,Self-employed/Travailleuse autonome,Rosemont--La Petite-Patrie,24061,Quebec/Québec,Montréal
Normand Messier,Finance/Finances,Saint-Bruno--Saint-Hubert,24062,Quebec/Québec,Saint-Hubert
Suzie Guilmain,Lawyer/Avocate,Saint-Hyacinthe--Bagot,24063,Quebec/Québec,Saint-Pie
Louis Richer,Retired/Retraité,Saint-Jean,24064,Quebec/Québec,Saint-Jean-sur-Richelieu
Claire Levasseur,Manager/Gestionnaire,Saint-Lambert,24065,Quebec/Québec,Longueuil
Pierre Croubalian,Retired/Retraité,Saint-Laurent--Cartierville,24066,Quebec/Québec,Montréal
Antonio Iadeluca,Management/Gestion,Saint-Léonard--Saint-Michel,24067,Quebec/Québec,Saint-Léonard
Gilles Leboeuf,Retired/Retraité,Saint-Maurice--Champlain,24068,Quebec/Québec,Shawinigan
Yvon Lessard,Retired/Retraité,Shefford,24069,Quebec/Québec,Granby
Richard Dion,Business/Affaires,Sherbrooke,24070,Quebec/Québec,Sherbrooke
Jeannine Cossette,Retired/Retraitée,Terrebonne--Blainville,24071,Quebec/Québec,Terrebonne
André Levasseur,Retired/Retraité,Trois-Rivières,24072,Quebec/Québec,Trois-Rivières
Nicole Lauzon,Retired/Retraitée,Vaudreuil-Soulanges,24073,Quebec/Québec,Vaudreuil-Dorion
Francine Tardif-Martin,Retired Teacher and Consultant/Enseignante retraitée et consultante,Verchères--Les Patriotes,24074,Quebec/Québec,Boucherville
Brigitte Stock,Director of Communications/Directrice des communications,Westmount--Ville-Marie,24075,Quebec/Québec,Westmount
Robert Cumberbatch,Software Trainer/Consultant/Entraîneur de programmation/consultant,Ajax--Pickering,35001,Ontario,Ajax
Raymond Racine,Self-employed/Travailleur autonome,Algoma--Manitoulin--Kapuskasing,35002,Ontario,Elliot Lake
Al Croxall,Retired/Retraité,Ancaster--Dundas--Flamborough--Westdale,35003,Ontario,Jerseyville
Maura I. Bolger,Retired/Retraitée,Barrie,35004,Ontario,Barrie
Jeff Paulin,Management/Gestion,Beaches--East York,35005,Ontario,Toronto
Janice A. Barber,Homemaker/Personne au foyer,Bramalea--Gore--Malton,35006,Ontario,Brampton
Bridge Ramdewar,Prevention Services/Services de prévention,Brampton--Springdale,35007,Ontario,Brampton
John Holman,Self-employed/Travailleur autonome,Brampton West/Brampton-Ouest,35008,Ontario,Brampton
Paula Carter,Retired/Retraitée,Brant,35009,Ontario,Brantford
Robert Droine,Retired/Retraité,Bruce--Grey--Owen Sound,35026,Ontario,Owen Sound
Michael D. Birse,Retired/Retraité,Burlington,35010,Ontario,Burlington
Mary O'Connor,Agriculture,Cambridge,35011,Ontario,Cambridge
Audrey Shaw,Retired/Retraitée,Carleton--Mississippi Mills,35012,Ontario,Kinburn
Dena H. Anderson ,Homemaker/Personne au foyer,Chatham-Kent--Essex,35013,Ontario,Blenheim 
Marko Banjavcic,Election Administrator/Administrateur d'élection,Davenport,35015,Ontario,Toronto
Urma Ellis,Real Estate/Immobilier,Don Valley East/Don Valley-Est,35016,Ontario,Toronto
Nasir Addetia,Self-employed/Travailleur autonome,Don Valley West/Don Valley-Ouest,35017,Ontario,East York
William Lynch,IT Consultant/Consultant en technologie de l'information,Dufferin--Caledon,35018,Ontario,Orangeville
Catharina Acerra,Retired/Retraitée,Durham,35014,Ontario,Port Perry
Lorraine Reid,Customer Service/Service à la clientèle,Eglinton--Lawrence,35019,Ontario,Toronto
Carrie Snyders,Homemaker/Personne au foyer,Elgin--Middlesex--London,35020,Ontario,St. Thomas
Margaret Woltz,Retired/Retraitée,Essex,35021,Ontario,Essex
Allan Sperling,Human Resources Consultant/Consultant en ressources humaines,Etobicoke Centre/Etobicoke-Centre,35022,Ontario,Etobicoke
Larry A. Faseruk,Computer Analyst/Analyste en ordinateur,Etobicoke--Lakeshore,35023,Ontario,Toronto
Carole A. Murphy,Real Estate Sales/Ventes immobilières,Etobicoke North/Etobicoke-Nord,35024,Ontario,Etobicoke
Murielle T. Lanthier,Administration,Glengarry--Prescott--Russell,35025,Ontario,Hawkesbury
Anne M. Budra,Consulting Services/Services de consultation,Guelph,35027,Ontario,Guelph
Robert Foster,Retired/Retraité,Haldimand--Norfolk,35028,Ontario,Simcoe
Jerry J. Ford,Retired/Retraité,Haliburton--Kawartha Lakes--Brock,35029,Ontario,Lindsay
Diane Lindsey,Event Planner/Planificateure d'un événement,Halton,35030,Ontario,Burlington
James Robert Winn,"Chief Fire Prevention Officer/Chef, Pompier responsable de la prévention",Hamilton Centre/Hamilton-Centre,35031,Ontario,Hamilton
Ruth Anne Martin,Executive Assistant/Adjointe administrative,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35032,Ontario,Stoney Creek
Gerda Elisabeth Morrow,Retired School Principal/Directrice d'école retraitée,Hamilton Mountain,35033,Ontario,Hamilton
Graeme Craig,Business/Affaires,Huron--Bruce,35034,Ontario,Walton
Gerald A. Ouellette,Retired/Retraité,Kenora,35035,Ontario,Kenora
Marie-Therese Large,Manager/Gestionnaire,Kingston and the Islands/Kingston et les Îles,35036,Ontario,Kingston
Wilfred H. Baxter,Retired/Retraité,Kitchener Centre/Kitchener-Centre,35037,Ontario,Kitchener
Carolyn S. Hertzberger,Retired/Retraitée,Kitchener--Conestoga,35038,Ontario,Elmira
Henry William Schmidt,Food Production/Processor/Production alimentaire/transformation,Kitchener--Waterloo,35039,Ontario,Waterloo
Norman Giffen,Retired/Retraité,Lambton--Kent--Middlesex,35046,Ontario,Strathroy
Caroline M. McMillan,Finance/Finances,Lanark--Frontenac--Lennox and Addington,35040,Ontario,Napanee
Barbara M. Mills,Administration,Leeds--Grenville,35041,Ontario,Prescott
Brenda Telfer,Self-employed/Travailleuse autonome,London--Fanshawe,35042,Ontario,London
Douglas William Glover,Medical Laboratory Manager/Gérant médical de laboratoire,London North Centre/London-Centre-Nord,35043,Ontario,London
Karen Mazereeuw,Self-employed/Travailleuse autonome,London West/London-Ouest,35044,Ontario,London
Janet Maureen Koidis,Retired Principal/Directrice principale retraitée,Markham--Unionville,35045,Ontario,Unionville
Ronald Brent Antonio,Self-employed/Travailleur autonome,Mississauga--Brampton South/Mississauga--Brampton-Sud,35047,Ontario,Mississauga
David George,Retired President CEO/Directeur retraité DGE,Mississauga East--Cooksville/Mississauga-Est--Cooksville,35048,Ontario,Mississauga
John Stuart Heenan,Professional Engineer/Ingénieur professionnel,Mississauga--Erindale,35049,Ontario,Mississauga
Fran Doda,Accountant/Comptable,Mississauga South/Mississauga-Sud,35050,Ontario,Mississauga
Arafat Arafat,Health/Santé,Mississauga--Streetsville,35051,Ontario,Mississauga
Basil Maurice Tomlinson,Retired/Retraité,Nepean--Carleton,35052,Ontario,Manotick
Alice Keenan,Administration,Newmarket--Aurora,35053,Ontario,Newmarket
Kathleen J. Quiquero,Finance/Finances,Niagara Falls,35054,Ontario,Niagara Falls
Barbara Jones,Homemaker/Personne au foyer,Niagara West--Glanbrook/Niagara-Ouest--Glanbrook,35055,Ontario,Grimsby
Carmen Brouillard,Retired/Retraitée,Nickel Belt,35056,Ontario,Chelmsford
James Mallory,Retired/Retraité,Nipissing--Timiskaming,35057,Ontario,North Bay
Kathleen Duffy,Certified Management Accountant/Comptable en management accréditée,Northumberland--Quinte West,35058,Ontario,Cobourg
Colin Pettit,Engineer/Ingénieur,Oak Ridges--Markham,35059,Ontario,Richmond Hill
Surinder K. Sharma,Retired/Retraité,Oakville,35060,Ontario,Oakville
Kenneth Charles Houston,Self-employed/Travail autonome,Oshawa,35061,Ontario,Oshawa
Gail Lynch,Consultant/Consultante,Ottawa Centre/Ottawa-Centre,35062,Ontario,Ottawa
Pierre Langlois,Semi-retired/Semi-retraité,Ottawa--Orléans,35063,Ontario,Ottawa
Margaret Woodley,Retired/Retraitée,Ottawa South/Ottawa-Sud,35064,Ontario,Ottawa
Rachel L. Crête,Retired/Retraitée,Ottawa--Vanier,35065,Ontario,Ottawa
Arnold Finkelstein,Retired/Retraité,Ottawa West--Nepean/Ottawa-Ouest--Nepean,35066,Ontario,Ottawa
Audrey E. Schultz,Retired/Retraitée,Oxford,35067,Ontario,Princeton
Marika Huska,Consultant/Consultante,Parkdale--High Park,35068,Ontario,Toronto
Kim Elaine Bordeleau,Aircraft Maintenance/Entretien d'avion,Parry Sound--Muskoka,35069,Ontario,Parry Sound
Catharina Jutting,Finance/Finances,Perth--Wellington,35070,Ontario,Stratford
Stephen Ross Mouncey,Retired Banker/Banquier retraité,Peterborough,35071,Ontario,Peterborough
Joseph Birungi,Science/Sciences,Pickering--Scarborough East/Pickering--Scarborough-Est,35072,Ontario,Pickering
Larry Zadow,Retired/Retraité,Prince Edward--Hastings,35073,Ontario,Belleville
Robert Rantz,Retired/Retraité,Renfrew--Nipissing--Pembroke,35074,Ontario,Petawawa
Sharon Louise Rossi,Potter/Potier,Richmond Hill,35075,Ontario,Richmond Hill
Thomas R. Hollick,Consultant,St. Catharines,35076,Ontario,St. Catharines
Lynn Morrow,Consulting Services/Services de consultation,St. Paul's,35077,Ontario,Toronto
Mary B. O'Bradovic,Retired/Retraitée,Sarnia--Lambton,35078,Ontario,Corunna
Allan K. Hackett,Consultant,Sault Ste. Marie,35079,Ontario,Sault Ste. Marie
James Leslie Wright,Retired/Retraité,Scarborough--Agincourt,35080,Ontario,Toronto
Brian Terence Reid,Software Development Manager/Directeur du développement de logiciels,Scarborough Centre/Scarborough-Centre,35081,Ontario,Toronto
Denis Neill Frazer,Conservation/Wildlife Educator/Éducateur/Préservation de la faune,Scarborough--Guildwood,35082,Ontario,Scarborough
Kimberley G. Scott,Homemaker/Personne au foyer,Scarborough--Rouge River,35083,Ontario,Toronto
Robert Barrie Reynolds,Retired/Retraité,Scarborough Southwest/Scarborough-Sud-Ouest,35084,Ontario,Toronto
Ralph Sneyd,Retired Teacher/Enseignant retraité,Simcoe--Grey,35085,Ontario,Collingwood
Ron Walker,Retired Engineer/Ingénieur retraité,Simcoe North/Simcoe-Nord,35086,Ontario,Washago
Gerald G. Samson,Education/Éducation,Stormont--Dundas--South Glengarry,35087,Ontario,Cornwall
Ellen Kerr,Retired/Retraitée,Sudbury,35088,Ontario,Sudbury
Seymour Stein,Financial Planner/Planificateur financier,Thornhill,35089,Ontario,Thornhill
Thompson George McCuaig,Retired/Retraité,Thunder Bay--Rainy River,35090,Ontario,Thunder Bay
William Earl Everitt,Retired/Retraité,Thunder Bay--Superior North/Thunder Bay--Superior-Nord,35091,Ontario,Thunder Bay
Denise Labelle,Administration,Timmins--James Bay/Timmins--Baie James,35092,Ontario,Timmins
T'Hayla Ferguson,Acupuncturist/Acupuncteur,Toronto Centre/Toronto-Centre,35093,Ontario,Toronto
Peg Lahn,Consultant/Consultante,Toronto--Danforth,35094,Ontario,Toronto
Lesley Singer,Businesswoman/Femme d'affaires,Trinity--Spadina,35095,Ontario,Toronto
Jill Ann Medley,Consultant/Consultante,Vaughan,35096,Ontario,Vaughan
Laurie Dayboll,Self-employed/Travailleuse autonome,Welland,35097,Ontario,Port Colborne
Joseph Wayne Kuglin,Retired/Retraité,Wellington--Halton Hills,35098,Ontario,Elora
Sharon Steel,Retired Teacher/Enseignante retraitée,Whitby--Oshawa,35099,Ontario,Oshawa
May Lynne Fong,Researcher/Recherche,Willowdale,35100,Ontario,Toronto
Mark Moore,Retired/Retraité,Windsor--Tecumseh,35101,Ontario,Windsor
Thomas William Lynd,Consultant,Windsor West/Windsor-Ouest,35102,Ontario,Windsor
Cathy Martin,Homemaker/Personne au foyer,York Centre/York-Centre,35103,Ontario,Toronto
Nina Willcocks,Manager/Directrice,York--Simcoe,35104,Ontario,Sutton West
Ella Jackson,Real Estate/Immobilier,York South--Weston/York-Sud--Weston,35105,Ontario,Toronto
Elaine Ewers-Baptiste,Consultant/Consultante,York West/York-Ouest,35106,Ontario,Toronto
Kenneth Gordon Knight,Retired/Retraité,Brandon--Souris,46001,Manitoba,Brandon
Roy Verner Johnson,Retired/Retraité,Charleswood--St. James--Assiniboia,46002,Manitoba,Winnipeg
Hazel Lorraine Hyde,Statistics Canada Interviewer/Enquêteuse pour Statistique Canada,Churchill,46003,Manitoba,The Pas
Ron Clement,Self-employed/Travailleur autonome,Dauphin--Swan River--Marquette,46004,Manitoba,Russell
Laurel A. Dupont,Self-employed/Travailleuse autonome,Elmwood--Transcona,46005,Manitoba,Winnipeg
Marianne Roberta McClusky,Retired/Retraitée,Kildonan--St. Paul,46006,Manitoba,Winnipeg
Margaret Lisowski,Retired/Retraitée,Portage--Lisgar,46007,Manitoba,Portage la Prairie
Brigitte Giesbrecht,Homemaker/Personne au foyer,Provencher,46008,Manitoba,Landmark
Tayeb Meridji,Trainer/Formateur,Saint Boniface/Saint-Boniface,46009,Manitoba,Winnipeg
Gayle Halliwell,Educational Administrator/Administratrice de l'enseignement,Selkirk--Interlake,46010,Manitoba,Sandy Hook
Beverley Barringer,Management/Gestion,Winnipeg Centre/Winnipeg-Centre,46011,Manitoba,Winnipeg
Erlinda M. Dionisio,Health Care Worker/Responsable de la santé,Winnipeg North/Winnipeg-Nord,46012,Manitoba,Winnipeg
Lori Gray,Computer Services/Services informatiques,Winnipeg South/Winnipeg-Sud,46013,Manitoba,Winnipeg
Johanna Gail Denesiuk,Retired/Retraitée,Winnipeg South Centre/Winnipeg-Centre-Sud,46014,Manitoba,Winnipeg
Patricia Dawn Janko,Retired/Retraitée,Battlefords--Lloydminster,47001,Saskatchewan,North Battleford
Bruce James Richards,Retired/Retraité,Blackstrap,47002,Saskatchewan,Saskatoon
Darryl Adrian Stroh,Retired/Retraité,Cypress Hills--Grasslands,47004,Saskatchewan,Cypress Hills Park
Marlene Catherine Wolkosky,Clerical/Commis,Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,47003,Saskatchewan,La Ronge
Yves Bourdeau,Retired/Retraité,Palliser,47005,Saskatchewan,Moose Jaw
Barry Walter Hollick,Education/Éducation,Prince Albert,47006,Saskatchewan,Prince Albert
Louise Holloway,Retired/Retraitée,Regina--Lumsden--Lake Centre,47007,Saskatchewan,Lumsden
Marlene Rose Robins,Communications Consultant/Consultante en communications,Regina--Qu'Appelle,47008,Saskatchewan,Pilot Butte
Marvin William Dutton,Retired/Retraité,Saskatoon--Humboldt,47009,Saskatchewan,Saskatoon
Dianne C. Zimmerman,Self-employed/Travailleuse autonome,Saskatoon--Rosetown--Biggar,47010,Saskatchewan,Saskatoon
Shawna Jardine,Teacher/Enseignante,Saskatoon--Wanuskewin,47011,Saskatchewan,Saskatoon
Michel J. Bauche,Retired/Retraité,Souris--Moose Mountain,47012,Saskatchewan,Antler
Randy Markewich,Retired/Retraité,Wascana,47013,Saskatchewan,Regina
Cynthia Catherine Kachur,Bookkeeper/Comptable,Yorkton--Melville,47014,Saskatchewan,Yorkton
Ann Boiteau,Manager/Gestionnaire,Calgary Centre/Calgary-Centre,48006,Alberta,Calgary
Michael Meraw,College Instructor/Formateur au niveau collégial,Calgary Centre-North/Calgary-Centre-Nord,48003,Alberta,Calgary
Nora O'Connell,Sales/Ventes,Calgary East/Calgary-Est,48002,Alberta,Calgary
Garnet (Garry) Doyle,Retired/Retraité,Calgary Northeast/Calgary-Nord-Est,48004,Alberta,Calgary
Dave Drader,Self-employed/Travailleur autonome,Calgary--Nose Hill,48005,Alberta,Calgary
Cheryl Schuett,Administration,Calgary Southeast/Calgary-Sud-Est,48007,Alberta,Calgary
Melvin Hansen,Science/Sciences,Calgary Southwest/Calgary-Sud-Ouest,48008,Alberta,Calgary
Dennis Ekvall,Engineer/Ingénieur,Calgary West/Calgary-Ouest,48009,Alberta,Calgary
Clarence Kerry Grettum,Retired/Retraité,Crowfoot,48010,Alberta,Bittern Lake
David Starko,Self-employed/Travailleur autonome,Edmonton Centre/Edmonton-Centre,48012,Alberta,Edmonton
Jana Lee Niven,Mortgage Broker Associate/Courtière associée en hypothèques,Edmonton East/Edmonton-Est,48013,Alberta,Edmonton
Earl Nent,Retired/Retraité,Edmonton--Leduc,48014,Alberta,Edmonton
Donna Ruth Wilson,Finance/Finances,Edmonton--Mill Woods--Beaumont,48011,Alberta,Edmonton
William Wright,Retired/Retraité,Edmonton--St. Albert,48015,Alberta,St. Albert
James Arthur Retallack,Retired/Retraité,Edmonton--Sherwood Park,48016,Alberta,Sherwood Park
Remi Boisvert,Pharmacist/Pharmacien,Edmonton--Spruce Grove,48017,Alberta,Spruce Grove
Micah Kozak,Retired/Retraité,Edmonton--Strathcona,48018,Alberta,Edmonton
Pauline Gauthier,Retired/Retraitée,Fort McMurray--Athabasca,48001,Alberta,Fort McMurray
Arleen E. Albiez,Management/Gestion,Lethbridge,48019,Alberta,Lethbridge
Brenda Gleason,Office Manager/Gestionnaire de bureau,Macleod,48020,Alberta,Okotoks
Mary Ulbricht,Diagnostic Clerk/Commis de diagnostic,Medicine Hat,48021,Alberta,Medicine Hat
Rachelle Filippelli,Management/Gestion,Peace River,48022,Alberta,Grande Prairie
Wayne A. Hutmacher,Retired/Retraité,Red Deer,48023,Alberta,Red Deer
