Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lewis Cardinal,Laurie Hawn,Mary MacDonald,Peggy Morton,David James Parker,Mikkel Paulson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Edmonton Centre/Edmonton-Centre"," 17","Edmonton",55,113,34,0,3,0,0,205,410
48012,"Edmonton Centre/Edmonton-Centre"," 18","Edmonton",Merged with No. 26/Fusionné avec le nº 26,,,,,,,,286
48012,"Edmonton Centre/Edmonton-Centre"," 19","Edmonton",55,62,36,0,4,2,0,159,296
48012,"Edmonton Centre/Edmonton-Centre"," 20","Edmonton",71,52,11,0,5,1,1,141,390
48012,"Edmonton Centre/Edmonton-Centre"," 21","Edmonton",52,40,12,0,5,1,1,111,352
48012,"Edmonton Centre/Edmonton-Centre"," 22","Edmonton",75,73,29,0,7,1,1,186,336
48012,"Edmonton Centre/Edmonton-Centre"," 23","Edmonton",59,48,13,1,11,0,1,133,305
48012,"Edmonton Centre/Edmonton-Centre"," 24","Edmonton",55,49,28,0,6,0,0,138,333
48012,"Edmonton Centre/Edmonton-Centre"," 25","Edmonton",55,78,39,0,6,3,0,181,342
48012,"Edmonton Centre/Edmonton-Centre"," 26","Edmonton",66,91,29,0,10,2,1,199,342
48012,"Edmonton Centre/Edmonton-Centre"," 27","Edmonton",54,67,23,0,5,1,0,150,302
48012,"Edmonton Centre/Edmonton-Centre"," 28","Edmonton",45,91,29,1,4,0,0,170,311
48012,"Edmonton Centre/Edmonton-Centre"," 29","Edmonton",47,136,61,1,5,0,4,254,329
48012,"Edmonton Centre/Edmonton-Centre"," 30","Edmonton",50,42,26,1,4,1,0,124,290
48012,"Edmonton Centre/Edmonton-Centre"," 31","Edmonton",Merged with No. 46/Fusionné avec le nº 46,,,,,,,,284
48012,"Edmonton Centre/Edmonton-Centre"," 32","Edmonton",61,78,28,1,3,0,0,171,317
48012,"Edmonton Centre/Edmonton-Centre"," 33","Edmonton",68,89,26,0,5,1,0,189,389
48012,"Edmonton Centre/Edmonton-Centre"," 34","Edmonton",56,67,7,0,5,5,0,140,324
48012,"Edmonton Centre/Edmonton-Centre"," 35","Edmonton",79,92,13,1,13,2,0,200,471
48012,"Edmonton Centre/Edmonton-Centre"," 36","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 37","Edmonton",Merged with No. 38/Fusionné avec le nº 38,,,,,,,,418
48012,"Edmonton Centre/Edmonton-Centre"," 38","Edmonton",107,132,38,1,8,0,3,289,419
48012,"Edmonton Centre/Edmonton-Centre"," 39","Edmonton",23,34,4,1,1,1,0,64,318
48012,"Edmonton Centre/Edmonton-Centre"," 40","Edmonton",74,69,25,2,4,3,1,178,426
48012,"Edmonton Centre/Edmonton-Centre"," 41","Edmonton",87,69,36,0,4,1,0,197,438
48012,"Edmonton Centre/Edmonton-Centre"," 42","Edmonton",71,57,27,0,6,1,1,163,315
48012,"Edmonton Centre/Edmonton-Centre"," 43","Edmonton",27,41,31,0,6,1,0,106,368
48012,"Edmonton Centre/Edmonton-Centre"," 44","Edmonton",31,36,28,0,6,0,1,102,487
48012,"Edmonton Centre/Edmonton-Centre"," 45","Edmonton",54,88,41,0,9,2,0,194,496
48012,"Edmonton Centre/Edmonton-Centre"," 46","Edmonton",114,114,51,0,8,2,0,289,308
48012,"Edmonton Centre/Edmonton-Centre"," 47","Edmonton",63,63,22,0,3,1,0,152,353
48012,"Edmonton Centre/Edmonton-Centre"," 48","Edmonton",68,74,30,0,10,1,0,183,376
48012,"Edmonton Centre/Edmonton-Centre"," 49","Edmonton",47,107,18,0,8,2,0,182,349
48012,"Edmonton Centre/Edmonton-Centre"," 50","Edmonton",47,101,17,1,1,1,0,168,371
48012,"Edmonton Centre/Edmonton-Centre"," 51","Edmonton",43,97,12,0,7,1,0,160,331
48012,"Edmonton Centre/Edmonton-Centre"," 52","Edmonton",19,110,22,0,5,0,0,156,389
48012,"Edmonton Centre/Edmonton-Centre"," 53","Edmonton",36,88,19,0,7,1,0,151,366
48012,"Edmonton Centre/Edmonton-Centre"," 54","Edmonton",27,89,20,0,3,1,1,141,416
48012,"Edmonton Centre/Edmonton-Centre"," 55","Edmonton",32,71,23,0,3,1,0,130,355
48012,"Edmonton Centre/Edmonton-Centre"," 56","Edmonton",36,82,23,0,8,0,0,149,336
48012,"Edmonton Centre/Edmonton-Centre"," 57","Edmonton",82,117,24,2,7,4,1,237,421
48012,"Edmonton Centre/Edmonton-Centre"," 58","Edmonton",40,117,18,0,3,2,1,181,353
48012,"Edmonton Centre/Edmonton-Centre"," 59","Edmonton",51,135,17,1,10,2,1,217,424
48012,"Edmonton Centre/Edmonton-Centre"," 60","Edmonton",50,62,17,1,7,1,1,139,371
48012,"Edmonton Centre/Edmonton-Centre"," 61","Edmonton",55,135,13,1,12,1,0,217,383
48012,"Edmonton Centre/Edmonton-Centre"," 62","Edmonton",30,73,7,0,7,0,0,117,396
48012,"Edmonton Centre/Edmonton-Centre"," 63","Edmonton",33,57,12,0,2,2,0,106,360
48012,"Edmonton Centre/Edmonton-Centre"," 64","Edmonton",20,89,26,0,4,0,0,139,421
48012,"Edmonton Centre/Edmonton-Centre"," 65","Edmonton",30,46,10,0,4,0,0,90,405
48012,"Edmonton Centre/Edmonton-Centre"," 66","Edmonton",42,65,14,0,4,2,0,127,333
48012,"Edmonton Centre/Edmonton-Centre"," 67","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 68","Edmonton",50,87,19,0,4,0,0,160,387
48012,"Edmonton Centre/Edmonton-Centre"," 69","Edmonton",54,80,15,0,14,1,0,164,358
48012,"Edmonton Centre/Edmonton-Centre"," 70","Edmonton",41,55,6,0,6,0,0,108,328
48012,"Edmonton Centre/Edmonton-Centre"," 71","Edmonton",41,116,26,0,6,2,1,192,380
48012,"Edmonton Centre/Edmonton-Centre"," 72","Edmonton",23,77,11,0,2,2,0,115,233
48012,"Edmonton Centre/Edmonton-Centre"," 73","Edmonton",85,125,43,1,8,0,1,263,389
48012,"Edmonton Centre/Edmonton-Centre"," 74","Edmonton",76,92,49,0,8,1,0,226,446
48012,"Edmonton Centre/Edmonton-Centre"," 75","Edmonton",44,84,50,1,3,0,0,182,346
48012,"Edmonton Centre/Edmonton-Centre"," 76","Edmonton",32,96,57,0,6,0,0,191,303
48012,"Edmonton Centre/Edmonton-Centre"," 77","Edmonton",66,162,36,0,8,0,1,273,496
48012,"Edmonton Centre/Edmonton-Centre"," 78","Edmonton",46,131,53,0,7,1,0,238,405
48012,"Edmonton Centre/Edmonton-Centre"," 79","Edmonton",53,96,49,0,10,1,0,209,351
48012,"Edmonton Centre/Edmonton-Centre"," 80","Edmonton",53,96,49,0,10,1,0,209,357
48012,"Edmonton Centre/Edmonton-Centre"," 81","Edmonton",55,94,39,0,7,3,0,198,375
48012,"Edmonton Centre/Edmonton-Centre"," 82","Edmonton",33,111,76,0,5,1,0,226,396
48012,"Edmonton Centre/Edmonton-Centre"," 83","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 84","Edmonton",30,65,36,0,10,0,1,142,332
48012,"Edmonton Centre/Edmonton-Centre"," 85","Edmonton",35,79,83,1,9,0,0,207,386
48012,"Edmonton Centre/Edmonton-Centre"," 86","Edmonton",52,112,88,0,9,1,3,265,451
48012,"Edmonton Centre/Edmonton-Centre"," 87","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 88","Edmonton",40,111,105,0,5,2,0,263,435
48012,"Edmonton Centre/Edmonton-Centre"," 89","Edmonton",34,128,102,0,1,3,0,268,476
48012,"Edmonton Centre/Edmonton-Centre"," 90","Edmonton",22,109,92,0,4,0,1,228,410
48012,"Edmonton Centre/Edmonton-Centre"," 91","Edmonton",54,82,56,0,6,2,0,200,304
48012,"Edmonton Centre/Edmonton-Centre"," 92","Edmonton",43,67,39,1,5,0,1,156,293
48012,"Edmonton Centre/Edmonton-Centre"," 93","Edmonton",84,84,38,1,8,1,2,218,429
48012,"Edmonton Centre/Edmonton-Centre"," 94","Edmonton",89,88,33,0,8,0,1,219,370
48012,"Edmonton Centre/Edmonton-Centre"," 95","Edmonton",70,84,82,0,9,1,0,246,393
48012,"Edmonton Centre/Edmonton-Centre"," 96","Edmonton",94,64,76,0,19,0,0,253,345
48012,"Edmonton Centre/Edmonton-Centre"," 97","Edmonton",Merged with No. 96/Fusionné avec le nº 96,,,,,,,,252
48012,"Edmonton Centre/Edmonton-Centre"," 98","Edmonton",62,59,33,0,8,1,2,165,468
48012,"Edmonton Centre/Edmonton-Centre"," 99","Edmonton",53,46,26,0,8,2,1,136,326
48012,"Edmonton Centre/Edmonton-Centre"," 100","Edmonton",68,77,51,0,6,0,0,202,342
48012,"Edmonton Centre/Edmonton-Centre"," 101","Edmonton",47,64,54,0,9,0,2,176,313
48012,"Edmonton Centre/Edmonton-Centre"," 102","Edmonton",88,93,84,1,8,2,2,278,536
48012,"Edmonton Centre/Edmonton-Centre"," 103","Edmonton",64,78,22,1,10,0,0,175,455
48012,"Edmonton Centre/Edmonton-Centre"," 104","Edmonton",76,39,52,0,7,3,1,178,447
48012,"Edmonton Centre/Edmonton-Centre"," 105","Edmonton",68,29,22,0,10,1,1,131,358
48012,"Edmonton Centre/Edmonton-Centre"," 106","Edmonton",39,35,28,0,3,3,1,109,311
48012,"Edmonton Centre/Edmonton-Centre"," 107","Edmonton",33,30,14,0,2,3,0,82,314
48012,"Edmonton Centre/Edmonton-Centre"," 108","Edmonton",Merged with No. 106/Fusionné avec le nº 106,,,,,,,,146
48012,"Edmonton Centre/Edmonton-Centre"," 109","Edmonton",44,55,32,0,3,2,1,137,382
48012,"Edmonton Centre/Edmonton-Centre"," 110","Edmonton",31,30,29,0,8,1,0,99,314
48012,"Edmonton Centre/Edmonton-Centre"," 111","Edmonton",33,38,34,0,4,0,0,109,409
48012,"Edmonton Centre/Edmonton-Centre"," 112","Edmonton",56,41,17,0,6,0,0,120,412
48012,"Edmonton Centre/Edmonton-Centre"," 113","Edmonton",Merged with No. 115/Fusionné avec le nº 115,,,,,,,,297
48012,"Edmonton Centre/Edmonton-Centre"," 114","Edmonton",31,32,26,0,7,1,0,97,376
48012,"Edmonton Centre/Edmonton-Centre"," 115","Edmonton",89,70,57,3,12,1,4,236,384
48012,"Edmonton Centre/Edmonton-Centre"," 116","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 117","Edmonton",54,55,34,1,4,1,1,150,411
48012,"Edmonton Centre/Edmonton-Centre"," 118","Edmonton",Merged with No. 117/Fusionné avec le nº 117,,,,,,,,363
48012,"Edmonton Centre/Edmonton-Centre"," 119","Edmonton",48,87,74,0,5,0,1,215,396
48012,"Edmonton Centre/Edmonton-Centre"," 120","Edmonton",38,60,71,0,2,1,3,175,366
48012,"Edmonton Centre/Edmonton-Centre"," 121","Edmonton",55,67,52,0,9,2,0,185,405
48012,"Edmonton Centre/Edmonton-Centre"," 122","Edmonton",80,41,49,0,11,0,1,182,382
48012,"Edmonton Centre/Edmonton-Centre"," 123","Edmonton",68,46,45,0,7,1,2,169,387
48012,"Edmonton Centre/Edmonton-Centre"," 124","Edmonton",55,42,25,0,5,1,1,129,358
48012,"Edmonton Centre/Edmonton-Centre"," 125","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 126","Edmonton",63,41,31,0,3,0,0,138,292
48012,"Edmonton Centre/Edmonton-Centre"," 127","Edmonton",61,116,68,0,8,1,1,255,481
48012,"Edmonton Centre/Edmonton-Centre"," 128","Edmonton",36,64,57,0,3,1,0,161,325
48012,"Edmonton Centre/Edmonton-Centre"," 129","Edmonton",22,19,13,0,2,0,0,56,154
48012,"Edmonton Centre/Edmonton-Centre"," 129-1","Edmonton",15,53,23,0,1,0,1,93,229
48012,"Edmonton Centre/Edmonton-Centre"," 130","Edmonton",17,46,48,0,2,1,0,114,274
48012,"Edmonton Centre/Edmonton-Centre"," 131","Edmonton",25,78,50,0,6,1,0,160,333
48012,"Edmonton Centre/Edmonton-Centre"," 132","Edmonton",48,48,34,1,2,1,0,134,255
48012,"Edmonton Centre/Edmonton-Centre"," 133","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 134","Edmonton",77,56,56,0,13,2,1,205,478
48012,"Edmonton Centre/Edmonton-Centre"," 135","Edmonton",65,39,40,0,11,0,1,156,317
48012,"Edmonton Centre/Edmonton-Centre"," 136","Edmonton",82,70,62,1,9,0,0,224,363
48012,"Edmonton Centre/Edmonton-Centre"," 137","Edmonton",34,50,41,1,9,1,0,136,369
48012,"Edmonton Centre/Edmonton-Centre"," 138","Edmonton",37,44,40,0,7,1,0,129,289
48012,"Edmonton Centre/Edmonton-Centre"," 139","Edmonton",40,80,38,0,15,0,1,174,340
48012,"Edmonton Centre/Edmonton-Centre"," 140","Edmonton",64,64,45,0,10,0,0,183,362
48012,"Edmonton Centre/Edmonton-Centre"," 141","Edmonton",66,75,55,0,8,2,0,206,448
48012,"Edmonton Centre/Edmonton-Centre"," 142","Edmonton",74,69,50,0,9,3,1,206,398
48012,"Edmonton Centre/Edmonton-Centre"," 143","Edmonton",21,23,16,0,2,1,0,63,144
48012,"Edmonton Centre/Edmonton-Centre"," 143-1","Edmonton",25,28,14,0,5,0,2,74,187
48012,"Edmonton Centre/Edmonton-Centre"," 143-2","Edmonton",19,33,20,0,3,0,1,76,197
48012,"Edmonton Centre/Edmonton-Centre"," 143-3","Edmonton",12,7,16,0,0,0,0,35,89
48012,"Edmonton Centre/Edmonton-Centre"," 144","Edmonton",56,54,56,0,4,1,0,171,373
48012,"Edmonton Centre/Edmonton-Centre"," 145","Edmonton",52,62,55,1,9,1,1,181,425
48012,"Edmonton Centre/Edmonton-Centre"," 146","Edmonton",56,65,47,0,12,3,0,183,318
48012,"Edmonton Centre/Edmonton-Centre"," 147","Edmonton",68,88,91,1,6,1,0,255,469
48012,"Edmonton Centre/Edmonton-Centre"," 148","Edmonton",152,110,105,0,16,0,0,383,524
48012,"Edmonton Centre/Edmonton-Centre"," 149","Edmonton",28,47,36,0,6,3,0,120,223
48012,"Edmonton Centre/Edmonton-Centre"," 150","Edmonton",19,13,19,0,1,1,0,53,138
48012,"Edmonton Centre/Edmonton-Centre"," 151","Edmonton",50,74,63,0,4,0,0,191,385
48012,"Edmonton Centre/Edmonton-Centre"," 151-1","Edmonton",49,62,27,0,7,2,1,148,249
48012,"Edmonton Centre/Edmonton-Centre"," 151-2","Edmonton",34,50,41,0,2,1,0,128,259
48012,"Edmonton Centre/Edmonton-Centre"," 152","Edmonton",51,35,34,0,8,1,0,129,185
48012,"Edmonton Centre/Edmonton-Centre"," 153","Edmonton",40,47,46,2,3,1,0,139,299
48012,"Edmonton Centre/Edmonton-Centre"," 153-1","Edmonton",17,11,12,0,5,0,0,45,122
48012,"Edmonton Centre/Edmonton-Centre"," 154","Edmonton",25,48,54,0,7,0,0,134,294
48012,"Edmonton Centre/Edmonton-Centre"," 154-1","Edmonton",16,17,18,0,4,0,0,55,131
48012,"Edmonton Centre/Edmonton-Centre"," 155","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 156A","Edmonton",60,40,41,1,11,0,2,155,259
48012,"Edmonton Centre/Edmonton-Centre"," 156B","Edmonton",42,74,46,2,3,0,2,169,193
48012,"Edmonton Centre/Edmonton-Centre"," 157","Edmonton",68,73,47,1,7,1,0,197,531
48012,"Edmonton Centre/Edmonton-Centre"," 158","Edmonton",31,25,16,0,7,0,0,79,183
48012,"Edmonton Centre/Edmonton-Centre"," 158-1","Edmonton",31,30,15,0,2,0,0,78,194
48012,"Edmonton Centre/Edmonton-Centre"," 159","Edmonton",71,68,50,1,4,2,1,197,313
48012,"Edmonton Centre/Edmonton-Centre"," 160","Edmonton",18,32,18,0,1,0,0,69,261
48012,"Edmonton Centre/Edmonton-Centre"," 160-1","Edmonton",51,84,57,0,9,1,0,202,305
48012,"Edmonton Centre/Edmonton-Centre"," 160-2","Edmonton",51,50,52,0,7,2,1,163,332
48012,"Edmonton Centre/Edmonton-Centre"," 161","Edmonton",52,65,47,0,11,3,0,178,293
48012,"Edmonton Centre/Edmonton-Centre"," 161-1","Edmonton",47,52,25,0,6,1,1,132,287
48012,"Edmonton Centre/Edmonton-Centre"," 162","Edmonton",51,50,52,0,7,2,0,162,287
48012,"Edmonton Centre/Edmonton-Centre"," 163","Edmonton",86,79,78,0,7,7,1,258,540
48012,"Edmonton Centre/Edmonton-Centre"," 164","Edmonton",50,39,20,1,7,0,1,118,231
48012,"Edmonton Centre/Edmonton-Centre"," 165","Edmonton",80,45,33,0,14,3,0,175,389
48012,"Edmonton Centre/Edmonton-Centre"," 166","Edmonton",60,107,104,0,7,1,1,280,496
48012,"Edmonton Centre/Edmonton-Centre"," 167","Edmonton",38,100,18,1,5,1,0,163,372
48012,"Edmonton Centre/Edmonton-Centre"," 168","Edmonton",58,133,32,0,0,0,0,223,388
48012,"Edmonton Centre/Edmonton-Centre"," 169","Edmonton",41,155,47,1,2,2,0,248,522
48012,"Edmonton Centre/Edmonton-Centre"," 170","Edmonton",14,22,7,0,5,0,0,48,243
48012,"Edmonton Centre/Edmonton-Centre"," 171","Edmonton",43,141,20,0,10,1,1,216,410
48012,"Edmonton Centre/Edmonton-Centre"," 172","Edmonton",36,89,6,0,10,1,0,142,390
48012,"Edmonton Centre/Edmonton-Centre"," 173","Edmonton",41,59,16,0,5,2,2,125,344
48012,"Edmonton Centre/Edmonton-Centre"," 174","Edmonton",36,71,16,0,1,0,0,124,379
48012,"Edmonton Centre/Edmonton-Centre"," 175","Edmonton",41,105,27,1,3,2,0,179,455
48012,"Edmonton Centre/Edmonton-Centre"," 176","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 177","Edmonton",38,65,19,0,3,1,0,126,452
48012,"Edmonton Centre/Edmonton-Centre"," 178","Edmonton",30,70,10,1,1,0,0,112,399
48012,"Edmonton Centre/Edmonton-Centre"," 179","Edmonton",44,94,15,1,6,2,0,162,410
48012,"Edmonton Centre/Edmonton-Centre"," 180","Edmonton",29,66,12,0,6,1,1,115,279
48012,"Edmonton Centre/Edmonton-Centre"," 181","Edmonton",32,169,82,0,6,0,0,289,464
48012,"Edmonton Centre/Edmonton-Centre"," 182","Edmonton",33,114,60,0,12,1,0,220,413
48012,"Edmonton Centre/Edmonton-Centre"," 183","Edmonton",38,130,60,0,8,1,0,237,428
48012,"Edmonton Centre/Edmonton-Centre"," 184","Edmonton",41,121,90,0,14,3,2,271,429
48012,"Edmonton Centre/Edmonton-Centre"," 185","Edmonton",44,68,23,0,6,1,0,142,379
48012,"Edmonton Centre/Edmonton-Centre"," 186","Edmonton",59,111,21,1,5,1,1,199,457
48012,"Edmonton Centre/Edmonton-Centre"," 187","Edmonton",40,118,13,0,5,1,0,177,311
48012,"Edmonton Centre/Edmonton-Centre"," 188","Edmonton",57,126,23,0,7,1,0,214,444
48012,"Edmonton Centre/Edmonton-Centre"," 189","Edmonton",28,110,8,0,5,3,0,154,365
48012,"Edmonton Centre/Edmonton-Centre"," 190","Edmonton",46,143,74,0,16,1,0,280,455
48012,"Edmonton Centre/Edmonton-Centre"," 191","Edmonton",15,112,84,1,4,0,0,216,374
48012,"Edmonton Centre/Edmonton-Centre"," 192","Edmonton",25,129,73,1,6,1,2,237,384
48012,"Edmonton Centre/Edmonton-Centre"," 193","Edmonton",29,144,41,0,4,0,1,219,339
48012,"Edmonton Centre/Edmonton-Centre"," 194","Edmonton",29,144,41,0,4,0,1,219,389
48012,"Edmonton Centre/Edmonton-Centre"," 195","Edmonton",49,175,38,0,10,3,1,276,478
48012,"Edmonton Centre/Edmonton-Centre"," 196","Edmonton",36,127,42,0,2,2,1,210,382
48012,"Edmonton Centre/Edmonton-Centre"," 197","Edmonton",49,126,36,0,5,5,0,221,476
48012,"Edmonton Centre/Edmonton-Centre"," 198","Edmonton",16,113,29,0,2,0,0,160,321
48012,"Edmonton Centre/Edmonton-Centre"," 199","Edmonton",73,138,37,0,12,1,1,262,505
48012,"Edmonton Centre/Edmonton-Centre"," 200","Edmonton",42,109,21,0,8,1,2,183,380
48012,"Edmonton Centre/Edmonton-Centre"," 201","Edmonton",24,41,25,2,5,0,0,97,244
48012,"Edmonton Centre/Edmonton-Centre"," 202","Edmonton",13,62,16,0,2,0,0,93,325
48012,"Edmonton Centre/Edmonton-Centre"," 203","Edmonton",39,49,17,2,1,0,0,108,380
48012,"Edmonton Centre/Edmonton-Centre"," 204","Edmonton",70,44,17,0,6,1,1,139,352
48012,"Edmonton Centre/Edmonton-Centre"," 205","Edmonton",41,133,17,0,4,0,2,197,357
48012,"Edmonton Centre/Edmonton-Centre"," 206","Edmonton",36,132,37,0,10,1,2,218,367
48012,"Edmonton Centre/Edmonton-Centre"," 207","Edmonton",50,173,31,0,7,0,1,262,470
48012,"Edmonton Centre/Edmonton-Centre"," 208","Edmonton",30,103,30,2,4,2,0,171,307
48012,"Edmonton Centre/Edmonton-Centre"," 209","Edmonton",40,94,32,0,9,2,1,178,380
48012,"Edmonton Centre/Edmonton-Centre"," 210","Edmonton",18,33,13,0,3,0,0,67,249
48012,"Edmonton Centre/Edmonton-Centre"," 211","Edmonton",33,54,15,0,4,0,0,106,317
48012,"Edmonton Centre/Edmonton-Centre"," 212","Edmonton",33,131,39,1,7,0,0,211,365
48012,"Edmonton Centre/Edmonton-Centre"," 213","Edmonton",46,130,44,0,13,1,0,234,408
48012,"Edmonton Centre/Edmonton-Centre"," 214","Edmonton",68,151,63,0,10,0,1,293,453
48012,"Edmonton Centre/Edmonton-Centre"," 215","Edmonton",26,95,61,0,8,1,1,192,410
48012,"Edmonton Centre/Edmonton-Centre"," 216","Edmonton",32,147,70,0,11,0,0,260,402
48012,"Edmonton Centre/Edmonton-Centre"," 217","Edmonton",31,77,18,0,5,0,0,131,350
48012,"Edmonton Centre/Edmonton-Centre"," 218","Edmonton",32,143,93,0,4,0,0,272,395
48012,"Edmonton Centre/Edmonton-Centre"," 219","Edmonton",54,146,89,0,9,3,0,301,452
48012,"Edmonton Centre/Edmonton-Centre"," 220","Edmonton",23,128,74,0,12,0,0,237,455
48012,"Edmonton Centre/Edmonton-Centre"," 221","Edmonton",16,122,106,0,2,1,0,247,396
48012,"Edmonton Centre/Edmonton-Centre"," 222","Edmonton",28,164,100,0,4,0,1,297,461
48012,"Edmonton Centre/Edmonton-Centre"," 223","Edmonton",29,144,108,0,3,0,1,285,423
48012,"Edmonton Centre/Edmonton-Centre"," 400","Edmonton",61,199,39,0,3,0,1,303,417
48012,"Edmonton Centre/Edmonton-Centre"," 401","Edmonton",34,118,28,1,1,1,2,185,254
48012,"Edmonton Centre/Edmonton-Centre"," 402","Edmonton",Merged with No. 410/Fusionné avec le nº 410,,,,,,,,127
48012,"Edmonton Centre/Edmonton-Centre"," 403","Edmonton",Merged with No. 410/Fusionné avec le nº 410,,,,,,,,10
48012,"Edmonton Centre/Edmonton-Centre"," 404","Edmonton",Merged with No. 410/Fusionné avec le nº 410,,,,,,,,42
48012,"Edmonton Centre/Edmonton-Centre"," 405","Edmonton",Merged with No. 156B/Fusionné avec le nº 156B,,,,,,,,155
48012,"Edmonton Centre/Edmonton-Centre"," 406","Edmonton",16,7,9,0,1,1,0,34,111
48012,"Edmonton Centre/Edmonton-Centre"," 407","Edmonton",45,33,32,0,6,1,0,117,203
48012,"Edmonton Centre/Edmonton-Centre"," 408","Edmonton",5,28,16,0,0,0,0,49,113
48012,"Edmonton Centre/Edmonton-Centre"," 409","Edmonton",Merged with No. 136/Fusionné avec le nº 136,,,,,,,,122
48012,"Edmonton Centre/Edmonton-Centre"," 410","Edmonton",16,47,23,1,4,1,1,93,143
48012,"Edmonton Centre/Edmonton-Centre"," 411","Edmonton",48,51,38,2,3,1,0,143,166
48012,"Edmonton Centre/Edmonton-Centre"," 412","Edmonton",Merged with No. 411/Fusionné avec le nº 411,,,,,,,,132
48012,"Edmonton Centre/Edmonton-Centre"," 413","Edmonton",33,56,51,0,3,0,0,143,168
48012,"Edmonton Centre/Edmonton-Centre"," 414","Edmonton",Merged with No. 413/Fusionné avec le nº 413,,,,,,,,130
48012,"Edmonton Centre/Edmonton-Centre"," 415","Edmonton",Merged with No. 406/Fusionné avec le nº 406,,,,,,,,36
48012,"Edmonton Centre/Edmonton-Centre"," 416","Edmonton",Merged with No. 162/Fusionné avec le nº 162,,,,,,,,65
48012,"Edmonton Centre/Edmonton-Centre"," 417","Edmonton",20,25,23,0,4,0,0,72,163
48012,"Edmonton Centre/Edmonton-Centre"," 418","Edmonton",8,22,4,0,1,0,0,35,149
48012,"Edmonton Centre/Edmonton-Centre"," 500","Mobile poll/Bureau itinérant",20,74,20,0,4,1,1,120,155
48012,"Edmonton Centre/Edmonton-Centre"," 501","Mobile poll/Bureau itinérant",44,155,40,2,4,7,2,254,342
48012,"Edmonton Centre/Edmonton-Centre"," 502","Mobile poll/Bureau itinérant",21,147,37,2,3,0,1,211,285
48012,"Edmonton Centre/Edmonton-Centre"," 503","Mobile poll/Bureau itinérant",32,68,10,2,3,0,2,117,136
48012,"Edmonton Centre/Edmonton-Centre"," 504","Mobile poll/Bureau itinérant",31,105,14,1,2,0,0,153,228
48012,"Edmonton Centre/Edmonton-Centre"," 505","Mobile poll/Bureau itinérant",27,151,62,0,1,0,4,245,317
48012,"Edmonton Centre/Edmonton-Centre"," 506","Mobile poll/Bureau itinérant",9,43,31,0,1,0,1,85,212
