Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Aitchison,Brent Bush,Bill Green,Mark Shmigelsky,David Wilks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Kootenay--Columbia/Kootenay--Columbia"," 18","Moberly",9,1,24,85,131,1,251,500
59012,"Kootenay--Columbia/Kootenay--Columbia"," 19","Golden",1,5,13,33,59,0,111,307
59012,"Kootenay--Columbia/Kootenay--Columbia"," 20","Golden",12,1,9,59,78,3,162,327
59012,"Kootenay--Columbia/Kootenay--Columbia"," 21","Golden",5,1,6,70,53,1,136,335
59012,"Kootenay--Columbia/Kootenay--Columbia"," 21-1","Golden",10,4,12,91,53,0,170,346
59012,"Kootenay--Columbia/Kootenay--Columbia"," 22","Golden",10,1,16,70,66,1,164,343
59012,"Kootenay--Columbia/Kootenay--Columbia"," 23","Golden",8,6,11,84,73,0,182,388
59012,"Kootenay--Columbia/Kootenay--Columbia"," 24","Golden",3,4,8,63,76,1,155,304
59012,"Kootenay--Columbia/Kootenay--Columbia"," 25","Golden",6,0,28,71,93,0,198,387
59012,"Kootenay--Columbia/Kootenay--Columbia"," 26","Golden",8,3,11,60,101,0,183,422
59012,"Kootenay--Columbia/Kootenay--Columbia"," 26-1","Golden",Void/Supprimé,,,,,,,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 27","Glenogle",6,5,9,45,63,0,128,263
59012,"Kootenay--Columbia/Kootenay--Columbia"," 28","Yoho",10,0,8,56,12,0,86,142
59012,"Kootenay--Columbia/Kootenay--Columbia"," 29","Parson",5,6,7,32,110,0,160,216
59012,"Kootenay--Columbia/Kootenay--Columbia"," 30","Edgewood",4,4,22,109,54,0,193,310
59012,"Kootenay--Columbia/Kootenay--Columbia"," 31","Fauquier",5,2,20,43,36,0,106,170
59012,"Kootenay--Columbia/Kootenay--Columbia"," 32","Burton",5,2,12,95,94,0,208,319
59012,"Kootenay--Columbia/Kootenay--Columbia"," 33","Brouse",4,5,20,86,102,1,218,440
59012,"Kootenay--Columbia/Kootenay--Columbia"," 34","Nakusp",7,1,10,47,46,1,112,205
59012,"Kootenay--Columbia/Kootenay--Columbia"," 35","Nakusp",16,4,13,81,92,0,206,384
59012,"Kootenay--Columbia/Kootenay--Columbia"," 36","Nakusp",13,3,19,90,111,0,236,436
59012,"Kootenay--Columbia/Kootenay--Columbia"," 37","Nakusp",15,4,18,80,100,0,217,386
59012,"Kootenay--Columbia/Kootenay--Columbia"," 38","Beaton",2,1,4,23,11,0,41,60
59012,"Kootenay--Columbia/Kootenay--Columbia"," 39","Meadow Creek",7,3,24,43,62,0,139,193
59012,"Kootenay--Columbia/Kootenay--Columbia"," 40","Brisco",3,0,9,50,58,2,122,205
59012,"Kootenay--Columbia/Kootenay--Columbia"," 41","Dry Gulch",4,4,11,63,68,1,151,296
59012,"Kootenay--Columbia/Kootenay--Columbia"," 42","Edgewater",5,4,13,130,130,0,282,496
59012,"Kootenay--Columbia/Kootenay--Columbia"," 43A","Radium Hot Springs",6,1,6,56,84,0,153,301
59012,"Kootenay--Columbia/Kootenay--Columbia"," 43B","Radium Hot Springs",8,0,8,61,82,0,159,299
59012,"Kootenay--Columbia/Kootenay--Columbia"," 44","Panorama",11,2,20,120,105,0,258,509
59012,"Kootenay--Columbia/Kootenay--Columbia"," 45","Shuswap",1,2,10,23,44,0,80,128
59012,"Kootenay--Columbia/Kootenay--Columbia"," 46","Invermere",5,6,17,109,93,1,231,425
59012,"Kootenay--Columbia/Kootenay--Columbia"," 47","Invermere",6,2,17,157,167,1,350,557
59012,"Kootenay--Columbia/Kootenay--Columbia"," 47-1","Panorama",5,5,7,95,88,2,202,310
59012,"Kootenay--Columbia/Kootenay--Columbia"," 48","Invermere",8,2,13,111,73,1,208,422
59012,"Kootenay--Columbia/Kootenay--Columbia"," 49A","Invermere",7,2,13,90,71,0,183,325
59012,"Kootenay--Columbia/Kootenay--Columbia"," 49B","Invermere",7,3,11,78,85,0,184,237
59012,"Kootenay--Columbia/Kootenay--Columbia"," 49-1","Invermere",Merged with No. 49B/Fusionné avec le nº 49B,,,,,,,102
59012,"Kootenay--Columbia/Kootenay--Columbia"," 50","Windermere",4,3,6,58,92,1,164,338
59012,"Kootenay--Columbia/Kootenay--Columbia"," 51","Windermere",8,4,11,111,123,0,257,419
59012,"Kootenay--Columbia/Kootenay--Columbia"," 52","Akisqnuk",0,2,8,29,8,0,47,94
59012,"Kootenay--Columbia/Kootenay--Columbia"," 53","Fairmont",5,2,16,66,102,0,191,327
59012,"Kootenay--Columbia/Kootenay--Columbia"," 53-1","Fairmont",7,2,13,55,166,0,243,395
59012,"Kootenay--Columbia/Kootenay--Columbia"," 54A","Canal Flats",2,2,7,53,102,0,166,300
59012,"Kootenay--Columbia/Kootenay--Columbia"," 54B","Canal Flats",5,0,8,36,103,0,152,280
59012,"Kootenay--Columbia/Kootenay--Columbia"," 55","Meadowbrook",8,3,24,79,139,0,253,439
59012,"Kootenay--Columbia/Kootenay--Columbia"," 56","Wasa",11,2,25,77,165,1,281,515
59012,"Kootenay--Columbia/Kootenay--Columbia"," 57","Skookumchuck",2,0,3,8,33,0,46,81
59012,"Kootenay--Columbia/Kootenay--Columbia"," 58","Elk Prairie",0,0,0,9,59,0,68,159
59012,"Kootenay--Columbia/Kootenay--Columbia"," 59","Elkford",4,0,6,44,92,1,147,320
59012,"Kootenay--Columbia/Kootenay--Columbia"," 60","Elkford",5,3,8,53,142,1,212,420
59012,"Kootenay--Columbia/Kootenay--Columbia"," 61","Elkford",5,5,2,34,105,0,151,286
59012,"Kootenay--Columbia/Kootenay--Columbia"," 62","Elkford",6,2,9,48,134,0,199,406
59012,"Kootenay--Columbia/Kootenay--Columbia"," 63","Elkford",3,2,6,41,148,0,200,370
59012,"Kootenay--Columbia/Kootenay--Columbia"," 64","Sparwood",0,0,4,41,159,1,205,401
59012,"Kootenay--Columbia/Kootenay--Columbia"," 65","Sparwood",6,1,7,28,146,0,188,361
59012,"Kootenay--Columbia/Kootenay--Columbia"," 66","Sparwood",2,1,6,25,114,0,148,308
59012,"Kootenay--Columbia/Kootenay--Columbia"," 66-1","Sparwood",4,3,4,49,118,1,179,441
59012,"Kootenay--Columbia/Kootenay--Columbia"," 67","Sparwood",4,1,5,27,116,0,153,325
59012,"Kootenay--Columbia/Kootenay--Columbia"," 68","Sparwood",9,1,6,37,166,0,219,405
59012,"Kootenay--Columbia/Kootenay--Columbia"," 69","Sparwood",6,2,3,40,125,1,177,358
59012,"Kootenay--Columbia/Kootenay--Columbia"," 70","Sparwood",7,1,3,45,152,1,209,365
59012,"Kootenay--Columbia/Kootenay--Columbia"," 71","Hosmer",10,4,14,47,135,3,213,363
59012,"Kootenay--Columbia/Kootenay--Columbia"," 72","Fernie Ski Hill--Cokato",9,0,14,63,116,1,203,430
59012,"Kootenay--Columbia/Kootenay--Columbia"," 73","Fernie",5,3,21,65,104,0,198,408
59012,"Kootenay--Columbia/Kootenay--Columbia"," 74","Fernie",12,3,2,54,123,0,194,313
59012,"Kootenay--Columbia/Kootenay--Columbia"," 74-1","Fernie",5,2,18,68,107,1,201,418
59012,"Kootenay--Columbia/Kootenay--Columbia"," 75","Fernie",13,1,14,74,120,0,222,413
59012,"Kootenay--Columbia/Kootenay--Columbia"," 76","Fernie",8,4,9,73,120,2,216,388
59012,"Kootenay--Columbia/Kootenay--Columbia"," 77","Fernie",11,6,19,73,96,2,207,393
59012,"Kootenay--Columbia/Kootenay--Columbia"," 78","Fernie",7,4,24,74,85,1,195,384
59012,"Kootenay--Columbia/Kootenay--Columbia"," 79","Fernie",16,3,26,84,119,2,250,419
59012,"Kootenay--Columbia/Kootenay--Columbia"," 80","Fernie",7,1,12,58,97,0,175,354
59012,"Kootenay--Columbia/Kootenay--Columbia"," 81","West Fernie",2,1,10,36,67,0,116,241
59012,"Kootenay--Columbia/Kootenay--Columbia"," 82","Fort Steele",7,0,6,26,87,0,126,188
59012,"Kootenay--Columbia/Kootenay--Columbia"," 83","St. Marys",0,0,19,19,3,0,41,144
59012,"Kootenay--Columbia/Kootenay--Columbia"," 84","Idlewild",Merged with No. 92/Fusionné avec le nº 92,,,,,,,177
59012,"Kootenay--Columbia/Kootenay--Columbia"," 85","Gold Creek Northeast",5,1,14,58,163,1,242,472
59012,"Kootenay--Columbia/Kootenay--Columbia"," 86","Gold Creek Southwest",2,2,12,55,210,0,281,568
59012,"Kootenay--Columbia/Kootenay--Columbia"," 87","Moyie",8,1,4,38,111,0,162,260
59012,"Kootenay--Columbia/Kootenay--Columbia"," 88","Silver Creek--Hidden Valley",6,1,14,52,206,1,280,535
59012,"Kootenay--Columbia/Kootenay--Columbia"," 89","Jim Smith Lake",7,1,20,95,151,0,274,541
59012,"Kootenay--Columbia/Kootenay--Columbia"," 90","New Lake",7,2,14,45,161,0,229,436
59012,"Kootenay--Columbia/Kootenay--Columbia"," 91","Wycliffe",7,2,14,62,153,1,239,452
59012,"Kootenay--Columbia/Kootenay--Columbia"," 92","Standard Hill",9,3,8,53,146,0,219,282
59012,"Kootenay--Columbia/Kootenay--Columbia"," 93","Cranbrook",5,3,7,65,123,1,204,460
59012,"Kootenay--Columbia/Kootenay--Columbia"," 94","Cranbrook",1,3,16,84,99,3,206,463
59012,"Kootenay--Columbia/Kootenay--Columbia"," 95","Cranbrook",2,5,5,57,158,2,229,436
59012,"Kootenay--Columbia/Kootenay--Columbia"," 96","Cranbrook",3,2,9,73,159,0,246,475
59012,"Kootenay--Columbia/Kootenay--Columbia"," 97","Cranbrook",5,3,6,56,138,1,209,466
59012,"Kootenay--Columbia/Kootenay--Columbia"," 98","Cranbrook",7,6,15,89,113,1,231,444
59012,"Kootenay--Columbia/Kootenay--Columbia"," 99","Cranbrook",5,1,15,68,104,0,193,420
59012,"Kootenay--Columbia/Kootenay--Columbia"," 100","Cranbrook",8,1,8,70,153,0,240,432
59012,"Kootenay--Columbia/Kootenay--Columbia"," 101","Cranbrook",10,2,9,47,212,0,280,493
59012,"Kootenay--Columbia/Kootenay--Columbia"," 102","Cranbrook",2,1,8,64,123,0,198,385
59012,"Kootenay--Columbia/Kootenay--Columbia"," 102-1","Cranbrook",4,2,5,38,133,0,182,346
59012,"Kootenay--Columbia/Kootenay--Columbia"," 103","Cranbrook",6,2,5,62,99,1,175,394
59012,"Kootenay--Columbia/Kootenay--Columbia"," 104","Cranbrook",7,3,7,74,113,3,207,445
59012,"Kootenay--Columbia/Kootenay--Columbia"," 105","Cranbrook",6,2,7,51,106,1,173,378
59012,"Kootenay--Columbia/Kootenay--Columbia"," 106","Cranbrook",10,1,12,107,138,0,268,467
59012,"Kootenay--Columbia/Kootenay--Columbia"," 107","Cranbrook",9,3,15,55,160,0,242,449
59012,"Kootenay--Columbia/Kootenay--Columbia"," 108","Cranbrook",1,1,8,81,158,0,249,476
59012,"Kootenay--Columbia/Kootenay--Columbia"," 109","Cranbrook",5,1,13,56,125,0,200,405
59012,"Kootenay--Columbia/Kootenay--Columbia"," 110","Cranbrook",8,4,11,83,94,2,202,468
59012,"Kootenay--Columbia/Kootenay--Columbia"," 111","Cranbrook",9,3,14,59,82,0,167,391
59012,"Kootenay--Columbia/Kootenay--Columbia"," 112","Cranbrook",8,0,12,59,126,1,206,403
59012,"Kootenay--Columbia/Kootenay--Columbia"," 113","Cranbrook",4,1,15,62,111,1,194,447
59012,"Kootenay--Columbia/Kootenay--Columbia"," 114","Cranbrook",4,0,7,70,82,0,163,423
59012,"Kootenay--Columbia/Kootenay--Columbia"," 115","Cranbrook",Void/Supprimé,,,,,,,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 116","Cranbrook",6,4,10,52,96,1,169,368
59012,"Kootenay--Columbia/Kootenay--Columbia"," 117","Cranbrook",11,3,6,78,107,1,206,414
59012,"Kootenay--Columbia/Kootenay--Columbia"," 118","Cranbrook",4,3,10,75,103,1,196,440
59012,"Kootenay--Columbia/Kootenay--Columbia"," 119","Cranbrook",1,10,15,50,98,0,174,447
59012,"Kootenay--Columbia/Kootenay--Columbia"," 120","Cranbrook",4,4,4,65,135,0,212,514
59012,"Kootenay--Columbia/Kootenay--Columbia"," 121","Cranbrook",4,2,5,45,109,0,165,433
59012,"Kootenay--Columbia/Kootenay--Columbia"," 122","Cranbrook",Void/Supprimé,,,,,,,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 123A","Cranbrook",5,0,8,56,145,1,215,430
59012,"Kootenay--Columbia/Kootenay--Columbia"," 123B","Cranbrook",8,1,8,40,160,0,217,421
59012,"Kootenay--Columbia/Kootenay--Columbia"," 124","Cranbrook",8,1,6,35,80,0,130,287
59012,"Kootenay--Columbia/Kootenay--Columbia"," 124-1","Cranbrook",1,0,2,39,86,0,128,364
59012,"Kootenay--Columbia/Kootenay--Columbia"," 125","Kimberley",5,6,24,100,146,0,281,501
59012,"Kootenay--Columbia/Kootenay--Columbia"," 126","Kimberley",6,8,11,69,99,0,193,339
59012,"Kootenay--Columbia/Kootenay--Columbia"," 127","Kimberley",5,6,15,81,59,0,166,341
59012,"Kootenay--Columbia/Kootenay--Columbia"," 128","Kimberley",4,4,22,93,110,0,233,472
59012,"Kootenay--Columbia/Kootenay--Columbia"," 129","Kimberley",7,3,32,98,81,0,221,392
59012,"Kootenay--Columbia/Kootenay--Columbia"," 130","Kimberley",4,8,23,107,76,0,218,409
59012,"Kootenay--Columbia/Kootenay--Columbia"," 131","Kimberley",9,3,24,70,52,1,159,337
59012,"Kootenay--Columbia/Kootenay--Columbia"," 132","Kimberley",2,9,16,57,51,0,135,268
59012,"Kootenay--Columbia/Kootenay--Columbia"," 133","Kimberley",0,2,14,76,77,0,169,324
59012,"Kootenay--Columbia/Kootenay--Columbia"," 134","Kimberley",1,6,23,63,64,0,157,306
59012,"Kootenay--Columbia/Kootenay--Columbia"," 135","Kimberley",4,4,16,98,84,0,206,372
59012,"Kootenay--Columbia/Kootenay--Columbia"," 136","Porteous",6,3,10,30,78,0,127,210
59012,"Kootenay--Columbia/Kootenay--Columbia"," 137","Kimberley",1,6,13,73,115,0,208,365
59012,"Kootenay--Columbia/Kootenay--Columbia"," 138","Kimberley",8,6,22,91,137,1,265,475
59012,"Kootenay--Columbia/Kootenay--Columbia"," 139","Fortie's Corner",4,2,9,65,123,0,203,385
59012,"Kootenay--Columbia/Kootenay--Columbia"," 140","Riondel",11,4,14,96,71,1,197,270
59012,"Kootenay--Columbia/Kootenay--Columbia"," 141A","Crawford Bay",4,1,15,126,69,3,218,313
59012,"Kootenay--Columbia/Kootenay--Columbia"," 141B","Crawford Bay",6,2,17,139,83,2,249,335
59012,"Kootenay--Columbia/Kootenay--Columbia"," 141-1","Gray Creek",Void/Supprimé,,,,,,,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 142","Boswell",4,1,7,29,97,1,139,218
59012,"Kootenay--Columbia/Kootenay--Columbia"," 143","West Creston",0,4,17,76,149,2,248,398
59012,"Kootenay--Columbia/Kootenay--Columbia"," 144","Wynndel",4,4,7,77,118,0,210,339
59012,"Kootenay--Columbia/Kootenay--Columbia"," 145","Wynndel",3,1,21,48,118,1,192,334
59012,"Kootenay--Columbia/Kootenay--Columbia"," 145-1","Creston Area C",2,2,9,50,109,1,173,330
59012,"Kootenay--Columbia/Kootenay--Columbia"," 145-2","Lower Kootenay",0,0,0,15,2,0,17,39
59012,"Kootenay--Columbia/Kootenay--Columbia"," 146","Lister",10,0,18,68,169,1,266,461
59012,"Kootenay--Columbia/Kootenay--Columbia"," 147","Canyon",5,0,15,71,182,0,273,472
59012,"Kootenay--Columbia/Kootenay--Columbia"," 148","Erickson",3,1,2,59,129,0,194,384
59012,"Kootenay--Columbia/Kootenay--Columbia"," 149","Goatfell",2,0,4,35,73,0,114,272
59012,"Kootenay--Columbia/Kootenay--Columbia"," 150","Canyon",4,1,16,49,110,0,180,319
59012,"Kootenay--Columbia/Kootenay--Columbia"," 151","Arrow Creek",4,0,6,70,110,0,190,400
59012,"Kootenay--Columbia/Kootenay--Columbia"," 152","Yahk",4,0,8,44,116,1,173,324
59012,"Kootenay--Columbia/Kootenay--Columbia"," 153","Creston",5,2,9,47,132,0,195,409
59012,"Kootenay--Columbia/Kootenay--Columbia"," 153-1","Creston",4,1,8,53,124,0,190,364
59012,"Kootenay--Columbia/Kootenay--Columbia"," 154","Creston",2,0,20,73,85,1,181,390
59012,"Kootenay--Columbia/Kootenay--Columbia"," 155","Creston",7,0,7,76,141,0,231,442
59012,"Kootenay--Columbia/Kootenay--Columbia"," 156","Creston",8,0,16,58,102,0,184,388
59012,"Kootenay--Columbia/Kootenay--Columbia"," 157","Creston",8,0,5,70,142,1,226,475
59012,"Kootenay--Columbia/Kootenay--Columbia"," 158","Creston",4,2,10,64,98,0,178,387
59012,"Kootenay--Columbia/Kootenay--Columbia"," 159","Creston",7,1,7,65,128,0,208,451
59012,"Kootenay--Columbia/Kootenay--Columbia"," 160","Creston",5,2,8,81,134,1,231,444
59012,"Kootenay--Columbia/Kootenay--Columbia"," 161","Creston",11,1,18,57,115,1,203,384
59012,"Kootenay--Columbia/Kootenay--Columbia"," 162","Erickson",6,1,15,42,117,1,182,392
59012,"Kootenay--Columbia/Kootenay--Columbia"," 163","Erickson",1,2,6,35,92,2,138,268
59012,"Kootenay--Columbia/Kootenay--Columbia"," 164","Wardner",2,0,6,38,162,1,209,339
59012,"Kootenay--Columbia/Kootenay--Columbia"," 165","Jaffray",2,1,6,33,130,1,173,288
59012,"Kootenay--Columbia/Kootenay--Columbia"," 166","Galloway",2,1,8,39,175,2,227,382
59012,"Kootenay--Columbia/Kootenay--Columbia"," 167","Elko",7,2,4,38,88,0,139,233
59012,"Kootenay--Columbia/Kootenay--Columbia"," 168","Baynes Lake",5,0,3,25,145,0,178,314
59012,"Kootenay--Columbia/Kootenay--Columbia"," 169","Grasmere",3,1,3,14,58,0,79,150
59012,"Kootenay--Columbia/Kootenay--Columbia"," 170","Tobacco Plains 2",1,2,4,9,4,0,20,45
59012,"Kootenay--Columbia/Kootenay--Columbia"," 400","Cranbrook",16,3,5,35,72,3,134,212
59012,"Kootenay--Columbia/Kootenay--Columbia"," 500","Mobile poll/Bureau itinérant",5,2,3,16,18,0,44,111
59012,"Kootenay--Columbia/Kootenay--Columbia"," 501A","Mobile poll/Bureau itinérant",9,10,4,46,59,4,132,214
59012,"Kootenay--Columbia/Kootenay--Columbia"," 501B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,57
59012,"Kootenay--Columbia/Kootenay--Columbia"," 502","Mobile poll/Bureau itinérant",5,5,2,35,60,0,107,128
59012,"Kootenay--Columbia/Kootenay--Columbia"," 503","Mobile poll/Bureau itinérant",9,2,1,16,27,3,58,125
59012,"Kootenay--Columbia/Kootenay--Columbia"," 504","Mobile poll/Bureau itinérant",9,1,4,17,61,2,94,189
59012,"Kootenay--Columbia/Kootenay--Columbia"," 505","Mobile poll/Bureau itinérant",8,4,0,20,37,0,69,105
59012,"Kootenay--Columbia/Kootenay--Columbia"," 600","Revelstoke",10,8,24,135,125,0,302,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 601","Revelstoke",23,4,24,178,133,4,366,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 602","Golden",33,14,39,221,234,4,545,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 603","Nakusp",11,1,14,72,118,0,216,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 604","Invermere",14,3,11,170,251,2,451,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 605","Wasa--Canal Flats",3,1,4,33,67,0,108,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 606","Sparwood",7,1,3,53,258,0,322,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 607","Elkford",10,1,4,37,172,1,225,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 608","Fernie & area",32,4,30,156,286,2,510,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 609","Cranbrook",16,10,19,115,284,2,446,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 610","Cranbrook",22,11,10,168,436,1,648,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 611","Cranbrook",23,15,15,181,324,0,558,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 612","Cranbrook",24,8,11,138,417,0,598,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 613","Kimberley",18,47,33,112,155,1,366,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 614","Kimberley",9,30,21,97,177,0,334,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 615","Creston",11,1,13,87,173,0,285,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 616","Creston",15,4,16,106,221,1,363,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 617","Creston",12,3,19,133,314,0,481,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 618","Jaffray & area",0,1,0,28,98,0,127,
59012,"Kootenay--Columbia/Kootenay--Columbia",,Group 1/Groupe 1,22,2,8,9,45,1,87,147
59012,"Kootenay--Columbia/Kootenay--Columbia",,Group 2/Groupe 2,28,14,41,172,369,12,636,
