Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julian Fantino,Mario Ferri,Mark Pratt,Claudia Rodriguez-Larrain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 104","Vaughan",67,45,34,2,0,148,350
35096,"Vaughan/Vaughan"," 105","Vaughan",111,51,29,2,5,198,437
35096,"Vaughan/Vaughan"," 106","Vaughan",106,92,40,7,2,247,498
35096,"Vaughan/Vaughan"," 107","Vaughan",121,59,30,5,1,216,502
35096,"Vaughan/Vaughan"," 108","Vaughan",115,84,28,6,1,234,565
35096,"Vaughan/Vaughan"," 109","Vaughan",151,85,26,2,2,266,554
35096,"Vaughan/Vaughan"," 110","Vaughan",114,73,55,3,2,247,422
35096,"Vaughan/Vaughan"," 111","Vaughan",136,97,68,4,7,312,588
35096,"Vaughan/Vaughan"," 112","Vaughan",63,72,33,5,1,174,346
35096,"Vaughan/Vaughan"," 113","Vaughan",109,64,62,5,2,242,475
35096,"Vaughan/Vaughan"," 114","Vaughan",142,103,57,6,2,310,640
35096,"Vaughan/Vaughan"," 115","Vaughan",89,57,36,8,2,192,419
35096,"Vaughan/Vaughan"," 116","Vaughan",170,118,32,5,0,325,560
35096,"Vaughan/Vaughan"," 117","Vaughan",160,84,33,6,0,283,500
35096,"Vaughan/Vaughan"," 118","Vaughan",157,78,45,8,2,290,528
35096,"Vaughan/Vaughan"," 119","Vaughan",100,52,41,3,1,197,461
35096,"Vaughan/Vaughan"," 120","Vaughan",70,71,47,6,0,194,405
35096,"Vaughan/Vaughan"," 121","Vaughan",116,77,30,10,1,234,413
35096,"Vaughan/Vaughan"," 122","Vaughan",123,77,47,12,6,265,530
35096,"Vaughan/Vaughan"," 123A","Vaughan",103,50,34,3,2,192,539
35096,"Vaughan/Vaughan"," 123B","Vaughan",122,67,42,6,0,237,556
35096,"Vaughan/Vaughan"," 124","Vaughan",154,82,19,7,1,263,537
35096,"Vaughan/Vaughan"," 125","Vaughan",177,136,18,3,14,348,487
35096,"Vaughan/Vaughan"," 126","Vaughan",153,111,29,6,3,302,572
35096,"Vaughan/Vaughan"," 127","Vaughan",152,106,32,8,3,301,546
35096,"Vaughan/Vaughan"," 128","Vaughan",179,114,24,9,2,328,582
35096,"Vaughan/Vaughan"," 129","Vaughan",181,77,20,5,0,283,522
35096,"Vaughan/Vaughan"," 130","Vaughan",140,65,22,9,3,239,432
35096,"Vaughan/Vaughan"," 131","Vaughan",163,69,35,13,5,285,502
35096,"Vaughan/Vaughan"," 132","Vaughan",125,78,29,6,3,241,507
35096,"Vaughan/Vaughan"," 133","Vaughan",141,90,27,6,2,266,494
35096,"Vaughan/Vaughan"," 134","Vaughan",147,105,41,11,0,304,541
35096,"Vaughan/Vaughan"," 135","Vaughan",132,114,39,4,3,292,517
35096,"Vaughan/Vaughan"," 136","Vaughan",172,124,20,9,1,326,527
35096,"Vaughan/Vaughan"," 137","Vaughan",108,89,29,1,2,229,391
35096,"Vaughan/Vaughan"," 138","Vaughan",139,92,28,9,1,269,496
35096,"Vaughan/Vaughan"," 139","Vaughan",132,102,17,6,2,259,464
35096,"Vaughan/Vaughan"," 140","Vaughan",69,77,55,5,5,211,386
35096,"Vaughan/Vaughan"," 141","Vaughan",166,74,56,5,3,304,729
35096,"Vaughan/Vaughan"," 142A","Vaughan",110,62,39,5,1,217,475
35096,"Vaughan/Vaughan"," 142B","Vaughan",122,66,37,5,2,232,493
35096,"Vaughan/Vaughan"," 143","Vaughan",109,73,29,3,3,217,556
35096,"Vaughan/Vaughan"," 144","Vaughan",136,67,51,11,2,267,642
35096,"Vaughan/Vaughan"," 145A","Vaughan",189,70,46,6,1,312,690
35096,"Vaughan/Vaughan"," 145B","Vaughan",164,62,51,7,1,285,581
35096,"Vaughan/Vaughan"," 146A","Vaughan",218,45,18,4,3,288,599
35096,"Vaughan/Vaughan"," 146B","Vaughan",189,65,41,3,1,299,635
35096,"Vaughan/Vaughan"," 146C","Vaughan",179,36,36,4,0,255,581
35096,"Vaughan/Vaughan"," 147A","Vaughan",180,34,18,2,2,236,511
35096,"Vaughan/Vaughan"," 147B","Vaughan",195,41,27,7,0,270,556
35096,"Vaughan/Vaughan"," 148","Vaughan",184,96,23,7,1,311,523
35096,"Vaughan/Vaughan"," 149","Vaughan",187,72,21,6,0,286,513
35096,"Vaughan/Vaughan"," 150","Vaughan",156,62,23,3,1,245,504
35096,"Vaughan/Vaughan"," 151","Vaughan",168,72,27,3,3,273,526
35096,"Vaughan/Vaughan"," 152","Vaughan",120,60,14,3,2,199,442
35096,"Vaughan/Vaughan"," 153","Vaughan",184,39,2,3,1,229,406
35096,"Vaughan/Vaughan"," 154","Vaughan",201,90,24,9,0,324,567
35096,"Vaughan/Vaughan"," 155","Vaughan",169,71,19,3,0,262,496
35096,"Vaughan/Vaughan"," 156","Vaughan",84,86,17,2,1,190,344
35096,"Vaughan/Vaughan"," 157","Vaughan",158,52,14,7,0,231,484
35096,"Vaughan/Vaughan"," 158","Vaughan",112,73,15,7,0,207,355
35096,"Vaughan/Vaughan"," 159","Vaughan",120,57,19,4,0,200,373
35096,"Vaughan/Vaughan"," 160","Vaughan",131,62,13,3,3,212,371
35096,"Vaughan/Vaughan"," 161","Vaughan",144,51,11,6,2,214,462
35096,"Vaughan/Vaughan"," 162","Vaughan",167,73,15,2,1,258,520
35096,"Vaughan/Vaughan"," 163","Vaughan",183,78,23,2,3,289,474
35096,"Vaughan/Vaughan"," 164","Vaughan",188,76,17,7,3,291,578
35096,"Vaughan/Vaughan"," 165","Vaughan",166,55,24,1,1,247,499
35096,"Vaughan/Vaughan"," 166","Vaughan",127,47,13,3,0,190,371
35096,"Vaughan/Vaughan"," 167","Vaughan",114,44,6,4,0,168,315
35096,"Vaughan/Vaughan"," 168","Vaughan",180,46,19,9,0,254,518
35096,"Vaughan/Vaughan"," 169","Vaughan",151,73,12,7,0,243,426
35096,"Vaughan/Vaughan"," 170","Vaughan",156,69,15,11,3,254,472
35096,"Vaughan/Vaughan"," 171","Vaughan",121,54,18,5,1,199,399
35096,"Vaughan/Vaughan"," 172","Vaughan",102,47,35,8,0,192,391
35096,"Vaughan/Vaughan"," 173","Vaughan",87,58,21,7,2,175,390
35096,"Vaughan/Vaughan"," 174","Vaughan",140,48,28,7,2,225,555
35096,"Vaughan/Vaughan"," 175","Vaughan",160,70,31,5,1,267,482
35096,"Vaughan/Vaughan"," 176","Vaughan",83,75,18,3,4,183,341
35096,"Vaughan/Vaughan"," 177","Vaughan",79,37,17,0,1,134,259
35096,"Vaughan/Vaughan"," 178","Vaughan",98,50,36,5,0,189,492
35096,"Vaughan/Vaughan"," 179","Vaughan",90,70,17,2,2,181,343
35096,"Vaughan/Vaughan"," 180","Vaughan",76,69,20,2,3,170,329
35096,"Vaughan/Vaughan"," 181","Vaughan",118,78,28,2,0,226,431
35096,"Vaughan/Vaughan"," 182","Vaughan",126,97,27,4,3,257,495
35096,"Vaughan/Vaughan"," 183","Vaughan",71,70,43,1,1,186,385
35096,"Vaughan/Vaughan"," 184","Vaughan",93,59,25,6,2,185,375
35096,"Vaughan/Vaughan"," 185","Vaughan",117,69,31,4,2,223,474
35096,"Vaughan/Vaughan"," 186","Vaughan",133,85,35,1,3,257,496
35096,"Vaughan/Vaughan"," 187","Vaughan",88,52,14,2,1,157,316
35096,"Vaughan/Vaughan"," 188","Vaughan",167,74,23,9,4,277,541
35096,"Vaughan/Vaughan"," 189","Vaughan",65,52,12,1,1,131,248
35096,"Vaughan/Vaughan"," 190","Vaughan",74,52,26,1,1,154,291
35096,"Vaughan/Vaughan"," 191","Vaughan",121,81,22,6,1,231,437
35096,"Vaughan/Vaughan"," 192","Vaughan",115,53,21,2,2,193,435
35096,"Vaughan/Vaughan"," 193","Vaughan",72,62,13,2,2,151,342
35096,"Vaughan/Vaughan"," 194","Vaughan",97,88,24,5,1,215,444
35096,"Vaughan/Vaughan"," 195","Vaughan",90,54,13,3,0,160,343
35096,"Vaughan/Vaughan"," 196","Vaughan",89,87,17,2,6,201,391
35096,"Vaughan/Vaughan"," 197","Vaughan",102,65,26,7,3,203,430
35096,"Vaughan/Vaughan"," 198","Vaughan",124,61,31,6,0,222,565
35096,"Vaughan/Vaughan"," 199","Vaughan",120,58,21,2,0,201,394
35096,"Vaughan/Vaughan"," 200","Vaughan",109,80,14,3,5,211,362
35096,"Vaughan/Vaughan"," 201","Vaughan",127,65,8,4,2,206,399
35096,"Vaughan/Vaughan"," 202","Vaughan",182,65,6,7,1,261,411
35096,"Vaughan/Vaughan"," 203","Vaughan",172,64,27,8,1,272,577
35096,"Vaughan/Vaughan"," 204","Vaughan",128,38,16,6,0,188,342
35096,"Vaughan/Vaughan"," 205","Vaughan",127,57,29,9,3,225,433
35096,"Vaughan/Vaughan"," 206","Vaughan",86,44,16,5,2,153,354
35096,"Vaughan/Vaughan"," 207","Vaughan",80,30,15,11,2,138,262
35096,"Vaughan/Vaughan"," 208","Vaughan",107,52,15,1,0,175,313
35096,"Vaughan/Vaughan"," 209","Vaughan",121,65,14,2,0,202,422
35096,"Vaughan/Vaughan"," 210","Vaughan",110,81,16,3,1,211,409
35096,"Vaughan/Vaughan"," 211","Vaughan",120,48,11,1,0,180,358
35096,"Vaughan/Vaughan"," 212","Vaughan",143,81,22,3,1,250,424
35096,"Vaughan/Vaughan"," 213","Vaughan",146,68,20,3,1,238,461
35096,"Vaughan/Vaughan"," 214","Vaughan",123,55,34,9,0,221,440
35096,"Vaughan/Vaughan"," 215","Vaughan",120,63,16,3,3,205,362
35096,"Vaughan/Vaughan"," 216","Vaughan",122,78,29,6,2,237,417
35096,"Vaughan/Vaughan"," 217","Vaughan",74,40,13,3,1,131,256
35096,"Vaughan/Vaughan"," 218","Vaughan",107,65,34,11,2,219,462
35096,"Vaughan/Vaughan"," 219","Vaughan",107,73,23,2,0,205,410
35096,"Vaughan/Vaughan"," 220","Vaughan",107,107,19,2,5,240,470
35096,"Vaughan/Vaughan"," 221","Vaughan",131,63,24,7,3,228,500
35096,"Vaughan/Vaughan"," 222","Vaughan",141,94,19,7,2,263,467
35096,"Vaughan/Vaughan"," 223","Vaughan",154,109,28,3,2,296,499
35096,"Vaughan/Vaughan"," 224","Vaughan",137,71,23,4,1,236,450
35096,"Vaughan/Vaughan"," 225","Vaughan",134,82,22,3,5,246,421
35096,"Vaughan/Vaughan"," 226","Vaughan",118,67,20,7,1,213,429
35096,"Vaughan/Vaughan"," 227","Vaughan",88,50,10,0,1,149,286
35096,"Vaughan/Vaughan"," 228","Vaughan",118,55,14,1,1,189,347
35096,"Vaughan/Vaughan"," 229","Vaughan",131,76,38,6,2,253,574
35096,"Vaughan/Vaughan"," 230","Vaughan",149,95,19,4,4,271,454
35096,"Vaughan/Vaughan"," 231","Vaughan",162,81,37,4,4,288,510
35096,"Vaughan/Vaughan"," 232","Vaughan",124,78,23,7,4,236,388
35096,"Vaughan/Vaughan"," 233","Vaughan",134,49,13,4,5,205,337
35096,"Vaughan/Vaughan"," 234","Vaughan",148,71,23,4,2,248,430
35096,"Vaughan/Vaughan"," 235","Vaughan",94,83,22,1,0,200,352
35096,"Vaughan/Vaughan"," 236","Vaughan",154,85,26,4,3,272,575
35096,"Vaughan/Vaughan"," 237","Vaughan",95,49,17,4,1,166,347
35096,"Vaughan/Vaughan"," 238","Vaughan",115,76,11,10,1,213,366
35096,"Vaughan/Vaughan"," 239","Vaughan",105,96,29,3,1,234,435
35096,"Vaughan/Vaughan"," 240","Vaughan",81,34,19,1,2,137,319
35096,"Vaughan/Vaughan"," 241","Vaughan",98,48,27,4,1,178,405
35096,"Vaughan/Vaughan"," 242","Vaughan",72,61,44,5,4,186,418
35096,"Vaughan/Vaughan"," 243","Vaughan",140,76,45,4,1,266,550
35096,"Vaughan/Vaughan"," 244","Vaughan",61,50,30,1,1,143,392
35096,"Vaughan/Vaughan"," 245","Vaughan",83,57,36,3,4,183,398
35096,"Vaughan/Vaughan"," 246","Vaughan",130,89,19,2,2,242,470
35096,"Vaughan/Vaughan"," 247","Vaughan",108,81,28,5,3,225,469
35096,"Vaughan/Vaughan"," 248A","Vaughan",45,37,30,7,1,120,268
35096,"Vaughan/Vaughan"," 248B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,130
35096,"Vaughan/Vaughan"," 249","Vaughan",147,62,35,12,1,257,555
35096,"Vaughan/Vaughan"," 250","Vaughan",64,44,12,5,0,125,255
35096,"Vaughan/Vaughan"," 251","Vaughan",90,36,17,4,0,147,321
35096,"Vaughan/Vaughan"," 252","Vaughan",141,79,30,5,1,256,573
35096,"Vaughan/Vaughan"," 253","Vaughan",90,31,7,3,7,138,253
35096,"Vaughan/Vaughan"," 500","Mobile poll/Bureau itinérant",56,58,15,3,6,138,118
35096,"Vaughan/Vaughan"," 501","Mobile poll/Bureau itinérant",14,22,7,1,0,44,86
35096,"Vaughan/Vaughan"," 502","Mobile poll/Bureau itinérant",49,17,1,1,1,69,124
35096,"Vaughan/Vaughan"," 600","Vaughan",380,202,28,11,3,624,
35096,"Vaughan/Vaughan"," 601","Vaughan",567,289,66,22,3,947,
35096,"Vaughan/Vaughan"," 602","Vaughan",408,103,24,4,0,539,
35096,"Vaughan/Vaughan"," 603","Vaughan",260,159,23,9,1,452,
35096,"Vaughan/Vaughan"," 604","Vaughan",436,278,58,16,12,800,
35096,"Vaughan/Vaughan"," 605","Vaughan",474,184,26,19,2,705,
35096,"Vaughan/Vaughan"," 606","Vaughan",219,188,34,4,4,449,
35096,"Vaughan/Vaughan"," 607","Vaughan",281,209,41,13,5,549,
35096,"Vaughan/Vaughan"," 608","Vaughan",367,239,37,11,2,656,
35096,"Vaughan/Vaughan"," 609","Vaughan",522,276,67,21,3,889,
35096,"Vaughan/Vaughan"," 610","Vaughan",329,177,41,7,0,554,
35096,"Vaughan/Vaughan"," 611","Vaughan",284,123,14,15,2,438,
35096,"Vaughan/Vaughan",,Group 1/Groupe 1,18,31,2,0,3,54,68
35096,"Vaughan/Vaughan",,Group 2/Groupe 2,107,84,8,9,1,209,
