Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Giulio Manfrini,George Okoth Otura,Judy Sgro,Arthur Smitherman,Unblind Kheper Keseb Efekh Tibbin,Audrey Walters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"York West/York-Ouest"," 138","North York",34,1,80,1,5,35,0,156,308
35106,"York West/York-Ouest"," 139","North York",36,2,74,0,1,32,0,145,275
35106,"York West/York-Ouest"," 140","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 141","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 142","North York",29,1,27,2,2,25,2,88,271
35106,"York West/York-Ouest"," 143","North York",33,0,43,1,1,31,0,109,347
35106,"York West/York-Ouest"," 144","North York",39,1,67,1,7,48,0,163,467
35106,"York West/York-Ouest"," 145","North York",20,0,45,0,0,31,1,97,217
35106,"York West/York-Ouest"," 400","Toronto",94,0,64,0,9,45,1,213,220
35106,"York West/York-Ouest"," 400-1","North York",Merged with No. 400/Fusionné avec le nº 400,,,,,,,,214
35106,"York West/York-Ouest"," 401","North York",61,1,42,0,5,29,1,139,319
35106,"York West/York-Ouest"," 402","Toronto",25,0,32,1,4,19,0,81,139
35106,"York West/York-Ouest"," 402-1","North York",41,0,25,0,2,16,1,85,190
35106,"York West/York-Ouest"," 403","North York",53,0,55,0,6,24,2,140,352
35106,"York West/York-Ouest"," 404","North York",36,2,66,0,2,4,2,112,206
35106,"York West/York-Ouest"," 404-1","North York",44,1,55,0,1,9,0,110,213
35106,"York West/York-Ouest"," 405","North York",37,1,52,0,0,14,1,105,285
35106,"York West/York-Ouest"," 406","North York",68,3,99,2,2,49,2,225,410
35106,"York West/York-Ouest"," 407","North York",28,0,42,1,3,14,6,94,317
35106,"York West/York-Ouest"," 408","North York",28,2,131,1,2,15,1,180,292
35106,"York West/York-Ouest"," 409","North York",30,0,93,1,1,17,1,143,302
35106,"York West/York-Ouest"," 410","North York",19,0,20,0,1,16,1,57,138
35106,"York West/York-Ouest"," 411","North York",20,1,28,2,1,15,1,68,203
35106,"York West/York-Ouest"," 412","North York",17,0,27,1,1,14,0,60,201
35106,"York West/York-Ouest"," 413","North York",19,0,25,0,1,10,0,55,136
35106,"York West/York-Ouest"," 414","North York",32,1,40,0,1,13,1,88,265
35106,"York West/York-Ouest"," 415","North York",41,0,31,1,0,18,2,93,229
35106,"York West/York-Ouest"," 416","North York",23,0,39,1,1,13,0,77,209
35106,"York West/York-Ouest"," 417","North York",12,0,33,2,0,1,0,48,184
35106,"York West/York-Ouest"," 418","North York",70,2,100,0,3,21,1,197,385
35106,"York West/York-Ouest"," 419","North York",41,3,49,1,2,32,0,128,410
35106,"York West/York-Ouest"," 420","North York",45,1,58,1,1,28,0,134,262
35106,"York West/York-Ouest"," 421","North York",50,1,21,1,1,4,1,79,232
35106,"York West/York-Ouest"," 422","North York",11,1,23,0,0,16,1,52,153
35106,"York West/York-Ouest"," 423","North York",14,1,25,2,1,14,0,57,120
35106,"York West/York-Ouest"," 424","North York",14,0,183,0,0,4,0,201,316
35106,"York West/York-Ouest"," 425","North York",39,0,50,0,1,24,0,114,320
35106,"York West/York-Ouest"," 500","Mobile poll/Bureau itinérant",29,2,41,5,3,19,3,102,179
35106,"York West/York-Ouest"," 600","North York",51,0,219,0,4,50,2,326,
35106,"York West/York-Ouest"," 601","North York",35,3,100,3,2,41,5,189,
35106,"York West/York-Ouest"," 602","North York",90,1,157,0,11,64,4,327,
35106,"York West/York-Ouest"," 603","North York",74,3,151,0,5,64,1,298,
35106,"York West/York-Ouest"," 604","North York",51,1,112,0,4,58,4,230,
35106,"York West/York-Ouest"," 605","North York",39,1,69,3,5,31,1,149,
35106,"York West/York-Ouest"," 606","North York",40,0,161,1,6,90,0,298,
35106,"York West/York-Ouest"," 607","North York",37,0,91,1,1,55,1,186,
35106,"York West/York-Ouest"," 608","North York",41,0,150,0,0,57,0,248,
35106,"York West/York-Ouest"," 609","North York",29,3,88,1,3,30,1,155,
35106,"York West/York-Ouest",,Group 1/Groupe 1,15,0,55,0,2,21,16,109,139
35106,"York West/York-Ouest",,Group 2/Groupe 2,31,2,87,0,2,28,0,150,
