Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Maloway,Ilona Niemczyk,Lawrence Toet,Ellen Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 151","Winnipeg",103,7,94,8,1,213,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 152","Winnipeg",92,7,87,3,1,190,348
46005,"Elmwood--Transcona/Elmwood--Transcona"," 153","Winnipeg",36,4,54,4,2,100,240
46005,"Elmwood--Transcona/Elmwood--Transcona"," 154","Winnipeg",79,8,105,5,3,200,411
46005,"Elmwood--Transcona/Elmwood--Transcona"," 155","Winnipeg",69,1,65,7,0,142,310
46005,"Elmwood--Transcona/Elmwood--Transcona"," 156","Winnipeg",89,6,106,2,0,203,410
46005,"Elmwood--Transcona/Elmwood--Transcona"," 157","Winnipeg",64,9,90,5,0,168,339
46005,"Elmwood--Transcona/Elmwood--Transcona"," 158","Winnipeg",78,1,66,4,0,149,333
46005,"Elmwood--Transcona/Elmwood--Transcona"," 159","Winnipeg",93,11,112,3,2,221,381
46005,"Elmwood--Transcona/Elmwood--Transcona"," 160","Winnipeg",57,2,68,4,0,131,317
46005,"Elmwood--Transcona/Elmwood--Transcona"," 161","Winnipeg",78,10,98,1,0,187,352
46005,"Elmwood--Transcona/Elmwood--Transcona"," 162","Winnipeg",62,7,82,7,0,158,397
46005,"Elmwood--Transcona/Elmwood--Transcona"," 163","Winnipeg",90,4,171,7,0,272,502
46005,"Elmwood--Transcona/Elmwood--Transcona"," 163-1A","Winnipeg",75,8,112,10,0,205,372
46005,"Elmwood--Transcona/Elmwood--Transcona"," 163-1B","Winnipeg",96,6,126,3,1,232,444
46005,"Elmwood--Transcona/Elmwood--Transcona"," 400","Winnipeg",34,6,27,1,3,71,103
46005,"Elmwood--Transcona/Elmwood--Transcona"," 401","Winnipeg",62,13,95,4,0,174,225
46005,"Elmwood--Transcona/Elmwood--Transcona"," 402","Winnipeg",27,10,50,1,2,90,168
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 501","Mobile poll/Bureau itinérant",64,6,40,0,1,111,142
46005,"Elmwood--Transcona/Elmwood--Transcona"," 502","Mobile poll/Bureau itinérant",66,13,46,1,1,127,222
46005,"Elmwood--Transcona/Elmwood--Transcona"," 503","Mobile poll/Bureau itinérant",93,11,97,9,0,210,301
46005,"Elmwood--Transcona/Elmwood--Transcona"," 600","Winnipeg",198,26,272,16,1,513,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 601","Winnipeg",260,48,293,24,5,630,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 602","Winnipeg",231,31,322,15,0,599,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 603","Winnipeg",148,21,100,7,1,277,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 604","Winnipeg",207,18,183,8,2,418,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 605","Winnipeg",182,21,288,15,0,506,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 606","Winnipeg",195,19,258,15,0,487,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 607","Winnipeg",249,27,350,10,1,637,
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 1/Groupe 1,39,33,38,5,5,120,197
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 2/Groupe 2,185,33,185,11,6,420,
