Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Cash,Miguel Figueroa,Simon Luisi,Theresa Rodrigues,Wayne Scott,Mario Silva,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Davenport/Davenport"," 29","Toronto",86,0,3,40,4,62,1,196,369
35015,"Davenport/Davenport"," 30","Toronto",112,0,0,41,10,57,1,221,418
35015,"Davenport/Davenport"," 31","Toronto",92,1,0,47,3,53,2,198,356
35015,"Davenport/Davenport"," 32","Toronto",122,1,1,24,7,67,2,224,372
35015,"Davenport/Davenport"," 33","Toronto",70,1,0,28,5,47,1,152,284
35015,"Davenport/Davenport"," 34","Toronto",137,1,0,41,2,58,0,239,410
35015,"Davenport/Davenport"," 35","Toronto",123,1,0,24,8,58,0,214,432
35015,"Davenport/Davenport"," 36","Toronto",96,0,0,25,7,41,0,169,299
35015,"Davenport/Davenport"," 37","Toronto",84,3,0,35,4,53,2,181,354
35015,"Davenport/Davenport"," 38","Toronto",109,2,2,33,9,72,0,227,361
35015,"Davenport/Davenport"," 39","Toronto",74,1,2,36,5,52,5,175,281
35015,"Davenport/Davenport"," 40","Toronto",88,0,0,31,3,43,3,168,352
35015,"Davenport/Davenport"," 41","Toronto",90,2,1,53,2,81,0,229,433
35015,"Davenport/Davenport"," 42","Toronto",95,2,0,40,6,76,0,219,456
35015,"Davenport/Davenport"," 43","Toronto",84,0,1,37,2,68,0,192,349
35015,"Davenport/Davenport"," 44","Toronto",66,1,0,31,3,65,1,167,374
35015,"Davenport/Davenport"," 45","Toronto",100,2,1,32,2,78,3,218,417
35015,"Davenport/Davenport"," 46","Toronto",68,0,0,35,5,62,2,172,342
35015,"Davenport/Davenport"," 47","Toronto",91,1,0,24,4,53,0,173,381
35015,"Davenport/Davenport"," 48","Toronto",87,1,1,28,5,57,1,180,382
35015,"Davenport/Davenport"," 48-1","Toronto",59,1,1,14,1,40,1,117,271
35015,"Davenport/Davenport"," 49","Toronto",70,2,1,24,5,52,0,154,318
35015,"Davenport/Davenport"," 50","Toronto",62,0,1,39,4,40,0,146,288
35015,"Davenport/Davenport"," 51","Toronto",72,1,0,41,3,64,1,182,464
35015,"Davenport/Davenport"," 52","Toronto",107,2,2,26,6,84,0,227,416
35015,"Davenport/Davenport"," 53","Toronto",Void/Supprimé,,,,,,,,
35015,"Davenport/Davenport"," 54","Toronto",94,1,0,19,5,43,1,163,378
35015,"Davenport/Davenport"," 55","Toronto",80,0,1,35,2,69,3,190,363
35015,"Davenport/Davenport"," 56","Toronto",92,1,1,40,9,53,0,196,290
35015,"Davenport/Davenport"," 56-1","Toronto",66,0,1,16,4,29,0,116,236
35015,"Davenport/Davenport"," 57","Toronto",138,1,0,30,6,39,0,214,313
35015,"Davenport/Davenport"," 58","Toronto",68,0,1,25,7,36,1,138,282
35015,"Davenport/Davenport"," 59","Toronto",135,1,0,22,10,54,0,222,327
35015,"Davenport/Davenport"," 60","Toronto",81,0,0,32,7,27,0,147,250
35015,"Davenport/Davenport"," 61","Toronto",113,3,0,15,5,36,1,173,274
35015,"Davenport/Davenport"," 62","Toronto",138,3,1,22,4,44,1,213,376
35015,"Davenport/Davenport"," 63","Toronto",91,0,0,16,9,37,1,154,260
35015,"Davenport/Davenport"," 64","Toronto",99,1,0,17,8,41,1,167,272
35015,"Davenport/Davenport"," 65","Toronto",84,1,0,21,4,59,0,169,336
35015,"Davenport/Davenport"," 66","Toronto",100,4,2,18,1,58,0,183,453
35015,"Davenport/Davenport"," 67","Toronto",89,0,0,25,3,45,4,166,338
35015,"Davenport/Davenport"," 67-1","Toronto",81,3,0,24,7,80,2,197,374
35015,"Davenport/Davenport"," 68","Toronto",54,0,1,22,6,39,1,123,258
35015,"Davenport/Davenport"," 69","Toronto",103,1,0,29,5,40,3,181,433
35015,"Davenport/Davenport"," 69-1","Toronto",147,0,0,33,13,47,0,240,509
35015,"Davenport/Davenport"," 70","Toronto",92,2,1,55,6,79,0,235,537
35015,"Davenport/Davenport"," 71","Toronto",86,1,0,34,6,85,2,214,456
35015,"Davenport/Davenport"," 72","Toronto",111,1,1,31,5,72,0,221,417
35015,"Davenport/Davenport"," 73","Toronto",123,1,0,56,11,104,11,306,562
35015,"Davenport/Davenport"," 74","Toronto",95,0,1,37,2,51,4,190,399
35015,"Davenport/Davenport"," 75","Toronto",94,1,0,15,4,42,1,157,276
35015,"Davenport/Davenport"," 76","Toronto",104,0,2,29,7,52,2,196,398
35015,"Davenport/Davenport"," 77","Toronto",159,1,2,36,10,60,2,270,527
35015,"Davenport/Davenport"," 78","Toronto",222,0,1,41,9,60,4,337,526
35015,"Davenport/Davenport"," 79","Toronto",169,1,0,34,8,55,0,267,479
35015,"Davenport/Davenport"," 79-1","Toronto",98,0,1,23,3,26,0,151,309
35015,"Davenport/Davenport"," 79-2","Toronto",79,1,2,16,11,35,1,145,298
35015,"Davenport/Davenport"," 80","Toronto",139,2,1,38,7,91,3,281,571
35015,"Davenport/Davenport"," 81","Toronto",141,0,0,49,6,90,0,286,558
35015,"Davenport/Davenport"," 82","Toronto",118,1,1,33,7,33,0,193,378
35015,"Davenport/Davenport"," 83","Toronto",126,1,1,42,15,67,3,255,428
35015,"Davenport/Davenport"," 83-1","Toronto",74,2,2,32,3,87,5,205,349
35015,"Davenport/Davenport"," 84","Toronto",158,1,1,17,4,74,2,257,459
35015,"Davenport/Davenport"," 85","Toronto",Void/Supprimé,,,,,,,,
35015,"Davenport/Davenport"," 86","Toronto",198,0,2,26,9,28,1,264,432
35015,"Davenport/Davenport"," 86-1A","Toronto",48,1,0,12,2,25,2,90,175
35015,"Davenport/Davenport"," 86-1B","Toronto",41,0,0,29,3,25,0,98,205
35015,"Davenport/Davenport"," 87","Toronto",72,0,0,20,3,39,0,134,276
35015,"Davenport/Davenport"," 88","Toronto",83,1,0,26,10,51,0,171,380
35015,"Davenport/Davenport"," 88-1","Toronto",90,1,0,21,7,32,0,151,378
35015,"Davenport/Davenport"," 89","Toronto",113,1,2,32,9,71,2,230,469
35015,"Davenport/Davenport"," 90","Toronto",95,0,0,29,6,67,2,199,426
35015,"Davenport/Davenport"," 91","Toronto",113,0,1,42,7,90,5,258,536
35015,"Davenport/Davenport"," 92","Toronto",122,0,0,34,6,69,0,231,445
35015,"Davenport/Davenport"," 93","Toronto",169,1,0,24,8,58,0,260,547
35015,"Davenport/Davenport"," 94","Toronto",158,1,0,43,6,66,0,274,483
35015,"Davenport/Davenport"," 95","Toronto",118,0,0,37,14,61,1,231,435
35015,"Davenport/Davenport"," 96","Toronto",85,2,0,25,4,56,0,172,365
35015,"Davenport/Davenport"," 97","Toronto",148,0,2,39,5,73,4,271,509
35015,"Davenport/Davenport"," 98","Toronto",210,0,0,41,15,75,1,342,580
35015,"Davenport/Davenport"," 99","Toronto",180,1,1,35,11,71,0,299,517
35015,"Davenport/Davenport"," 100","Toronto",173,1,1,45,11,43,2,276,456
35015,"Davenport/Davenport"," 101","Toronto",129,1,1,25,11,60,0,227,456
35015,"Davenport/Davenport"," 102","Toronto",124,0,0,27,7,66,0,224,384
35015,"Davenport/Davenport"," 103","Toronto",159,0,1,18,9,60,5,252,465
35015,"Davenport/Davenport"," 104","Toronto",111,1,0,12,5,38,0,167,269
35015,"Davenport/Davenport"," 105","Toronto",135,1,1,19,8,44,1,209,371
35015,"Davenport/Davenport"," 106","Toronto",108,1,0,27,9,64,0,209,358
35015,"Davenport/Davenport"," 107","Toronto",177,3,0,8,2,31,1,222,379
35015,"Davenport/Davenport"," 108","Toronto",180,1,0,20,8,59,1,269,464
35015,"Davenport/Davenport"," 109","Toronto",Void/Supprimé,,,,,,,,
35015,"Davenport/Davenport"," 110","Toronto",Void/Supprimé,,,,,,,,
35015,"Davenport/Davenport"," 111","Toronto",Void/Supprimé,,,,,,,,
35015,"Davenport/Davenport"," 112","Toronto",142,2,1,30,16,52,1,244,398
35015,"Davenport/Davenport"," 113","Toronto",172,1,0,32,8,50,1,264,465
35015,"Davenport/Davenport"," 114","Toronto",103,3,3,7,33,16,0,165,356
35015,"Davenport/Davenport"," 114-1","Toronto",129,2,3,22,11,51,0,218,383
35015,"Davenport/Davenport"," 115","Toronto",137,0,1,26,9,52,3,228,394
35015,"Davenport/Davenport"," 116","Toronto",148,4,1,25,8,45,2,233,409
35015,"Davenport/Davenport"," 117","Toronto",113,1,1,27,2,37,0,181,336
35015,"Davenport/Davenport"," 118","Toronto",112,1,0,21,3,39,2,178,343
35015,"Davenport/Davenport"," 119","Toronto",162,0,2,24,6,57,5,256,440
35015,"Davenport/Davenport"," 120","Toronto",147,0,1,24,12,64,1,249,468
35015,"Davenport/Davenport"," 121","Toronto",142,2,1,23,7,59,1,235,452
35015,"Davenport/Davenport"," 122","Toronto",96,0,0,8,9,18,0,131,243
35015,"Davenport/Davenport"," 123","Toronto",138,0,0,16,9,31,2,196,357
35015,"Davenport/Davenport"," 123-1","Toronto",156,0,0,11,4,38,1,210,339
35015,"Davenport/Davenport"," 124","Toronto",142,0,1,17,5,28,0,193,361
35015,"Davenport/Davenport"," 125","Toronto",163,0,1,16,6,44,0,230,378
35015,"Davenport/Davenport"," 126","Toronto",173,0,0,18,9,41,1,242,414
35015,"Davenport/Davenport"," 127","Toronto",104,0,2,9,4,25,1,145,257
35015,"Davenport/Davenport"," 128","Toronto",109,0,0,26,11,46,3,195,331
35015,"Davenport/Davenport"," 129","Toronto",125,1,1,20,7,35,3,192,303
35015,"Davenport/Davenport"," 129-1","Toronto",104,0,1,25,5,50,0,185,378
35015,"Davenport/Davenport"," 130","Toronto",170,2,0,40,13,40,0,265,477
35015,"Davenport/Davenport"," 131","Toronto",133,0,0,11,5,43,0,192,385
35015,"Davenport/Davenport"," 132","Toronto",103,2,0,28,3,54,1,191,421
35015,"Davenport/Davenport"," 133","Toronto",121,0,0,21,8,45,1,196,373
35015,"Davenport/Davenport"," 133-1","Toronto",90,0,2,11,7,43,0,153,397
35015,"Davenport/Davenport"," 134","Toronto",88,0,0,18,4,48,0,158,315
35015,"Davenport/Davenport"," 135","Toronto",120,1,0,21,5,45,1,193,380
35015,"Davenport/Davenport"," 136","Toronto",91,2,0,20,4,54,0,171,345
35015,"Davenport/Davenport"," 136-1","Toronto",88,0,0,13,4,48,5,158,299
35015,"Davenport/Davenport"," 137","Toronto",84,1,2,38,5,47,1,178,325
35015,"Davenport/Davenport"," 137-1","Toronto",113,1,1,16,8,41,3,183,386
35015,"Davenport/Davenport"," 138","Toronto",114,1,2,43,10,77,4,251,464
35015,"Davenport/Davenport"," 139","Toronto",112,1,2,33,3,45,3,199,325
35015,"Davenport/Davenport"," 140","Toronto",93,0,0,26,5,52,2,178,381
35015,"Davenport/Davenport"," 141","Toronto",137,0,0,15,8,52,1,213,401
35015,"Davenport/Davenport"," 142","Toronto",127,4,1,13,2,44,1,192,357
35015,"Davenport/Davenport"," 143","Toronto",135,0,1,12,11,27,1,187,336
35015,"Davenport/Davenport"," 144","Toronto",91,0,0,17,9,51,1,169,322
35015,"Davenport/Davenport"," 144-1","Toronto",94,1,0,12,8,34,0,149,331
35015,"Davenport/Davenport"," 145","Toronto",156,1,0,38,12,66,0,273,519
35015,"Davenport/Davenport"," 146","Toronto",128,0,2,38,3,66,1,238,433
35015,"Davenport/Davenport"," 147","Toronto",145,0,0,29,8,34,0,216,407
35015,"Davenport/Davenport"," 148","Toronto",119,2,0,9,11,36,0,177,327
35015,"Davenport/Davenport"," 149","Toronto",136,0,0,30,11,76,3,256,462
35015,"Davenport/Davenport"," 150","Toronto",111,0,0,14,5,59,2,191,383
35015,"Davenport/Davenport"," 151","Toronto",150,1,0,11,10,58,1,231,472
35015,"Davenport/Davenport"," 152","Toronto",139,0,0,36,10,83,2,270,457
35015,"Davenport/Davenport"," 153","Toronto",214,1,0,25,17,35,2,294,521
35015,"Davenport/Davenport"," 400","Toronto",Void/Supprimé,,,,,,,,
35015,"Davenport/Davenport"," 401","Toronto",112,0,3,20,6,58,0,199,401
35015,"Davenport/Davenport"," 402","Toronto",22,0,0,12,2,21,2,59,87
35015,"Davenport/Davenport"," 403","Toronto",14,1,3,15,2,60,3,98,165
35015,"Davenport/Davenport"," 404","Toronto",148,0,0,21,15,42,2,228,319
35015,"Davenport/Davenport"," 405","Toronto",76,0,0,20,2,37,0,135,316
35015,"Davenport/Davenport"," 406","Toronto",67,0,0,18,6,28,1,120,258
35015,"Davenport/Davenport"," 407","Toronto",9,0,1,5,3,13,1,32,57
35015,"Davenport/Davenport"," 600","York--Toronto",57,0,0,55,6,73,0,191,
35015,"Davenport/Davenport"," 601","York--Toronto",162,2,0,53,12,125,1,355,
35015,"Davenport/Davenport"," 602","Toronto",171,6,1,67,12,137,0,394,
35015,"Davenport/Davenport"," 603","Toronto",214,4,0,50,15,129,2,414,
35015,"Davenport/Davenport"," 604","Toronto",180,0,2,61,17,107,2,369,
35015,"Davenport/Davenport"," 605","Toronto",256,3,0,44,22,115,3,443,
35015,"Davenport/Davenport"," 606","Toronto",312,3,1,72,21,155,1,565,
35015,"Davenport/Davenport"," 607","York",297,1,0,34,23,119,0,474,
35015,"Davenport/Davenport"," 608","Toronto",431,4,1,43,35,156,3,673,
35015,"Davenport/Davenport"," 609","Toronto",276,0,1,45,22,124,0,468,
35015,"Davenport/Davenport",,Group 1/Groupe 1,21,1,0,14,13,45,4,98,133
35015,"Davenport/Davenport",,Group 2/Groupe 2,333,6,4,71,46,239,5,704,
