Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Richard Côté,Claudine Delorme,Élaine Michaud,Réjean Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 90","Saint-Augustin-de-Desmaures",58,73,3,118,48,3,303,463
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 91","Saint-Augustin-de-Desmaures",36,63,6,144,37,3,289,490
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 92","Saint-Augustin-de-Desmaures",40,42,1,117,20,0,220,372
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 93","Saint-Augustin-de-Desmaures",23,41,3,124,43,2,236,385
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 94","Saint-Augustin-de-Desmaures",65,51,7,208,37,11,379,655
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 95","Saint-Augustin-de-Desmaures",40,48,4,130,25,1,248,426
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 96","Saint-Augustin-de-Desmaures",32,63,3,131,24,5,258,457
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 97","Saint-Augustin-de-Desmaures",45,48,8,143,50,2,296,420
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 98","Saint-Augustin-de-Desmaures",63,56,6,146,60,1,332,593
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 99","Pont-Rouge",105,49,4,136,18,8,320,673
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 100","Pont-Rouge",63,35,5,81,11,1,196,367
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 101","Pont-Rouge",82,37,4,105,6,5,239,544
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 102","Neuville",77,49,6,112,9,10,263,430
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 103","Neuville",60,93,7,158,21,8,347,519
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 104","Neuville",42,76,5,91,15,5,234,417
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 105","Neuville",92,78,8,126,17,0,321,548
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 106","Neuville",53,66,10,106,19,6,260,448
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 107","Neuville",64,43,5,101,11,0,224,414
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 108","Neuville",65,34,5,97,7,3,211,384
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 109","Pont-Rouge",66,35,3,71,9,5,189,441
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 110","Pont-Rouge",77,28,14,71,16,4,210,449
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 111","Pont-Rouge",58,20,5,77,5,3,168,371
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 112","Pont-Rouge",62,41,7,115,12,7,244,443
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 113","Pont-Rouge",102,41,8,118,17,12,298,535
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 114","Pont-Rouge",88,25,3,95,7,11,229,433
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 114-1","Pont-Rouge",81,47,4,128,17,13,290,530
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 115","Pont-Rouge",57,41,8,117,15,10,248,482
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 116","Pont-Rouge",75,42,4,121,7,6,255,486
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 117","Pont-Rouge",55,38,7,72,13,6,191,467
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 118","Pont-Rouge",69,59,3,96,8,5,240,414
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 119","Saint-Basile",58,58,7,110,8,6,247,447
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 120","Saint-Basile",104,71,8,99,13,2,297,487
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 121","Saint-Basile",83,42,14,95,34,4,272,376
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 122","Saint-Basile",88,57,5,130,14,6,300,422
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 123","Saint-Basile",57,26,7,91,9,3,193,297
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 124","Cap-Santé",94,80,15,107,9,6,311,490
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 125","Donnacona",51,74,8,122,8,2,265,476
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 126","Donnacona",114,107,6,167,15,9,418,691
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 127","Donnacona",51,74,6,124,14,6,275,525
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 128","Donnacona",71,44,8,123,9,5,260,450
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 128-1","Donnacona",171,50,5,133,17,2,378,439
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 129","Donnacona",42,22,2,53,9,4,132,305
