Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gregor Ash,Bruce Robert Pretty,Geoff Regan,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax West/Halifax-Ouest"," 85","Halifax",56,30,25,6,0,117,243
12005,"Halifax West/Halifax-Ouest"," 86","Halifax",78,52,71,12,1,214,473
12005,"Halifax West/Halifax-Ouest"," 87","Halifax",78,16,27,7,0,128,447
12005,"Halifax West/Halifax-Ouest"," 88","Halifax",64,45,21,18,2,150,300
12005,"Halifax West/Halifax-Ouest"," 89","Halifax",70,45,55,9,0,179,360
12005,"Halifax West/Halifax-Ouest"," 90","Halifax",71,47,62,8,0,188,319
12005,"Halifax West/Halifax-Ouest"," 91","Halifax",66,18,26,7,0,117,339
12005,"Halifax West/Halifax-Ouest"," 92","Halifax",61,31,38,8,1,139,329
12005,"Halifax West/Halifax-Ouest"," 93","Halifax",90,43,36,3,0,172,452
12005,"Halifax West/Halifax-Ouest"," 94","Halifax",61,28,35,8,2,134,297
12005,"Halifax West/Halifax-Ouest"," 95","Halifax",90,32,45,17,1,185,403
12005,"Halifax West/Halifax-Ouest"," 96","Halifax",126,60,69,11,1,267,456
12005,"Halifax West/Halifax-Ouest"," 97","Halifax",62,38,70,10,0,180,339
12005,"Halifax West/Halifax-Ouest"," 98","Halifax",76,55,41,14,0,186,373
12005,"Halifax West/Halifax-Ouest"," 99","Halifax",61,70,78,9,0,218,382
12005,"Halifax West/Halifax-Ouest"," 100","Halifax",41,53,94,6,0,194,332
12005,"Halifax West/Halifax-Ouest"," 101","Halifax",48,40,73,7,1,169,346
12005,"Halifax West/Halifax-Ouest"," 102","Halifax",48,60,74,7,0,189,404
12005,"Halifax West/Halifax-Ouest"," 102-1","Halifax",63,51,85,6,1,206,440
12005,"Halifax West/Halifax-Ouest"," 102-2","Halifax",41,36,41,4,0,122,337
12005,"Halifax West/Halifax-Ouest"," 102-3","Halifax",37,53,43,6,0,139,365
12005,"Halifax West/Halifax-Ouest"," 103A","Halifax",43,75,67,3,0,188,361
12005,"Halifax West/Halifax-Ouest"," 103B","Halifax",43,59,65,8,2,177,365
12005,"Halifax West/Halifax-Ouest"," 103-1A","Halifax",45,47,62,3,1,158,281
12005,"Halifax West/Halifax-Ouest"," 103-1B","Halifax",35,71,48,3,4,161,283
12005,"Halifax West/Halifax-Ouest"," 103-2","Halifax",53,28,35,3,0,119,271
12005,"Halifax West/Halifax-Ouest"," 103-3","Halifax",34,59,49,4,1,147,289
12005,"Halifax West/Halifax-Ouest"," 103-4A","Halifax",48,35,48,4,0,135,282
12005,"Halifax West/Halifax-Ouest"," 103-4B","Halifax",57,52,43,4,1,157,298
12005,"Halifax West/Halifax-Ouest"," 104A","Halifax",44,27,23,3,0,97,266
12005,"Halifax West/Halifax-Ouest"," 104B","Halifax",41,19,21,4,2,87,265
12005,"Halifax West/Halifax-Ouest"," 105","Halifax",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 105-1","Halifax",60,35,36,9,1,141,445
12005,"Halifax West/Halifax-Ouest"," 106","Halifax",51,34,28,5,0,118,297
12005,"Halifax West/Halifax-Ouest"," 107A","Halifax",61,39,43,7,0,150,347
12005,"Halifax West/Halifax-Ouest"," 107B","Halifax",33,46,44,8,1,132,322
12005,"Halifax West/Halifax-Ouest"," 108","Halifax",10,11,7,1,0,29,121
12005,"Halifax West/Halifax-Ouest"," 109","Halifax",45,31,45,1,0,122,271
12005,"Halifax West/Halifax-Ouest"," 110","Halifax",56,41,76,14,0,187,417
12005,"Halifax West/Halifax-Ouest"," 111","Halifax",56,32,34,3,0,125,402
12005,"Halifax West/Halifax-Ouest"," 112A","Halifax",108,60,85,9,0,262,583
12005,"Halifax West/Halifax-Ouest"," 112B","Halifax",90,60,81,16,1,248,616
12005,"Halifax West/Halifax-Ouest"," 113","Timberlea",87,77,80,19,1,264,488
12005,"Halifax West/Halifax-Ouest"," 113-1","Timberlea",80,61,54,3,1,199,380
12005,"Halifax West/Halifax-Ouest"," 114A","Timberlea",50,37,41,6,0,134,254
12005,"Halifax West/Halifax-Ouest"," 114B","Timberlea",57,34,28,7,0,126,261
12005,"Halifax West/Halifax-Ouest"," 115A","Timberlea",54,21,26,5,0,106,263
12005,"Halifax West/Halifax-Ouest"," 115B","Timberlea",46,26,36,5,2,115,243
12005,"Halifax West/Halifax-Ouest"," 116","Timberlea",63,59,41,9,1,173,389
12005,"Halifax West/Halifax-Ouest"," 116-1","Timberlea",86,86,52,5,2,231,461
12005,"Halifax West/Halifax-Ouest"," 117A","Timberlea",62,26,35,4,0,127,247
12005,"Halifax West/Halifax-Ouest"," 117B","Timberlea",54,38,35,14,2,143,263
12005,"Halifax West/Halifax-Ouest"," 118","Timberlea",44,29,26,5,0,104,194
12005,"Halifax West/Halifax-Ouest"," 119","Timberlea",75,75,45,17,1,213,410
12005,"Halifax West/Halifax-Ouest"," 119-1","Timberlea",57,67,61,9,1,195,322
12005,"Halifax West/Halifax-Ouest"," 120A","Lakeside",67,28,44,1,0,140,270
12005,"Halifax West/Halifax-Ouest"," 120B","Lakeside",63,30,43,7,1,144,281
12005,"Halifax West/Halifax-Ouest"," 121","Lakeside",55,54,42,5,1,157,268
12005,"Halifax West/Halifax-Ouest"," 122A","Lakeside",53,42,38,4,0,137,283
12005,"Halifax West/Halifax-Ouest"," 122B","Lakeside",55,33,33,4,0,125,254
12005,"Halifax West/Halifax-Ouest"," 123","Lakeside",83,35,18,7,0,143,303
12005,"Halifax West/Halifax-Ouest"," 124A","Beechville",65,37,62,6,2,172,349
12005,"Halifax West/Halifax-Ouest"," 124B","Beechville",79,39,57,3,3,181,343
12005,"Halifax West/Halifax-Ouest"," 124-1","Halifax, Subd. B",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 124-2","Beechville",74,55,72,4,0,205,389
12005,"Halifax West/Halifax-Ouest"," 125","Upper Tantalon",57,77,61,6,0,201,340
12005,"Halifax West/Halifax-Ouest"," 125-1","Lewis Lake",56,73,46,15,1,191,314
12005,"Halifax West/Halifax-Ouest"," 126","Five Island Lake",102,70,60,19,1,252,442
12005,"Halifax West/Halifax-Ouest"," 127A","Sheldrake Lake",27,56,53,6,2,144,216
12005,"Halifax West/Halifax-Ouest"," 127B","Sheldrake Lake",49,45,57,4,1,156,228
12005,"Halifax West/Halifax-Ouest"," 128","Lewis Lake",84,60,50,8,1,203,310
12005,"Halifax West/Halifax-Ouest"," 129A","Hubley",104,59,40,3,3,209,344
12005,"Halifax West/Halifax-Ouest"," 129B","Hubley",89,71,39,9,0,208,322
12005,"Halifax West/Halifax-Ouest"," 130","Goodwood",68,74,48,12,1,203,411
12005,"Halifax West/Halifax-Ouest"," 131","Harrietsfield",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 132","Hatchet Lake",82,49,50,25,0,206,362
12005,"Halifax West/Halifax-Ouest"," 133","Goodwood",82,55,49,10,2,198,344
12005,"Halifax West/Halifax-Ouest"," 134A","Brookside",59,58,38,6,0,161,255
12005,"Halifax West/Halifax-Ouest"," 134B","Brookside",52,58,31,10,1,152,224
12005,"Halifax West/Halifax-Ouest"," 135","Brookside",70,58,44,8,0,180,320
12005,"Halifax West/Halifax-Ouest"," 136","Whites Lake",81,95,35,3,3,217,416
12005,"Halifax West/Halifax-Ouest"," 137A","Brookside",57,54,31,11,0,153,273
12005,"Halifax West/Halifax-Ouest"," 137B","Brookside",44,74,24,14,1,157,266
12005,"Halifax West/Halifax-Ouest"," 137-1","Terence Bay",76,82,41,5,0,204,393
12005,"Halifax West/Halifax-Ouest"," 138","Brookside",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 139A","Shad Bay",78,29,42,7,0,156,263
12005,"Halifax West/Halifax-Ouest"," 139B","Shad Bay",56,43,20,7,2,128,253
12005,"Halifax West/Halifax-Ouest"," 140A","Whites Lake",62,66,45,9,1,183,289
12005,"Halifax West/Halifax-Ouest"," 140B","Whites Lake",42,49,22,10,2,125,258
12005,"Halifax West/Halifax-Ouest"," 141","Whites Lake",93,63,51,18,3,228,424
12005,"Halifax West/Halifax-Ouest"," 142A","Prospect",57,45,46,12,1,161,267
12005,"Halifax West/Halifax-Ouest"," 142B","Prospect",52,46,50,14,1,163,266
12005,"Halifax West/Halifax-Ouest"," 143","Lower Prospect",87,60,70,4,2,223,388
