Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Carmichael,Dimitris Kabitsis,Rob Oliphant,Georgina Wilcock,Nicole Yovanoff,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Don Valley West/Don Valley-Ouest"," 91","North York",68,0,89,8,40,0,205,428
35017,"Don Valley West/Don Valley-Ouest"," 91-1","North York",90,0,91,1,17,2,201,330
35017,"Don Valley West/Don Valley-Ouest"," 92","North York",66,1,51,8,16,0,142,277
35017,"Don Valley West/Don Valley-Ouest"," 93","North York",89,1,78,7,12,2,189,358
35017,"Don Valley West/Don Valley-Ouest"," 94","North York",122,1,65,3,12,0,203,495
35017,"Don Valley West/Don Valley-Ouest"," 95","North York",83,2,96,10,28,0,219,404
35017,"Don Valley West/Don Valley-Ouest"," 96","North York",79,1,84,9,23,0,196,323
35017,"Don Valley West/Don Valley-Ouest"," 96-1","North York",29,0,52,2,7,1,91,218
35017,"Don Valley West/Don Valley-Ouest"," 97","North York",58,0,57,5,23,0,143,267
35017,"Don Valley West/Don Valley-Ouest"," 98","North York",71,3,111,10,23,0,218,448
35017,"Don Valley West/Don Valley-Ouest"," 98-1","North York",96,1,97,3,47,0,244,567
35017,"Don Valley West/Don Valley-Ouest"," 98-2","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 99","East York",160,1,118,4,12,1,296,617
35017,"Don Valley West/Don Valley-Ouest"," 99-1","East York",102,0,95,7,17,1,222,364
35017,"Don Valley West/Don Valley-Ouest"," 100","East York",142,1,123,20,14,1,301,485
35017,"Don Valley West/Don Valley-Ouest"," 101","East York",115,1,73,8,11,0,208,328
35017,"Don Valley West/Don Valley-Ouest"," 102","East York",126,0,132,13,17,0,288,448
35017,"Don Valley West/Don Valley-Ouest"," 103","East York",96,0,82,23,24,1,226,423
35017,"Don Valley West/Don Valley-Ouest"," 104","East York",123,1,134,13,25,1,297,466
35017,"Don Valley West/Don Valley-Ouest"," 105","East York",128,1,134,8,12,0,283,440
35017,"Don Valley West/Don Valley-Ouest"," 106","East York",115,0,96,9,33,0,253,482
35017,"Don Valley West/Don Valley-Ouest"," 107","East York",97,1,90,5,29,0,222,361
35017,"Don Valley West/Don Valley-Ouest"," 108","East York",44,3,71,13,19,0,150,347
35017,"Don Valley West/Don Valley-Ouest"," 109","East York",103,0,111,5,21,0,240,373
35017,"Don Valley West/Don Valley-Ouest"," 110","East York",135,0,110,12,8,0,265,422
35017,"Don Valley West/Don Valley-Ouest"," 111","East York",107,0,86,7,14,0,214,371
35017,"Don Valley West/Don Valley-Ouest"," 112","East York",87,1,72,8,20,0,188,332
35017,"Don Valley West/Don Valley-Ouest"," 113","East York",59,0,79,4,12,0,154,237
35017,"Don Valley West/Don Valley-Ouest"," 114","East York",71,1,70,3,17,0,162,239
35017,"Don Valley West/Don Valley-Ouest"," 115","East York",102,0,82,11,24,0,219,367
35017,"Don Valley West/Don Valley-Ouest"," 116","East York",129,1,124,5,29,1,289,439
35017,"Don Valley West/Don Valley-Ouest"," 117","East York",78,1,126,8,21,2,236,417
35017,"Don Valley West/Don Valley-Ouest"," 118","East York",110,1,114,13,31,1,270,451
35017,"Don Valley West/Don Valley-Ouest"," 119","East York",138,1,120,14,22,0,295,437
35017,"Don Valley West/Don Valley-Ouest"," 120","East York",98,1,97,5,13,0,214,408
35017,"Don Valley West/Don Valley-Ouest"," 121","East York",115,1,108,7,19,1,251,437
35017,"Don Valley West/Don Valley-Ouest"," 122","East York",107,0,95,2,11,0,215,326
35017,"Don Valley West/Don Valley-Ouest"," 123","East York",118,0,115,9,25,0,267,414
35017,"Don Valley West/Don Valley-Ouest"," 124","East York",94,2,97,5,23,0,221,377
35017,"Don Valley West/Don Valley-Ouest"," 125","East York",83,2,99,13,49,0,246,519
35017,"Don Valley West/Don Valley-Ouest"," 126","East York",47,0,49,0,19,2,117,221
35017,"Don Valley West/Don Valley-Ouest"," 127","East York",33,1,78,0,26,1,139,409
35017,"Don Valley West/Don Valley-Ouest"," 128","East York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 129","East York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 130","East York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 131","East York",71,0,115,8,61,2,257,625
35017,"Don Valley West/Don Valley-Ouest"," 132","East York",53,5,63,6,51,0,178,428
35017,"Don Valley West/Don Valley-Ouest"," 133","East York",89,5,94,5,41,0,234,441
35017,"Don Valley West/Don Valley-Ouest"," 134","East York",57,0,66,6,53,7,189,450
35017,"Don Valley West/Don Valley-Ouest"," 135","East York",54,0,74,4,32,1,165,349
35017,"Don Valley West/Don Valley-Ouest"," 136","East York",81,1,99,11,25,0,217,372
35017,"Don Valley West/Don Valley-Ouest"," 137","East York",118,1,130,14,21,0,284,455
35017,"Don Valley West/Don Valley-Ouest"," 138","East York",125,0,107,18,19,0,269,403
35017,"Don Valley West/Don Valley-Ouest"," 139","North York",92,0,63,11,29,2,197,357
35017,"Don Valley West/Don Valley-Ouest"," 140","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 141","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 142","North York",155,0,155,6,27,4,347,468
35017,"Don Valley West/Don Valley-Ouest"," 143","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 144","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 145","North York",61,0,79,4,32,0,176,314
35017,"Don Valley West/Don Valley-Ouest"," 146","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 147","North York",34,1,69,5,61,0,170,487
35017,"Don Valley West/Don Valley-Ouest"," 148","North York",60,1,85,2,29,0,177,357
35017,"Don Valley West/Don Valley-Ouest"," 149","North York",69,1,125,4,64,0,263,586
35017,"Don Valley West/Don Valley-Ouest"," 149-1","North York",58,2,85,6,66,2,219,535
35017,"Don Valley West/Don Valley-Ouest"," 150","North York",24,2,69,1,33,0,129,360
35017,"Don Valley West/Don Valley-Ouest"," 151","North York",35,2,56,1,44,0,138,370
35017,"Don Valley West/Don Valley-Ouest"," 152","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 153","North York",Merged with No. 408/Fusionné avec le nº 408,,,,,,,98
35017,"Don Valley West/Don Valley-Ouest"," 154","North York",26,0,102,2,68,5,203,551
35017,"Don Valley West/Don Valley-Ouest"," 155","North York",37,1,54,1,28,0,121,341
35017,"Don Valley West/Don Valley-Ouest"," 156","North York",24,0,62,2,29,0,117,306
35017,"Don Valley West/Don Valley-Ouest"," 157","North York",73,2,89,12,44,0,220,454
35017,"Don Valley West/Don Valley-Ouest"," 158","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 159","North York",38,1,161,2,42,0,244,443
35017,"Don Valley West/Don Valley-Ouest"," 160","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 161","North York",54,1,100,1,35,0,191,441
35017,"Don Valley West/Don Valley-Ouest"," 162","North York",82,7,151,4,51,1,296,551
35017,"Don Valley West/Don Valley-Ouest"," 400","North York",80,3,48,3,25,1,160,222
35017,"Don Valley West/Don Valley-Ouest"," 401","North York",58,0,42,4,20,1,125,160
35017,"Don Valley West/Don Valley-Ouest"," 402","North York",135,1,88,5,25,0,254,360
35017,"Don Valley West/Don Valley-Ouest"," 403","North York",118,0,154,10,55,0,337,538
35017,"Don Valley West/Don Valley-Ouest"," 404","North York",86,0,97,2,14,0,199,246
35017,"Don Valley West/Don Valley-Ouest"," 405","North York",119,5,91,4,64,3,286,482
35017,"Don Valley West/Don Valley-Ouest"," 406","North York",90,2,90,11,85,4,282,461
35017,"Don Valley West/Don Valley-Ouest"," 407","North York",79,2,58,7,30,0,176,308
35017,"Don Valley West/Don Valley-Ouest"," 408","North York",45,2,94,8,45,0,194,258
35017,"Don Valley West/Don Valley-Ouest"," 409","North York",38,6,67,6,53,0,170,356
35017,"Don Valley West/Don Valley-Ouest"," 410","North York",39,0,51,3,45,1,139,366
35017,"Don Valley West/Don Valley-Ouest"," 411","North York",30,1,85,1,49,0,166,424
35017,"Don Valley West/Don Valley-Ouest"," 412","North York",44,3,66,2,34,0,149,403
35017,"Don Valley West/Don Valley-Ouest"," 413","North York",67,1,128,2,41,0,239,426
35017,"Don Valley West/Don Valley-Ouest"," 414","East York",51,1,101,7,74,1,235,457
35017,"Don Valley West/Don Valley-Ouest"," 415","East York",69,1,73,2,38,0,183,330
35017,"Don Valley West/Don Valley-Ouest"," 416","East York",55,2,80,1,49,0,187,301
35017,"Don Valley West/Don Valley-Ouest"," 417","East York",62,1,165,4,26,2,260,524
35017,"Don Valley West/Don Valley-Ouest"," 418","East York",61,1,181,1,36,2,282,582
35017,"Don Valley West/Don Valley-Ouest"," 419","East York",47,0,102,3,34,0,186,493
35017,"Don Valley West/Don Valley-Ouest"," 420","East York",52,1,120,1,30,2,206,548
35017,"Don Valley West/Don Valley-Ouest"," 421","East York",42,0,180,3,61,1,287,652
35017,"Don Valley West/Don Valley-Ouest"," 422","East York",31,1,80,4,28,1,145,356
35017,"Don Valley West/Don Valley-Ouest"," 423","East York",38,0,104,3,17,1,163,382
35017,"Don Valley West/Don Valley-Ouest"," 424","East York",56,1,129,3,54,3,246,650
35017,"Don Valley West/Don Valley-Ouest"," 425","East York",43,0,113,1,34,0,191,445
35017,"Don Valley West/Don Valley-Ouest"," 426","East York",65,0,100,2,18,5,190,272
35017,"Don Valley West/Don Valley-Ouest"," 427","East York",66,1,82,7,36,2,194,316
35017,"Don Valley West/Don Valley-Ouest"," 428","Toronto",94,0,122,12,49,3,280,486
35017,"Don Valley West/Don Valley-Ouest"," 429","East York",56,1,80,6,46,2,191,306
35017,"Don Valley West/Don Valley-Ouest"," 430","North York",70,1,86,4,35,1,197,324
35017,"Don Valley West/Don Valley-Ouest"," 431","North York",84,5,138,10,97,0,334,623
35017,"Don Valley West/Don Valley-Ouest"," 432","North York",119,1,133,7,63,0,323,561
35017,"Don Valley West/Don Valley-Ouest"," 433","North York",81,2,144,6,64,3,300,555
35017,"Don Valley West/Don Valley-Ouest"," 434","North York",Merged with No. 81/Fusionné avec le nº 81,,,,,,,56
35017,"Don Valley West/Don Valley-Ouest"," 435","Toronto",83,0,100,13,27,0,223,314
35017,"Don Valley West/Don Valley-Ouest"," 436","Toronto",50,0,50,3,26,0,129,245
35017,"Don Valley West/Don Valley-Ouest"," 437","North York",119,1,135,10,59,0,324,554
35017,"Don Valley West/Don Valley-Ouest"," 438","North York",83,1,93,13,82,2,274,433
35017,"Don Valley West/Don Valley-Ouest"," 439","North York",33,0,27,9,32,0,101,177
35017,"Don Valley West/Don Valley-Ouest"," 440","North York",38,0,29,5,22,1,95,150
35017,"Don Valley West/Don Valley-Ouest"," 441","North York",60,1,95,8,44,0,208,291
35017,"Don Valley West/Don Valley-Ouest"," 442","North York",76,2,141,5,78,1,303,529
35017,"Don Valley West/Don Valley-Ouest"," 443","North York",37,0,44,4,27,1,113,302
35017,"Don Valley West/Don Valley-Ouest"," 444","North York",35,0,53,3,19,2,112,296
35017,"Don Valley West/Don Valley-Ouest"," 445","North York",61,2,151,6,60,6,286,510
35017,"Don Valley West/Don Valley-Ouest"," 446","East York",60,0,99,4,36,0,199,339
35017,"Don Valley West/Don Valley-Ouest"," 447","North York",36,0,21,1,9,0,67,69
35017,"Don Valley West/Don Valley-Ouest"," 448","Toronto",39,0,30,1,8,0,78,117
35017,"Don Valley West/Don Valley-Ouest"," 500","Mobile poll/Bureau itinérant",45,2,32,2,9,2,92,149
35017,"Don Valley West/Don Valley-Ouest"," 501","Mobile poll/Bureau itinérant",28,4,18,2,14,1,67,116
35017,"Don Valley West/Don Valley-Ouest"," 600","North York",404,0,200,27,14,1,646,
35017,"Don Valley West/Don Valley-Ouest"," 601","North York",497,1,244,21,20,2,785,
35017,"Don Valley West/Don Valley-Ouest"," 602","North York--Toronto",477,3,408,28,37,0,953,
35017,"Don Valley West/Don Valley-Ouest"," 603","Toronto",267,2,411,42,49,1,772,
35017,"Don Valley West/Don Valley-Ouest"," 604","Toronto",441,3,475,23,52,3,997,
35017,"Don Valley West/Don Valley-Ouest"," 605","East York",411,0,465,35,50,1,962,
35017,"Don Valley West/Don Valley-Ouest"," 606","East York",434,2,544,36,32,0,1048,
35017,"Don Valley West/Don Valley-Ouest"," 607","North York",176,2,403,11,75,3,670,
35017,"Don Valley West/Don Valley-Ouest"," 608","North York",110,0,149,4,23,0,286,
35017,"Don Valley West/Don Valley-Ouest"," 609","North York",170,5,414,18,99,7,713,
35017,"Don Valley West/Don Valley-Ouest"," 610","North York",413,0,249,24,23,0,709,
35017,"Don Valley West/Don Valley-Ouest",,Group 1/Groupe 1,33,0,44,4,7,5,93,152
35017,"Don Valley West/Don Valley-Ouest",,Group 2/Groupe 2,299,3,335,15,29,4,685,
