Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Boucher,Annie Durette,Michel Morand,Pierre A. Paquette,Francine Raynault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Joliette/Joliette"," 19","Saint-Donat",14,1,29,96,118,1,259,579
24025,"Joliette/Joliette"," 20A","Notre-Dame-de-la-Merci",18,8,30,96,95,4,251,413
24025,"Joliette/Joliette"," 20B","Notre-Dame-de-la-Merci",18,3,24,86,98,2,231,389
24025,"Joliette/Joliette"," 21","Entrelacs",21,10,29,80,95,4,239,363
24025,"Joliette/Joliette"," 22","Entrelacs",8,6,22,81,100,2,219,408
24025,"Joliette/Joliette"," 23","Chertsey",8,5,16,96,117,3,245,578
24025,"Joliette/Joliette"," 24","Chertsey",9,3,22,88,120,6,248,606
24025,"Joliette/Joliette"," 25A","Chertsey",3,4,5,55,75,3,145,373
24025,"Joliette/Joliette"," 25B","Chertsey",7,8,11,60,64,0,150,378
24025,"Joliette/Joliette"," 26","Chertsey",16,12,23,70,128,4,253,612
24025,"Joliette/Joliette"," 27","Chertsey",17,5,23,110,134,2,291,620
24025,"Joliette/Joliette"," 28","Chertsey",4,9,33,65,109,1,221,478
24025,"Joliette/Joliette"," 29","Chertsey",2,6,15,52,89,4,168,373
24025,"Joliette/Joliette"," 30","Sainte-Émélie-de-l'Énergie",14,15,27,72,142,2,272,413
24025,"Joliette/Joliette"," 31","Sainte-Émélie-de-l'Énergie",6,15,29,78,135,4,267,424
24025,"Joliette/Joliette"," 32","Sainte-Émélie-de-l'Énergie",12,14,26,97,141,3,293,514
24025,"Joliette/Joliette"," 33A","Saint-Jean-de-Matha",7,0,24,55,88,3,177,330
24025,"Joliette/Joliette"," 33B","Saint-Jean-de-Matha",10,5,15,39,73,2,144,294
24025,"Joliette/Joliette"," 34A","Saint-Jean-de-Matha",10,7,15,81,92,3,208,396
24025,"Joliette/Joliette"," 34B","Saint-Jean-de-Matha",8,7,16,60,90,4,185,340
24025,"Joliette/Joliette"," 35","Saint-Jean-de-Matha",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 36","Saint-Jean-de-Matha",10,18,46,93,180,3,350,583
24025,"Joliette/Joliette"," 37","Saint-Jean-de-Matha",16,9,17,73,102,9,226,542
24025,"Joliette/Joliette"," 38","Saint-Jean-de-Matha",12,4,14,85,127,6,248,453
24025,"Joliette/Joliette"," 39A","Saint-Jean-de-Matha",4,6,21,72,101,3,207,352
24025,"Joliette/Joliette"," 39B","Saint-Jean-de-Matha",2,7,13,60,91,2,175,304
24025,"Joliette/Joliette"," 40","Sainte-Béatrix",14,28,31,99,137,3,312,478
24025,"Joliette/Joliette"," 41","Saint-Côme",9,12,27,93,147,3,291,468
24025,"Joliette/Joliette"," 42","Saint-Côme",12,7,28,93,102,5,247,440
24025,"Joliette/Joliette"," 43","Saint-Côme",13,6,33,102,143,1,298,489
24025,"Joliette/Joliette"," 44","Saint-Côme",6,6,49,73,122,1,257,449
24025,"Joliette/Joliette"," 45","Saint-Alphonse-Rodriguez",6,6,24,86,108,9,239,485
24025,"Joliette/Joliette"," 46","Saint-Alphonse-Rodriguez",8,15,15,87,99,3,227,423
24025,"Joliette/Joliette"," 47","Saint-Alphonse-Rodriguez",8,10,9,99,96,3,225,448
24025,"Joliette/Joliette"," 48","Sainte-Béatrix",16,15,19,99,140,2,291,477
24025,"Joliette/Joliette"," 49","Sainte-Béatrix",9,18,15,115,160,3,320,525
24025,"Joliette/Joliette"," 50","Saint-Alphonse-Rodriguez",20,12,24,124,161,5,346,627
24025,"Joliette/Joliette"," 51","Saint-Alphonse-Rodriguez",8,11,20,104,150,4,297,642
24025,"Joliette/Joliette"," 52","Sainte-Marcelline-de-Kildare",24,30,19,130,210,8,421,663
24025,"Joliette/Joliette"," 53","Sainte-Marcelline-de-Kildare",7,18,17,118,164,7,331,522
24025,"Joliette/Joliette"," 54","Rawdon",10,12,15,67,103,2,209,510
24025,"Joliette/Joliette"," 55","Rawdon",14,18,31,64,115,1,243,527
24025,"Joliette/Joliette"," 56A","Rawdon",7,8,16,36,74,2,143,351
24025,"Joliette/Joliette"," 56B","Rawdon",5,4,16,51,87,2,165,353
24025,"Joliette/Joliette"," 57","Rawdon",15,6,19,43,94,1,178,420
24025,"Joliette/Joliette"," 58","Rawdon",14,6,16,57,93,1,187,493
24025,"Joliette/Joliette"," 59","Rawdon",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 60","Rawdon",13,8,20,69,113,9,232,466
24025,"Joliette/Joliette"," 61","Rawdon",13,14,18,74,133,4,256,575
24025,"Joliette/Joliette"," 62","Rawdon",16,9,15,44,94,4,182,441
24025,"Joliette/Joliette"," 63","Rawdon",15,6,22,57,85,6,191,394
24025,"Joliette/Joliette"," 64","Rawdon",11,10,27,67,129,7,251,600
24025,"Joliette/Joliette"," 65","Rawdon",19,17,45,72,151,3,307,631
24025,"Joliette/Joliette"," 66","Rawdon",23,13,26,68,138,3,271,570
24025,"Joliette/Joliette"," 67","Rawdon",12,7,21,58,70,2,170,465
24025,"Joliette/Joliette"," 68","Rawdon",10,12,25,56,129,3,235,512
24025,"Joliette/Joliette"," 69","Rawdon",12,3,9,85,105,2,216,409
24025,"Joliette/Joliette"," 70","Rawdon",10,3,21,75,131,5,245,490
24025,"Joliette/Joliette"," 71A","Sainte-Mélanie",10,12,19,69,106,3,219,343
24025,"Joliette/Joliette"," 71B","Sainte-Mélanie",7,38,21,61,104,3,234,393
24025,"Joliette/Joliette"," 72","Sainte-Mélanie",11,17,22,44,111,0,205,402
24025,"Joliette/Joliette"," 73","Sainte-Mélanie",21,18,45,101,192,5,382,647
24025,"Joliette/Joliette"," 74","Sainte-Mélanie",7,9,38,74,129,4,261,504
24025,"Joliette/Joliette"," 75","Notre-Dame-de-Lourdes",12,8,37,120,143,6,326,518
24025,"Joliette/Joliette"," 76","Lourdes-de-Joliette",19,13,33,78,152,5,300,515
24025,"Joliette/Joliette"," 76-1","Lourdes-de-Joliette",10,8,20,74,130,1,243,405
24025,"Joliette/Joliette"," 77","Lourdes-de-Joliette",4,4,8,66,92,1,175,316
24025,"Joliette/Joliette"," 78","Notre-Dame-de-Lourdes",6,8,17,66,68,0,165,295
24025,"Joliette/Joliette"," 79","Saint-Ambroise-de-Kildare",10,17,14,95,124,2,262,416
24025,"Joliette/Joliette"," 80","Saint-Ambroise-de-Kildare",16,14,22,124,189,5,370,576
24025,"Joliette/Joliette"," 81","Saint-Ambroise-de-Kildare",14,13,13,112,153,11,316,533
24025,"Joliette/Joliette"," 82","Saint-Ambroise-de-Kildare",11,19,33,122,149,4,338,559
24025,"Joliette/Joliette"," 83","Saint-Ambroise-de-Kildare",17,17,25,97,127,0,283,468
24025,"Joliette/Joliette"," 84","Saint-Ambroise-de-Kildare",8,14,36,55,110,5,228,371
24025,"Joliette/Joliette"," 85","Saint-Félix-de-Valois",9,11,16,49,123,3,211,373
24025,"Joliette/Joliette"," 86A","Saint-Félix-de-Valois",6,10,18,64,100,1,199,342
24025,"Joliette/Joliette"," 86B","Saint-Félix-de-Valois",3,7,13,44,86,1,154,270
24025,"Joliette/Joliette"," 87","Saint-Félix-de-Valois",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 88","Saint-Félix-de-Valois",5,3,9,43,88,3,151,342
24025,"Joliette/Joliette"," 89","Saint-Félix-de-Valois",7,6,26,49,65,4,157,346
24025,"Joliette/Joliette"," 90","Saint-Félix-de-Valois",12,10,18,68,123,6,237,437
24025,"Joliette/Joliette"," 91","Saint-Félix-de-Valois",10,7,27,68,151,3,266,453
24025,"Joliette/Joliette"," 92","Saint-Félix-de-Valois",8,15,20,78,115,3,239,475
24025,"Joliette/Joliette"," 93A","Saint-Félix-de-Valois",8,1,17,45,102,5,178,357
24025,"Joliette/Joliette"," 93B","Saint-Félix-de-Valois",13,2,16,40,68,3,142,313
24025,"Joliette/Joliette"," 94","Saint-Félix-de-Valois",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 95","Saint-Félix-de-Valois",10,6,21,84,187,6,314,531
24025,"Joliette/Joliette"," 96A","Saint-Félix-de-Valois",2,2,10,40,85,2,141,306
24025,"Joliette/Joliette"," 96B","Saint-Félix-de-Valois",4,7,19,34,86,3,153,284
24025,"Joliette/Joliette"," 97","Saint-Charles-Borromée",13,11,20,88,84,4,220,421
24025,"Joliette/Joliette"," 98","Saint-Charles-Borromée",8,12,22,82,158,6,288,521
24025,"Joliette/Joliette"," 98-1","Saint-Charles-Borromée",11,9,14,67,88,2,191,324
24025,"Joliette/Joliette"," 99","Saint-Charles-Borromée",10,6,11,57,119,1,204,358
24025,"Joliette/Joliette"," 99-1","Saint-Charles-Borromée",6,4,13,61,71,1,156,291
24025,"Joliette/Joliette"," 100","Saint-Charles-Borromée",9,24,20,117,165,2,337,606
24025,"Joliette/Joliette"," 101","Saint-Charles-Borromée",15,15,24,77,133,2,266,533
24025,"Joliette/Joliette"," 102","Saint-Charles-Borromée",13,6,12,85,100,3,219,352
24025,"Joliette/Joliette"," 103","Saint-Charles-Borromée",4,16,20,106,104,2,252,427
24025,"Joliette/Joliette"," 104","Saint-Charles-Borromée",9,4,16,94,117,0,240,451
24025,"Joliette/Joliette"," 105","Saint-Charles-Borromée",6,5,24,50,118,3,206,368
24025,"Joliette/Joliette"," 106","Saint-Charles-Borromée",20,6,22,105,133,5,291,473
24025,"Joliette/Joliette"," 107","Saint-Charles-Borromée",14,4,30,37,68,2,155,441
24025,"Joliette/Joliette"," 107-1","Saint-Charles-Borromée",6,6,32,53,74,5,176,414
24025,"Joliette/Joliette"," 108","Saint-Charles-Borromée",14,8,27,63,130,2,244,437
24025,"Joliette/Joliette"," 109","Saint-Charles-Borromée",7,14,18,84,115,9,247,502
24025,"Joliette/Joliette"," 110","Saint-Charles-Borromée",34,5,22,93,143,4,301,637
24025,"Joliette/Joliette"," 111","Saint-Charles-Borromée",25,3,27,49,76,4,184,287
24025,"Joliette/Joliette"," 112","Saint-Charles-Borromée",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 113","Saint-Charles-Borromée",11,8,23,77,113,10,242,467
24025,"Joliette/Joliette"," 114","Saint-Charles-Borromée",9,9,20,82,101,4,225,418
24025,"Joliette/Joliette"," 115","Saint-Charles-Borromée",15,3,28,104,152,5,307,464
24025,"Joliette/Joliette"," 116A","Saint-Charles-Borromée",9,5,16,51,104,1,186,377
24025,"Joliette/Joliette"," 116B","Saint-Charles-Borromée",7,10,10,56,99,4,186,346
24025,"Joliette/Joliette"," 117","Saint-Charles-Borromée",17,6,15,85,121,2,246,521
24025,"Joliette/Joliette"," 118","Joliette",15,2,18,46,82,2,165,412
24025,"Joliette/Joliette"," 118-1A","Joliette",23,9,29,79,97,6,243,408
24025,"Joliette/Joliette"," 118-1B","Joliette",36,4,40,60,82,11,233,236
24025,"Joliette/Joliette"," 119","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 120","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 121","Joliette",9,22,12,90,81,7,221,622
24025,"Joliette/Joliette"," 122","Joliette",11,15,11,100,80,2,219,503
24025,"Joliette/Joliette"," 123","Joliette",6,8,12,64,47,6,143,442
24025,"Joliette/Joliette"," 124","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 125","Joliette",11,18,17,61,56,3,166,343
24025,"Joliette/Joliette"," 126","Joliette",19,13,27,86,102,3,250,459
24025,"Joliette/Joliette"," 127","Joliette",16,4,12,51,60,1,144,287
24025,"Joliette/Joliette"," 128","Joliette",15,8,13,43,80,0,159,285
24025,"Joliette/Joliette"," 129","Joliette",10,5,12,65,93,2,187,373
24025,"Joliette/Joliette"," 130","Joliette",28,10,14,66,137,1,256,516
24025,"Joliette/Joliette"," 131","Joliette",3,5,10,26,50,1,95,350
24025,"Joliette/Joliette"," 132","Joliette",15,6,14,41,62,7,145,313
24025,"Joliette/Joliette"," 133","Joliette",16,10,16,63,73,2,180,352
24025,"Joliette/Joliette"," 134","Joliette",14,9,10,64,80,3,180,566
24025,"Joliette/Joliette"," 135","Joliette",10,11,16,65,71,1,174,367
24025,"Joliette/Joliette"," 136","Joliette",26,14,32,82,123,0,277,538
24025,"Joliette/Joliette"," 137","Joliette",13,10,22,89,155,5,294,523
24025,"Joliette/Joliette"," 138","Notre-Dame-des-Prairies",18,11,19,130,159,5,342,572
24025,"Joliette/Joliette"," 139","Notre-Dame-des-Prairies",13,19,36,97,182,6,353,582
24025,"Joliette/Joliette"," 140","Notre-Dame-des-Prairies",19,14,25,72,118,8,256,439
24025,"Joliette/Joliette"," 140-1","Notre-Dame-des-Prairies",11,2,11,56,100,2,182,333
24025,"Joliette/Joliette"," 141","Notre-Dame-des-Prairies",4,9,14,69,88,2,186,384
24025,"Joliette/Joliette"," 142","Notre-Dame-des-Prairies",4,4,11,59,74,2,154,288
24025,"Joliette/Joliette"," 143","Notre-Dame-des-Prairies",28,10,25,75,139,2,279,523
24025,"Joliette/Joliette"," 144","Notre-Dame-des-Prairies",23,6,23,79,118,4,253,452
24025,"Joliette/Joliette"," 145","Notre-Dame-des-Prairies",13,4,12,42,100,2,173,332
24025,"Joliette/Joliette"," 146","Notre-Dame-des-Prairies",7,11,19,63,97,2,199,358
24025,"Joliette/Joliette"," 147","Notre-Dame-des-Prairies",16,6,13,80,100,3,218,373
24025,"Joliette/Joliette"," 148","Notre-Dame-des-Prairies",5,10,13,63,85,0,176,360
24025,"Joliette/Joliette"," 149","Notre-Dame-des-Prairies",16,5,14,54,101,4,194,389
24025,"Joliette/Joliette"," 150","Notre-Dame-des-Prairies",9,16,9,112,140,5,291,435
24025,"Joliette/Joliette"," 151","Notre-Dame-des-Prairies",5,4,16,71,113,4,213,339
24025,"Joliette/Joliette"," 151-1","Notre-Dame-des-Prairies",14,3,22,94,188,9,330,634
24025,"Joliette/Joliette"," 152","Notre-Dame-des-Prairies",9,9,27,69,85,3,202,408
24025,"Joliette/Joliette"," 153","Saint-Thomas",8,15,33,85,183,9,333,546
24025,"Joliette/Joliette"," 154","Saint-Thomas",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 155","Saint-Thomas",16,11,27,78,142,8,282,485
24025,"Joliette/Joliette"," 156","Saint-Thomas",18,16,18,88,207,8,355,592
24025,"Joliette/Joliette"," 157","Saint-Thomas",12,10,22,86,143,5,278,518
24025,"Joliette/Joliette"," 158","Saint-Thomas",11,4,21,67,96,1,200,357
24025,"Joliette/Joliette"," 159","Joliette",13,3,29,73,82,5,205,374
24025,"Joliette/Joliette"," 159-1","Joliette",15,10,18,55,48,2,148,235
24025,"Joliette/Joliette"," 160","Joliette",8,18,23,103,130,6,288,608
24025,"Joliette/Joliette"," 161","Joliette",11,10,18,60,88,3,190,368
24025,"Joliette/Joliette"," 162","Joliette",14,12,24,93,141,1,285,526
24025,"Joliette/Joliette"," 163","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 164","Joliette",6,18,9,72,91,2,198,390
24025,"Joliette/Joliette"," 165","Joliette",11,6,25,89,122,5,258,586
24025,"Joliette/Joliette"," 166","Joliette",8,11,12,49,62,1,143,432
24025,"Joliette/Joliette"," 167","Joliette",5,14,15,30,79,5,148,324
24025,"Joliette/Joliette"," 168","Joliette",9,8,5,49,53,4,128,346
24025,"Joliette/Joliette"," 169","Joliette",18,6,20,47,76,2,169,295
24025,"Joliette/Joliette"," 170","Joliette",6,6,11,47,72,2,144,426
24025,"Joliette/Joliette"," 171","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 172","Joliette",20,10,17,57,80,4,188,368
24025,"Joliette/Joliette"," 173A","Joliette",5,8,23,72,111,6,225,362
24025,"Joliette/Joliette"," 173B","Joliette",13,11,20,88,92,0,224,357
24025,"Joliette/Joliette"," 174A","Joliette",16,8,11,69,119,2,225,358
24025,"Joliette/Joliette"," 174B","Joliette",8,10,8,59,126,3,214,351
24025,"Joliette/Joliette"," 174-1","Joliette",15,16,22,99,132,3,287,496
24025,"Joliette/Joliette"," 175","Joliette",24,16,36,108,180,5,369,543
24025,"Joliette/Joliette"," 176","Saint-Pierre",8,8,11,29,66,0,122,196
24025,"Joliette/Joliette"," 177A","Saint-Paul",8,6,23,74,116,9,236,463
24025,"Joliette/Joliette"," 177B","Saint-Paul",10,7,20,93,139,9,278,530
24025,"Joliette/Joliette"," 178A","Saint-Paul",14,11,10,75,127,1,238,390
24025,"Joliette/Joliette"," 178B","Saint-Paul",11,8,11,74,135,2,241,394
24025,"Joliette/Joliette"," 179","Saint-Paul",4,6,16,46,74,4,150,304
24025,"Joliette/Joliette"," 180","Saint-Paul",6,9,15,55,102,5,192,363
24025,"Joliette/Joliette"," 181","Saint-Paul",9,17,22,76,151,12,287,498
24025,"Joliette/Joliette"," 182","Crabtree",11,7,21,56,112,5,212,356
24025,"Joliette/Joliette"," 183","Crabtree",4,14,13,80,115,5,231,410
24025,"Joliette/Joliette"," 184","Crabtree",30,19,36,146,231,11,473,650
24025,"Joliette/Joliette"," 185","Crabtree",10,16,27,77,159,6,295,487
24025,"Joliette/Joliette"," 186","Crabtree",11,8,29,66,146,8,268,463
24025,"Joliette/Joliette"," 187","Crabtree",20,12,24,107,187,7,357,581
24025,"Joliette/Joliette"," 188","Saint-Paul",12,7,21,99,148,6,293,485
24025,"Joliette/Joliette"," 189","Saint-Paul",7,7,17,67,87,6,191,390
24025,"Joliette/Joliette"," 400","Saint-Charles-Borromée",12,1,28,20,23,3,87,112
24025,"Joliette/Joliette"," 401","Saint-Charles-Borromée",19,4,11,15,11,0,60,167
24025,"Joliette/Joliette"," 402","Saint-Charles-Borromée",15,3,21,34,34,3,110,158
24025,"Joliette/Joliette"," 403","Joliette",Merged with No. 118-1B/Fusionné avec le nº 118-1B,,,,,,,156
24025,"Joliette/Joliette"," 404","Rawdon",16,3,8,15,24,5,71,119
24025,"Joliette/Joliette"," 500","Mobile poll/Bureau itinérant",14,4,2,6,11,5,42,116
24025,"Joliette/Joliette"," 501","Mobile poll/Bureau itinérant",17,2,12,27,14,1,73,132
24025,"Joliette/Joliette"," 502","Mobile poll/Bureau itinérant",14,2,13,15,13,1,58,205
24025,"Joliette/Joliette"," 503","Mobile poll/Bureau itinérant",24,4,14,31,29,4,106,142
24025,"Joliette/Joliette"," 600","Manawan",6,1,4,14,12,0,37,
24025,"Joliette/Joliette"," 601","Saint-Michel-des-Saints--Saint-Zénon",16,7,35,112,114,4,288,
24025,"Joliette/Joliette"," 602","Saint-Donat--Notre-Dame-de-la-Merci",83,9,81,248,258,7,686,
24025,"Joliette/Joliette"," 603","Saint-Jean-de-Matha--Saint-Damien",38,12,61,217,256,8,592,
24025,"Joliette/Joliette"," 604","Rawdon",51,11,64,158,208,4,496,
24025,"Joliette/Joliette"," 605","Rawdon",72,21,123,183,314,11,724,
24025,"Joliette/Joliette"," 606","Chertsey--Entrelacs",37,11,79,267,265,5,664,
24025,"Joliette/Joliette"," 607","Saint-Ambroise-de-Kildare--Sainte-Mélanie",41,28,61,266,232,8,636,
24025,"Joliette/Joliette"," 608","Saint-Félix-de-Valois",32,15,57,177,233,7,521,
24025,"Joliette/Joliette"," 609","Saint-Alphonse-Rodriguez--Saint-Côme",42,14,44,212,244,3,559,
24025,"Joliette/Joliette"," 610","Saint-Thomas",27,9,34,82,105,5,262,
24025,"Joliette/Joliette"," 611","Crabtree--Saint-Paul",39,17,55,174,182,8,475,
24025,"Joliette/Joliette"," 612","Saint-Charles-Borromée",39,13,62,212,210,11,547,
24025,"Joliette/Joliette"," 613","Saint-Charles-Borromée",45,8,92,167,205,6,523,
24025,"Joliette/Joliette"," 614","Saint-Charles-Borromée",17,4,29,74,93,7,224,
24025,"Joliette/Joliette"," 615","Notre-Dame-des-Prairies",41,11,54,179,211,6,502,
24025,"Joliette/Joliette"," 616","Notre-Dame-des-Prairies",31,13,55,154,175,4,432,
24025,"Joliette/Joliette"," 617","Joliette",21,11,22,108,86,3,251,
24025,"Joliette/Joliette"," 618","Joliette",44,22,44,157,189,5,461,
24025,"Joliette/Joliette"," 619","Joliette",47,6,45,120,153,4,375,
24025,"Joliette/Joliette"," 620","Joliette",120,10,37,122,140,2,431,
24025,"Joliette/Joliette",,Group 1/Groupe 1,22,4,26,39,24,8,123,221
24025,"Joliette/Joliette",,Group 2/Groupe 2,56,20,67,228,127,4,502,
