Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Ray Game,John Maloney,David Vangoolen,Leanna Villella,Ron J. Walker,Robin Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Welland/Welland"," 90","Welland",120,1,35,5,123,0,7,2,293,498
35097,"Welland/Welland"," 91","Welland",81,2,30,0,94,0,8,0,215,382
35097,"Welland/Welland"," 92","Welland",83,0,15,0,70,0,3,0,171,346
35097,"Welland/Welland"," 93","Welland",81,0,19,1,76,0,9,2,188,412
35097,"Welland/Welland"," 94","Welland",91,0,13,5,108,0,1,3,221,454
35097,"Welland/Welland"," 95","Welland",55,1,21,0,70,0,3,0,150,349
35097,"Welland/Welland"," 96","Welland",85,0,12,0,57,1,2,0,157,354
35097,"Welland/Welland"," 97","Welland",93,0,36,0,114,2,5,2,252,444
35097,"Welland/Welland"," 98","Welland",98,1,29,1,84,1,6,5,225,447
35097,"Welland/Welland"," 99","Welland",89,0,38,1,122,0,7,2,259,459
35097,"Welland/Welland"," 100","Welland",55,2,24,1,88,0,3,0,173,395
35097,"Welland/Welland"," 101","Welland",87,1,26,0,101,0,2,0,217,369
35097,"Welland/Welland"," 102","Welland",80,1,32,1,84,0,5,2,205,342
35097,"Welland/Welland"," 103","Welland",77,0,20,3,52,0,2,2,156,283
35097,"Welland/Welland"," 104","Welland",72,0,17,0,61,0,3,0,153,299
35097,"Welland/Welland"," 105","Welland",87,0,21,3,60,0,4,1,176,362
35097,"Welland/Welland"," 106","Welland",103,2,31,0,95,0,9,0,240,463
35097,"Welland/Welland"," 107","Welland",85,0,27,4,82,1,5,2,206,401
35097,"Welland/Welland"," 108","Welland",74,0,24,0,75,0,4,1,178,329
35097,"Welland/Welland"," 109","Welland",72,0,33,0,87,0,5,1,198,357
35097,"Welland/Welland"," 110","Welland",59,1,20,2,57,0,4,1,144,389
35097,"Welland/Welland"," 111","Welland",37,0,18,0,39,0,2,1,97,188
35097,"Welland/Welland"," 112","Welland",59,2,23,0,60,1,4,1,150,275
35097,"Welland/Welland"," 113","Welland",109,0,65,0,97,1,4,3,279,494
35097,"Welland/Welland"," 114","Welland",100,0,29,1,81,0,5,1,217,376
35097,"Welland/Welland"," 115","Welland",90,2,32,1,116,1,4,0,246,451
35097,"Welland/Welland"," 116","Welland",91,3,39,1,126,0,6,2,268,499
35097,"Welland/Welland"," 117","Welland",100,1,34,0,120,1,4,0,260,503
35097,"Welland/Welland"," 118","Welland",103,0,16,3,61,0,5,1,189,384
35097,"Welland/Welland"," 119","Welland",86,1,17,3,44,0,7,0,158,378
35097,"Welland/Welland"," 120","Welland",93,0,20,3,49,0,4,1,170,436
35097,"Welland/Welland"," 121","Welland",85,1,7,0,52,0,3,0,148,366
35097,"Welland/Welland"," 122","Welland",83,0,15,0,20,0,6,0,124,344
35097,"Welland/Welland"," 123","Welland",70,0,15,0,22,1,4,0,112,315
35097,"Welland/Welland"," 124","Welland",92,1,22,4,82,1,4,0,206,500
35097,"Welland/Welland"," 125","Welland",63,0,12,0,39,0,1,0,115,345
35097,"Welland/Welland"," 126","Welland",87,2,17,0,49,0,6,0,161,329
35097,"Welland/Welland"," 127","Welland",86,1,18,0,62,0,8,0,175,358
35097,"Welland/Welland"," 128","Welland",59,1,15,0,64,0,2,0,141,270
35097,"Welland/Welland"," 129","Welland",106,1,16,0,92,0,6,3,224,463
35097,"Welland/Welland"," 130","Welland",108,0,9,4,76,0,6,1,204,419
35097,"Welland/Welland"," 131","Welland",64,1,12,0,19,0,0,0,96,303
35097,"Welland/Welland"," 132","Welland",87,0,23,3,43,0,5,2,163,375
35097,"Welland/Welland"," 133","Welland",109,1,13,2,62,0,2,0,189,369
35097,"Welland/Welland"," 134","Welland",108,1,6,3,44,0,6,0,168,338
35097,"Welland/Welland"," 135","Welland",89,0,22,0,74,0,2,0,187,394
35097,"Welland/Welland"," 136","Welland",53,0,2,1,28,0,2,0,86,217
35097,"Welland/Welland"," 137","Welland",110,1,24,0,63,2,4,0,204,335
35097,"Welland/Welland"," 138","Welland",93,0,29,4,77,0,1,1,205,343
35097,"Welland/Welland"," 139","Welland",104,0,19,0,68,2,5,1,199,398
35097,"Welland/Welland"," 140","Welland",157,1,28,4,127,0,11,1,329,588
35097,"Welland/Welland"," 141","Welland",75,1,13,1,49,1,6,1,147,291
35097,"Welland/Welland"," 142","Welland",81,0,22,0,64,0,4,0,171,359
35097,"Welland/Welland"," 143","Welland",91,0,10,0,71,1,3,0,176,329
35097,"Welland/Welland"," 144","Welland",112,0,11,0,61,0,7,2,193,389
35097,"Welland/Welland"," 145","Welland",60,0,14,1,34,0,4,1,114,261
35097,"Welland/Welland"," 145-1","Welland",48,0,20,1,101,0,2,1,173,288
35097,"Welland/Welland"," 146","Welland",107,2,5,2,39,0,4,2,161,392
35097,"Welland/Welland"," 147","Welland",79,0,12,1,52,0,4,0,148,381
35097,"Welland/Welland"," 148","Welland",77,0,20,0,42,0,3,0,142,368
35097,"Welland/Welland"," 149","Welland",56,0,12,1,28,0,2,0,99,250
35097,"Welland/Welland"," 150","Welland",88,2,19,0,57,4,3,4,177,420
35097,"Welland/Welland"," 151","Welland",91,2,16,1,43,0,7,1,161,354
35097,"Welland/Welland"," 152","Welland",104,2,31,0,61,0,0,7,205,349
35097,"Welland/Welland"," 153","Welland",100,2,46,0,51,0,1,0,200,381
35097,"Welland/Welland"," 154","Welland",80,0,36,1,72,0,0,0,189,299
35097,"Welland/Welland"," 155","Welland",56,0,16,0,23,0,2,0,97,212
35097,"Welland/Welland"," 156","Welland",76,0,10,0,34,1,0,2,123,314
35097,"Welland/Welland"," 157","Welland",56,1,9,0,39,0,2,2,109,249
35097,"Welland/Welland"," 158","Welland",95,0,16,2,47,1,6,1,168,376
35097,"Welland/Welland"," 159","Welland",76,0,14,0,36,0,2,3,131,304
35097,"Welland/Welland"," 160","Welland",69,0,47,1,62,1,2,6,188,304
35097,"Welland/Welland"," 161","Welland",101,0,29,2,62,0,3,1,198,367
35097,"Welland/Welland"," 162","Welland",53,1,22,0,52,0,2,0,130,246
35097,"Welland/Welland"," 163","Welland",90,1,17,0,28,1,3,0,140,289
35097,"Welland/Welland"," 164","Welland",119,0,12,0,45,2,3,1,182,404
35097,"Welland/Welland"," 165","Welland",71,1,14,0,29,1,3,0,119,283
35097,"Welland/Welland"," 166","Welland",76,0,17,2,35,0,3,1,134,248
35097,"Welland/Welland"," 167","Welland",67,0,5,0,36,3,3,1,115,252
35097,"Welland/Welland"," 168","Welland",71,0,15,1,105,0,1,1,194,344
35097,"Welland/Welland"," 169","Welland",105,0,41,0,131,0,4,1,282,423
35097,"Welland/Welland"," 170","Welland",126,0,17,0,103,1,2,0,249,402
35097,"Welland/Welland"," 171","Wainfleet",29,2,11,14,169,0,3,3,231,330
35097,"Welland/Welland"," 172","Wainfleet",52,0,17,14,130,0,4,0,217,359
35097,"Welland/Welland"," 173","Wainfleet",59,1,8,19,174,0,4,3,268,438
35097,"Welland/Welland"," 174","Wainfleet",64,1,14,6,124,1,6,1,217,390
35097,"Welland/Welland"," 175","Wainfleet",13,2,9,0,46,0,2,1,73,137
35097,"Welland/Welland"," 175-1","Wainfleet",78,0,13,0,105,3,10,3,212,390
35097,"Welland/Welland"," 176","Wainfleet",51,0,17,9,122,0,7,0,206,376
35097,"Welland/Welland"," 177","Wainfleet",20,0,12,1,88,0,1,2,124,242
35097,"Welland/Welland"," 178","Wainfleet",50,0,9,6,129,0,5,1,200,316
35097,"Welland/Welland"," 179","Wainfleet",82,2,15,1,117,0,6,1,224,414
35097,"Welland/Welland"," 180","Wainfleet",78,1,22,0,81,0,7,2,191,340
35097,"Welland/Welland"," 181","Wainfleet",75,0,19,0,100,1,6,0,201,385
35097,"Welland/Welland"," 182","Wainfleet",53,1,17,0,69,0,12,1,153,255
35097,"Welland/Welland"," 183","Wainfleet",60,1,27,0,83,0,4,0,175,320
35097,"Welland/Welland"," 184","Port Colborne",72,0,25,1,68,0,8,1,175,288
35097,"Welland/Welland"," 185","Port Colborne",115,3,42,0,126,0,10,1,297,490
35097,"Welland/Welland"," 186","Port Colborne",99,1,21,2,60,1,4,1,189,381
35097,"Welland/Welland"," 187","Port Colborne",75,0,19,0,51,0,5,1,151,321
35097,"Welland/Welland"," 188","Port Colborne",113,0,25,0,56,1,2,0,197,402
35097,"Welland/Welland"," 189","Port Colborne",63,1,31,0,56,1,1,2,155,279
35097,"Welland/Welland"," 190","Port Colborne",53,1,46,1,113,0,2,1,217,351
35097,"Welland/Welland"," 191","Port Colborne",63,0,26,3,65,0,4,2,163,270
35097,"Welland/Welland"," 192","Port Colborne",95,1,47,1,61,0,3,2,210,396
35097,"Welland/Welland"," 193","Port Colborne",83,1,12,0,38,0,5,3,142,335
35097,"Welland/Welland"," 194","Port Colborne",45,0,12,0,39,0,1,1,98,196
35097,"Welland/Welland"," 195","Port Colborne",57,0,23,0,26,0,1,3,110,221
35097,"Welland/Welland"," 196","Port Colborne",80,0,22,1,50,0,7,1,161,310
35097,"Welland/Welland"," 197","Port Colborne",77,1,40,0,51,0,4,0,173,309
35097,"Welland/Welland"," 198","Port Colborne",80,0,20,0,42,0,4,0,146,317
35097,"Welland/Welland"," 199","Port Colborne",87,1,21,1,45,0,4,0,159,300
35097,"Welland/Welland"," 200","Port Colborne",90,0,23,0,33,0,5,0,151,339
35097,"Welland/Welland"," 201","Port Colborne",89,1,11,0,17,1,3,0,122,285
35097,"Welland/Welland"," 202","Port Colborne",60,0,27,0,44,0,4,1,136,265
35097,"Welland/Welland"," 203","Port Colborne",51,2,19,0,20,0,4,0,96,269
35097,"Welland/Welland"," 204","Port Colborne",41,0,21,2,52,0,2,0,118,276
35097,"Welland/Welland"," 205","Port Colborne",73,0,26,0,52,0,3,1,155,323
35097,"Welland/Welland"," 206","Port Colborne",96,1,23,2,49,0,2,2,175,305
35097,"Welland/Welland"," 207","Port Colborne",78,0,34,0,66,0,9,2,189,327
35097,"Welland/Welland"," 208","Port Colborne",97,1,38,0,74,1,6,1,218,339
35097,"Welland/Welland"," 209","Port Colborne",75,0,45,0,65,0,5,1,191,324
35097,"Welland/Welland"," 210","Port Colborne",63,3,81,0,113,1,4,2,267,438
35097,"Welland/Welland"," 211","Port Colborne",56,1,75,0,79,0,4,0,215,357
35097,"Welland/Welland"," 212","Port Colborne",64,1,46,4,80,0,5,0,200,363
35097,"Welland/Welland"," 213","Port Colborne",52,0,45,0,65,0,3,0,165,314
35097,"Welland/Welland"," 214","Port Colborne",130,0,45,0,118,0,4,1,298,568
35097,"Welland/Welland"," 215","Port Colborne",83,2,53,0,86,1,8,3,236,380
35097,"Welland/Welland"," 216","Port Colborne",58,0,24,0,28,0,7,0,117,296
35097,"Welland/Welland"," 217","Port Colborne",122,3,21,1,119,1,7,1,275,438
35097,"Welland/Welland"," 218","Port Colborne",54,4,20,0,98,0,5,2,183,320
35097,"Welland/Welland"," 219","Port Colborne",96,0,28,1,39,0,0,0,164,315
35097,"Welland/Welland"," 220","Port Colborne",77,0,29,0,55,1,4,1,167,293
35097,"Welland/Welland"," 221","Port Colborne",93,0,6,0,25,1,3,3,131,274
35097,"Welland/Welland"," 222","Port Colborne",61,2,19,2,60,0,4,2,150,284
35097,"Welland/Welland"," 223","Port Colborne",86,2,37,1,121,1,4,0,252,482
35097,"Welland/Welland"," 224","Port Colborne",100,0,33,1,90,0,7,0,231,373
35097,"Welland/Welland"," 225","Port Colborne",92,3,27,0,109,0,9,2,242,413
35097,"Welland/Welland"," 500","Mobile poll/Bureau itinérant",17,1,7,1,15,0,4,0,45,112
35097,"Welland/Welland"," 501","Mobile poll/Bureau itinérant",29,1,35,2,19,0,2,2,90,116
35097,"Welland/Welland"," 502","Mobile poll/Bureau itinérant",28,0,21,2,19,1,3,2,76,158
35097,"Welland/Welland"," 503","Mobile poll/Bureau itinérant",28,2,27,0,46,0,2,1,106,139
35097,"Welland/Welland"," 504","Mobile poll/Bureau itinérant",42,2,17,1,35,0,1,5,103,151
35097,"Welland/Welland"," 505","Mobile poll/Bureau itinérant",32,1,51,2,37,1,3,2,129,132
35097,"Welland/Welland"," 506","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,,,88
35097,"Welland/Welland"," 507","Mobile poll/Bureau itinérant",17,2,28,0,33,1,3,2,86,139
35097,"Welland/Welland"," 600","St. Catharines",149,1,55,1,253,0,12,2,473,
35097,"Welland/Welland"," 601","St. Catharines",134,0,30,2,147,0,8,2,323,
35097,"Welland/Welland"," 602","St. Catharines",126,0,57,1,158,0,12,1,355,
35097,"Welland/Welland"," 603","St. Catharines",17,0,7,0,7,0,1,0,32,
35097,"Welland/Welland"," 604","Thorold",163,1,73,0,164,0,9,2,412,
35097,"Welland/Welland"," 605","Thorold",192,0,70,2,139,0,5,3,411,
35097,"Welland/Welland"," 606","Thorold",88,0,12,0,143,0,9,1,253,
35097,"Welland/Welland"," 607","Welland",116,1,62,1,199,0,11,0,390,
35097,"Welland/Welland"," 608","Welland",145,1,78,2,208,0,8,0,442,
35097,"Welland/Welland"," 609","Welland",225,1,96,4,300,0,19,1,646,
35097,"Welland/Welland"," 610","Welland",228,2,117,1,277,0,13,3,641,
35097,"Welland/Welland"," 611","Welland",287,0,73,0,188,1,11,2,562,
35097,"Welland/Welland"," 612","Welland",83,0,19,0,69,0,1,1,173,
35097,"Welland/Welland"," 613","Welland",186,1,64,2,107,0,2,5,367,
35097,"Welland/Welland"," 614","Welland",141,0,79,1,125,0,7,4,357,
35097,"Welland/Welland"," 615","Wainfleet",134,1,74,8,287,0,6,1,511,
35097,"Welland/Welland"," 616","Port Colborne",155,1,89,1,161,0,8,2,417,
35097,"Welland/Welland"," 617","Port Colborne",196,3,177,2,180,0,13,2,573,
35097,"Welland/Welland"," 618","Port Colborne",194,5,75,0,143,0,8,3,428,
35097,"Welland/Welland",,Group 1/Groupe 1,22,3,46,0,62,0,3,8,144,262
35097,"Welland/Welland",,Group 2/Groupe 2,275,1,146,5,304,0,22,4,757,
