Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Byrne,Sean Casey,Baird Judson,Eliza Knockwood,Donna Profit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 33","Charlottetown",57,86,0,2,63,3,211,352
11002,"Charlottetown/Charlottetown"," 34","Charlottetown",43,151,2,3,70,0,269,410
11002,"Charlottetown/Charlottetown"," 35","Charlottetown",39,99,3,2,81,5,229,418
11002,"Charlottetown/Charlottetown"," 36","Charlottetown",57,76,2,4,65,2,206,330
11002,"Charlottetown/Charlottetown"," 37","Charlottetown",64,80,2,4,69,0,219,381
11002,"Charlottetown/Charlottetown"," 38","Charlottetown",38,60,0,1,41,1,141,261
11002,"Charlottetown/Charlottetown"," 39","Charlottetown",37,64,3,4,67,0,175,352
11002,"Charlottetown/Charlottetown"," 40","Charlottetown",36,77,6,9,101,5,234,394
11002,"Charlottetown/Charlottetown"," 41","Charlottetown",58,75,2,3,69,2,209,360
11002,"Charlottetown/Charlottetown"," 42","Charlottetown",50,57,2,4,61,1,175,348
11002,"Charlottetown/Charlottetown"," 43","Charlottetown",55,82,0,5,66,2,210,348
11002,"Charlottetown/Charlottetown"," 44","Charlottetown",38,45,1,4,44,2,134,304
11002,"Charlottetown/Charlottetown"," 45","Charlottetown",58,54,0,2,97,0,211,430
11002,"Charlottetown/Charlottetown"," 46","Charlottetown",52,64,0,1,46,0,163,341
11002,"Charlottetown/Charlottetown"," 47","Charlottetown",55,75,0,6,46,1,183,400
11002,"Charlottetown/Charlottetown"," 48","Charlottetown",62,83,5,6,45,1,202,364
11002,"Charlottetown/Charlottetown"," 49","Charlottetown",82,39,0,2,33,0,156,290
11002,"Charlottetown/Charlottetown"," 50","Charlottetown",72,72,1,8,18,0,171,300
11002,"Charlottetown/Charlottetown"," 51","Charlottetown",74,55,0,3,48,4,184,321
11002,"Charlottetown/Charlottetown"," 52","Charlottetown",59,37,0,9,15,1,121,265
11002,"Charlottetown/Charlottetown"," 53","Charlottetown",60,50,0,5,23,1,139,319
11002,"Charlottetown/Charlottetown"," 54","Charlottetown",42,37,1,1,37,2,120,265
11002,"Charlottetown/Charlottetown"," 55","Charlottetown",86,60,1,5,28,0,180,326
11002,"Charlottetown/Charlottetown"," 56","Charlottetown",60,58,0,4,46,1,169,323
11002,"Charlottetown/Charlottetown"," 57","Charlottetown",44,76,0,3,46,2,171,345
11002,"Charlottetown/Charlottetown"," 58","Charlottetown",37,70,0,4,75,6,192,331
11002,"Charlottetown/Charlottetown"," 59","Charlottetown",41,77,0,6,80,1,205,339
11002,"Charlottetown/Charlottetown"," 60","Charlottetown",48,94,0,1,67,1,211,379
11002,"Charlottetown/Charlottetown"," 61","Charlottetown",44,74,0,2,60,3,183,331
11002,"Charlottetown/Charlottetown"," 62","Charlottetown",59,61,3,4,41,1,169,312
11002,"Charlottetown/Charlottetown"," 63","Charlottetown",50,96,0,1,59,0,206,361
11002,"Charlottetown/Charlottetown"," 64","Charlottetown",1,118,1,53,75,0,248,370
11002,"Charlottetown/Charlottetown"," 65","Charlottetown",50,88,0,3,53,0,194,299
11002,"Charlottetown/Charlottetown"," 66","Charlottetown",50,72,1,2,71,0,196,333
11002,"Charlottetown/Charlottetown"," 67","Charlottetown",61,92,1,12,64,0,230,351
11002,"Charlottetown/Charlottetown"," 68","Charlottetown",59,71,0,6,34,0,170,311
11002,"Charlottetown/Charlottetown"," 69","Charlottetown",65,53,1,9,44,0,172,331
11002,"Charlottetown/Charlottetown"," 70","Charlottetown",56,47,1,12,33,0,149,300
11002,"Charlottetown/Charlottetown"," 71","Charlottetown",66,70,1,8,34,0,179,326
11002,"Charlottetown/Charlottetown"," 72","Charlottetown",60,77,0,5,54,3,199,357
11002,"Charlottetown/Charlottetown"," 73","Charlottetown",54,48,0,2,39,0,143,277
11002,"Charlottetown/Charlottetown"," 74","Charlottetown",38,69,2,2,48,2,161,254
11002,"Charlottetown/Charlottetown"," 500","Mobile poll/Bureau itinérant",22,67,2,1,56,5,153,241
11002,"Charlottetown/Charlottetown"," 501","Mobile poll/Bureau itinérant",19,51,4,1,49,1,125,226
11002,"Charlottetown/Charlottetown"," 502","Mobile poll/Bureau itinérant",28,46,8,3,39,6,130,170
11002,"Charlottetown/Charlottetown"," 600","Charlottetown",55,160,0,5,134,0,354,
11002,"Charlottetown/Charlottetown"," 601","Charlottetown",96,319,0,13,196,3,627,
11002,"Charlottetown/Charlottetown"," 602","Charlottetown",146,324,2,9,163,4,648,
11002,"Charlottetown/Charlottetown"," 603","Charlottetown",110,285,1,8,177,2,583,
11002,"Charlottetown/Charlottetown"," 604","Charlottetown",72,139,1,5,146,3,366,
11002,"Charlottetown/Charlottetown",,Group 1/Groupe 1,5,29,0,4,60,1,99,189
11002,"Charlottetown/Charlottetown",,Group 2/Groupe 2,93,381,0,13,257,1,745,
