Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Parsons,Bill Prout,David Tilson,Ard Van Leeuwen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Dufferin--Caledon/Dufferin--Caledon"," 22","Amaranth",24,15,152,25,0,216,327
35018,"Dufferin--Caledon/Dufferin--Caledon"," 23","Amaranth",23,11,96,35,0,165,304
35018,"Dufferin--Caledon/Dufferin--Caledon"," 23-1","Amaranth--Waldemar",21,16,95,32,0,164,327
35018,"Dufferin--Caledon/Dufferin--Caledon"," 24","East Luther Grand Valley",18,18,135,28,2,201,381
35018,"Dufferin--Caledon/Dufferin--Caledon"," 25","East Luther Grand Valley",30,23,155,22,0,230,417
35018,"Dufferin--Caledon/Dufferin--Caledon"," 26","East Luther Grand Valley",21,9,109,31,1,171,294
35018,"Dufferin--Caledon/Dufferin--Caledon"," 27","Grand Valley",20,8,83,28,3,142,269
35018,"Dufferin--Caledon/Dufferin--Caledon"," 28","East Luther Grand Valley",28,6,83,24,0,141,296
35018,"Dufferin--Caledon/Dufferin--Caledon"," 28-1","East Luther Grand Valley",17,6,98,19,2,142,252
35018,"Dufferin--Caledon/Dufferin--Caledon"," 29","East Garafraxa",31,28,216,33,0,308,465
35018,"Dufferin--Caledon/Dufferin--Caledon"," 30","East Garafraxa",37,25,160,38,4,264,465
35018,"Dufferin--Caledon/Dufferin--Caledon"," 31","East Garafraxa",22,21,122,12,0,177,305
35018,"Dufferin--Caledon/Dufferin--Caledon"," 31-1","East Garafraxa--Garafraxa Woods",31,18,148,46,0,243,509
35018,"Dufferin--Caledon/Dufferin--Caledon"," 32","Mono",14,22,91,32,1,160,319
35018,"Dufferin--Caledon/Dufferin--Caledon"," 33","Mono",27,28,120,73,0,248,406
35018,"Dufferin--Caledon/Dufferin--Caledon"," 34","Mono",28,25,130,75,0,258,440
35018,"Dufferin--Caledon/Dufferin--Caledon"," 35","Mono",23,27,130,80,1,261,514
35018,"Dufferin--Caledon/Dufferin--Caledon"," 36","Mono",23,29,142,52,0,246,458
35018,"Dufferin--Caledon/Dufferin--Caledon"," 37","Mono",26,31,203,34,1,295,551
35018,"Dufferin--Caledon/Dufferin--Caledon"," 38","Mono",21,16,107,28,0,172,315
35018,"Dufferin--Caledon/Dufferin--Caledon"," 39","Mono",29,37,159,73,1,299,489
35018,"Dufferin--Caledon/Dufferin--Caledon"," 40","Mono",19,36,77,31,0,163,320
35018,"Dufferin--Caledon/Dufferin--Caledon"," 40-1","Mono",18,26,141,51,2,238,451
35018,"Dufferin--Caledon/Dufferin--Caledon"," 41","Mono",16,28,144,63,4,255,496
35018,"Dufferin--Caledon/Dufferin--Caledon"," 42","Mono",31,26,125,37,1,220,398
35018,"Dufferin--Caledon/Dufferin--Caledon"," 43","Orangeville",26,18,171,52,1,268,479
35018,"Dufferin--Caledon/Dufferin--Caledon"," 44","Orangeville",28,29,141,47,0,245,481
35018,"Dufferin--Caledon/Dufferin--Caledon"," 45","Orangeville",41,17,139,45,0,242,499
35018,"Dufferin--Caledon/Dufferin--Caledon"," 46","Orangeville",45,39,198,83,3,368,634
35018,"Dufferin--Caledon/Dufferin--Caledon"," 47","Orangeville",25,13,75,27,0,140,386
35018,"Dufferin--Caledon/Dufferin--Caledon"," 48","Orangeville",31,14,84,27,2,158,477
35018,"Dufferin--Caledon/Dufferin--Caledon"," 49","Orangeville",22,13,88,28,3,154,426
35018,"Dufferin--Caledon/Dufferin--Caledon"," 50","Orangeville",37,20,76,50,3,186,443
35018,"Dufferin--Caledon/Dufferin--Caledon"," 51","Orangeville",9,16,72,60,1,158,314
35018,"Dufferin--Caledon/Dufferin--Caledon"," 52","Orangeville",28,25,88,30,1,172,404
35018,"Dufferin--Caledon/Dufferin--Caledon"," 53","Orangeville",17,14,79,54,2,166,344
35018,"Dufferin--Caledon/Dufferin--Caledon"," 54","Orangeville",7,14,79,35,0,135,354
35018,"Dufferin--Caledon/Dufferin--Caledon"," 55","Orangeville",20,14,92,32,0,158,294
35018,"Dufferin--Caledon/Dufferin--Caledon"," 56","Orangeville",32,28,131,50,3,244,515
35018,"Dufferin--Caledon/Dufferin--Caledon"," 57","Orangeville",33,40,184,32,0,289,562
35018,"Dufferin--Caledon/Dufferin--Caledon"," 58","Orangeville",26,17,116,30,1,190,337
35018,"Dufferin--Caledon/Dufferin--Caledon"," 59","Orangeville",43,14,123,58,1,239,440
35018,"Dufferin--Caledon/Dufferin--Caledon"," 60","Orangeville",42,18,167,39,1,267,522
35018,"Dufferin--Caledon/Dufferin--Caledon"," 60-1","Orangeville",25,28,141,28,1,223,403
35018,"Dufferin--Caledon/Dufferin--Caledon"," 61","Orangeville",28,21,148,19,1,217,413
35018,"Dufferin--Caledon/Dufferin--Caledon"," 62","Orangeville",30,29,153,48,0,260,502
35018,"Dufferin--Caledon/Dufferin--Caledon"," 63","Orangeville",26,9,94,32,0,161,302
35018,"Dufferin--Caledon/Dufferin--Caledon"," 64","Orangeville",31,9,125,47,0,212,416
35018,"Dufferin--Caledon/Dufferin--Caledon"," 65","Orangeville",37,9,133,22,1,202,455
35018,"Dufferin--Caledon/Dufferin--Caledon"," 66","Orangeville",18,12,60,36,0,126,264
35018,"Dufferin--Caledon/Dufferin--Caledon"," 67","Orangeville",33,13,132,81,0,259,518
35018,"Dufferin--Caledon/Dufferin--Caledon"," 68","Orangeville",21,13,99,26,0,159,370
35018,"Dufferin--Caledon/Dufferin--Caledon"," 69","Orangeville",25,19,88,49,1,182,402
35018,"Dufferin--Caledon/Dufferin--Caledon"," 70","Orangeville",35,13,97,48,0,193,400
35018,"Dufferin--Caledon/Dufferin--Caledon"," 71","Orangeville",36,15,68,35,3,157,392
35018,"Dufferin--Caledon/Dufferin--Caledon"," 72","Orangeville",32,20,94,47,1,194,434
35018,"Dufferin--Caledon/Dufferin--Caledon"," 73","Orangeville",12,20,92,33,0,157,346
35018,"Dufferin--Caledon/Dufferin--Caledon"," 74","Orangeville",34,19,98,39,0,190,389
35018,"Dufferin--Caledon/Dufferin--Caledon"," 75","Orangeville",31,9,98,27,1,166,405
35018,"Dufferin--Caledon/Dufferin--Caledon"," 76","Orangeville",34,25,159,38,4,260,478
35018,"Dufferin--Caledon/Dufferin--Caledon"," 77","Orangeville",28,9,121,41,0,199,365
35018,"Dufferin--Caledon/Dufferin--Caledon"," 78","Orangeville",46,22,213,59,1,341,666
35018,"Dufferin--Caledon/Dufferin--Caledon"," 79","Orangeville",28,12,79,33,0,152,323
35018,"Dufferin--Caledon/Dufferin--Caledon"," 80","Orangeville",35,20,126,34,2,217,391
35018,"Dufferin--Caledon/Dufferin--Caledon"," 81","Orangeville",44,22,100,37,0,203,452
35018,"Dufferin--Caledon/Dufferin--Caledon"," 82","Orangeville",16,9,93,22,1,141,315
35018,"Dufferin--Caledon/Dufferin--Caledon"," 83","Orangeville",26,13,88,21,0,148,371
35018,"Dufferin--Caledon/Dufferin--Caledon"," 84","Orangeville",18,22,120,39,2,201,418
35018,"Dufferin--Caledon/Dufferin--Caledon"," 85","Orangeville",50,22,124,21,1,218,582
35018,"Dufferin--Caledon/Dufferin--Caledon"," 86","Orangeville",45,28,136,32,1,242,497
35018,"Dufferin--Caledon/Dufferin--Caledon"," 87","Caledon",26,25,119,45,0,215,405
35018,"Dufferin--Caledon/Dufferin--Caledon"," 88","Caledon",20,16,186,43,0,265,424
35018,"Dufferin--Caledon/Dufferin--Caledon"," 89","Caledon",18,24,102,37,0,181,309
35018,"Dufferin--Caledon/Dufferin--Caledon"," 89-1","Caledon",31,30,109,33,3,206,418
35018,"Dufferin--Caledon/Dufferin--Caledon"," 90","Caledon",13,12,73,11,2,111,214
35018,"Dufferin--Caledon/Dufferin--Caledon"," 91","Caledon",19,20,89,20,2,150,294
35018,"Dufferin--Caledon/Dufferin--Caledon"," 92","Caledon",27,44,180,33,1,285,538
35018,"Dufferin--Caledon/Dufferin--Caledon"," 93","Caledon",24,17,125,26,0,192,383
35018,"Dufferin--Caledon/Dufferin--Caledon"," 93-1","Caledon",24,25,75,24,1,149,285
35018,"Dufferin--Caledon/Dufferin--Caledon"," 94","Caledon",29,30,157,56,1,273,535
35018,"Dufferin--Caledon/Dufferin--Caledon"," 95","Caledon",18,19,101,33,0,171,395
35018,"Dufferin--Caledon/Dufferin--Caledon"," 96","Caledon",13,40,132,35,0,220,463
35018,"Dufferin--Caledon/Dufferin--Caledon"," 97","Caledon",18,32,125,43,1,219,382
35018,"Dufferin--Caledon/Dufferin--Caledon"," 98","Caledon",12,28,89,32,2,163,293
35018,"Dufferin--Caledon/Dufferin--Caledon"," 99","Caledon",22,13,86,32,1,154,297
35018,"Dufferin--Caledon/Dufferin--Caledon"," 100","Caledon",35,39,157,48,1,280,488
35018,"Dufferin--Caledon/Dufferin--Caledon"," 101","Caledon",14,22,102,20,0,158,260
35018,"Dufferin--Caledon/Dufferin--Caledon"," 101-1","Caledon",28,19,126,28,1,202,354
35018,"Dufferin--Caledon/Dufferin--Caledon"," 102","Caledon",43,51,138,78,0,310,518
35018,"Dufferin--Caledon/Dufferin--Caledon"," 103","Caledon",50,58,198,36,1,343,604
35018,"Dufferin--Caledon/Dufferin--Caledon"," 104","Caledon",22,41,170,53,1,287,503
35018,"Dufferin--Caledon/Dufferin--Caledon"," 105","Caledon",31,25,156,23,2,237,453
35018,"Dufferin--Caledon/Dufferin--Caledon"," 106","Caledon",30,33,165,9,1,238,471
35018,"Dufferin--Caledon/Dufferin--Caledon"," 107","Caledon",62,42,142,6,0,252,533
35018,"Dufferin--Caledon/Dufferin--Caledon"," 107-1","Caledon",57,51,167,10,1,286,594
35018,"Dufferin--Caledon/Dufferin--Caledon"," 108","Caledon",37,34,147,16,0,234,457
35018,"Dufferin--Caledon/Dufferin--Caledon"," 109","Caledon",56,47,144,10,0,257,495
35018,"Dufferin--Caledon/Dufferin--Caledon"," 110","Caledon",56,45,122,12,0,235,454
35018,"Dufferin--Caledon/Dufferin--Caledon"," 111","Caledon",42,45,153,13,2,255,552
35018,"Dufferin--Caledon/Dufferin--Caledon"," 112","Caledon",37,47,161,26,3,274,517
35018,"Dufferin--Caledon/Dufferin--Caledon"," 113","Caledon",29,37,105,11,0,182,370
35018,"Dufferin--Caledon/Dufferin--Caledon"," 114","Caledon",32,21,112,14,0,179,440
35018,"Dufferin--Caledon/Dufferin--Caledon"," 115","Caledon",45,33,156,54,0,288,472
35018,"Dufferin--Caledon/Dufferin--Caledon"," 116","Caledon",16,34,130,40,1,221,448
35018,"Dufferin--Caledon/Dufferin--Caledon"," 117","Caledon",31,36,195,50,0,312,560
35018,"Dufferin--Caledon/Dufferin--Caledon"," 118","Caledon",33,18,161,45,1,258,483
35018,"Dufferin--Caledon/Dufferin--Caledon"," 119","Caledon",20,50,146,75,1,292,507
35018,"Dufferin--Caledon/Dufferin--Caledon"," 120","Caledon",23,70,171,40,0,304,546
35018,"Dufferin--Caledon/Dufferin--Caledon"," 121","Caledon",16,30,137,23,2,208,397
35018,"Dufferin--Caledon/Dufferin--Caledon"," 122","Caledon",26,25,93,18,0,162,346
35018,"Dufferin--Caledon/Dufferin--Caledon"," 123","Caledon",22,22,143,20,2,209,406
35018,"Dufferin--Caledon/Dufferin--Caledon"," 124","Caledon",33,43,136,28,1,241,560
35018,"Dufferin--Caledon/Dufferin--Caledon"," 125","Caledon",41,42,127,35,3,248,546
35018,"Dufferin--Caledon/Dufferin--Caledon"," 126","Caledon",19,29,128,36,0,212,444
35018,"Dufferin--Caledon/Dufferin--Caledon"," 127","Caledon",19,20,111,26,0,176,367
35018,"Dufferin--Caledon/Dufferin--Caledon"," 128","Caledon",19,25,105,11,1,161,320
35018,"Dufferin--Caledon/Dufferin--Caledon"," 129","Caledon",43,30,145,30,3,251,500
35018,"Dufferin--Caledon/Dufferin--Caledon"," 130","Caledon",49,37,201,42,1,330,636
35018,"Dufferin--Caledon/Dufferin--Caledon"," 131","Caledon",39,25,151,59,1,275,504
35018,"Dufferin--Caledon/Dufferin--Caledon"," 132","Caledon",6,23,126,19,1,175,306
35018,"Dufferin--Caledon/Dufferin--Caledon"," 133","Caledon",19,25,91,7,0,142,301
35018,"Dufferin--Caledon/Dufferin--Caledon"," 134","Caledon",30,29,118,20,0,197,365
35018,"Dufferin--Caledon/Dufferin--Caledon"," 135","Caledon",25,56,72,10,2,165,355
35018,"Dufferin--Caledon/Dufferin--Caledon"," 136","Caledon",34,43,88,6,3,174,461
35018,"Dufferin--Caledon/Dufferin--Caledon"," 137","Caledon",20,28,102,19,1,170,379
35018,"Dufferin--Caledon/Dufferin--Caledon"," 138","Caledon",19,24,73,10,0,126,296
35018,"Dufferin--Caledon/Dufferin--Caledon"," 139","Caledon",23,24,96,12,1,156,319
35018,"Dufferin--Caledon/Dufferin--Caledon"," 140","Caledon",23,33,74,20,0,150,328
35018,"Dufferin--Caledon/Dufferin--Caledon"," 141","Caledon",30,44,141,24,0,239,485
35018,"Dufferin--Caledon/Dufferin--Caledon"," 142","Caledon",47,36,132,10,0,225,421
35018,"Dufferin--Caledon/Dufferin--Caledon"," 143","Caledon",27,40,109,20,0,196,455
35018,"Dufferin--Caledon/Dufferin--Caledon"," 144","Caledon",30,26,146,33,1,236,431
35018,"Dufferin--Caledon/Dufferin--Caledon"," 145","Caledon",33,37,150,25,0,245,441
35018,"Dufferin--Caledon/Dufferin--Caledon"," 146","Caledon",38,44,172,22,3,279,534
35018,"Dufferin--Caledon/Dufferin--Caledon"," 147","Caledon",28,32,97,40,0,197,369
35018,"Dufferin--Caledon/Dufferin--Caledon"," 148","Caledon",28,31,112,14,0,185,462
35018,"Dufferin--Caledon/Dufferin--Caledon"," 148-1","Caledon",23,29,93,24,1,170,312
35018,"Dufferin--Caledon/Dufferin--Caledon"," 149","Caledon",32,48,113,24,1,218,492
35018,"Dufferin--Caledon/Dufferin--Caledon"," 149-1","Caledon",36,35,102,19,2,194,424
35018,"Dufferin--Caledon/Dufferin--Caledon"," 150","Caledon",26,36,113,24,0,199,406
35018,"Dufferin--Caledon/Dufferin--Caledon"," 151","Caledon",44,45,156,27,0,272,503
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152","Caledon",34,39,131,7,2,213,479
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152-1","Caledon",29,19,152,7,0,207,537
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152-2","Caledon",34,30,116,7,0,187,427
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152-3","Caledon",52,38,186,16,0,292,564
35018,"Dufferin--Caledon/Dufferin--Caledon"," 153","Caledon",41,27,116,10,0,194,437
35018,"Dufferin--Caledon/Dufferin--Caledon"," 153-1","Caledon",27,18,77,6,0,128,311
35018,"Dufferin--Caledon/Dufferin--Caledon"," 154","Caledon",20,21,105,12,0,158,417
35018,"Dufferin--Caledon/Dufferin--Caledon"," 155","Caledon",26,19,83,15,0,143,306
35018,"Dufferin--Caledon/Dufferin--Caledon"," 156","Caledon",20,26,84,25,0,155,295
35018,"Dufferin--Caledon/Dufferin--Caledon"," 157","Caledon",30,17,63,20,0,130,328
35018,"Dufferin--Caledon/Dufferin--Caledon"," 158","Caledon",29,28,145,44,1,247,545
35018,"Dufferin--Caledon/Dufferin--Caledon"," 159","Caledon",34,50,189,28,0,301,516
35018,"Dufferin--Caledon/Dufferin--Caledon"," 160","Caledon",26,30,152,30,0,238,516
35018,"Dufferin--Caledon/Dufferin--Caledon"," 161","Caledon",20,17,84,21,0,142,366
35018,"Dufferin--Caledon/Dufferin--Caledon"," 162","Caledon",33,25,104,22,2,186,414
35018,"Dufferin--Caledon/Dufferin--Caledon"," 163","Caledon",29,25,125,22,1,202,444
35018,"Dufferin--Caledon/Dufferin--Caledon"," 164","Caledon",35,39,152,14,0,240,520
35018,"Dufferin--Caledon/Dufferin--Caledon"," 165","Caledon",35,45,154,17,1,252,526
35018,"Dufferin--Caledon/Dufferin--Caledon"," 166","Caledon",49,60,135,10,0,254,576
35018,"Dufferin--Caledon/Dufferin--Caledon"," 167","Caledon",19,29,103,8,0,159,352
35018,"Dufferin--Caledon/Dufferin--Caledon"," 168","Caledon",28,32,114,14,0,188,439
35018,"Dufferin--Caledon/Dufferin--Caledon"," 169","Caledon",34,25,115,24,1,199,489
35018,"Dufferin--Caledon/Dufferin--Caledon"," 170","Caledon",41,41,106,5,4,197,462
35018,"Dufferin--Caledon/Dufferin--Caledon"," 171","Caledon",41,47,159,15,4,266,648
35018,"Dufferin--Caledon/Dufferin--Caledon"," 500","Mobile poll/Bureau itinérant",15,7,46,2,1,71,108
35018,"Dufferin--Caledon/Dufferin--Caledon"," 501","Mobile poll/Bureau itinérant",4,10,15,1,0,30,133
35018,"Dufferin--Caledon/Dufferin--Caledon"," 502","Mobile poll/Bureau itinérant",7,13,56,2,1,79,248
35018,"Dufferin--Caledon/Dufferin--Caledon"," 503","Mobile poll/Bureau itinérant",7,19,73,6,2,107,239
35018,"Dufferin--Caledon/Dufferin--Caledon"," 504","Mobile poll/Bureau itinérant",15,16,57,5,1,94,156
35018,"Dufferin--Caledon/Dufferin--Caledon"," 600","Shelburne District",69,85,393,99,1,647,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 601","Mulmur",30,52,142,65,0,289,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 602","Amaranth--East Luther Grand Valley",29,42,294,44,0,409,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 603","Mono",43,97,435,125,0,700,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 604","Orangeville North--Mono",83,137,522,112,3,857,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 605","Orangeville West--Gara Woods",56,80,395,95,2,628,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 606","Orangeville East",35,51,249,45,1,381,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 607","Caledon--Caledon Village",46,105,319,94,1,565,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 608","Caledon--Inglewood",30,72,295,51,0,448,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 609","Caledon--Palgrave",41,100,358,73,0,572,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 610","Caledon--Caledon East",53,112,404,83,2,654,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 611","Caledon--Bolton North",64,83,347,70,2,566,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 612","Caledon--Bolton South",60,78,301,43,0,482,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 613","Caledon--Mayfield West",46,98,286,19,1,450,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 614","Caledon--Bolton West",48,71,208,38,2,367,
35018,"Dufferin--Caledon/Dufferin--Caledon",,Group 1/Groupe 1,8,23,48,9,3,91,170
35018,"Dufferin--Caledon/Dufferin--Caledon",,Group 2/Groupe 2,30,104,235,63,3,435,
