Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kash Andreychuk,Garry Breitkreuz,Elaine Hughes,Douglas Ottenbreit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 83","Kamsack",7,79,4,30,0,120,216
47014,"Yorkton--Melville/Yorkton--Melville"," 84","Kamsack",5,73,3,28,0,109,324
47014,"Yorkton--Melville/Yorkton--Melville"," 85","Togo",5,91,1,13,0,110,197
47014,"Yorkton--Melville/Yorkton--Melville"," 86","Jedburgh",4,94,0,19,0,117,198
47014,"Yorkton--Melville/Yorkton--Melville"," 87","Springside",14,143,6,21,0,184,268
47014,"Yorkton--Melville/Yorkton--Melville"," 88","Springside",22,215,7,44,1,289,419
47014,"Yorkton--Melville/Yorkton--Melville"," 89","Willowbrook",2,84,4,22,0,112,169
47014,"Yorkton--Melville/Yorkton--Melville"," 90","Yorkton",9,122,5,26,0,162,252
47014,"Yorkton--Melville/Yorkton--Melville"," 91","Ebenezer",4,108,2,26,0,140,262
47014,"Yorkton--Melville/Yorkton--Melville"," 92","Yorkton",19,225,7,39,0,290,459
47014,"Yorkton--Melville/Yorkton--Melville"," 93","Yorkton",15,138,9,47,1,210,371
47014,"Yorkton--Melville/Yorkton--Melville"," 94","Otthon",5,76,0,25,0,106,174
47014,"Yorkton--Melville/Yorkton--Melville"," 95","Yorkton",13,74,5,28,0,120,294
47014,"Yorkton--Melville/Yorkton--Melville"," 96","Yorkton",16,102,8,61,0,187,376
47014,"Yorkton--Melville/Yorkton--Melville"," 97","Yorkton",14,115,5,44,0,178,347
47014,"Yorkton--Melville/Yorkton--Melville"," 98","Yorkton",12,89,2,46,1,150,319
47014,"Yorkton--Melville/Yorkton--Melville"," 99","Yorkton",9,90,5,32,0,136,311
47014,"Yorkton--Melville/Yorkton--Melville"," 100","Yorkton",9,61,4,39,0,113,272
47014,"Yorkton--Melville/Yorkton--Melville"," 101","Yorkton",17,145,8,60,3,233,417
47014,"Yorkton--Melville/Yorkton--Melville"," 102","Yorkton",18,124,8,52,0,202,424
47014,"Yorkton--Melville/Yorkton--Melville"," 103","Yorkton",21,61,4,43,0,129,328
47014,"Yorkton--Melville/Yorkton--Melville"," 104","Yorkton",21,97,4,41,1,164,364
47014,"Yorkton--Melville/Yorkton--Melville"," 105","Yorkton",20,150,2,64,0,236,394
47014,"Yorkton--Melville/Yorkton--Melville"," 106","Yorkton",31,137,8,57,1,234,543
47014,"Yorkton--Melville/Yorkton--Melville"," 107","Yorkton",28,177,3,46,2,256,468
47014,"Yorkton--Melville/Yorkton--Melville"," 107-1","Yorkton",12,149,1,30,0,192,300
47014,"Yorkton--Melville/Yorkton--Melville"," 108","Yorkton",16,151,4,44,1,216,352
47014,"Yorkton--Melville/Yorkton--Melville"," 108-1","Yorkton",15,168,3,45,2,233,403
47014,"Yorkton--Melville/Yorkton--Melville"," 108-2","Yorkton",11,122,0,17,0,150,252
47014,"Yorkton--Melville/Yorkton--Melville"," 109","Yorkton",19,126,1,52,0,198,408
47014,"Yorkton--Melville/Yorkton--Melville"," 110","Yorkton",15,147,7,44,1,214,354
47014,"Yorkton--Melville/Yorkton--Melville"," 111","Yorkton",43,103,2,37,0,185,298
47014,"Yorkton--Melville/Yorkton--Melville"," 112","Yorkton",38,168,5,53,1,265,397
47014,"Yorkton--Melville/Yorkton--Melville"," 113","Yorkton",19,145,3,48,1,216,374
47014,"Yorkton--Melville/Yorkton--Melville"," 114","Yorkton",13,53,2,26,0,94,261
47014,"Yorkton--Melville/Yorkton--Melville"," 115","Yorkton",29,112,2,34,0,177,312
47014,"Yorkton--Melville/Yorkton--Melville"," 116","Yorkton",10,66,4,30,0,110,253
47014,"Yorkton--Melville/Yorkton--Melville"," 117A","Yorkton",14,53,4,13,2,86,260
47014,"Yorkton--Melville/Yorkton--Melville"," 117B","Yorkton",4,22,0,15,0,41,94
47014,"Yorkton--Melville/Yorkton--Melville"," 118","Yorkton",23,141,5,39,0,208,374
47014,"Yorkton--Melville/Yorkton--Melville"," 119","Yorkton",39,157,9,50,0,255,453
47014,"Yorkton--Melville/Yorkton--Melville"," 120","Yorkton",13,86,10,42,0,151,329
47014,"Yorkton--Melville/Yorkton--Melville"," 121","Yorkton",35,123,0,54,2,214,342
47014,"Yorkton--Melville/Yorkton--Melville"," 122","Yorkton",27,90,8,39,0,164,374
47014,"Yorkton--Melville/Yorkton--Melville"," 123","Yorkton",25,114,7,28,0,174,299
47014,"Yorkton--Melville/Yorkton--Melville"," 124","Yorkton",31,103,3,33,1,171,403
47014,"Yorkton--Melville/Yorkton--Melville"," 125","Tonkin",5,131,2,26,0,164,243
47014,"Yorkton--Melville/Yorkton--Melville"," 126","Wroxton",2,95,2,30,0,129,184
47014,"Yorkton--Melville/Yorkton--Melville"," 127","Calder",1,83,2,27,0,113,190
47014,"Yorkton--Melville/Yorkton--Melville"," 128","Saltcoats",11,124,5,18,0,158,267
47014,"Yorkton--Melville/Yorkton--Melville"," 129","Saltcoats",18,145,5,32,0,200,401
47014,"Yorkton--Melville/Yorkton--Melville"," 130","Bredenbury",1,105,2,6,0,114,226
47014,"Yorkton--Melville/Yorkton--Melville"," 131","Bredenbury",7,115,3,19,0,144,271
47014,"Yorkton--Melville/Yorkton--Melville"," 132","Churchbridge",3,120,4,18,1,146,174
47014,"Yorkton--Melville/Yorkton--Melville"," 133","Churchbridge",8,96,4,31,0,139,193
47014,"Yorkton--Melville/Yorkton--Melville"," 134","Churchbridge",16,126,5,71,1,219,389
47014,"Yorkton--Melville/Yorkton--Melville"," 135","MacNutt",4,94,1,21,0,120,207
47014,"Yorkton--Melville/Yorkton--Melville"," 136","Goodeve",13,56,2,23,0,94,159
47014,"Yorkton--Melville/Yorkton--Melville"," 137","Fenwood",6,70,4,13,0,93,183
47014,"Yorkton--Melville/Yorkton--Melville"," 138","Duff",6,92,7,19,0,124,208
47014,"Yorkton--Melville/Yorkton--Melville"," 139","Melville",9,124,6,44,0,183,306
47014,"Yorkton--Melville/Yorkton--Melville"," 140","Lemberg",12,171,4,61,0,248,338
47014,"Yorkton--Melville/Yorkton--Melville"," 141","Neudorf",9,143,0,57,0,209,308
47014,"Yorkton--Melville/Yorkton--Melville"," 142A","Melville",10,63,3,18,0,94,184
47014,"Yorkton--Melville/Yorkton--Melville"," 142B","Melville",11,15,1,9,1,37,143
47014,"Yorkton--Melville/Yorkton--Melville"," 143","Melville",3,60,3,33,0,99,177
47014,"Yorkton--Melville/Yorkton--Melville"," 144","Melville",6,116,6,48,0,176,309
47014,"Yorkton--Melville/Yorkton--Melville"," 145","Melville",6,76,1,40,0,123,217
47014,"Yorkton--Melville/Yorkton--Melville"," 146","Melville",9,63,0,22,0,94,184
47014,"Yorkton--Melville/Yorkton--Melville"," 147","Melville",17,129,2,34,2,184,288
47014,"Yorkton--Melville/Yorkton--Melville"," 148","Melville",30,321,7,151,1,510,995
47014,"Yorkton--Melville/Yorkton--Melville"," 149","Melville",2,80,1,42,0,125,226
47014,"Yorkton--Melville/Yorkton--Melville"," 150","Melville",11,116,3,31,1,162,299
47014,"Yorkton--Melville/Yorkton--Melville"," 151","Melville",9,105,2,53,0,169,276
47014,"Yorkton--Melville/Yorkton--Melville"," 152","Melville",7,79,1,49,0,136,256
47014,"Yorkton--Melville/Yorkton--Melville"," 153","Killaly",7,87,4,28,1,127,203
47014,"Yorkton--Melville/Yorkton--Melville"," 154","Grayson",8,187,4,40,3,242,443
47014,"Yorkton--Melville/Yorkton--Melville"," 155","Waldron",0,71,4,16,0,91,203
47014,"Yorkton--Melville/Yorkton--Melville"," 156","Dubuc",3,68,1,21,0,93,134
47014,"Yorkton--Melville/Yorkton--Melville"," 157","Atwater",6,92,1,23,0,122,259
47014,"Yorkton--Melville/Yorkton--Melville"," 158","Stockholm",5,116,4,28,0,153,210
47014,"Yorkton--Melville/Yorkton--Melville"," 159","Stockholm",6,107,8,44,0,165,240
47014,"Yorkton--Melville/Yorkton--Melville"," 160","Esterhazy",5,105,6,20,1,137,210
47014,"Yorkton--Melville/Yorkton--Melville"," 161","Esterhazy",12,90,4,16,0,122,226
47014,"Yorkton--Melville/Yorkton--Melville"," 162","Esterhazy",1,59,3,29,1,93,174
47014,"Yorkton--Melville/Yorkton--Melville"," 163","Esterhazy",3,129,3,35,0,170,291
47014,"Yorkton--Melville/Yorkton--Melville"," 164","Esterhazy",5,76,2,23,1,107,218
47014,"Yorkton--Melville/Yorkton--Melville"," 165A","Esterhazy",7,133,5,43,0,188,366
47014,"Yorkton--Melville/Yorkton--Melville"," 165B","Esterhazy",14,132,8,52,0,206,402
47014,"Yorkton--Melville/Yorkton--Melville"," 166","Esterhazy",5,50,4,35,1,95,260
47014,"Yorkton--Melville/Yorkton--Melville"," 167","Yarbo",4,70,2,13,0,89,157
47014,"Yorkton--Melville/Yorkton--Melville"," 168","Langenburg",10,121,7,9,1,148,220
47014,"Yorkton--Melville/Yorkton--Melville"," 169","Langenburg",7,99,3,33,0,142,333
47014,"Yorkton--Melville/Yorkton--Melville"," 170","Langenburg",11,127,7,39,0,184,289
47014,"Yorkton--Melville/Yorkton--Melville"," 171","Langenburg",5,114,2,43,0,164,253
47014,"Yorkton--Melville/Yorkton--Melville"," 172","Marchwell",4,82,2,3,1,92,143
47014,"Yorkton--Melville/Yorkton--Melville"," 173","Tantallon",15,121,5,28,1,170,321
47014,"Yorkton--Melville/Yorkton--Melville"," 174","Spy Hill",11,135,5,30,0,181,274
47014,"Yorkton--Melville/Yorkton--Melville"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
47014,"Yorkton--Melville/Yorkton--Melville"," 600","Porcupine Plain",3,68,1,27,0,99,
47014,"Yorkton--Melville/Yorkton--Melville"," 601","Hudson Bay",9,140,3,39,0,191,
47014,"Yorkton--Melville/Yorkton--Melville"," 602","Kelvington",4,107,5,19,2,137,
47014,"Yorkton--Melville/Yorkton--Melville"," 603","Preeceville--Sturgis",8,195,7,53,0,263,
47014,"Yorkton--Melville/Yorkton--Melville"," 604","Norquay",5,77,3,18,2,105,
47014,"Yorkton--Melville/Yorkton--Melville"," 605","Foam Lake",8,130,3,20,3,164,
47014,"Yorkton--Melville/Yorkton--Melville"," 606","Canora",12,149,3,44,0,208,
47014,"Yorkton--Melville/Yorkton--Melville"," 607","Kamsack",12,136,5,60,1,214,
47014,"Yorkton--Melville/Yorkton--Melville"," 608","Yorkton Rural",13,106,0,20,0,139,
47014,"Yorkton--Melville/Yorkton--Melville"," 609","Yorkton",19,114,3,35,0,171,
47014,"Yorkton--Melville/Yorkton--Melville"," 610","Yorkton",70,207,8,59,2,346,
47014,"Yorkton--Melville/Yorkton--Melville"," 611","Saltcoats",6,105,2,18,0,131,
47014,"Yorkton--Melville/Yorkton--Melville"," 612","Melville Rural",9,62,1,19,0,91,
47014,"Yorkton--Melville/Yorkton--Melville"," 613","Melville",20,179,5,74,1,279,
47014,"Yorkton--Melville/Yorkton--Melville"," 614","Esterhazy",29,208,6,39,0,282,
47014,"Yorkton--Melville/Yorkton--Melville"," 615","Langenburg",10,60,0,12,0,82,
47014,"Yorkton--Melville/Yorkton--Melville"," 616","Yorkton",35,223,9,60,0,327,
47014,"Yorkton--Melville/Yorkton--Melville",,Group 1/Groupe 1,24,26,5,17,2,74,112
47014,"Yorkton--Melville/Yorkton--Melville",,Group 2/Groupe 2,150,540,17,99,4,810,
