Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lysane Blanchette-Lamothe,Agop Evereklian,Nicolas Jolicoeur,Jonathan Lumer,Bernard Patry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 18","L'Île-Bizard",99,25,40,8,34,2,208,412
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 19","L'Île-Bizard",97,28,17,5,35,1,183,364
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 20","L'Île-Bizard",101,33,35,1,32,3,205,448
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 21","L'Île-Bizard",89,20,32,8,29,1,179,334
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 22","L'Île-Bizard",71,27,22,3,26,1,150,326
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 23","L'Île-Bizard",54,34,9,3,47,1,148,318
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 24","L'Île-Bizard",113,38,25,7,62,2,247,470
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 25","L'Île-Bizard",86,32,36,6,38,3,201,430
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 26","Pierrefonds",117,62,24,14,88,2,307,555
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 27","Pierrefonds",112,68,7,5,102,4,298,640
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 28","Pierrefonds",91,47,14,7,61,2,222,440
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 29","Pierrefonds",81,48,15,4,56,4,208,452
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 30","Pierrefonds",55,24,10,5,54,5,153,418
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 31","Pierrefonds",95,61,10,7,47,0,220,459
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 32","Pierrefonds",63,49,8,5,71,1,197,415
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 33","Pierrefonds",89,50,4,6,76,1,226,428
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 34","Pierrefonds",96,62,10,7,60,0,235,419
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 35","Pierrefonds",70,44,9,23,55,1,202,372
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 36","Pierrefonds",81,43,8,10,70,5,217,392
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 37","Pierrefonds",78,46,12,14,62,0,212,382
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 38","Pierrefonds",124,47,3,12,72,2,260,408
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 39","Pierrefonds",89,33,27,13,60,3,225,385
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 40","Pierrefonds",93,44,22,4,44,1,208,397
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 41","Pierrefonds",80,54,5,8,69,1,217,401
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 42","Pierrefonds",86,41,14,12,74,1,228,499
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 43","Pierrefonds",120,64,19,11,81,1,296,524
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 44","Pierrefonds",88,66,12,11,75,3,255,579
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 45","Pierrefonds",87,42,7,9,90,2,237,515
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 45-1","Pierrefonds",44,23,2,2,31,0,102,210
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 46","Pierrefonds",75,61,15,9,71,3,234,456
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 47","Pierrefonds",65,30,6,2,64,2,169,497
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 48","Pierrefonds",33,31,2,2,25,4,97,262
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 49","Pierrefonds",62,33,16,7,60,2,180,405
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 50","Pierrefonds",80,32,9,6,60,3,190,368
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 51","Roxboro",83,46,15,12,55,0,211,445
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 52","Pierrefonds",57,31,8,7,49,1,153,374
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 53","Roxboro",92,70,29,13,43,5,252,480
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 54","Roxboro",112,30,17,6,57,4,226,442
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 55","Pierrefonds",91,31,22,11,47,0,202,389
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 56","Pierrefonds",88,39,29,7,57,0,220,444
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 57","Pierrefonds",69,32,15,8,54,2,180,299
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 58","Pierrefonds",71,24,12,14,40,1,162,338
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 59","Pierrefonds",108,34,36,13,100,1,292,557
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 60","Pierrefonds",100,53,24,9,74,0,260,485
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 61","Pierrefonds",92,51,12,7,83,0,245,428
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 62","Pierrefonds",89,43,13,2,73,0,220,421
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 63","Pierrefonds",27,17,16,4,31,2,97,299
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 64","Pierrefonds",72,15,13,5,72,1,178,479
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 65","Pierrefonds",41,10,11,2,39,3,106,366
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 66","Pierrefonds",46,20,1,2,29,2,100,234
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 67","Pierrefonds",63,29,8,6,40,4,150,334
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 68","Pierrefonds",57,31,8,0,63,0,159,301
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 69","Pierrefonds",56,27,7,4,33,3,130,274
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 70","Pierrefonds",54,29,4,4,25,2,118,363
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 71","Roxboro",121,40,25,8,71,5,270,538
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 72","Roxboro",66,54,11,10,68,0,209,344
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 73","Roxboro",74,45,12,18,49,3,201,445
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 74","Roxboro",67,42,12,11,76,1,209,344
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 75","Roxboro",69,37,12,5,66,1,190,303
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 76","Roxboro",79,49,18,17,67,4,234,358
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 77","Roxboro",104,56,16,18,59,2,255,461
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 78","Roxboro",79,32,13,10,60,1,195,318
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 78-1","Roxboro",80,66,14,13,66,10,249,417
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 79","Dollard-des-Ormeaux",71,51,7,6,57,1,193,442
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 80","Dollard-des-Ormeaux",65,61,2,4,83,0,215,417
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 81","Dollard-des-Ormeaux",83,47,5,5,72,2,214,421
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 82","Dollard-des-Ormeaux",55,60,7,0,55,1,178,336
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 83","Dollard-des-Ormeaux",55,47,9,4,62,3,180,340
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 84","Dollard-des-Ormeaux",66,69,7,6,76,2,226,437
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 85","Dollard-des-Ormeaux",77,31,7,5,68,0,188,419
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 86","Dollard-des-Ormeaux",37,26,5,5,24,0,97,222
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 87","Dollard-des-Ormeaux",65,39,0,5,56,1,166,420
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 88","Dollard-des-Ormeaux",71,45,5,3,44,1,169,422
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 88-1","Dollard-des-Ormeaux",74,34,5,7,54,0,174,377
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 89","Dollard-des-Ormeaux",38,27,4,3,26,2,100,258
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 90","Dollard-des-Ormeaux",57,44,4,6,61,1,173,438
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 91","Dollard-des-Ormeaux",32,22,2,7,41,0,104,266
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 91-1","Dollard-des-Ormeaux",44,33,6,2,42,1,128,248
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 92","Dollard-des-Ormeaux",41,24,2,2,37,0,106,245
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 92-1","Dollard-des-Ormeaux",45,21,2,4,33,3,108,295
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 93","Dollard-des-Ormeaux",77,44,4,8,77,5,215,487
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 94","Dollard-des-Ormeaux",71,48,6,4,45,1,175,406
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 95","Dollard-des-Ormeaux",63,28,4,3,47,0,145,299
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 96","Dollard-des-Ormeaux",70,26,4,7,65,3,175,468
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 97","Dollard-des-Ormeaux",72,69,11,6,65,1,224,490
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 98","Dollard-des-Ormeaux",73,69,2,4,97,0,245,438
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 99","Dollard-des-Ormeaux",90,92,11,3,102,3,301,539
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 100","Dollard-des-Ormeaux",83,61,2,5,84,0,235,482
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 101","Dollard-des-Ormeaux",56,64,0,5,53,0,178,398
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 102","Dollard-des-Ormeaux",64,76,7,3,49,1,200,465
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 103","Dollard-des-Ormeaux",52,23,4,3,30,0,112,402
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 103-1","Dollard-des-Ormeaux",31,21,0,3,29,1,85,154
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 104","Dollard-des-Ormeaux",57,66,8,4,62,5,202,483
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 105","Dollard-des-Ormeaux",45,95,6,7,49,1,203,368
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 106","Dollard-des-Ormeaux",54,41,6,17,46,0,164,327
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 107","Dollard-des-Ormeaux",54,67,1,9,55,0,186,323
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 108","Dollard-des-Ormeaux",56,69,5,7,81,1,219,407
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 109","Dollard-des-Ormeaux",54,73,4,10,65,0,206,395
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 110","Dollard-des-Ormeaux",43,54,7,12,51,0,167,466
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 111","Dollard-des-Ormeaux",56,67,2,8,52,0,185,391
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 112","Dollard-des-Ormeaux",39,47,8,4,35,1,134,294
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 113","Dollard-des-Ormeaux",48,71,1,8,41,1,170,328
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 114","Dollard-des-Ormeaux",53,105,1,8,57,0,224,438
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 115","Dollard-des-Ormeaux",56,81,6,6,43,0,192,303
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 116","Dollard-des-Ormeaux",31,121,1,14,78,2,247,499
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 117","Dollard-des-Ormeaux",28,112,0,12,43,1,196,409
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 118","Dollard-des-Ormeaux",48,141,1,11,77,2,280,460
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 119","Dollard-des-Ormeaux",41,98,2,10,50,0,201,397
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 120","Dollard-des-Ormeaux",60,124,1,18,48,2,253,432
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 121","Dollard-des-Ormeaux",66,135,4,13,81,0,299,563
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 122","Dollard-des-Ormeaux",68,114,6,13,89,0,290,507
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 122-1","Dollard-des-Ormeaux",33,34,0,4,50,0,121,247
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 123","Dollard-des-Ormeaux",57,111,1,4,69,0,242,388
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 124","Dollard-des-Ormeaux",48,115,1,3,61,0,228,401
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 125","Dollard-des-Ormeaux",38,157,0,8,38,0,241,453
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 126","Dollard-des-Ormeaux",42,83,2,3,68,1,199,397
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 126-1","Dollard-des-Ormeaux",24,71,4,2,59,0,160,398
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 127","Dollard-des-Ormeaux",79,78,2,4,74,2,239,511
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 128","Dollard-des-Ormeaux",78,61,4,5,95,2,245,439
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 129","Dollard-des-Ormeaux",51,65,1,11,95,2,225,527
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 130","Dollard-des-Ormeaux",69,71,4,7,76,3,230,415
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 131","Dollard-des-Ormeaux",59,86,5,9,76,2,237,478
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 132","Dollard-des-Ormeaux",39,40,4,3,64,1,151,299
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 132-1","Dollard-des-Ormeaux",76,74,3,6,89,1,249,458
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 133","Pierrefonds",115,40,12,16,100,2,285,523
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 134","Pierrefonds",112,47,21,17,91,0,288,501
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 135","Pierrefonds",87,65,5,8,103,4,272,486
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 136","Pierrefonds",97,34,12,7,57,2,209,393
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 137","Pierrefonds",86,45,6,10,80,0,227,445
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 138","Pierrefonds",58,36,8,15,40,2,159,347
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 139","Pierrefonds",47,47,2,7,44,0,147,298
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 140","Pierrefonds",53,32,2,5,47,0,139,273
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 141","Pierrefonds",Void/Supprimé,,,,,,,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 142","Pierrefonds",74,39,4,10,42,1,170,388
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 143","Pierrefonds",86,74,19,8,83,1,271,537
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 144","Pierrefonds",93,22,4,7,49,0,175,427
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 145","Pierrefonds",78,74,18,4,90,5,269,484
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 146","Pierrefonds",32,23,3,2,26,0,86,256
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 146-1","Pierrefonds",54,42,6,7,47,2,158,473
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 146-2","Pierrefonds",76,39,4,5,40,0,164,432
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 147","Pierrefonds",100,60,12,12,93,1,278,473
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 148","Pierrefonds",84,68,7,12,55,2,228,349
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 149","Pierrefonds",89,68,2,7,72,0,238,372
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 150","Pierrefonds",75,65,3,12,63,8,226,378
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 151","Pierrefonds",77,48,9,3,64,2,203,394
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 151-1","Pierrefonds",16,8,1,2,8,0,35,83
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 152","Pierrefonds",83,55,14,6,70,1,229,392
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 153","Sainte-Geneviève",52,18,8,1,20,0,99,295
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 153-1","Sainte-Geneviève",70,40,11,3,102,6,232,358
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 154","Sainte-Geneviève",49,17,22,6,21,1,116,290
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 155","Dollard-des-Ormeaux",29,110,2,5,58,0,204,372
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 156","Dollard-des-Ormeaux",42,119,0,5,49,0,215,447
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 157","Dollard-des-Ormeaux",26,169,2,6,60,0,263,547
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 158","Dollard-des-Ormeaux",24,73,0,1,26,0,124,242
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 158-1","Dollard-des-Ormeaux",52,64,1,0,43,0,160,356
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 159","Dollard-des-Ormeaux",69,98,2,3,65,1,238,468
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 160","Dollard-des-Ormeaux",44,55,2,6,40,0,147,283
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 161","Dollard-des-Ormeaux",46,43,3,2,47,1,142,320
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 162","Dollard-des-Ormeaux",33,83,2,5,49,0,172,365
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 162-1","Dollard-des-Ormeaux",42,54,3,2,44,1,146,332
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 163","Dollard-des-Ormeaux",74,123,4,8,89,0,298,595
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 164","Dollard-des-Ormeaux",38,22,1,1,26,0,88,279
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 165","Dollard-des-Ormeaux",40,27,0,4,23,0,94,234
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 165-1","Dollard-des-Ormeaux",32,51,4,7,39,0,133,278
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 166","Dollard-des-Ormeaux",35,23,3,3,41,1,106,340
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 167","Dollard-des-Ormeaux",80,82,4,6,58,3,233,518
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 168","Dollard-des-Ormeaux",75,58,7,4,40,0,184,403
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 169","Dollard-des-Ormeaux",78,46,2,16,37,0,179,414
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 170","Dollard-des-Ormeaux",71,68,2,16,60,2,219,517
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 171","Dollard-des-Ormeaux",98,57,3,7,54,1,220,547
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 172","Dollard-des-Ormeaux",80,52,2,7,58,2,201,387
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 173","Dollard-des-Ormeaux",53,48,3,7,68,0,179,398
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 174","Dollard-des-Ormeaux",45,32,0,3,24,0,104,213
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 175","Dollard-des-Ormeaux",64,64,2,10,59,1,200,496
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 175-1","Dollard-des-Ormeaux",58,32,4,7,50,0,151,279
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 176","Dollard-des-Ormeaux",79,50,10,3,68,0,210,404
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 177","Dollard-des-Ormeaux",45,55,0,5,28,0,133,272
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 178","Dollard-des-Ormeaux",85,66,10,7,59,1,228,381
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 179","Dollard-des-Ormeaux",61,58,4,19,74,1,217,324
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 180","Dollard-des-Ormeaux",87,44,6,14,80,1,232,389
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 181","Dollard-des-Ormeaux",61,66,1,13,69,3,213,431
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 182","Dollard-des-Ormeaux",68,76,1,11,80,0,236,377
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 183","Dollard-des-Ormeaux",76,83,1,10,93,1,264,428
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 184","Dollard-des-Ormeaux",91,71,3,6,60,1,232,407
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 185","Dollard-des-Ormeaux",58,55,3,6,70,1,193,370
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 500","Mobile poll/Bureau itinérant",11,7,3,0,31,2,54,75
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 501","Mobile poll/Bureau itinérant",9,12,2,0,14,3,40,72
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 502","Mobile poll/Bureau itinérant",20,14,5,4,45,2,90,197
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 503","Mobile poll/Bureau itinérant",12,29,9,1,39,6,96,156
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 504","Mobile poll/Bureau itinérant",34,40,4,2,42,2,124,141
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 600","L'Île-Bizard",216,112,47,17,155,1,548,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 601","L'Île-Bizard",203,114,82,16,169,7,591,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 602","Pierrefonds",118,117,30,15,144,3,427,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 603","Pierrefonds--Dollard-des-Ormeaux",124,112,12,19,181,4,452,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 604","Pierrefonds--Sainte-Geneviève",168,141,33,11,219,6,578,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 605","Dollard-des-Ormeaux",132,162,26,19,215,3,557,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 606","Dollard-des-Ormeaux",98,257,11,15,159,1,541,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 607","Dollard-des-Ormeaux",117,272,6,9,200,1,605,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 608","Pierrefonds-Roxboro",159,120,58,20,179,7,543,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 609","Pierrefonds--Dollard-des-Ormeaux",124,113,25,14,157,1,434,
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 610","Pierrefonds",73,39,24,4,97,2,239,
