Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,France Bonsant,Gary Caldwell,Sandrine Gressard Bélanger,William Hogg,Jean Rousseau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Compton--Stanstead/Compton--Stanstead"," 38","Cookshire-Eaton",70,13,41,41,151,2,318,564
24017,"Compton--Stanstead/Compton--Stanstead"," 39","Cookshire-Eaton",99,6,40,26,142,6,319,510
24017,"Compton--Stanstead/Compton--Stanstead"," 40","Cookshire-Eaton",51,5,31,16,82,0,185,327
24017,"Compton--Stanstead/Compton--Stanstead"," 41","Cookshire-Eaton",32,2,39,19,91,1,184,363
24017,"Compton--Stanstead/Compton--Stanstead"," 42","Sawyerville",23,7,49,13,99,2,193,335
24017,"Compton--Stanstead/Compton--Stanstead"," 43","Sawyerville",20,4,40,30,68,3,165,299
24017,"Compton--Stanstead/Compton--Stanstead"," 44","Cookshire-Eaton",60,9,24,19,111,0,223,431
24017,"Compton--Stanstead/Compton--Stanstead"," 45","Cookshire",50,4,25,18,103,0,200,405
24017,"Compton--Stanstead/Compton--Stanstead"," 46","Cookshire",61,4,16,10,64,3,158,356
24017,"Compton--Stanstead/Compton--Stanstead"," 47","Cookshire",70,5,25,24,94,2,220,452
24017,"Compton--Stanstead/Compton--Stanstead"," 48","Newport",21,11,50,27,76,2,187,293
24017,"Compton--Stanstead/Compton--Stanstead"," 49","Newport",32,4,35,11,69,1,152,275
24017,"Compton--Stanstead/Compton--Stanstead"," 50","Saint-Isidore-d'Auckland",48,6,58,33,118,1,264,425
24017,"Compton--Stanstead/Compton--Stanstead"," 51","East Clifton",5,1,19,10,25,0,60,137
24017,"Compton--Stanstead/Compton--Stanstead"," 52","Waterville",25,4,18,26,82,2,157,369
24017,"Compton--Stanstead/Compton--Stanstead"," 53","Waterville",63,6,36,46,100,1,252,461
24017,"Compton--Stanstead/Compton--Stanstead"," 54","Waterville",68,10,18,15,98,3,212,394
24017,"Compton--Stanstead/Compton--Stanstead"," 55","Waterville",48,5,5,21,62,3,144,300
24017,"Compton--Stanstead/Compton--Stanstead"," 56","Compton",39,9,1,13,64,1,127,237
24017,"Compton--Stanstead/Compton--Stanstead"," 57","Compton",70,12,31,34,126,3,276,418
24017,"Compton--Stanstead/Compton--Stanstead"," 58","Compton",78,7,29,16,125,4,259,412
24017,"Compton--Stanstead/Compton--Stanstead"," 59","Compton",64,6,28,18,98,4,218,370
24017,"Compton--Stanstead/Compton--Stanstead"," 60","Compton",72,8,43,30,102,1,256,450
24017,"Compton--Stanstead/Compton--Stanstead"," 61","Compton",70,12,34,23,121,2,262,451
24017,"Compton--Stanstead/Compton--Stanstead"," 62","Martinville",84,4,33,16,91,2,230,342
24017,"Compton--Stanstead/Compton--Stanstead"," 63","Sainte-Edwidge-de-Clifton",39,16,22,16,109,1,203,337
24017,"Compton--Stanstead/Compton--Stanstead"," 64","Lennoxville",10,2,20,14,41,7,94,170
24017,"Compton--Stanstead/Compton--Stanstead"," 65","Lennoxville",29,6,20,34,75,3,167,348
24017,"Compton--Stanstead/Compton--Stanstead"," 66","Lennoxville",23,5,24,52,81,1,186,404
24017,"Compton--Stanstead/Compton--Stanstead"," 67","Lennoxville",16,5,19,21,97,0,158,526
24017,"Compton--Stanstead/Compton--Stanstead"," 68","Lennoxville",4,5,6,5,31,0,51,190
24017,"Compton--Stanstead/Compton--Stanstead"," 69","Lennoxville",16,9,18,45,68,0,156,305
24017,"Compton--Stanstead/Compton--Stanstead"," 70","Lennoxville",10,1,20,48,60,1,140,277
24017,"Compton--Stanstead/Compton--Stanstead"," 71","Lennoxville",22,9,29,37,97,3,197,457
24017,"Compton--Stanstead/Compton--Stanstead"," 72","Lennoxville",4,8,7,44,64,1,128,319
24017,"Compton--Stanstead/Compton--Stanstead"," 73","Lennoxville",31,6,28,41,102,2,210,426
24017,"Compton--Stanstead/Compton--Stanstead"," 74","Lennoxville",16,5,25,25,68,0,139,275
24017,"Compton--Stanstead/Compton--Stanstead"," 75","Lennoxville",26,4,57,46,60,1,194,307
24017,"Compton--Stanstead/Compton--Stanstead"," 76","Ascot",77,10,25,35,156,1,304,553
24017,"Compton--Stanstead/Compton--Stanstead"," 77","Ascot",51,4,17,21,84,6,183,504
24017,"Compton--Stanstead/Compton--Stanstead"," 78","Ascot",48,4,17,14,83,6,172,297
24017,"Compton--Stanstead/Compton--Stanstead"," 79","Ascot",27,4,7,11,62,0,111,327
24017,"Compton--Stanstead/Compton--Stanstead"," 80","Ascot",29,5,8,6,50,4,102,319
24017,"Compton--Stanstead/Compton--Stanstead"," 81","Ascot",29,3,14,11,46,3,106,305
24017,"Compton--Stanstead/Compton--Stanstead"," 82","Ascot",45,0,11,3,39,4,102,298
24017,"Compton--Stanstead/Compton--Stanstead"," 83","Ascot",27,5,11,8,54,1,106,267
24017,"Compton--Stanstead/Compton--Stanstead"," 84","Ascot",34,1,10,11,74,2,132,274
24017,"Compton--Stanstead/Compton--Stanstead"," 85","Ascot",58,3,24,7,72,0,164,408
24017,"Compton--Stanstead/Compton--Stanstead"," 86","Ascot",66,3,13,9,79,2,172,305
24017,"Compton--Stanstead/Compton--Stanstead"," 87","Ascot",84,6,19,24,142,4,279,514
24017,"Compton--Stanstead/Compton--Stanstead"," 88","Ascot",81,3,25,14,121,2,246,468
24017,"Compton--Stanstead/Compton--Stanstead"," 89","Saint-Élie-d'Orford",44,2,26,25,141,1,239,444
24017,"Compton--Stanstead/Compton--Stanstead"," 90A","Rock Forest",44,3,13,13,103,2,178,306
24017,"Compton--Stanstead/Compton--Stanstead"," 90B","Rock Forest",52,8,11,24,92,2,189,325
24017,"Compton--Stanstead/Compton--Stanstead"," 91","Rock Forest",41,6,5,15,73,2,142,219
24017,"Compton--Stanstead/Compton--Stanstead"," 92","Rock Forest",73,5,11,23,143,4,259,534
24017,"Compton--Stanstead/Compton--Stanstead"," 93","Rock Forest",30,0,6,10,58,3,107,280
24017,"Compton--Stanstead/Compton--Stanstead"," 94","Rock Forest",83,12,30,21,168,11,325,625
24017,"Compton--Stanstead/Compton--Stanstead"," 95","Rock Forest",47,4,16,14,107,3,191,392
24017,"Compton--Stanstead/Compton--Stanstead"," 96","Rock Forest",56,4,14,11,120,2,207,404
24017,"Compton--Stanstead/Compton--Stanstead"," 97","Rock Forest",79,10,27,28,174,4,322,598
24017,"Compton--Stanstead/Compton--Stanstead"," 98","Rock Forest",63,6,11,5,103,3,191,443
24017,"Compton--Stanstead/Compton--Stanstead"," 99","Rock Forest",71,3,21,19,149,6,269,512
24017,"Compton--Stanstead/Compton--Stanstead"," 100","Rock Forest",51,5,15,18,117,1,207,371
24017,"Compton--Stanstead/Compton--Stanstead"," 101","Rock Forest",78,9,18,25,127,3,260,510
24017,"Compton--Stanstead/Compton--Stanstead"," 102","Rock Forest",59,2,24,30,101,1,217,384
24017,"Compton--Stanstead/Compton--Stanstead"," 103","Rock Forest",65,2,22,10,137,4,240,471
24017,"Compton--Stanstead/Compton--Stanstead"," 104","Rock Forest",46,1,7,9,102,2,167,282
24017,"Compton--Stanstead/Compton--Stanstead"," 105","Rock Forest",69,4,23,15,112,5,228,405
24017,"Compton--Stanstead/Compton--Stanstead"," 106","Rock Forest",95,6,25,20,186,6,338,598
24017,"Compton--Stanstead/Compton--Stanstead"," 107A","Rock Forest",52,3,13,21,111,3,203,356
24017,"Compton--Stanstead/Compton--Stanstead"," 107B","Rock Forest",47,3,9,25,112,2,198,351
24017,"Compton--Stanstead/Compton--Stanstead"," 108","Saint-Élie-d'Orford",90,30,3,14,216,6,359,671
24017,"Compton--Stanstead/Compton--Stanstead"," 109","Saint-Élie-d'Orford",52,5,15,5,108,2,187,313
24017,"Compton--Stanstead/Compton--Stanstead"," 110","Saint-Élie-d'Orford",102,4,28,27,196,3,360,654
24017,"Compton--Stanstead/Compton--Stanstead"," 111","Saint-Élie-d'Orford",74,2,39,20,146,4,285,546
24017,"Compton--Stanstead/Compton--Stanstead"," 112","Saint-Élie-d'Orford",61,6,19,34,141,2,263,480
24017,"Compton--Stanstead/Compton--Stanstead"," 113","Saint-Élie-d'Orford",46,3,25,18,156,6,254,509
24017,"Compton--Stanstead/Compton--Stanstead"," 114","Saint-Élie-d'Orford",74,5,28,19,192,0,318,560
24017,"Compton--Stanstead/Compton--Stanstead"," 115","Saint-Élie-d'Orford",66,4,24,19,144,0,257,536
24017,"Compton--Stanstead/Compton--Stanstead"," 116A","Saint-Élie-d'Orford",56,2,18,39,146,1,262,468
24017,"Compton--Stanstead/Compton--Stanstead"," 116B","Saint-Élie-d'Orford",45,2,20,35,114,3,219,421
24017,"Compton--Stanstead/Compton--Stanstead"," 117","Saint-Élie-d'Orford",59,4,36,12,119,2,232,435
24017,"Compton--Stanstead/Compton--Stanstead"," 118","Saint-Élie-d'Orford",52,15,24,17,116,2,226,445
24017,"Compton--Stanstead/Compton--Stanstead"," 119","Saint-Élie-d'Orford",86,7,25,23,159,6,306,553
24017,"Compton--Stanstead/Compton--Stanstead"," 120","Saint-Élie-d'Orford",99,9,26,22,152,4,312,537
24017,"Compton--Stanstead/Compton--Stanstead"," 121","Saint-Élie-d'Orford",43,5,30,12,97,4,191,351
24017,"Compton--Stanstead/Compton--Stanstead"," 122","Deauville",76,3,26,11,133,2,251,581
24017,"Compton--Stanstead/Compton--Stanstead"," 123","Deauville",58,3,13,16,96,0,186,347
24017,"Compton--Stanstead/Compton--Stanstead"," 124","Deauville",36,8,15,15,74,2,150,312
24017,"Compton--Stanstead/Compton--Stanstead"," 125","Deauville",49,4,12,18,73,3,159,315
24017,"Compton--Stanstead/Compton--Stanstead"," 126","Deauville",37,0,15,4,66,0,122,256
24017,"Compton--Stanstead/Compton--Stanstead"," 127","Deauville",46,5,10,9,91,0,161,334
24017,"Compton--Stanstead/Compton--Stanstead"," 128","Deauville",40,1,6,19,71,0,137,262
24017,"Compton--Stanstead/Compton--Stanstead"," 129","Deauville",66,7,20,34,106,0,233,471
24017,"Compton--Stanstead/Compton--Stanstead"," 130","Rock Forest",91,1,35,30,167,0,324,544
24017,"Compton--Stanstead/Compton--Stanstead"," 131","Rock Forest",63,4,29,22,154,4,276,556
24017,"Compton--Stanstead/Compton--Stanstead"," 132","Rock Forest",56,5,15,29,117,3,225,511
24017,"Compton--Stanstead/Compton--Stanstead"," 133","Rock Forest",78,5,23,41,154,1,302,587
24017,"Compton--Stanstead/Compton--Stanstead"," 134","Rock Forest",35,3,15,14,104,1,172,348
24017,"Compton--Stanstead/Compton--Stanstead"," 135","Rock Forest",22,3,19,5,56,1,106,260
24017,"Compton--Stanstead/Compton--Stanstead"," 136","Rock Forest",39,8,20,21,87,3,178,353
24017,"Compton--Stanstead/Compton--Stanstead"," 137","Rock Forest",61,4,12,20,126,2,225,409
24017,"Compton--Stanstead/Compton--Stanstead"," 138","Rock Forest",64,4,24,13,125,7,237,451
24017,"Compton--Stanstead/Compton--Stanstead"," 139","Rock Forest",74,5,20,34,157,3,293,538
24017,"Compton--Stanstead/Compton--Stanstead"," 140","Rock Forest",80,3,17,23,173,0,296,477
24017,"Compton--Stanstead/Compton--Stanstead"," 141","Rock Forest",54,3,14,19,117,0,207,487
24017,"Compton--Stanstead/Compton--Stanstead"," 142","Rock Forest",56,12,1,9,80,0,158,293
24017,"Compton--Stanstead/Compton--Stanstead"," 143","Rock Forest",80,0,22,20,156,2,280,477
24017,"Compton--Stanstead/Compton--Stanstead"," 144","Rock Forest",60,4,16,15,120,4,219,410
24017,"Compton--Stanstead/Compton--Stanstead"," 145","Rock Forest",58,3,13,21,92,0,187,362
24017,"Compton--Stanstead/Compton--Stanstead"," 146","Rock Forest",96,5,23,19,132,3,278,489
24017,"Compton--Stanstead/Compton--Stanstead"," 147","Rock Forest",78,7,30,22,152,2,291,522
24017,"Compton--Stanstead/Compton--Stanstead"," 148","Rock Forest",82,3,10,30,149,0,274,459
24017,"Compton--Stanstead/Compton--Stanstead"," 149","Hatley",73,14,25,23,141,1,277,555
24017,"Compton--Stanstead/Compton--Stanstead"," 150","Hatley",90,10,20,49,163,1,333,580
24017,"Compton--Stanstead/Compton--Stanstead"," 151","Hatley",15,4,33,47,111,6,216,370
24017,"Compton--Stanstead/Compton--Stanstead"," 152","North Hatley",15,4,9,17,41,0,86,151
24017,"Compton--Stanstead/Compton--Stanstead"," 153","North Hatley",22,6,21,61,83,1,194,382
24017,"Compton--Stanstead/Compton--Stanstead"," 154","Sainte-Catherine-de-Hatley",99,8,30,41,144,3,325,559
24017,"Compton--Stanstead/Compton--Stanstead"," 155","Sainte-Catherine-de-Hatley",52,3,22,24,93,1,195,336
24017,"Compton--Stanstead/Compton--Stanstead"," 156","Sainte-Catherine-de-Hatley",75,4,25,22,99,2,227,384
24017,"Compton--Stanstead/Compton--Stanstead"," 157","Sainte-Catherine-de-Hatley",42,4,16,12,76,2,152,285
24017,"Compton--Stanstead/Compton--Stanstead"," 158","Sainte-Catherine-de-Hatley",58,5,16,55,107,3,244,397
24017,"Compton--Stanstead/Compton--Stanstead"," 159","Ayer's Cliff",27,3,52,55,78,1,216,363
24017,"Compton--Stanstead/Compton--Stanstead"," 160","Ayer's Cliff",29,8,63,66,151,3,320,504
24017,"Compton--Stanstead/Compton--Stanstead"," 161","Ayer's Cliff",Void/Supprimé,,,,,,,
24017,"Compton--Stanstead/Compton--Stanstead"," 162","Hatley",50,22,60,69,156,2,359,596
24017,"Compton--Stanstead/Compton--Stanstead"," 163","Stanstead",26,4,40,67,57,4,198,341
24017,"Compton--Stanstead/Compton--Stanstead"," 164","Stanstead",79,1,38,48,143,1,310,535
24017,"Compton--Stanstead/Compton--Stanstead"," 165","Ogden",18,6,33,45,99,2,203,374
24017,"Compton--Stanstead/Compton--Stanstead"," 166","Ogden",4,3,18,15,46,0,86,243
24017,"Compton--Stanstead/Compton--Stanstead"," 167","Stanstead",10,6,21,19,74,0,130,346
24017,"Compton--Stanstead/Compton--Stanstead"," 168","Stanstead",22,6,39,29,66,1,163,404
24017,"Compton--Stanstead/Compton--Stanstead"," 169","Stanstead",15,5,17,21,55,0,113,377
24017,"Compton--Stanstead/Compton--Stanstead"," 170","Stanstead",8,7,43,38,57,2,155,340
24017,"Compton--Stanstead/Compton--Stanstead"," 171","Stanstead",22,0,47,28,97,2,196,484
24017,"Compton--Stanstead/Compton--Stanstead"," 172","Stanstead",24,11,26,29,75,1,166,373
24017,"Compton--Stanstead/Compton--Stanstead"," 173","Stanstead-Est",17,0,13,32,57,0,119,266
24017,"Compton--Stanstead/Compton--Stanstead"," 174","Stanstead-Est",15,0,27,22,52,1,117,235
24017,"Compton--Stanstead/Compton--Stanstead"," 175","Barnston-Ouest",40,5,36,34,106,4,225,419
24017,"Compton--Stanstead/Compton--Stanstead"," 176","Coaticook",52,7,19,34,65,4,181,387
24017,"Compton--Stanstead/Compton--Stanstead"," 177","Coaticook",51,8,26,24,92,3,204,391
24017,"Compton--Stanstead/Compton--Stanstead"," 178","Coaticook",13,2,13,5,32,2,67,169
24017,"Compton--Stanstead/Compton--Stanstead"," 179","Coaticook",55,6,15,19,93,4,192,392
24017,"Compton--Stanstead/Compton--Stanstead"," 180","Coaticook",45,8,17,7,70,2,149,297
24017,"Compton--Stanstead/Compton--Stanstead"," 181","Coaticook",26,4,4,14,42,0,90,220
24017,"Compton--Stanstead/Compton--Stanstead"," 182","Coaticook",36,5,11,10,56,2,120,362
24017,"Compton--Stanstead/Compton--Stanstead"," 183","Coaticook",34,5,11,18,67,2,137,313
24017,"Compton--Stanstead/Compton--Stanstead"," 184","Coaticook",43,2,24,18,101,2,190,399
24017,"Compton--Stanstead/Compton--Stanstead"," 185","Coaticook",50,2,28,21,133,0,234,424
24017,"Compton--Stanstead/Compton--Stanstead"," 186","Coaticook",30,1,17,32,59,3,142,332
24017,"Compton--Stanstead/Compton--Stanstead"," 187","Coaticook",33,3,22,10,66,4,138,254
24017,"Compton--Stanstead/Compton--Stanstead"," 188","Coaticook",46,6,18,24,53,3,150,338
24017,"Compton--Stanstead/Compton--Stanstead"," 189","Coaticook",87,10,35,35,153,3,323,570
24017,"Compton--Stanstead/Compton--Stanstead"," 190","Coaticook",55,3,40,35,135,2,270,470
24017,"Compton--Stanstead/Compton--Stanstead"," 191","Barnston",56,9,31,16,112,1,225,385
24017,"Compton--Stanstead/Compton--Stanstead"," 192","Barnston",32,5,12,10,66,2,127,233
24017,"Compton--Stanstead/Compton--Stanstead"," 193","Barnston",54,7,35,45,158,4,303,490
24017,"Compton--Stanstead/Compton--Stanstead"," 194","Dixville",33,9,28,23,71,3,167,254
24017,"Compton--Stanstead/Compton--Stanstead"," 195","Dixville",18,7,26,11,63,2,127,227
24017,"Compton--Stanstead/Compton--Stanstead"," 196","Barford",56,4,28,27,97,4,216,478
24017,"Compton--Stanstead/Compton--Stanstead"," 197","Saint-Herménégilde",70,6,55,29,136,2,298,508
24017,"Compton--Stanstead/Compton--Stanstead"," 198","Saint-Malo",68,5,27,34,97,0,231,378
24017,"Compton--Stanstead/Compton--Stanstead"," 199","East Hereford",27,11,14,25,63,1,141,305
24017,"Compton--Stanstead/Compton--Stanstead"," 500","Mobile poll/Bureau itinérant",5,1,3,6,5,0,20,41
24017,"Compton--Stanstead/Compton--Stanstead"," 501","Mobile poll/Bureau itinérant",29,5,13,12,17,4,80,128
24017,"Compton--Stanstead/Compton--Stanstead"," 502","Mobile poll/Bureau itinérant",14,5,14,15,19,6,73,162
24017,"Compton--Stanstead/Compton--Stanstead"," 503","Mobile poll/Bureau itinérant",14,3,32,55,31,5,140,181
24017,"Compton--Stanstead/Compton--Stanstead"," 504","Mobile poll/Bureau itinérant",14,2,18,25,25,1,85,116
24017,"Compton--Stanstead/Compton--Stanstead"," 505","Mobile poll/Bureau itinérant",22,5,25,23,20,2,97,171
24017,"Compton--Stanstead/Compton--Stanstead"," 506","Mobile poll/Bureau itinérant",7,0,30,27,39,3,106,150
24017,"Compton--Stanstead/Compton--Stanstead"," 600","Weedon",91,1,37,24,114,5,272,
24017,"Compton--Stanstead/Compton--Stanstead"," 601","Scotstown--Chartierville",44,4,11,8,38,1,106,
24017,"Compton--Stanstead/Compton--Stanstead"," 602","Bishopton--Bury",49,2,37,19,51,0,158,
24017,"Compton--Stanstead/Compton--Stanstead"," 603","Stoke",92,9,16,19,71,4,211,
24017,"Compton--Stanstead/Compton--Stanstead"," 604","Cookshire--Eaton",115,8,50,57,98,2,330,
24017,"Compton--Stanstead/Compton--Stanstead"," 605","Waterville",123,12,49,82,130,1,397,
24017,"Compton--Stanstead/Compton--Stanstead"," 606","Sherbrooke-Lennoxville",59,14,164,245,250,3,735,
24017,"Compton--Stanstead/Compton--Stanstead"," 607","Sherbrooke",217,10,57,72,251,9,616,
24017,"Compton--Stanstead/Compton--Stanstead"," 608","Rock Forest",212,3,68,73,332,1,689,
24017,"Compton--Stanstead/Compton--Stanstead"," 609","Saint-Élie-d'Orford",257,9,64,54,339,8,731,
24017,"Compton--Stanstead/Compton--Stanstead"," 610","Rock Forest",269,9,40,62,297,4,681,
24017,"Compton--Stanstead/Compton--Stanstead"," 611","North Hatley",177,28,66,161,197,1,630,
24017,"Compton--Stanstead/Compton--Stanstead"," 612","Stanstead",91,4,86,116,155,2,454,
24017,"Compton--Stanstead/Compton--Stanstead"," 613","Coaticook",201,15,127,157,248,8,756,
24017,"Compton--Stanstead/Compton--Stanstead"," 614","Saint-Herménégilde",54,4,10,20,36,0,124,
24017,"Compton--Stanstead/Compton--Stanstead"," 615","East Angus",227,3,80,81,238,18,647,
24017,"Compton--Stanstead/Compton--Stanstead"," 616","Rock Forest",204,6,52,69,264,10,605,
24017,"Compton--Stanstead/Compton--Stanstead"," 617","Deauville",81,4,33,54,134,4,310,
24017,"Compton--Stanstead/Compton--Stanstead"," 618","Rock Forest",212,8,42,68,244,1,575,
24017,"Compton--Stanstead/Compton--Stanstead",,Group 1/Groupe 1,18,6,49,19,26,16,134,257
24017,"Compton--Stanstead/Compton--Stanstead",,Group 2/Groupe 2,149,12,48,108,102,10,429,
