Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adriane Carr,Jennifer Clarke,John Clarke,Hedy Fry,Michael Hill,Michael Huenefeld,Travis McCrea,Karen Shillington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"Vancouver Centre/Vancouver-Centre"," 34A","Vancouver",27,43,0,41,3,2,0,56,0,172,429
59029,"Vancouver Centre/Vancouver-Centre"," 34B","Mobile poll/Bureau itinérant",6,22,2,19,0,1,1,31,0,82,56
59029,"Vancouver Centre/Vancouver-Centre"," 34C","Mobile poll/Bureau itinérant",Merged with No. 34B/Fusionné avec le nº 34B,,,,,,,,,,75
59029,"Vancouver Centre/Vancouver-Centre"," 35","Vancouver",7,24,1,26,0,0,0,23,0,81,266
59029,"Vancouver Centre/Vancouver-Centre"," 35-1A","Vancouver",13,52,1,30,0,1,0,25,1,123,339
59029,"Vancouver Centre/Vancouver-Centre"," 35-1B","Vancouver",12,23,0,30,0,0,0,26,0,91,305
59029,"Vancouver Centre/Vancouver-Centre"," 35-2","Vancouver",Void/Supprimé,,,,,,,,,,
59029,"Vancouver Centre/Vancouver-Centre"," 36","Vancouver",20,65,2,72,0,3,1,39,1,203,580
59029,"Vancouver Centre/Vancouver-Centre"," 36-1","Vancouver",15,69,0,70,0,1,0,29,0,184,474
59029,"Vancouver Centre/Vancouver-Centre"," 37","Vancouver",9,77,2,48,0,2,0,26,1,165,411
59029,"Vancouver Centre/Vancouver-Centre"," 38","Vancouver",27,40,2,52,0,1,1,40,1,164,345
59029,"Vancouver Centre/Vancouver-Centre"," 38-1","Vancouver",21,94,1,56,0,1,0,36,1,210,482
59029,"Vancouver Centre/Vancouver-Centre"," 38-2","Vancouver",33,105,3,59,0,2,2,55,1,260,529
59029,"Vancouver Centre/Vancouver-Centre"," 39","Vancouver",32,50,1,32,0,1,0,69,1,186,448
59029,"Vancouver Centre/Vancouver-Centre"," 40","Vancouver",26,27,1,41,1,1,0,42,0,139,302
59029,"Vancouver Centre/Vancouver-Centre"," 41","Vancouver",39,28,1,53,1,1,0,46,0,169,341
59029,"Vancouver Centre/Vancouver-Centre"," 42","Vancouver",26,24,1,33,0,0,1,45,0,130,296
59029,"Vancouver Centre/Vancouver-Centre"," 43","Vancouver",51,39,1,67,1,0,0,73,0,232,471
59029,"Vancouver Centre/Vancouver-Centre"," 44","Vancouver",34,17,0,71,0,2,0,96,1,221,480
59029,"Vancouver Centre/Vancouver-Centre"," 45","Vancouver",40,37,1,63,0,0,1,49,0,191,337
59029,"Vancouver Centre/Vancouver-Centre"," 46","Vancouver",25,37,0,57,1,0,1,72,0,193,424
59029,"Vancouver Centre/Vancouver-Centre"," 47","Vancouver",35,24,1,60,0,1,0,50,1,172,398
59029,"Vancouver Centre/Vancouver-Centre"," 48","Vancouver",54,49,2,77,0,2,1,76,0,261,495
