Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Blaney,Brenda Sayers,Peter Schwarzhoff,Laura Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"North Island--Powell River/North Island--Powell River"," 74B","Campbell River",35,4,44,45,0,128,209
59037,"North Island--Powell River/North Island--Powell River"," 75","Campbell River",79,21,66,62,0,228,434
59037,"North Island--Powell River/North Island--Powell River"," 76","Campbell River",77,21,85,53,0,236,430
59037,"North Island--Powell River/North Island--Powell River"," 77","Campbell River",101,12,77,68,0,258,471
59037,"North Island--Powell River/North Island--Powell River"," 78A","Campbell River",53,11,40,43,0,147,254
59037,"North Island--Powell River/North Island--Powell River"," 78B","Campbell River",31,15,37,54,1,138,259
59037,"North Island--Powell River/North Island--Powell River"," 79","Campbell River",59,6,77,81,0,223,398
59037,"North Island--Powell River/North Island--Powell River"," 80","Campbell River",63,17,79,79,0,238,434
59037,"North Island--Powell River/North Island--Powell River"," 81","Campbell River",78,9,70,37,0,194,360
59037,"North Island--Powell River/North Island--Powell River"," 82A","Campbell River",40,9,56,44,0,149,298
59037,"North Island--Powell River/North Island--Powell River"," 82B","Campbell River",41,8,31,23,0,103,205
59037,"North Island--Powell River/North Island--Powell River"," 83","Campbell River",64,15,54,54,1,188,390
59037,"North Island--Powell River/North Island--Powell River"," 84","Campbell River",81,16,74,46,1,218,440
59037,"North Island--Powell River/North Island--Powell River"," 85A","Campbell River",37,7,46,46,1,137,285
59037,"North Island--Powell River/North Island--Powell River"," 85B","Campbell River",34,4,46,26,0,110,242
59037,"North Island--Powell River/North Island--Powell River"," 86A","Campbell River",43,8,42,53,2,148,283
59037,"North Island--Powell River/North Island--Powell River"," 86B","Campbell River",27,7,43,22,0,99,225
59037,"North Island--Powell River/North Island--Powell River"," 87A","Campbell River",39,6,46,42,0,133,307
59037,"North Island--Powell River/North Island--Powell River"," 87B","Campbell River",40,10,37,37,2,126,291
59037,"North Island--Powell River/North Island--Powell River"," 88","Campbell River",77,15,72,60,0,224,430
59037,"North Island--Powell River/North Island--Powell River"," 89","Campbell River",45,7,87,46,0,185,379
59037,"North Island--Powell River/North Island--Powell River"," 90","Campbell River",92,12,85,57,0,246,445
59037,"North Island--Powell River/North Island--Powell River"," 91","Campbell River",67,14,100,51,1,233,408
59037,"North Island--Powell River/North Island--Powell River"," 92","Campbell River",63,8,73,60,0,204,354
59037,"North Island--Powell River/North Island--Powell River"," 93","Campbell River",83,13,88,73,0,257,425
59037,"North Island--Powell River/North Island--Powell River"," 94A","Campbell River",33,8,45,58,0,144,262
59037,"North Island--Powell River/North Island--Powell River"," 94B","Campbell River",31,8,33,42,1,115,200
59037,"North Island--Powell River/North Island--Powell River"," 95A","Campbell River",42,7,51,43,1,144,249
59037,"North Island--Powell River/North Island--Powell River"," 95B","Campbell River",40,5,46,43,1,135,232
59037,"North Island--Powell River/North Island--Powell River"," 96","Campbell River 92",19,9,37,40,0,105,230
59037,"North Island--Powell River/North Island--Powell River"," 97","Campbell River",77,25,65,36,0,203,398
59037,"North Island--Powell River/North Island--Powell River"," 98","Campbell River",113,23,71,30,0,237,453
59037,"North Island--Powell River/North Island--Powell River"," 99","Campbell River",67,19,64,34,0,184,350
59037,"North Island--Powell River/North Island--Powell River"," 100","Campbell River",56,11,58,58,1,184,367
59037,"North Island--Powell River/North Island--Powell River"," 101","Campbell River",85,17,63,41,0,206,405
59037,"North Island--Powell River/North Island--Powell River"," 102","Campbell River",70,21,57,57,0,205,414
59037,"North Island--Powell River/North Island--Powell River"," 103","Campbell River",81,15,53,37,0,186,431
59037,"North Island--Powell River/North Island--Powell River"," 104","Campbell River",69,14,55,63,1,202,437
59037,"North Island--Powell River/North Island--Powell River"," 105","Campbell River",53,14,70,81,0,218,430
59037,"North Island--Powell River/North Island--Powell River"," 106","Campbell River",59,17,46,44,0,166,373
59037,"North Island--Powell River/North Island--Powell River"," 107","Campbell River",59,9,68,69,2,207,409
59037,"North Island--Powell River/North Island--Powell River"," 108","Campbell River",52,6,61,84,1,204,403
59037,"North Island--Powell River/North Island--Powell River"," 109","Campbell River",74,19,64,48,1,206,469
59037,"North Island--Powell River/North Island--Powell River"," 110","Campbell River",72,8,90,98,0,268,458
59037,"North Island--Powell River/North Island--Powell River"," 111","Campbell River",62,11,56,80,0,209,299
59037,"North Island--Powell River/North Island--Powell River"," 112","Campbell River",45,9,46,40,0,140,282
59037,"North Island--Powell River/North Island--Powell River"," 113","Campbell River",71,10,47,46,1,175,304
59037,"North Island--Powell River/North Island--Powell River"," 114","Campbell River",59,20,46,30,0,155,292
59037,"North Island--Powell River/North Island--Powell River"," 115","Campbell River",66,23,41,51,0,181,274
59037,"North Island--Powell River/North Island--Powell River"," 116","Campbell River",60,22,56,51,1,190,332
59037,"North Island--Powell River/North Island--Powell River"," 117","Campbell River",88,18,80,68,1,255,419
59037,"North Island--Powell River/North Island--Powell River"," 118","Oyster River",74,21,71,71,1,238,374
59037,"North Island--Powell River/North Island--Powell River"," 119","Oyster River",90,20,64,69,3,246,366
59037,"North Island--Powell River/North Island--Powell River"," 120","Merville",113,25,27,45,0,210,395
59037,"North Island--Powell River/North Island--Powell River"," 121","Merville",84,31,41,68,0,224,426
59037,"North Island--Powell River/North Island--Powell River"," 122","Merville",96,16,50,68,0,230,385
59037,"North Island--Powell River/North Island--Powell River"," 123","Merville",108,26,34,50,0,218,339
59037,"North Island--Powell River/North Island--Powell River"," 124A","Merville",72,26,27,38,0,163,248
59037,"North Island--Powell River/North Island--Powell River"," 124B","Merville",58,19,33,34,0,144,231
59037,"North Island--Powell River/North Island--Powell River"," 125","Puntledge 1",92,18,27,51,0,188,357
59037,"North Island--Powell River/North Island--Powell River"," 126","Puntledge 2",73,25,46,57,0,201,356
59037,"North Island--Powell River/North Island--Powell River"," 127","Courtenay",89,21,54,62,3,229,392
59037,"North Island--Powell River/North Island--Powell River"," 128A","Courtenay/comox  2",43,18,39,21,1,122,285
59037,"North Island--Powell River/North Island--Powell River"," 128B","Courtenay/comox  2",36,7,20,32,0,95,220
59037,"North Island--Powell River/North Island--Powell River"," 129","Courtenay",95,20,47,59,0,221,437
59037,"North Island--Powell River/North Island--Powell River"," 130A","Courtenay",33,18,40,47,0,138,250
59037,"North Island--Powell River/North Island--Powell River"," 130B","Courtenay",35,5,31,42,0,113,197
59037,"North Island--Powell River/North Island--Powell River"," 131","Courtenay",39,10,33,30,0,112,241
59037,"North Island--Powell River/North Island--Powell River"," 132","Courtenay",60,16,52,44,0,172,335
59037,"North Island--Powell River/North Island--Powell River"," 133","Little River",69,19,64,64,0,216,467
59037,"North Island--Powell River/North Island--Powell River"," 134A","Larsons Landing",108,19,28,14,0,169,246
59037,"North Island--Powell River/North Island--Powell River"," 134B","Larsons Landing",91,12,24,16,0,143,232
59037,"North Island--Powell River/North Island--Powell River"," 135","Sliammon 1",120,17,24,18,0,179,321
59037,"North Island--Powell River/North Island--Powell River"," 136","Wildwood",127,26,75,36,0,264,432
59037,"North Island--Powell River/North Island--Powell River"," 137A","Wildwood",72,6,40,16,0,134,233
59037,"North Island--Powell River/North Island--Powell River"," 137B","Wildwood",75,5,38,16,2,136,224
59037,"North Island--Powell River/North Island--Powell River"," 138","Powell River",102,17,44,29,0,192,381
59037,"North Island--Powell River/North Island--Powell River"," 139","Powell River",114,12,38,31,0,195,366
59037,"North Island--Powell River/North Island--Powell River"," 140","Powell River",88,10,48,31,0,177,356
59037,"North Island--Powell River/North Island--Powell River"," 141","Powell River",110,19,56,37,2,224,416
59037,"North Island--Powell River/North Island--Powell River"," 142","Powell River",113,11,47,29,1,201,370
59037,"North Island--Powell River/North Island--Powell River"," 143","Powell River",108,13,48,33,0,202,405
59037,"North Island--Powell River/North Island--Powell River"," 144","Powell River",78,17,51,44,0,190,399
59037,"North Island--Powell River/North Island--Powell River"," 145","Powell River",86,15,49,27,2,179,382
59037,"North Island--Powell River/North Island--Powell River"," 146","Powell River",66,20,34,35,0,155,350
59037,"North Island--Powell River/North Island--Powell River"," 147","Powell River",80,16,56,38,0,190,367
59037,"North Island--Powell River/North Island--Powell River"," 148","Powell River",77,10,47,48,0,182,455
59037,"North Island--Powell River/North Island--Powell River"," 149","Powell River",75,11,43,33,0,162,367
59037,"North Island--Powell River/North Island--Powell River"," 150","Powell River",86,19,40,44,1,190,395
59037,"North Island--Powell River/North Island--Powell River"," 151","Powell River",84,21,42,56,0,203,398
59037,"North Island--Powell River/North Island--Powell River"," 152","Powell River",64,17,57,84,0,222,406
59037,"North Island--Powell River/North Island--Powell River"," 153","Powell River",78,19,73,56,0,226,428
59037,"North Island--Powell River/North Island--Powell River"," 154","Powell River",55,10,27,54,1,147,279
59037,"North Island--Powell River/North Island--Powell River"," 155","Powell River",70,10,64,33,0,177,328
59037,"North Island--Powell River/North Island--Powell River"," 156A","Powell River",79,10,65,37,0,191,370
59037,"North Island--Powell River/North Island--Powell River"," 156B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,15
59037,"North Island--Powell River/North Island--Powell River"," 157","Powell River",79,17,68,55,0,219,390
59037,"North Island--Powell River/North Island--Powell River"," 158","Powell River",102,11,50,79,0,242,398
59037,"North Island--Powell River/North Island--Powell River"," 159","Powell River",84,16,48,44,2,194,351
59037,"North Island--Powell River/North Island--Powell River"," 160","Powell River",60,15,80,77,0,232,396
59037,"North Island--Powell River/North Island--Powell River"," 161A","Myrtle Point",64,20,44,51,0,179,372
59037,"North Island--Powell River/North Island--Powell River"," 161B","Myrtle Point",63,18,29,45,0,155,314
59037,"North Island--Powell River/North Island--Powell River"," 162","Powell River",50,17,50,66,0,183,390
59037,"North Island--Powell River/North Island--Powell River"," 163A","Myrtle Point",55,13,64,40,2,174,313
59037,"North Island--Powell River/North Island--Powell River"," 163B","Myrtle Point",68,18,33,33,0,152,255
59037,"North Island--Powell River/North Island--Powell River"," 164","Van Anda",98,28,51,26,0,203,334
59037,"North Island--Powell River/North Island--Powell River"," 165","Little River",48,21,41,49,2,161,349
59037,"North Island--Powell River/North Island--Powell River"," 166","Little River",79,18,47,55,0,199,419
59037,"North Island--Powell River/North Island--Powell River"," 167","Comox 1",59,22,66,67,0,214,442
59037,"North Island--Powell River/North Island--Powell River"," 168","Comox",48,13,53,54,0,168,368
59037,"North Island--Powell River/North Island--Powell River"," 169","Comox",85,20,56,63,1,225,445
59037,"North Island--Powell River/North Island--Powell River"," 170A","Comox 1",45,12,36,29,0,122,245
59037,"North Island--Powell River/North Island--Powell River"," 170B","Comox 1",36,14,38,48,0,136,254
59037,"North Island--Powell River/North Island--Powell River"," 171","Little River",100,14,48,54,0,216,397
59037,"North Island--Powell River/North Island--Powell River"," 172","Comox 1",66,16,44,50,0,176,342
59037,"North Island--Powell River/North Island--Powell River"," 173","Comox 1",81,15,50,46,1,193,383
59037,"North Island--Powell River/North Island--Powell River"," 174","Comox 1",64,8,61,67,1,201,395
59037,"North Island--Powell River/North Island--Powell River"," 175","Comox 1",66,20,28,42,0,156,340
59037,"North Island--Powell River/North Island--Powell River"," 176","Comox-Strathcona B",97,16,18,31,0,162,331
59037,"North Island--Powell River/North Island--Powell River"," 177A","Comox",46,7,33,57,0,143,281
59037,"North Island--Powell River/North Island--Powell River"," 177B","Comox",33,10,35,38,1,117,208
59037,"North Island--Powell River/North Island--Powell River"," 178","Comox",50,12,65,90,1,218,454
59037,"North Island--Powell River/North Island--Powell River"," 179","Comox",93,7,37,57,1,195,424
59037,"North Island--Powell River/North Island--Powell River"," 180","Comox",96,30,51,45,0,222,449
59037,"North Island--Powell River/North Island--Powell River"," 181","Comox",78,25,51,62,0,216,435
59037,"North Island--Powell River/North Island--Powell River"," 182","Comox",85,15,62,49,2,213,402
59037,"North Island--Powell River/North Island--Powell River"," 183","Comox",62,23,54,53,4,196,462
59037,"North Island--Powell River/North Island--Powell River"," 184","Comox",82,12,51,43,1,189,430
59037,"North Island--Powell River/North Island--Powell River"," 185","Comox",51,20,47,65,0,183,354
59037,"North Island--Powell River/North Island--Powell River"," 186","Comox",83,12,63,29,0,187,352
59037,"North Island--Powell River/North Island--Powell River"," 187","Comox",71,12,58,84,0,225,453
59037,"North Island--Powell River/North Island--Powell River"," 188","Comox",68,13,47,61,0,189,449
59037,"North Island--Powell River/North Island--Powell River"," 189","Comox",68,16,33,32,1,150,420
59037,"North Island--Powell River/North Island--Powell River"," 190","Comox",67,8,32,36,0,143,398
59037,"North Island--Powell River/North Island--Powell River"," 191A","Comox",44,9,42,38,0,133,320
59037,"North Island--Powell River/North Island--Powell River"," 191B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,100
59037,"North Island--Powell River/North Island--Powell River"," 192","Comox",81,9,35,53,0,178,391
59037,"North Island--Powell River/North Island--Powell River"," 193","Comox",79,9,47,41,0,176,360
59037,"North Island--Powell River/North Island--Powell River"," 194","Comox",73,21,38,48,0,180,389
59037,"North Island--Powell River/North Island--Powell River"," 195","Comox",86,7,47,53,1,194,407
59037,"North Island--Powell River/North Island--Powell River"," 196","Comox",98,19,33,53,0,203,441
59037,"North Island--Powell River/North Island--Powell River"," 197","Comox",35,11,27,42,0,115,372
59037,"North Island--Powell River/North Island--Powell River"," 198","Comox",54,10,48,24,0,136,379
59037,"North Island--Powell River/North Island--Powell River"," 199","Comox",42,6,43,37,1,129,370
59037,"North Island--Powell River/North Island--Powell River"," 200A","Gillies Bay",89,32,33,26,0,180,254
59037,"North Island--Powell River/North Island--Powell River"," 200B","Gillies Bay",74,33,48,32,0,187,270
59037,"North Island--Powell River/North Island--Powell River"," 201","Cumberland",71,19,32,36,0,158,336
59037,"North Island--Powell River/North Island--Powell River"," 202","Comox Valley C (Puntledge - Black Creek)",54,11,28,65,1,159,360
59037,"North Island--Powell River/North Island--Powell River"," 203","Courtenay",62,16,28,38,1,145,353
59037,"North Island--Powell River/North Island--Powell River"," 204","Cumberland",44,7,29,23,0,103,277
59037,"North Island--Powell River/North Island--Powell River"," 205","Alert Bay 1",243,14,26,4,3,290,491
59037,"North Island--Powell River/North Island--Powell River"," 206","Alert Bay",144,30,36,30,0,240,369
59037,"North Island--Powell River/North Island--Powell River"," 207","Port Hardy",57,15,67,40,3,182,387
59037,"North Island--Powell River/North Island--Powell River"," 208","Port Hardy",79,18,62,46,1,206,409
59037,"North Island--Powell River/North Island--Powell River"," 209","Port Hardy",85,7,17,13,1,123,345
59037,"North Island--Powell River/North Island--Powell River"," 210","Port Hardy",70,11,49,48,2,180,394
59037,"North Island--Powell River/North Island--Powell River"," 211","Port Hardy 11",40,13,22,28,1,104,234
59037,"North Island--Powell River/North Island--Powell River"," 212","Port Hardy",79,15,71,49,1,215,469
59037,"North Island--Powell River/North Island--Powell River"," 213","Port Hardy",32,10,33,35,0,110,279
59037,"North Island--Powell River/North Island--Powell River"," 214","Port Hardy 15",28,6,28,32,1,95,121
59037,"North Island--Powell River/North Island--Powell River"," 215A","Port Hardy 14",81,8,36,25,0,150,363
59037,"North Island--Powell River/North Island--Powell River"," 215B","Port Hardy 14",56,9,32,30,0,127,324
59037,"North Island--Powell River/North Island--Powell River"," 500","Mobile poll/Bureau itinérant",16,2,14,15,5,52,94
59037,"North Island--Powell River/North Island--Powell River"," 501","Mobile poll/Bureau itinérant",29,10,33,54,1,127,169
59037,"North Island--Powell River/North Island--Powell River"," 502A","Mobile poll/Bureau itinérant",19,5,14,8,1,47,32
59037,"North Island--Powell River/North Island--Powell River"," 502B","Powell River",Merged with No./Fusionné avec le n°148,,,,,,5
59037,"North Island--Powell River/North Island--Powell River"," 503","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
59037,"North Island--Powell River/North Island--Powell River"," 504","Mobile poll/Bureau itinérant",20,10,23,14,3,70,148
59037,"North Island--Powell River/North Island--Powell River"," 505","Mobile poll/Bureau itinérant",62,21,60,65,0,208,199
59037,"North Island--Powell River/North Island--Powell River"," 506","Mobile poll/Bureau itinérant",22,3,15,8,0,48,19
59037,"North Island--Powell River/North Island--Powell River"," 600","Port Hardy",325,39,167,145,0,676,
59037,"North Island--Powell River/North Island--Powell River"," 601","Port McNeill",191,25,113,160,0,489,
59037,"North Island--Powell River/North Island--Powell River"," 602","Blind Channel/Stuart Island",117,13,15,31,0,176,
59037,"North Island--Powell River/North Island--Powell River"," 603","Gold River",127,27,80,88,0,322,
59037,"North Island--Powell River/North Island--Powell River"," 604","Campbell River",299,55,222,244,3,823,
59037,"North Island--Powell River/North Island--Powell River"," 605","Campbell River",356,61,279,314,1,1011,
59037,"North Island--Powell River/North Island--Powell River"," 606","Campbell River",362,61,282,343,0,1048,
59037,"North Island--Powell River/North Island--Powell River"," 607","Campbell River",350,59,297,421,0,1127,
59037,"North Island--Powell River/North Island--Powell River"," 608","Campbell River--Sayward",139,25,103,140,1,408,
59037,"North Island--Powell River/North Island--Powell River"," 609","Merville",353,107,171,242,2,875,
59037,"North Island--Powell River/North Island--Powell River"," 610","Cumberland",94,18,57,75,1,245,
59037,"North Island--Powell River/North Island--Powell River"," 611","Comox",364,74,211,305,1,955,
59037,"North Island--Powell River/North Island--Powell River"," 612","Comox",409,66,198,328,1,1002,
59037,"North Island--Powell River/North Island--Powell River"," 613","Comox",260,69,183,314,1,827,
59037,"North Island--Powell River/North Island--Powell River"," 614","Comox Valley B (Lazo North)",295,83,143,291,2,814,
59037,"North Island--Powell River/North Island--Powell River"," 615","Comox Valley B (Lazo North)",285,53,112,222,1,673,
59037,"North Island--Powell River/North Island--Powell River"," 616","Powell River",143,26,38,38,1,246,
59037,"North Island--Powell River/North Island--Powell River"," 617","Powell River",143,26,38,38,0,245,
59037,"North Island--Powell River/North Island--Powell River"," 618","Powell River",479,53,162,147,0,841,
59037,"North Island--Powell River/North Island--Powell River"," 619","Texada Island",414,63,238,263,0,978,
59037,"North Island--Powell River/North Island--Powell River",,"Group 1/Groupe 1",87,17,69,103,10,286,125
59037,"North Island--Powell River/North Island--Powell River",,"Group 2/Groupe 2",1788,338,711,1038,37,3912,
