Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Adler,Hal Berman,Constantine Kritsonis,Michael Levitt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35118,"York Centre/York-Centre"," 64","North York",63,17,4,125,1,210,444
35118,"York Centre/York-Centre"," 65","North York",88,17,5,119,1,230,514
35118,"York Centre/York-Centre"," 66","North York",47,14,9,115,1,186,331
35118,"York Centre/York-Centre"," 67","North York",60,24,7,122,2,215,520
35118,"York Centre/York-Centre"," 68","North York",79,18,6,177,0,280,518
35118,"York Centre/York-Centre"," 69","North York",68,10,3,156,0,237,479
35118,"York Centre/York-Centre"," 70","North York",79,12,2,156,0,249,506
35118,"York Centre/York-Centre"," 71","North York",77,26,2,128,0,233,485
35118,"York Centre/York-Centre"," 72","North York",75,24,4,172,2,277,593
35118,"York Centre/York-Centre"," 73","North York",45,20,5,109,1,180,387
35118,"York Centre/York-Centre"," 74","North York",76,20,14,139,4,253,430
35118,"York Centre/York-Centre"," 75","North York",48,17,1,110,3,179,341
35118,"York Centre/York-Centre"," 76","North York",92,27,6,180,7,312,563
35118,"York Centre/York-Centre"," 77","North York",57,15,2,117,1,192,395
35118,"York Centre/York-Centre"," 78","North York",65,20,6,121,0,212,406
35118,"York Centre/York-Centre"," 79","North York",57,22,9,169,1,258,437
35118,"York Centre/York-Centre"," 80","North York",85,14,5,131,2,237,435
35118,"York Centre/York-Centre"," 81","North York",44,10,1,105,3,163,336
35118,"York Centre/York-Centre"," 82","North York",48,23,4,133,1,209,381
35118,"York Centre/York-Centre"," 83","North York",71,13,9,131,0,224,401
35118,"York Centre/York-Centre"," 84","North York",75,14,0,120,0,209,404
35118,"York Centre/York-Centre"," 85","North York",70,17,8,115,0,210,394
35118,"York Centre/York-Centre"," 86","North York",39,13,5,124,0,181,395
35118,"York Centre/York-Centre"," 87","North York",43,13,4,102,0,162,315
35118,"York Centre/York-Centre"," 88","North York",71,7,1,107,0,186,338
35118,"York Centre/York-Centre"," 89","North York",67,7,6,135,2,217,479
35118,"York Centre/York-Centre"," 90A","North York",72,14,3,102,6,197,372
35118,"York Centre/York-Centre"," 90B","North York",Merged with No./Fusionné avec le n°454,,,,,,89
35118,"York Centre/York-Centre"," 91","North York",51,10,1,129,1,192,363
35118,"York Centre/York-Centre"," 92","North York",48,12,0,118,2,180,318
35118,"York Centre/York-Centre"," 93","North York",52,18,1,114,0,185,382
35118,"York Centre/York-Centre"," 94","North York",61,15,3,100,2,181,373
35118,"York Centre/York-Centre"," 95","North York",79,30,6,162,0,277,488
35118,"York Centre/York-Centre"," 96","North York",57,15,3,114,0,189,357
35118,"York Centre/York-Centre"," 97","North York",50,11,8,109,2,180,316
35118,"York Centre/York-Centre"," 98","North York",50,13,3,116,0,182,393
35118,"York Centre/York-Centre"," 99","North York",73,25,2,166,5,271,550
35118,"York Centre/York-Centre"," 100","North York",92,20,3,159,2,276,450
35118,"York Centre/York-Centre"," 101","North York",86,19,2,125,1,233,478
35118,"York Centre/York-Centre"," 102","North York",72,16,5,138,2,233,407
35118,"York Centre/York-Centre"," 103","North York",57,13,3,144,6,223,455
35118,"York Centre/York-Centre"," 104","North York",88,19,5,151,3,266,459
35118,"York Centre/York-Centre"," 105","North York",52,19,1,145,0,217,485
35118,"York Centre/York-Centre"," 106","North York",71,16,6,108,1,202,317
35118,"York Centre/York-Centre"," 107","North York",54,23,5,144,4,230,396
35118,"York Centre/York-Centre"," 108","North York",78,21,3,122,0,224,452
35118,"York Centre/York-Centre"," 109","North York",105,13,1,91,3,213,501
35118,"York Centre/York-Centre"," 110","North York",151,8,5,61,1,226,555
35118,"York Centre/York-Centre"," 111","North York",72,28,6,129,0,235,498
35118,"York Centre/York-Centre"," 400","North York",81,7,7,22,0,117,214
35118,"York Centre/York-Centre"," 401","North York",50,13,2,36,0,101,282
35118,"York Centre/York-Centre"," 402","North York",45,8,4,31,1,89,177
35118,"York Centre/York-Centre"," 403","North York",164,9,1,60,3,237,328
35118,"York Centre/York-Centre"," 404","North York",128,10,0,46,4,188,308
35118,"York Centre/York-Centre"," 405","North York",121,10,0,51,2,184,311
35118,"York Centre/York-Centre"," 406","North York",44,8,1,43,0,96,157
35118,"York Centre/York-Centre"," 407","North York",65,1,0,43,0,109,172
35118,"York Centre/York-Centre"," 408","North York",58,15,2,48,0,123,279
35118,"York Centre/York-Centre"," 409","North York",46,6,4,59,0,115,188
35118,"York Centre/York-Centre"," 410","North York",189,6,3,37,15,250,345
35118,"York Centre/York-Centre"," 411","Vaughan",38,9,4,67,0,118,161
35118,"York Centre/York-Centre"," 412","North York",35,8,3,26,2,74,136
35118,"York Centre/York-Centre"," 413","North York",64,12,5,65,1,147,156
35118,"York Centre/York-Centre"," 414","North York",91,19,8,83,1,202,259
35118,"York Centre/York-Centre"," 415","North York",68,10,3,60,0,141,357
35118,"York Centre/York-Centre"," 416","North York",112,30,1,155,2,300,558
35118,"York Centre/York-Centre"," 417","North York",118,19,4,65,2,208,172
35118,"York Centre/York-Centre"," 418","North York",121,9,2,54,1,187,360
35118,"York Centre/York-Centre"," 419","North York",140,20,4,53,2,219,343
35118,"York Centre/York-Centre"," 420","North York",127,12,2,72,1,214,321
35118,"York Centre/York-Centre"," 421","North York",98,10,4,31,1,144,278
35118,"York Centre/York-Centre"," 422","North York",38,16,3,92,2,151,339
35118,"York Centre/York-Centre"," 423","North York",Void/Supprimé,,,,,,
35118,"York Centre/York-Centre"," 424","North York",134,11,2,63,2,212,337
35118,"York Centre/York-Centre"," 425","North York",Void/Supprimé,,,,,,
35118,"York Centre/York-Centre"," 426","North York",34,9,2,44,1,90,199
35118,"York Centre/York-Centre"," 427","North York",Void/Supprimé,,,,,,
35118,"York Centre/York-Centre"," 428","North York",98,9,6,105,1,219,372
35118,"York Centre/York-Centre"," 429","North York",107,27,3,133,0,270,226
35118,"York Centre/York-Centre"," 430","North York",107,26,8,113,4,258,220
35118,"York Centre/York-Centre"," 431","North York",53,28,5,90,2,178,296
35118,"York Centre/York-Centre"," 432","North York",57,18,3,121,0,199,309
35118,"York Centre/York-Centre"," 433","North York",153,9,2,27,8,199,289
35118,"York Centre/York-Centre"," 434","North York",103,16,3,79,0,201,312
35118,"York Centre/York-Centre"," 435","North York",68,16,3,29,0,116,152
35118,"York Centre/York-Centre"," 436","North York",52,12,2,79,2,147,220
35118,"York Centre/York-Centre"," 437","North York",73,26,5,90,4,198,178
35118,"York Centre/York-Centre"," 438","North York",77,16,3,85,2,183,290
35118,"York Centre/York-Centre"," 439","North York",Void/Supprimé,,,,,,
35118,"York Centre/York-Centre"," 440","North York",82,11,4,60,3,160,241
35118,"York Centre/York-Centre"," 441","North York",Void/Supprimé,,,,,,
35118,"York Centre/York-Centre"," 442","North York",97,7,1,20,5,130,190
35118,"York Centre/York-Centre"," 443","North York",96,5,0,18,5,124,163
35118,"York Centre/York-Centre"," 444","North York",71,18,4,70,5,168,157
35118,"York Centre/York-Centre"," 445","North York",27,8,1,76,0,112,230
35118,"York Centre/York-Centre"," 446","North York",31,5,7,77,5,125,278
35118,"York Centre/York-Centre"," 447","North York",8,6,1,38,7,60,278
35118,"York Centre/York-Centre"," 448","North York",11,2,1,58,1,73,166
35118,"York Centre/York-Centre"," 449","North York",40,13,3,163,3,222,344
35118,"York Centre/York-Centre"," 450","North York",35,7,4,65,0,111,160
35118,"York Centre/York-Centre"," 451","North York",16,18,3,60,0,97,165
35118,"York Centre/York-Centre"," 452","North York",38,15,7,89,0,149,250
35118,"York Centre/York-Centre"," 453","North York",51,12,5,115,2,185,310
35118,"York Centre/York-Centre"," 454","North York",24,10,1,103,2,140,155
35118,"York Centre/York-Centre"," 455","North York",22,14,2,52,0,90,225
35118,"York Centre/York-Centre"," 456","North York",27,18,3,85,1,134,242
35118,"York Centre/York-Centre"," 457","North York",33,9,1,88,1,132,223
35118,"York Centre/York-Centre"," 458","North York",23,13,3,86,3,128,209
35118,"York Centre/York-Centre"," 459","North York",26,15,5,121,3,170,262
35118,"York Centre/York-Centre"," 460","North York",47,35,5,157,4,248,379
35118,"York Centre/York-Centre"," 461","North York",124,43,6,212,3,388,592
35118,"York Centre/York-Centre"," 462","North York",8,3,0,10,0,21,25
35118,"York Centre/York-Centre"," 463","North York",17,12,0,79,4,112,180
35118,"York Centre/York-Centre"," 464","North York",53,10,4,53,0,120,185
35118,"York Centre/York-Centre"," 465","North York",31,13,2,73,0,119,242
35118,"York Centre/York-Centre"," 466","North York",42,9,2,62,1,116,193
35118,"York Centre/York-Centre"," 467","North York",7,3,0,22,0,32,51
35118,"York Centre/York-Centre"," 468","North York",10,8,0,34,0,52,139
35118,"York Centre/York-Centre"," 500A","Mobile poll/Bureau itinérant",63,2,0,8,1,74,136
35118,"York Centre/York-Centre"," 500B","Mobile poll/Bureau itinérant",25,7,1,29,4,66,244
35118,"York Centre/York-Centre"," 600","North York",535,57,13,260,3,868,
35118,"York Centre/York-Centre"," 601","North York",382,52,8,217,0,659,
35118,"York Centre/York-Centre"," 602","North York",572,70,22,406,1,1071,
35118,"York Centre/York-Centre"," 603","North York",585,58,16,517,5,1181,
35118,"York Centre/York-Centre"," 604","North York",665,50,13,357,5,1090,
35118,"York Centre/York-Centre"," 605","North York",594,72,14,439,3,1122,
35118,"York Centre/York-Centre"," 606","North York",436,32,14,323,1,806,
35118,"York Centre/York-Centre"," 607","North York",139,44,10,285,2,480,
35118,"York Centre/York-Centre"," 608","North York",212,59,12,404,2,689,
35118,"York Centre/York-Centre"," 609","North York",167,47,9,318,2,543,
35118,"York Centre/York-Centre"," 610","North York",184,51,8,337,5,585,
35118,"York Centre/York-Centre",,"Group 1/Groupe 1",35,6,2,59,6,108,83
35118,"York Centre/York-Centre",,"Group 2/Groupe 2",436,97,20,447,14,1014,
