Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William MacDonald Alexander,Rita Ann Fromholt,Fahed Khalid,Andrew Kucy,Lynn MacWilliam,Martin Shields,Frans VandeStroet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 164","Barnwell",6,2,0,0,1,142,0,0,151,292
48003,"Bow River/Bow River"," 165","Barnwell",21,2,0,5,5,198,4,0,235,442
48003,"Bow River/Bow River"," 166","Taber",25,4,0,3,5,153,1,1,192,351
48003,"Bow River/Bow River"," 167","Taber",28,2,0,1,16,161,5,0,213,454
48003,"Bow River/Bow River"," 168","Taber",15,5,1,6,20,146,2,1,196,414
48003,"Bow River/Bow River"," 169","Taber 14",15,0,0,0,3,189,6,0,213,468
48003,"Bow River/Bow River"," 170","Strathmore",13,3,0,5,7,221,1,0,250,447
48003,"Bow River/Bow River"," 171","Strathmore",38,8,0,3,6,157,0,0,212,457
48003,"Bow River/Bow River"," 172","Strathmore",38,5,0,4,13,152,0,0,212,411
48003,"Bow River/Bow River"," 173","Strathmore",42,9,0,7,16,141,0,1,216,432
48003,"Bow River/Bow River"," 174","Strathmore",42,4,0,2,16,215,4,0,283,517
48003,"Bow River/Bow River"," 175","Strathmore",34,4,0,3,9,204,0,0,254,452
48003,"Bow River/Bow River"," 176","Strathmore",23,2,1,1,8,170,0,0,205,428
48003,"Bow River/Bow River"," 177","Strathmore",31,7,0,2,10,110,5,0,165,389
48003,"Bow River/Bow River"," 178","Strathmore",22,3,0,1,15,170,0,0,211,391
48003,"Bow River/Bow River"," 179","Strathmore",36,9,0,8,22,167,0,2,244,417
48003,"Bow River/Bow River"," 180","Strathmore",34,8,0,4,9,133,1,3,192,379
48003,"Bow River/Bow River"," 181","Strathmore",32,10,0,1,12,96,0,0,151,354
48003,"Bow River/Bow River"," 182","Strathmore",28,4,1,2,14,166,3,0,218,401
48003,"Bow River/Bow River"," 500","Mobile poll/Bureau itinérant",2,0,0,0,1,37,0,0,40,64
48003,"Bow River/Bow River"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,,56
48003,"Bow River/Bow River"," 501B","Mobile poll/Bureau itinérant",13,2,1,0,4,160,3,2,185,168
48003,"Bow River/Bow River"," 501C","Mobile poll/Bureau itinérant",7,1,0,1,4,51,0,1,65,84
48003,"Bow River/Bow River"," 501D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501C,,,,,,,,,25
48003,"Bow River/Bow River"," 502","Mobile poll/Bureau itinérant",11,1,2,1,8,66,2,1,92,90
48003,"Bow River/Bow River"," 503","Mobile poll/Bureau itinérant",9,0,0,1,5,46,0,1,62,110
48003,"Bow River/Bow River"," 504","Mobile poll/Bureau itinérant",14,0,3,1,5,106,1,3,133,281
48003,"Bow River/Bow River"," 600","Kneehill County",18,4,0,1,9,258,0,0,290,
48003,"Bow River/Bow River"," 601","Kneehill County",5,1,0,0,2,32,0,0,40,
48003,"Bow River/Bow River"," 602","Rocky View No. 44--Irricana",15,12,1,1,10,141,0,0,180,
48003,"Bow River/Bow River"," 603","Chestermere--Rocky View No. 44",261,9,8,2,63,946,2,1,1292,
48003,"Bow River/Bow River"," 604","Rocky View No. 44",100,8,0,11,26,547,0,2,694,
48003,"Bow River/Bow River"," 605","Strathmore",255,44,1,13,103,1687,5,2,2110,
48003,"Bow River/Bow River"," 606","Hussar--Wheatland County",15,3,0,2,7,81,2,0,110,
48003,"Bow River/Bow River"," 607","Newell County No. 4--Bassano",26,4,1,3,14,234,1,3,286,
48003,"Bow River/Bow River"," 608","Arrowwood",10,1,0,0,16,87,0,0,114,
48003,"Bow River/Bow River"," 609","Newell County No. 4",16,0,0,2,8,288,1,0,315,
48003,"Bow River/Bow River"," 610","Brooks",98,8,4,5,22,752,4,2,895,
48003,"Bow River/Bow River"," 611","Newell County No. 4--Brooks",82,11,2,4,38,622,4,9,772,
48003,"Bow River/Bow River"," 612","Vulcan",57,19,0,2,23,467,4,0,572,
48003,"Bow River/Bow River"," 613","Taber--Vauxhall",26,2,3,2,15,323,2,0,373,
48003,"Bow River/Bow River"," 614","Taber",85,7,1,4,43,624,5,1,770,
48003,"Bow River/Bow River",,"Group 1/Groupe 1",26,2,1,0,7,17,0,8,61,45
48003,"Bow River/Bow River",,"Group 2/Groupe 2",145,36,3,4,83,803,18,29,1121,
