Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Boyd,Alicia Cormier,Tim Kane,Elizabeth May,Meghan Jess Porter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 115","East Saanich 2",41,51,55,81,3,1,232,404
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 116","East Saanich 2",21,79,31,86,2,0,219,380
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 117","Sidney",67,22,31,129,1,0,250,445
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 118","Sidney",30,20,35,106,0,1,192,349
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 119","Sidney",38,10,44,104,0,0,196,368
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 120","Sidney",48,10,24,118,1,0,201,381
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 121","Cordova Bay",40,21,57,100,2,0,220,379
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 122","Cordova Bay",84,11,53,111,3,0,262,470
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 123","Cordova Bay",86,20,66,124,1,1,298,527
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 124","Cordova Bay",27,17,50,111,1,0,206,359
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 125","Cordova Bay",48,8,53,102,0,0,211,347
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 126","Cordova Bay",55,14,37,86,1,0,193,338
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 127","Cordova Bay",49,16,35,113,0,1,214,375
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 128","Cordova Bay",76,21,72,138,0,0,307,540
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 129","Cordova Bay",64,17,50,124,0,0,255,420
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 130","Cordova Bay",52,12,67,76,0,0,207,359
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 131","Saanich",50,21,56,104,0,3,234,389
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 132","Saanich",79,12,57,123,0,0,271,488
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 133","Cordova Bay",43,25,43,93,1,0,205,349
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 134","Saanich",63,8,45,85,0,0,201,381
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 135","Saanich",65,17,74,137,2,0,295,530
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 136","Saanich",36,16,46,55,0,0,153,306
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 137","Cordova Bay",77,17,40,107,0,0,241,427
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 138","Cordova Bay",48,16,39,90,2,0,195,321
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 139","Saanich",47,14,36,68,0,0,165,284
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 140","Cordova Bay",55,11,44,84,1,0,195,342
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 141","Saanich",59,15,47,107,0,0,228,424
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 142","Saanich",56,50,43,93,1,1,244,421
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 143","Saanich",83,24,69,109,1,0,286,487
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 144","Saanich",70,6,34,105,0,1,216,371
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 145","Gordon Head",40,21,59,121,2,2,245,444
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 146","Gordon Head",58,32,54,126,1,2,273,434
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 147","Saanich",64,27,37,131,2,0,261,427
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 148","Saanich",66,26,70,119,0,2,283,456
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 149","Saanich",50,26,46,133,4,0,259,441
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 150","Saanich",41,37,56,130,2,0,266,536
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 151","Saanich",46,34,62,105,1,0,248,443
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 152","Gordon Head",27,28,56,94,0,1,206,461
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 153","Saanich",37,24,41,111,1,3,217,396
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 154","Gordon Head",37,18,42,97,2,1,197,387
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 155","Gordon Head",48,10,56,106,3,0,223,433
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 156","Saanich",36,14,47,111,0,2,210,398
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 157","Saanich",27,25,51,124,0,1,228,442
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 158","Saanich",29,20,48,115,2,1,215,412
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 159","Saanich",34,10,31,82,0,2,159,326
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 160","Saanich",23,19,46,77,1,2,168,331
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 161","Gordon Head",47,11,43,110,1,0,212,380
