Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Assouline,Frank Baylis,Lysane Blanchette-Lamothe,Natalie Laplante,Abraham Weizfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 68","Saint-Raphaël-de-l'Île-Bizard",30,112,52,13,3,1,211,367
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 69","Saint-Raphaël-de-l'Île-Bizard",31,117,56,39,2,4,249,477
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 70","Saint-Raphaël-de-l'Île-Bizard",13,96,38,14,4,3,168,299
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 71","Saint-Raphaël-de-l'Île-Bizard",19,119,43,12,2,1,196,378
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 72","Saint-Raphaël-de-l'Île-Bizard",34,112,52,21,5,5,229,451
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 73","Saint-Raphaël-de-l'Île-Bizard",55,97,18,12,3,1,186,358
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 74","Pierrefonds",38,91,42,14,4,1,190,364
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 75","Pierrefonds",27,133,48,10,2,2,222,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 76","Pierrefonds",39,115,23,10,2,2,191,509
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 77","Pierrefonds",21,103,22,12,8,1,167,389
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 78","Pierrefonds",22,151,48,8,5,0,234,461
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 79","Pierrefonds",24,155,27,3,4,0,213,422
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 80","Pierrefonds",23,116,46,2,5,0,192,403
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 81","Pierrefonds",34,156,34,3,8,0,235,472
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 82","Dollard-des-Ormeaux",62,143,33,9,4,0,251,463
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 83","Dollard-des-Ormeaux",49,113,36,5,3,2,208,396
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 84","Dollard-des-Ormeaux",53,128,40,2,4,0,227,417
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 85","Pierrefonds",30,135,31,4,5,1,206,404
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 86","Pierrefonds",49,128,26,4,3,0,210,388
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 87","Pierrefonds",22,89,28,6,1,2,148,368
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 88","Pierrefonds",18,80,32,6,2,0,138,351
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 89","Dollard-des-Ormeaux",33,75,32,2,3,1,146,324
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 90","Dollard-des-Ormeaux",61,88,27,1,1,0,178,345
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 91","Dollard-des-Ormeaux",46,103,42,5,2,2,200,389
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 92","Dollard-des-Ormeaux",88,127,25,3,2,1,246,454
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 93","Dollard-des-Ormeaux",23,123,22,2,2,0,172,408
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 94","Dollard-des-Ormeaux",92,114,10,2,2,1,221,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 95","Dollard-des-Ormeaux",80,116,12,2,5,1,216,442
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 96","Dollard-des-Ormeaux",78,135,18,1,6,0,238,429
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 97","Dollard-des-Ormeaux",83,112,23,8,3,0,229,383
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 98","Dollard-des-Ormeaux",89,119,13,0,1,0,222,413
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 99","Pierrefonds",14,83,22,4,4,0,127,263
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 100","Pierrefonds",30,116,28,9,2,4,189,387
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 101","Dollard-des-Ormeaux",29,96,21,6,6,0,158,280
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 102","Dollard-des-Ormeaux",49,220,43,3,2,4,321,505
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 103","Dollard-des-Ormeaux",64,228,40,6,2,5,345,545
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 104","Dollard-des-Ormeaux",38,203,31,5,7,13,297,488
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 105","Dollard-des-Ormeaux",47,167,35,2,3,8,262,542
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 106","Dollard-des-Ormeaux",39,151,43,7,5,1,246,547
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 107","Dollard-des-Ormeaux",17,134,31,3,5,0,190,404
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 108","Dollard-des-Ormeaux",30,135,32,4,6,1,208,387
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 109","Dollard-des-Ormeaux",28,172,36,2,5,0,243,455
