Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elizabeth Abbott,Julie Dabrusin,Benjamin Dichter,John Richardson,Craig Scott,Chris Tolley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 73","Toronto",1,94,18,5,83,8,0,209,375
35109,"Toronto--Danforth/Toronto--Danforth"," 74","Toronto",3,119,49,5,128,16,2,322,510
35109,"Toronto--Danforth/Toronto--Danforth"," 75","Toronto",1,71,19,10,85,8,1,195,353
35109,"Toronto--Danforth/Toronto--Danforth"," 76","Toronto",0,109,34,4,129,11,2,289,460
35109,"Toronto--Danforth/Toronto--Danforth"," 77","Toronto",2,106,23,2,71,10,0,214,354
35109,"Toronto--Danforth/Toronto--Danforth"," 78","Toronto",1,105,27,8,109,20,0,270,534
35109,"Toronto--Danforth/Toronto--Danforth"," 79","Toronto",0,104,24,10,110,9,0,257,430
35109,"Toronto--Danforth/Toronto--Danforth"," 80","Toronto",3,90,12,6,111,10,2,234,473
35109,"Toronto--Danforth/Toronto--Danforth"," 81","Toronto",1,101,28,5,106,8,0,249,439
35109,"Toronto--Danforth/Toronto--Danforth"," 82","Toronto",0,58,10,1,87,8,1,165,327
35109,"Toronto--Danforth/Toronto--Danforth"," 83","Toronto",0,111,31,5,109,13,1,270,520
35109,"Toronto--Danforth/Toronto--Danforth"," 84","Toronto",2,113,16,2,106,16,2,257,463
35109,"Toronto--Danforth/Toronto--Danforth"," 85","Toronto",1,73,13,6,77,20,1,191,369
35109,"Toronto--Danforth/Toronto--Danforth"," 86","Toronto",0,68,11,2,67,11,0,159,359
35109,"Toronto--Danforth/Toronto--Danforth"," 87","Toronto",2,102,31,13,97,11,2,258,534
35109,"Toronto--Danforth/Toronto--Danforth"," 88","Toronto",1,111,41,7,106,21,3,290,523
35109,"Toronto--Danforth/Toronto--Danforth"," 89","Toronto",3,108,36,13,118,17,0,295,458
35109,"Toronto--Danforth/Toronto--Danforth"," 90","Toronto",8,67,28,5,92,7,0,207,409
35109,"Toronto--Danforth/Toronto--Danforth"," 91","Toronto",3,102,15,5,110,6,1,242,413
35109,"Toronto--Danforth/Toronto--Danforth"," 92","Toronto",3,83,12,6,72,9,0,185,358
35109,"Toronto--Danforth/Toronto--Danforth"," 93","Toronto",1,93,31,1,105,12,1,244,438
35109,"Toronto--Danforth/Toronto--Danforth"," 94","Toronto",1,74,14,6,111,9,0,215,391
35109,"Toronto--Danforth/Toronto--Danforth"," 95","Toronto",1,51,21,5,68,10,3,159,420
35109,"Toronto--Danforth/Toronto--Danforth"," 96","Toronto",1,110,30,4,94,13,1,253,526
35109,"Toronto--Danforth/Toronto--Danforth"," 97","Toronto",1,57,26,6,61,8,0,159,352
35109,"Toronto--Danforth/Toronto--Danforth"," 98","Toronto",1,77,23,2,96,12,0,211,421
35109,"Toronto--Danforth/Toronto--Danforth"," 99","Toronto",0,98,23,2,66,5,1,195,353
35109,"Toronto--Danforth/Toronto--Danforth"," 100","Toronto",3,117,13,3,85,11,3,235,450
35109,"Toronto--Danforth/Toronto--Danforth"," 101","Toronto",1,78,22,2,58,14,0,175,341
35109,"Toronto--Danforth/Toronto--Danforth"," 102","Toronto",4,82,28,7,132,8,1,262,277
35109,"Toronto--Danforth/Toronto--Danforth"," 103A","Toronto",0,60,16,7,60,9,0,152,283
35109,"Toronto--Danforth/Toronto--Danforth"," 103B","Toronto",Merged with No./Fusionné avec le n°102,,,,,,,,143
35109,"Toronto--Danforth/Toronto--Danforth"," 104","Toronto",0,76,8,3,75,7,0,169,391
35109,"Toronto--Danforth/Toronto--Danforth"," 105","Toronto",0,78,20,2,55,10,1,166,314
35109,"Toronto--Danforth/Toronto--Danforth"," 106","Toronto",0,73,16,5,77,14,0,185,345
35109,"Toronto--Danforth/Toronto--Danforth"," 107","Toronto",0,95,17,6,85,7,0,210,391
35109,"Toronto--Danforth/Toronto--Danforth"," 108","Toronto",1,113,20,1,84,15,0,234,386
35109,"Toronto--Danforth/Toronto--Danforth"," 109","Toronto",3,129,49,5,72,14,2,274,419
35109,"Toronto--Danforth/Toronto--Danforth"," 110","Toronto",0,68,12,14,65,11,4,174,311
35109,"Toronto--Danforth/Toronto--Danforth"," 111","Toronto",3,94,16,4,98,15,1,231,440
35109,"Toronto--Danforth/Toronto--Danforth"," 112","Toronto",0,135,23,6,88,16,0,268,451
35109,"Toronto--Danforth/Toronto--Danforth"," 113","Toronto",0,152,36,6,108,6,0,308,529
