Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike DiLivio,Jennifer Stebbing,David Sweet,David Allan Urquhart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 117","Stoney Creek",26,66,58,9,0,159,271
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 118A","Stoney Creek",32,42,44,1,0,119,265
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 118B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,139
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 119","Stoney Creek",52,73,69,6,0,200,389
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 120","Stoney Creek",42,95,67,7,1,212,367
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 121","Stoney Creek",50,75,59,5,0,189,356
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 122","Stoney Creek",28,72,103,2,0,205,378
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 123","Stoney Creek",52,77,65,5,1,200,389
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 124","Stoney Creek",56,76,91,9,0,232,408
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 125","Stoney Creek",22,85,90,5,1,203,377
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 126","Stoney Creek",43,61,42,9,0,155,308
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 127","Stoney Creek",29,87,84,6,0,206,370
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 128","Stoney Creek",34,155,90,4,1,284,463
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 129","Stoney Creek",45,101,86,10,4,246,411
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 130","Stoney Creek",27,103,99,9,0,238,410
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 131","Stoney Creek",40,114,103,8,2,267,457
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 132","Stoney Creek",51,114,82,6,0,253,387
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 133","Stoney Creek",42,115,69,8,3,237,404
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 134","Stoney Creek",38,152,100,8,1,299,475
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 135","Stoney Creek",63,170,59,8,2,302,533
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 136","Stoney Creek",36,85,70,1,1,193,365
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 137","Stoney Creek",67,92,38,8,1,206,415
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 138A","Stoney Creek",37,106,54,5,0,202,488
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 138B","Stoney Creek",42,112,75,5,3,237,483
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 139","Glanbrook",44,79,76,7,0,206,397
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 140A","Glanbrook",31,119,84,5,3,242,450
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 140B","Glanbrook",39,72,79,5,0,195,446
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 141","Glanbrook",28,81,110,10,1,230,423
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 142","Glanbrook",44,75,107,8,0,234,448
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 143","Stoney Creek",47,71,86,12,2,218,399
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 144","Stoney Creek",27,84,91,14,3,219,370
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 145","Stoney Creek",40,81,103,15,0,239,396
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 146","Stoney Creek",48,92,86,18,0,244,412
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 147","Glanbrook",37,97,78,4,0,216,433
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 148","Glanbrook",54,125,77,4,1,261,503
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 149","Glanbrook",27,103,86,8,1,225,403
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 150","Glanbrook",32,101,66,6,0,205,391
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 151","Glanbrook",35,57,72,5,0,169,357
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 152","Glanbrook",28,41,81,4,0,154,343
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 153","Glanbrook",21,61,71,7,1,161,361
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 154","Glanbrook",44,85,78,9,1,217,400
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 155","Glanbrook",42,72,93,14,0,221,404
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 156","Glanbrook",45,106,91,11,0,253,400
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 157","Glanbrook",28,73,96,13,0,210,417
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 158A","Glanbrook",28,45,82,5,0,160,280
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 158B","Glanbrook",32,69,78,6,1,186,321
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 159","Glanbrook",29,97,105,6,0,237,348
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 160","Glanbrook",21,78,111,13,0,223,331
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 161","Glanbrook",34,91,114,5,0,244,333
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 162","Glanbrook",17,140,123,10,0,290,460
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 163","Glanbrook",30,128,132,7,2,299,449
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 164","Glanbrook",31,42,80,8,0,161,329
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 165","Glanbrook",45,71,98,5,2,221,445
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 166","Glanbrook",31,67,74,13,1,186,377
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 167","Glanbrook",29,69,75,5,0,178,326
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 168","Glanbrook",42,99,112,8,3,264,436
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 169","Glanbrook",48,109,67,4,0,228,417
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 170","Glanbrook",39,73,96,6,0,214,402
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 171A","Glanbrook",36,86,68,6,1,197,362
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 171B","Glanbrook",37,85,84,2,0,208,377
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 172","Glanbrook",33,81,86,7,0,207,404
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 173","Glanbrook",44,92,111,7,1,255,449
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 174A","Glanbrook",24,67,66,7,0,164,273
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 174B","Glanbrook",34,49,62,6,1,152,281
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 175","Glanbrook",47,65,71,2,0,185,335
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 176","Glanbrook",35,85,78,8,1,207,383
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 177","Glanbrook",50,94,71,8,2,225,410
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 178A","Glanbrook",44,85,66,6,1,202,364
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 178B","Glanbrook",29,78,64,6,0,177,364
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 179","Glanbrook",33,85,88,1,0,207,385
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 180","Glanbrook",40,79,108,10,1,238,423
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 181","Glanbrook",35,82,94,12,0,223,424
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 182","Glanbrook",29,71,55,5,1,161,319
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 183","Glanbrook",38,110,102,6,1,257,484
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 184","Glanbrook",48,72,105,7,0,232,434
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 500","Mobile poll/Bureau itinérant",12,25,33,4,1,75,106
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 501","Mobile poll/Bureau itinérant",15,42,40,2,0,99,186
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 502","Mobile poll/Bureau itinérant",8,38,18,4,1,69,58
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 503A","Mobile poll/Bureau itinérant",13,22,31,2,5,73,94
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,44
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 504A","Mobile poll/Bureau itinérant",24,63,73,12,8,180,104
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,116
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 600","Flamborough",57,209,306,18,0,590,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 601","Flamborough",84,409,627,41,4,1165,
