Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Moe Comuzzi,Christy Radbourne,John Rafferty,Don Rusnak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128","Thunder Bay",25,9,58,89,1,182,432
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 129","Thunder Bay",40,5,69,98,0,212,424
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 130","Thunder Bay",26,15,89,133,1,264,529
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 131","Thunder Bay",30,16,84,115,0,245,513
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 132","Thunder Bay",40,13,56,135,1,245,429
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 133","Thunder Bay",34,19,42,110,1,206,321
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 134","Thunder Bay",38,15,57,132,2,244,419
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 135","Thunder Bay",17,6,46,108,0,177,333
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 136","Thunder Bay",28,6,55,103,0,192,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 137","Thunder Bay",23,8,51,143,0,225,402
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 138","Thunder Bay",20,17,64,110,1,212,389
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 139","Thunder Bay",18,8,58,107,0,191,359
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 140","Thunder Bay",27,11,58,106,0,202,384
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 141","Thunder Bay",22,13,87,106,0,228,459
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 142","Thunder Bay",32,12,71,121,1,237,362
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 143","Thunder Bay",26,5,57,113,0,201,351
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 144","Thunder Bay",18,11,70,75,0,174,372
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 145","Thunder Bay",13,11,73,127,0,224,474
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 146","Thunder Bay",34,9,64,137,2,246,448
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 147","Thunder Bay",34,13,79,114,0,240,455
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 148","Thunder Bay",45,11,64,102,0,222,372
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 149","Thunder Bay",56,10,49,135,1,251,358
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 150","Thunder Bay",84,11,62,90,1,248,400
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 151","Thunder Bay",55,7,22,101,2,187,292
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 152","Thunder Bay",23,15,68,108,0,214,373
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 153","Thunder Bay",54,13,49,71,1,188,310
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 154","Thunder Bay",56,10,56,131,0,253,410
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 155","Thunder Bay",54,14,80,138,2,288,513
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 156","Thunder Bay",71,16,56,127,1,271,457
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 157","Thunder Bay",76,17,61,172,0,326,545
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 158","Thunder Bay",69,11,51,143,3,277,473
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 159","Thunder Bay",72,14,56,126,0,268,443
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 160","Paipoonge",73,14,40,72,2,201,284
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 161","Paipoonge",107,18,69,92,1,287,423
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 162","Paipoonge",63,24,66,90,2,245,450
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 163","O'Connor",32,17,45,66,0,160,323
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 164","O'Connor",35,25,67,75,0,202,394
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 165","Hymers",28,10,42,41,0,121,191
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 166","Scoble",77,21,74,101,0,273,518
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 167","South Gillies",32,17,63,51,1,164,226
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 168","Nolalu",58,25,58,99,2,242,440
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169","Pardee",33,8,36,19,0,96,196
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 170","Moose Hill",72,12,59,89,0,232,387
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 171","Moose Hill",64,17,61,79,0,221,383
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 172","Fort William 52",4,3,57,94,3,161,359
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 173","Fort William 52",2,5,47,86,2,142,318
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 174","Thunder Bay",22,8,52,62,0,144,363
