Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jay Aspin,Kathleen Jodouin,Nicole Peltier,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 82","North Bay ",18,42,8,73,1,142,342
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 83","North Bay ",44,43,10,78,0,175,377
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 84","North Bay ",31,42,1,96,4,174,348
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 85","North Bay ",37,29,8,100,0,174,377
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 86A","North Bay",33,37,3,89,2,164,378
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 86B","North Bay",Merged with No./Fusionné avec le n°80,,,,,,55
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 87","North Bay ",47,39,6,93,3,188,349
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 88","North Bay ",18,30,5,102,1,156,369
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 89A","North Bay",9,16,5,72,0,102,306
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 89B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,39
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 90","North Bay ",35,41,5,111,0,192,437
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 91","North Bay ",11,31,7,55,0,104,298
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 92","North Bay ",12,18,2,64,0,96,369
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 93","North Bay ",33,30,8,80,0,151,330
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 94","Nipissing 10",32,56,3,162,1,254,450
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 95","Nipissing 10",55,48,7,131,1,242,548
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 96A","Garden Village",6,44,2,161,1,214,342
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 96B","Nipissing 10",Merged with No./Fusionné avec le n°95,,,,,,4
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 97","North Bay ",80,38,1,113,0,232,377
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 98","North Bay ",63,33,6,133,1,236,432
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 99","North Bay ",76,44,6,150,0,276,445
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 100","North Bay ",64,30,4,107,0,205,357
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 101","North Bay ",72,45,2,122,3,244,439
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 102","North Bay ",65,27,5,114,0,211,345
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 103","North Bay ",53,36,10,121,0,220,368
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 104","North Bay ",80,59,8,162,1,310,537
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 105","North Bay ",38,20,6,78,0,142,267
