Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Toban Leckie,Doug Mason,Maryam Monsef,Dave Nickle,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 17","Harvey",3,3,47,9,32,0,94,203
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 18","Galway-Cavendish and Harvey",1,7,50,18,69,4,149,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 19","Galway-Cavendish and Harvey",0,4,32,19,40,1,96,274
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 20","Galway-Cavendish and Harvey",0,9,90,33,130,0,262,461
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 21","Galway-Cavendish and Harvey",0,4,54,26,61,0,145,358
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 22","Galway-Cavendish and Harvey",0,1,42,23,76,1,143,318
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 23","Galway-Cavendish and Harvey",0,14,101,34,140,0,289,529
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 24","Galway-Cavendish and Harvey",2,4,104,28,125,2,265,437
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 25","Galway-Cavendish and Harvey",6,7,125,40,110,1,289,489
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 26","Galway-Cavendish and Harvey",4,5,122,31,138,4,304,485
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 27","Youngs Point",0,6,61,15,77,1,160,347
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 28","Youngs Point",0,5,44,19,75,1,144,316
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 29","Wesley",1,6,52,32,81,0,172,340
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 30","Wesley",0,7,76,18,47,0,148,252
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 31","Selwyn",0,5,58,32,99,1,195,413
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 32","Selwyn",1,5,86,26,91,0,209,426
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 33","Curve Lake First Nation",0,5,114,128,38,3,288,456
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 34","Curve Lake First Nation",1,3,97,112,25,0,238,380
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 35","Smith-Ennismore-Lakefield",0,12,75,28,113,0,228,436
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 36","Ennismore",0,7,82,34,109,1,233,435
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 37","Ennismore",1,3,88,25,124,2,243,417
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 38","Ennismore",1,6,71,33,95,1,207,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 39","Ennismore",0,8,80,29,93,0,210,395
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 40","Ennismore",1,5,56,32,104,0,198,403
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 41","Smith-Ennismore-Lakefield",1,10,69,23,75,0,178,380
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 42","Smith-Ennismore-Lakefield",0,1,69,27,99,0,196,392
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 43","Bridgenorth",0,3,76,18,82,0,179,309
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 44","Bridgenorth",1,11,78,33,95,0,218,415
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 45","Bridgenorth",0,3,89,29,87,0,208,423
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 46","Douro-Dummer",0,3,54,12,59,0,128,253
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 47","Douro-Dummer",0,4,57,19,72,0,152,261
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 48","Douro",0,5,71,27,100,0,203,366
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 49","Lakefield",0,3,65,17,33,0,118,314
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 50","Lakefield",0,1,52,21,51,0,125,243
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 51","Lakefield",0,5,70,26,59,2,162,329
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 52","Lakefield",1,3,88,30,49,0,171,326
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 53","Lakefield",0,8,86,36,52,1,183,322
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 54","Lakefield",0,1,86,28,72,0,187,339
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 55","Lakefield",0,2,67,50,51,0,170,315
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 56","Warsaw",0,6,70,24,78,1,179,343
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 57","Warsaw",0,2,97,27,62,0,188,350
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 58","Cottesloe",0,1,51,25,67,0,144,276
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 59","Centre Dummer",0,6,76,33,94,1,210,491
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 60","Douro",0,3,69,27,66,1,166,263
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 61","Douro",0,5,72,29,74,0,180,267
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 62","Donwood",1,1,65,25,87,0,179,280
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 63","Donwood",0,5,92,42,87,0,226,363
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 64","Donwood",0,3,84,44,110,0,241,404
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 65","Donwood",0,10,44,36,66,1,157,242
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 66","Donwood",0,3,50,17,50,0,120,221
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 67","Peterborough",3,22,301,123,117,0,566,749
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 68","Peterborough",1,5,101,28,95,0,230,408
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 69","Peterborough",0,4,98,28,48,0,178,323
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 70","Smith-Ennismore-Lakefield",0,8,61,42,69,0,180,353
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 71","Peterborough",0,6,67,33,85,0,191,370
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 72","Peterborough",1,4,90,39,89,2,225,329
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 73","Peterborough",1,8,92,47,110,0,258,427
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 74","Peterborough",0,5,134,49,86,0,274,501
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 75","Peterborough",0,3,102,28,80,0,213,416
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 76","Peterborough",0,6,101,48,75,1,231,351
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 77","Peterborough",0,7,137,65,112,0,321,531
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 78","Peterborough",0,5,124,61,99,1,290,471
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 79","Peterborough",1,8,147,51,86,1,294,543
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 80","Peterborough",0,6,101,59,70,2,238,491
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 81","Peterborough",0,4,111,46,80,2,243,409
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 82","Peterborough",0,2,84,46,64,2,198,357
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 83","Peterborough",1,8,96,29,76,0,210,473
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 84","Peterborough",1,5,122,55,76,1,260,452
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 85","Peterborough",0,7,118,51,93,2,271,542
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 86","Peterborough",0,5,107,32,94,0,238,498
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 87","Peterborough",0,3,87,29,50,0,169,332
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 88","Fowlers Corners",0,2,34,21,52,1,110,237
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 89","Fowlers Corners",0,2,61,11,88,0,162,316
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 90","Fowlers Corners",1,1,68,24,89,0,183,384
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 91","Peterborough",0,0,74,43,83,2,202,409
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 92","Smith-Ennismore-Lakefield",1,3,99,43,88,0,234,454
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 93","Peterborough",0,8,85,35,55,0,183,371
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 94A","Peterborough",0,4,111,36,74,1,226,386
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 94B","Peterborough",0,2,87,31,70,1,191,323
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 95","Peterborough",2,6,126,53,73,0,260,422
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 96","Peterborough",1,9,129,44,36,2,221,337
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 97","Peterborough",1,4,112,46,85,2,250,416
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 98","Peterborough",1,1,113,50,39,1,205,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 99","Peterborough",0,5,134,76,52,1,268,479
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 100","Ennismore",1,3,72,40,87,0,203,426
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 101","Ennismore",0,5,69,35,98,0,207,377
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 102","Smith-Ennismore-Lakefield",0,8,88,18,108,0,222,404
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 103","Ennismore",0,0,69,21,128,0,218,402
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 104","Peterborough",0,8,75,36,69,1,189,291
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 105","Peterborough",2,3,111,59,47,0,222,496
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 106","Peterborough",0,1,103,28,91,0,223,471
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 107","Peterborough",0,3,94,31,58,1,187,400
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 108","Peterborough",0,7,104,30,87,0,228,388
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 109","Peterborough",0,2,72,14,76,0,164,383
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 110","Peterborough",0,8,85,60,63,1,217,435
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 111","Peterborough",0,6,85,43,63,1,198,395
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 112","Peterborough",1,3,100,47,47,0,198,332
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 113","Peterborough",0,5,92,35,41,0,173,321
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 114","Peterborough",0,6,97,68,42,0,213,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 115","Peterborough",0,7,95,51,48,0,201,386
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 116","Peterborough",0,5,75,53,32,1,166,258
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 117","Peterborough",0,8,144,78,26,1,257,461
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 118","Peterborough",0,7,143,75,21,0,246,443
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 119","Peterborough",0,8,119,87,27,2,243,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 120","Peterborough",0,7,131,66,22,0,226,394
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 121","Peterborough",0,3,109,64,24,1,201,422
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 122","Peterborough",0,6,65,18,43,2,134,320
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 123","Peterborough",0,4,63,32,49,0,148,314
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 124","Peterborough",0,1,94,33,77,0,205,356
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 125","Peterborough",1,1,121,68,66,3,260,477
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 126","Peterborough",0,7,130,46,37,0,220,432
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 127","Peterborough",0,2,95,51,67,2,217,446
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 128","Peterborough",2,5,101,52,46,0,206,403
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 129","Peterborough",1,5,101,66,37,0,210,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 130","Peterborough",1,3,98,48,50,1,201,422
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 131","Peterborough",0,1,85,14,63,1,164,297
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 132","Peterborough",1,4,95,20,54,0,174,330
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 133","Peterborough",0,3,108,50,39,1,201,464
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 134","Peterborough",1,8,117,54,23,0,203,493
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 135","Peterborough",0,5,126,67,33,1,232,463
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 136","Peterborough",1,6,155,51,33,0,246,475
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 137","Peterborough",2,10,104,60,35,1,212,455
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 138","Peterborough",0,1,69,23,13,1,107,266
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 139","Peterborough",0,6,107,55,27,1,196,306
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 140","Peterborough",0,3,108,61,55,2,229,424
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 141","Peterborough",2,4,78,53,42,0,179,351
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 142","Peterborough",1,5,110,49,50,0,215,397
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 143","Peterborough",0,10,134,74,51,2,271,486
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 144","Peterborough",1,8,129,55,22,2,217,394
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 145","Peterborough",0,8,137,63,32,0,240,433
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 146","Peterborough",0,5,74,62,26,0,167,372
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 147","Peterborough",2,6,95,41,26,1,171,384
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 148","Peterborough",0,5,82,40,47,1,175,358
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 149","Peterborough",2,7,82,63,58,0,212,391
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 150","Peterborough",0,7,122,49,50,0,228,413
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 151","Peterborough",0,7,71,50,54,1,183,401
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 152","Peterborough",1,7,96,43,44,1,192,386
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 153","Peterborough",0,2,98,65,49,1,215,393
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 154","Peterborough",0,5,118,50,75,0,248,448
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 155","Peterborough",0,4,122,50,104,0,280,505
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 156","Peterborough",0,7,97,35,93,5,237,435
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 157","Peterborough",2,3,107,80,79,1,272,462
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 158","Peterborough",0,6,80,50,75,0,211,453
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 159","Peterborough",1,2,86,46,49,1,185,435
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 160","Peterborough",0,4,74,42,92,0,212,396
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 161","Peterborough",0,2,71,40,52,0,165,338
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 162","Peterborough",1,2,98,56,70,1,228,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 163","Peterborough",0,5,133,32,37,0,207,422
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 164","Peterborough",2,0,93,57,59,0,211,376
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 165","Peterborough",0,5,89,41,62,1,198,361
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 166","Peterborough",0,2,89,40,57,0,188,367
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 167","Peterborough",0,2,91,41,67,0,201,373
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 168","Peterborough",0,2,99,41,67,1,210,363
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 169","Peterborough",0,8,77,55,43,0,183,363
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 170","Peterborough",0,5,71,44,40,1,161,385
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 171","Peterborough",1,5,74,46,47,0,173,347
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 172","Peterborough",1,5,70,48,47,0,171,362
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 173","Peterborough",1,3,71,29,32,0,136,327
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 174","Peterborough",0,4,90,51,47,0,192,342
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 175","Peterborough",0,5,105,47,53,0,210,370
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 176","Peterborough",0,7,124,46,65,0,242,449
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 177","Peterborough",2,6,125,43,79,0,255,433
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 178","Peterborough",0,3,138,38,69,0,248,445
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 179","Peterborough",1,3,146,34,40,1,225,444
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 180","Peterborough",0,4,104,26,61,0,195,364
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 181","Peterborough",0,6,104,31,81,0,222,406
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 182","Peterborough",0,3,113,26,82,1,225,438
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 183","Peterborough",1,6,83,37,68,0,195,356
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 184","Peterborough",0,5,93,28,71,1,198,375
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 185","Peterborough",0,2,82,25,80,0,189,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 186","Peterborough",0,1,104,40,80,1,226,417
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 187","Peterborough",0,2,95,31,99,0,227,396
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 188","Peterborough",0,4,78,22,60,0,164,354
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 189","Peterborough",2,2,99,24,97,2,226,410
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 190","Peterborough",1,3,70,16,59,0,149,294
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 191","Peterborough",0,7,67,16,64,0,154,293
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 192","Peterborough",0,2,62,21,88,0,173,316
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 193","Peterborough",0,4,82,28,72,0,186,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 194","Peterborough",0,6,85,32,50,0,173,322
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 195","Peterborough",0,1,70,33,63,0,167,312
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 196","Peterborough",0,2,88,32,51,1,174,369
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 197","Peterborough",0,3,105,54,82,0,244,491
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 198","Peterborough",0,6,74,30,59,2,171,394
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 198-1","Peterborough",0,0,75,49,35,1,160,329
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 199","Peterborough",0,3,66,34,45,0,148,283
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 200","Peterborough",1,9,81,42,44,0,177,340
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 201","Peterborough",0,5,50,11,45,0,111,272
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 202","Peterborough",0,4,57,22,59,0,142,391
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 203","Peterborough",1,8,84,61,82,0,236,430
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 204","Peterborough",0,4,65,61,60,0,190,395
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 205","Peterborough",0,2,90,54,76,1,223,410
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 206","Peterborough",1,3,84,42,75,2,207,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 207","Peterborough",0,4,91,55,55,1,206,464
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 208","Peterborough",0,5,76,42,42,2,167,435
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 209","Peterborough",0,3,61,18,77,0,159,359
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 210","Peterborough",1,3,67,22,65,0,158,276
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 211","Peterborough",1,3,82,48,63,0,197,322
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 212","Peterborough",0,6,32,35,52,0,125,282
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 213","Peterborough",0,1,99,54,69,1,224,392
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 214","Peterborough",0,6,90,34,66,0,196,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 215","Peterborough",0,3,91,23,112,0,229,459
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 216","Peterborough",0,3,142,42,94,2,283,465
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 217","Peterborough",0,4,101,32,72,0,209,389
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 218","Cavan-Millbrook-North Monaghan",1,2,79,32,87,0,201,390
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 219","Peterborough",0,2,120,21,78,0,221,422
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 220","Peterborough",0,1,70,42,83,0,196,362
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 221","Peterborough",0,4,61,33,96,0,194,385
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 222","Peterborough",0,3,101,28,61,0,193,322
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 223","Peterborough",1,7,135,42,63,1,249,453
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 224","Peterborough",3,7,117,43,67,1,238,444
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 225","Peterborough",1,5,118,58,67,3,252,513
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 226","Peterborough",0,4,116,52,106,1,279,521
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 227","Otonabee-South Monaghan",0,7,70,49,74,0,200,491
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 228","Peterborough",0,8,91,45,65,0,209,400
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 229","Havelock-Belmont-Methuen",0,5,60,28,85,0,178,341
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 230","Blairton",0,8,57,27,88,0,180,347
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 231","Havelock-Belmont-Methuen",0,9,81,55,114,1,260,493
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 400","Peterborough",1,1,57,40,37,0,136,166
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 401","Peterborough",0,4,39,35,69,0,147,183
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 402","Peterborough",Void/Supprimé,,,,,,,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 403","Peterborough",Void/Supprimé,,,,,,,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 404","Peterborough",0,3,33,18,51,0,105,120
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 500","Mobile poll/Bureau itinérant",2,2,51,25,46,1,127,236
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 501","Mobile poll/Bureau itinérant",0,1,36,10,29,1,77,102
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 502","Mobile poll/Bureau itinérant",1,3,52,30,45,0,131,177
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 503","Mobile poll/Bureau itinérant",1,2,55,24,53,1,136,192
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 504","Mobile poll/Bureau itinérant",0,5,56,19,33,1,114,176
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 505","Mobile poll/Bureau itinérant",2,5,70,20,39,1,137,188
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 506","Mobile poll/Bureau itinérant",1,5,75,26,71,1,179,241
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 507","Mobile poll/Bureau itinérant",0,4,78,13,70,1,166,232
