Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Aldag,Scott Anderson,Dean Drysdale,Rebecca Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 99","Surrey",137,12,77,49,0,275,448
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 100","Surrey",96,9,95,40,0,240,461
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 101","Surrey",109,9,111,39,0,268,462
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 102","Surrey",147,16,93,46,0,302,496
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 103","Surrey",103,10,93,40,0,246,491
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 104","Surrey",98,9,70,30,0,207,358
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 105","Surrey",77,12,87,21,1,198,362
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 106","Surrey",94,7,90,19,0,210,381
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 107","Surrey",102,14,85,46,1,248,432
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 108","Surrey",116,13,91,23,1,244,485
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 109","Surrey",130,12,90,46,2,280,455
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 110","Surrey",95,6,101,23,0,225,397
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 111","Surrey",113,15,91,44,0,263,426
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 112","Surrey",141,20,64,33,0,258,432
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 113","Surrey",87,13,77,34,0,211,374
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 114","Surrey",149,12,117,39,0,317,525
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 115","Surrey",83,8,102,30,0,223,393
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 116A","Surrey",103,18,65,31,0,217,413
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 116B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°85B,,,,,,78
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 116C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°85B,,,,,,4
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 117A","Langley",76,9,42,23,0,150,361
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 117B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,36
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 118","Langley",59,12,63,29,0,163,384
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 119","Langley",132,12,95,51,0,290,576
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 120","Langley",50,13,38,21,0,122,306
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 121","Langley",61,11,38,23,0,133,400
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 122","Langley",64,3,44,24,0,135,346
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 123","Langley",98,9,51,31,1,190,422
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 124","Langley",86,12,47,35,2,182,467
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 125","Langley",77,8,43,31,0,159,379
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 126","Langley",111,12,111,62,1,297,476
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 127","Langley",117,14,119,39,0,289,493
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 128","Langley",139,17,110,53,0,319,485
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 129","Langley",170,14,90,44,4,322,533
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 130","Langley",128,15,101,42,0,286,479
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 131","Langley",137,20,65,36,2,260,504
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 132","Langley",117,9,62,34,1,223,420
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 133","Langley",66,7,66,34,1,174,286
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 134","Langley",119,12,81,58,0,270,446
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 135","Langley",91,14,60,48,0,213,387
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 136","Langley",63,15,53,36,1,168,313
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 137","Langley",102,12,39,37,1,191,418
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 138","Langley",58,7,62,19,0,146,340
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 139","Langley",69,9,49,19,0,146,315
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 140","Langley",43,12,56,40,1,152,340
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 141","Langley",85,14,39,41,3,182,419
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 142","Langley",81,14,40,30,0,165,539
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 143","Langley",33,8,55,18,0,114,327
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 144","Langley",53,12,25,19,0,109,429
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 145","Langley",72,9,50,35,1,167,377
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 146","Langley",77,9,41,26,0,153,396
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 147","Langley",85,11,57,57,0,210,473
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 148","Langley",65,9,61,26,0,161,324
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 149","Langley",88,12,60,37,0,197,420
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 150","Langley",87,11,59,41,0,198,390
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 151","Langley",65,8,81,24,0,178,410
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 152","Langley",84,10,33,20,0,147,332
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 153","Langley",138,21,106,58,0,323,559
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 154","Langley",111,11,92,45,0,259,461
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 155","Langley",72,13,104,26,0,215,392
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 156","Langley",69,21,98,30,1,219,389
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 157","Langley",103,14,125,37,3,282,418
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 158","Langley",99,18,94,32,2,245,402
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 159","Langley",93,9,111,28,0,241,419
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 160","Langley",123,13,106,50,0,292,477
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 161","Langley",123,19,102,40,0,284,435
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 162","Langley",108,12,93,35,0,248,407
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 163","Langley",84,6,66,26,0,182,346
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 164","Langley",104,14,82,38,0,238,404
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 165","Langley",107,15,107,21,1,251,406
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 166","Langley",94,8,78,33,1,214,355
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 167","Langley",118,20,131,51,0,320,503
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 168","Langley",86,14,94,46,0,240,351
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 400","Langley",33,3,37,12,0,85,129
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 401","Langley",37,11,77,17,0,142,195
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 500","Mobile poll/Bureau itinérant",24,12,70,21,1,128,103
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 501","Mobile poll/Bureau itinérant",35,8,18,13,3,77,199
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 600","Surrey",537,25,311,202,5,1080,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 601","Surrey",712,30,581,219,5,1547,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 602","Surrey",413,32,350,201,1,997,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 603","Surrey",553,41,447,219,4,1264,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 604","Surrey",522,51,505,235,3,1316,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 605","Surrey",407,45,463,177,3,1095,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 606","Surrey",473,24,343,213,1,1054,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 607","Langley",244,19,247,105,3,618,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 608","Langley",313,40,290,221,1,865,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 609","Langley",354,68,400,214,4,1040,
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 610","Langley",342,45,360,190,0,937,
59007,"Cloverdale--Langley City/Cloverdale--Langley City",,"Group 1/Groupe 1",47,3,13,22,17,102,90
59007,"Cloverdale--Langley City/Cloverdale--Langley City",,"Group 2/Groupe 2",418,58,437,267,47,1227,
