Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Brison,Megan Brown-Hodges,Will Cooper,Hugh Curry,David Morse,Edd Twohig,Clifford James Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 610","Upper Vaughan",205,3,9,10,65,1,0,0,293,
12007,"Kings--Hants/Kings--Hants"," 611","Falmouth",260,0,12,15,62,0,2,0,351,
12007,"Kings--Hants/Kings--Hants"," 612","Hantsport",347,2,16,8,84,2,9,0,468,
12007,"Kings--Hants/Kings--Hants"," 613","Windsor",289,2,10,16,76,2,0,2,397,
12007,"Kings--Hants/Kings--Hants"," 614","Summerville",334,1,18,18,74,0,0,0,445,
12007,"Kings--Hants/Kings--Hants"," 615","Mount Uniacke",400,0,16,45,124,3,1,1,590,
12007,"Kings--Hants/Kings--Hants"," 616","Kennetcook",340,1,28,30,76,0,1,0,476,
12007,"Kings--Hants/Kings--Hants"," 617","Shubenacadie",254,1,11,21,59,1,0,0,347,
12007,"Kings--Hants/Kings--Hants"," 618","Elmsdale",558,5,24,42,141,1,1,1,773,
12007,"Kings--Hants/Kings--Hants"," 619","Elmsdale",434,0,14,27,93,1,3,2,574,
12007,"Kings--Hants/Kings--Hants",,"Group 1/Groupe 1",165,2,8,17,75,1,0,5,273,88
12007,"Kings--Hants/Kings--Hants",,"Group 2/Groupe 2",1441,9,45,135,332,9,2,25,1998,
