Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stacey Leadbetter,Andrew Moriarity,Erin O'Toole,Derek Spence,Corinna Traill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 170","Clarington",8,0,67,35,60,2,172,294
35023,"Durham/Durham"," 171","Clarington",9,1,88,35,62,1,196,328
35023,"Durham/Durham"," 172","Clarington",3,0,88,30,63,0,184,334
35023,"Durham/Durham"," 173","Clarington",2,0,50,21,36,2,111,254
35023,"Durham/Durham"," 174","Clarington",0,1,62,25,51,0,139,283
35023,"Durham/Durham"," 175","Clarington",4,0,100,44,89,0,237,455
35023,"Durham/Durham"," 176","Clarington",4,0,74,27,66,0,171,281
35023,"Durham/Durham"," 177","Clarington",8,0,101,36,86,0,231,365
35023,"Durham/Durham"," 178","Clarington",4,0,82,41,78,1,206,344
35023,"Durham/Durham"," 179","Clarington",1,0,87,14,58,3,163,334
35023,"Durham/Durham"," 180","Clarington",3,1,105,24,59,4,196,428
35023,"Durham/Durham"," 181","Clarington",4,1,104,30,87,0,226,406
35023,"Durham/Durham"," 182","Clarington",6,0,80,20,63,0,169,303
35023,"Durham/Durham"," 183","Clarington",1,0,70,27,72,1,171,326
35023,"Durham/Durham"," 184","Clarington",6,1,82,41,87,0,217,363
35023,"Durham/Durham"," 185","Clarington",5,2,97,23,72,1,200,367
35023,"Durham/Durham"," 186","Clarington",17,1,86,43,56,0,203,374
35023,"Durham/Durham"," 187","Clarington",3,5,52,29,33,0,122,230
35023,"Durham/Durham"," 188","Clarington",5,0,48,23,52,0,128,272
35023,"Durham/Durham"," 189","Clarington",4,2,46,34,64,0,150,256
35023,"Durham/Durham"," 190","Clarington",2,0,48,23,43,0,116,223
35023,"Durham/Durham"," 191","Clarington",4,1,108,58,82,0,253,446
35023,"Durham/Durham"," 192","Clarington",1,1,94,40,73,0,209,407
35023,"Durham/Durham"," 193","Clarington",5,2,93,44,67,0,211,386
35023,"Durham/Durham"," 194","Clarington",3,1,106,31,85,1,227,387
35023,"Durham/Durham"," 195","Clarington",8,2,91,32,65,0,198,349
35023,"Durham/Durham"," 196","Clarington",6,0,107,48,90,1,252,430
35023,"Durham/Durham"," 197","Clarington",6,2,118,26,126,0,278,402
35023,"Durham/Durham"," 198","Clarington",5,0,71,22,87,0,185,279
35023,"Durham/Durham"," 199","Clarington",4,1,80,31,55,0,171,308
35023,"Durham/Durham"," 200","Clarington",5,0,70,27,86,1,189,307
35023,"Durham/Durham"," 201","Clarington",5,1,54,36,89,2,187,324
35023,"Durham/Durham"," 202","Clarington",5,0,74,28,53,1,161,299
35023,"Durham/Durham"," 203","Clarington",5,3,103,41,63,0,215,418
35023,"Durham/Durham"," 204","Clarington",3,0,113,48,77,2,243,433
35023,"Durham/Durham"," 205","Clarington",5,2,93,52,78,0,230,390
35023,"Durham/Durham"," 206","Clarington",8,2,90,33,74,1,208,362
35023,"Durham/Durham"," 207","Clarington",4,2,63,20,74,0,163,285
35023,"Durham/Durham"," 208A","Oshawa",2,2,65,21,72,1,163,320
35023,"Durham/Durham"," 208B","Oshawa",1,0,50,19,67,0,137,277
35023,"Durham/Durham"," 209A","Oshawa",1,2,52,33,88,0,176,348
35023,"Durham/Durham"," 209B","Oshawa",2,1,64,34,78,1,180,391
35023,"Durham/Durham"," 210","Oshawa",3,0,64,33,95,2,197,432
35023,"Durham/Durham"," 211A","Oshawa",1,1,55,15,65,1,138,277
35023,"Durham/Durham"," 211B","Oshawa",3,1,63,22,44,1,134,286
35023,"Durham/Durham"," 212","Oshawa",4,0,113,31,97,0,245,458
35023,"Durham/Durham"," 213","Oshawa",2,5,119,26,95,1,248,451
35023,"Durham/Durham"," 214","Oshawa",7,0,101,35,83,0,226,468
35023,"Durham/Durham"," 215A","Oshawa",5,1,97,18,83,0,204,352
35023,"Durham/Durham"," 215B","Oshawa",2,0,80,19,76,2,179,363
35023,"Durham/Durham"," 215C","Oshawa",1,0,61,24,67,1,154,340
35023,"Durham/Durham"," 216","Oshawa",3,0,122,31,112,1,269,536
35023,"Durham/Durham"," 217","Oshawa",10,1,140,37,93,1,282,538
