Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ahmed Hussen,John Johnson,Stephen Lepone,James Robinson,Mike Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35120,"York South--Weston/York-Sud--Weston"," 118","York",107,4,6,29,68,1,215,331
35120,"York South--Weston/York-Sud--Weston"," 119","York",50,2,2,32,57,0,143,321
35120,"York South--Weston/York-Sud--Weston"," 120","York",48,6,3,21,45,1,124,316
35120,"York South--Weston/York-Sud--Weston"," 121","York",75,2,1,20,47,1,146,343
35120,"York South--Weston/York-Sud--Weston"," 122","York",124,3,8,45,57,3,240,368
35120,"York South--Weston/York-Sud--Weston"," 123","York",90,0,8,44,59,3,204,448
35120,"York South--Weston/York-Sud--Weston"," 124","York",114,1,6,69,101,4,295,488
35120,"York South--Weston/York-Sud--Weston"," 125","York",131,9,7,66,87,0,300,543
35120,"York South--Weston/York-Sud--Weston"," 126","York",88,11,3,59,62,0,223,466
35120,"York South--Weston/York-Sud--Weston"," 127","York",98,8,7,49,82,2,246,462
35120,"York South--Weston/York-Sud--Weston"," 128","York",129,6,2,68,81,7,293,534
35120,"York South--Weston/York-Sud--Weston"," 129","York",63,2,2,25,61,1,154,290
35120,"York South--Weston/York-Sud--Weston"," 130","Toronto",58,2,2,29,55,1,147,358
35120,"York South--Weston/York-Sud--Weston"," 131","Toronto",67,0,5,35,43,1,151,362
35120,"York South--Weston/York-Sud--Weston"," 132","Toronto",93,6,4,43,58,1,205,457
35120,"York South--Weston/York-Sud--Weston"," 133","Toronto",81,9,8,58,51,2,209,458
35120,"York South--Weston/York-Sud--Weston"," 134","Toronto",58,5,7,27,42,0,139,351
35120,"York South--Weston/York-Sud--Weston"," 135","Toronto",53,5,3,25,57,2,145,391
35120,"York South--Weston/York-Sud--Weston"," 136","York",118,1,3,6,51,3,182,398
35120,"York South--Weston/York-Sud--Weston"," 137","York",85,1,10,12,32,1,141,353
35120,"York South--Weston/York-Sud--Weston"," 138","York",76,3,5,27,52,1,164,351
35120,"York South--Weston/York-Sud--Weston"," 139","York",90,5,8,46,48,1,198,518
35120,"York South--Weston/York-Sud--Weston"," 140","York",86,9,6,45,75,2,223,387
35120,"York South--Weston/York-Sud--Weston"," 141","York",76,15,6,42,100,0,239,450
35120,"York South--Weston/York-Sud--Weston"," 142","York",82,5,12,43,63,2,207,397
35120,"York South--Weston/York-Sud--Weston"," 143","York",92,3,8,35,85,0,223,349
35120,"York South--Weston/York-Sud--Weston"," 144","York",68,11,1,62,71,3,216,420
35120,"York South--Weston/York-Sud--Weston"," 145","York",91,4,5,49,74,0,223,390
35120,"York South--Weston/York-Sud--Weston"," 146","York",77,4,3,32,82,0,198,377
35120,"York South--Weston/York-Sud--Weston"," 147","York",73,9,6,50,83,2,223,416
35120,"York South--Weston/York-Sud--Weston"," 148","York",67,6,0,34,93,2,202,344
35120,"York South--Weston/York-Sud--Weston"," 149","York",86,5,6,42,90,1,230,393
35120,"York South--Weston/York-Sud--Weston"," 150","York",106,2,8,35,62,2,215,459
35120,"York South--Weston/York-Sud--Weston"," 400","North York",124,0,3,8,29,5,169,292
35120,"York South--Weston/York-Sud--Weston"," 401","North York",112,2,2,14,23,0,153,290
35120,"York South--Weston/York-Sud--Weston"," 402","North York",27,0,1,23,35,2,88,260
35120,"York South--Weston/York-Sud--Weston"," 403","North York",71,5,2,27,27,0,132,165
35120,"York South--Weston/York-Sud--Weston"," 404","York",80,2,4,15,24,0,125,229
35120,"York South--Weston/York-Sud--Weston"," 405","York",74,4,6,10,45,1,140,240
35120,"York South--Weston/York-Sud--Weston"," 406","North York",201,3,8,36,52,0,300,479
35120,"York South--Weston/York-Sud--Weston"," 407","North York",140,1,4,18,31,3,197,396
35120,"York South--Weston/York-Sud--Weston"," 408","North York",179,5,13,65,81,7,350,603
35120,"York South--Weston/York-Sud--Weston"," 409","York",142,2,8,31,61,3,247,389
35120,"York South--Weston/York-Sud--Weston"," 410","York",116,8,4,33,81,2,244,402
35120,"York South--Weston/York-Sud--Weston"," 411","York",98,4,3,10,81,2,198,329
35120,"York South--Weston/York-Sud--Weston"," 412","York",135,4,6,17,43,3,208,370
35120,"York South--Weston/York-Sud--Weston"," 413","York",81,1,5,19,43,0,149,372
35120,"York South--Weston/York-Sud--Weston"," 414","York",85,0,3,31,69,4,192,531
35120,"York South--Weston/York-Sud--Weston"," 415","York",161,2,2,58,118,1,342,719
35120,"York South--Weston/York-Sud--Weston"," 416","York",133,4,8,53,68,3,269,471
35120,"York South--Weston/York-Sud--Weston"," 417","York",70,2,8,24,44,1,149,245
35120,"York South--Weston/York-Sud--Weston"," 418","York",110,3,3,74,75,1,266,353
35120,"York South--Weston/York-Sud--Weston"," 419","York",81,6,6,71,77,7,248,325
35120,"York South--Weston/York-Sud--Weston"," 420","York",106,9,7,79,76,4,281,359
35120,"York South--Weston/York-Sud--Weston"," 421","York",91,5,4,85,59,1,245,356
35120,"York South--Weston/York-Sud--Weston"," 422","York",18,3,4,10,12,3,50,82
35120,"York South--Weston/York-Sud--Weston"," 423","York",29,3,5,12,8,3,60,155
35120,"York South--Weston/York-Sud--Weston"," 424","York",124,3,2,10,29,2,170,281
35120,"York South--Weston/York-Sud--Weston"," 425A","York",17,1,1,6,3,0,28,94
35120,"York South--Weston/York-Sud--Weston"," 425B","York",26,5,0,10,9,0,50,63
35120,"York South--Weston/York-Sud--Weston"," 425C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,8
35120,"York South--Weston/York-Sud--Weston"," 500","Mobile poll/Bureau itinérant",39,0,0,13,11,1,64,65
35120,"York South--Weston/York-Sud--Weston"," 600","York",260,8,13,127,320,2,730,
35120,"York South--Weston/York-Sud--Weston"," 601","North York",288,7,9,136,139,5,584,
35120,"York South--Weston/York-Sud--Weston"," 602","North York",386,12,16,187,259,2,862,
35120,"York South--Weston/York-Sud--Weston"," 603","York",195,7,8,74,112,3,399,
35120,"York South--Weston/York-Sud--Weston"," 604","York",305,6,6,90,325,3,735,
35120,"York South--Weston/York-Sud--Weston"," 605","York",201,8,5,75,193,0,482,
35120,"York South--Weston/York-Sud--Weston"," 606","York",148,11,5,106,120,3,393,
35120,"York South--Weston/York-Sud--Weston"," 607","York",227,13,8,89,255,1,593,
35120,"York South--Weston/York-Sud--Weston"," 608","York",120,11,0,43,119,2,295,
35120,"York South--Weston/York-Sud--Weston"," 609","York",235,23,16,110,322,0,706,
35120,"York South--Weston/York-Sud--Weston"," 610","York",172,6,4,40,160,1,383,
35120,"York South--Weston/York-Sud--Weston",,"Group 1/Groupe 1",75,2,3,9,18,11,118,112
35120,"York South--Weston/York-Sud--Weston",,"Group 2/Groupe 2",635,13,5,96,296,17,1062,
